date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,??,0.0,0.0,25690.2437749,12140.5102647,19480.0
2011-09-09,??,0.0,0.0,28266.1786046,10296.8932105,16659.0
2011-09-11,??,0.0,0.0,28610.1385043,14536.0761631,15096.0
2011-09-12,??,1.0,0.0,27675.8564391,14773.4850072,14242.0
2011-09-13,??,1.0,0.0,26412.8172657,15417.2547769,13824.0
2011-09-14,??,1.0,0.0,24795.8803161,15241.4184227,9088.0
2011-09-15,??,1.0,0.0,26993.3643512,13574.684412,6344.0
2011-09-16,??,1.0,0.0,24164.6980777,9332.29727447,5196.0
2011-09-17,??,1.0,0.0,22165.2767803,8094.38866282,4975.0
2011-09-18,??,1.0,0.0,22280.887507,7428.84248093,4976.0
2011-09-19,??,1.0,0.0,22260.3548093,7132.10746723,4763.0
2011-09-20,??,1.0,0.0,20128.6078927,7277.24572752,3759.0
2011-09-21,??,1.0,0.0,13401.6312443,4632.03629579,3761.0
2011-09-22,??,1.0,0.0,8827.95039515,3662.20919052,1973.0
2011-09-23,??,1.0,0.0,7286.00417583,3148.70872925,2343.0
2011-09-24,??,0.0,0.0,6768.09913725,3171.30730894,3204.0
2011-09-25,??,0.0,0.0,6737.43682311,3044.83233252,3221.0
2011-09-26,??,0.0,0.0,5863.92067003,3090.90776599,3350.0
2011-09-27,??,0.0,0.0,4747.76898216,2558.1569526,3474.0
2011-09-28,??,0.0,1.0,4640.19958198,2669.25607699,4669.0
2011-09-29,??,0.0,1.0,2429.54172825,1341.3060862,5546.0
2011-09-30,??,0.0,1.0,3165.72346451,1538.78342092,5389.0
2011-10-01,??,0.0,1.0,4521.25848452,2152.0811285,5311.0
2011-10-02,??,0.0,1.0,4138.95968834,2071.9637302,4638.0
2011-10-03,??,0.0,0.0,4749.84395109,2230.29453315,4649.0
2011-10-04,??,0.0,1.0,4813.90531514,2230.39283423,5159.0
2011-10-05,??,0.0,0.0,6629.75857255,3423.95434784,4458.0
2011-10-06,??,1.0,0.0,7073.26893028,4346.94890789,3225.0
2011-10-07,??,0.0,0.0,6716.39675286,4088.52936651,4314.0
2011-10-08,??,0.0,0.0,6950.77671601,3749.08633477,4784.0
2011-10-09,??,0.0,0.0,6621.45626177,3452.55503813,5050.0
2011-10-10,??,0.0,0.0,6049.45635185,3223.24214619,5193.0
2011-10-11,??,0.0,0.0,6880.64777367,3569.76071361,5516.0
2011-10-12,??,0.0,0.0,5684.95058079,2882.24929441,5418.0
2011-10-13,??,0.0,0.0,4535.85054583,2409.48221156,3673.0
2011-10-14,??,0.0,0.0,6413.60630642,3046.66258285,4032.0
2011-10-15,??,0.0,0.0,5782.36154006,3368.5613647,5512.0
2011-10-16,??,0.0,0.0,6035.81719195,3706.45290443,5976.0
2011-10-17,??,0.0,0.0,6466.45233675,3570.84057705,5438.0
2011-10-18,??,0.0,0.0,6707.05422866,3918.15755689,4988.0
2011-10-19,??,0.0,0.0,6919.9917562,3802.11046617,5036.0
2011-10-20,??,0.0,0.0,4938.76972325,2362.62110442,4926.0
2011-10-21,??,0.0,1.0,4818.46261461,2388.27432892,5132.0
2011-10-22,??,0.0,0.0,6908.39941251,3545.08991944,4973.0
2011-10-23,??,0.0,0.0,6902.859048,4037.83619069,5167.0
2011-10-24,??,0.0,0.0,6971.02038901,3302.00899124,5152.0
2011-10-25,??,0.0,0.0,5705.52403228,3220.76663907,4703.0
2011-10-26,??,0.0,0.0,6705.49468902,2706.6822449,4978.0
2011-10-27,??,0.0,0.0,6167.58561907,2386.99694707,5822.0
2011-10-28,??,0.0,1.0,6694.56440435,2595.99090418,7703.0
2011-10-29,??,0.0,0.0,6436.90247198,2955.55166841,4919.0
2011-10-30,??,0.0,0.0,6558.71387984,2821.76819013,4575.0
2011-10-31,??,0.0,0.0,6481.63803707,3042.84598741,4404.0
2011-11-01,??,0.0,0.0,6084.33268913,3071.94355177,3589.0
2011-11-02,??,0.0,0.0,6738.93807163,2477.2785766,3494.0
2011-11-03,??,1.0,0.0,7422.65812749,3472.19044528,2729.0
2011-11-04,??,1.0,0.0,11084.1379472,4331.61120046,3824.0
2011-11-05,??,0.0,0.0,7563.83804841,2899.88102393,4885.0
2011-11-06,??,1.0,0.0,6735.17187622,3090.17561779,2128.0
2011-11-07,??,0.0,0.0,5672.12455685,3020.91881876,4406.0
2011-11-08,??,0.0,1.0,5027.38857765,2241.07752227,5820.0
2011-11-09,??,0.0,1.0,6010.23481129,1667.33480687,6851.0
2011-11-10,??,0.0,1.0,4439.51018062,1599.5714685,7054.0
2011-11-11,??,0.0,1.0,4385.59659118,2925.25414335,5183.0
2011-11-12,??,0.0,0.0,5351.34493926,3191.19086328,4573.0
2011-11-13,??,0.0,1.0,2562.19878828,1309.88028048,4254.0
2011-11-14,??,0.0,0.0,5516.22480406,2820.38138816,4055.0
2011-11-15,??,0.0,0.0,7568.34259812,3502.34799207,3998.0
2011-11-16,??,0.0,0.0,9198.95175259,3391.00506616,4673.0
2011-11-17,??,0.0,0.0,8460.62028323,4179.30737576,4635.0
2011-11-18,??,0.0,0.0,6078.58454666,3872.87503347,3981.0
2011-11-19,??,0.0,0.0,5664.17924678,3352.61267883,3950.0
2011-11-20,??,0.0,0.0,5494.96733764,2941.28216373,4028.0
2011-11-21,??,0.0,1.0,5376.06617213,2833.07347914,6913.0
2011-11-22,??,0.0,1.0,5404.26920945,2516.21684361,9169.0
2011-11-23,??,0.0,1.0,7523.52672457,2768.5483732,10039.0
2011-11-24,??,0.0,0.0,10927.6686391,2965.31561224,4539.0
2011-11-25,??,0.0,0.0,8864.67015515,964.829644786,3998.0
2011-11-26,??,0.0,1.0,8291.84279632,1329.49643026,8825.0
2011-11-27,??,0.0,1.0,5904.74848033,2515.74539359,13163.0
2011-11-28,??,0.0,0.0,8803.656087,4818.91883088,8098.0
2011-11-29,??,0.0,1.0,11463.7277734,5328.81392029,11599.0
2011-11-30,??,0.0,0.0,11519.5689438,4497.58931771,8571.0
