date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,ad,0.0,0.0,120.504282906,27.2457485738,84.0
2011-09-09,ad,0.0,0.0,138.367121447,21.5166730241,93.0
2011-09-11,ad,0.0,0.0,181.028107621,46.764426684,131.0
2011-09-12,ad,0.0,0.0,166.522517071,45.6715532312,91.0
2011-09-13,ad,0.0,0.0,203.410214017,65.3912918315,66.0
2011-09-14,ad,0.0,0.0,172.706013601,55.3403015987,89.0
2011-09-15,ad,0.0,0.0,159.296806148,37.9506699527,81.0
2011-09-16,ad,0.0,0.0,183.913501261,34.1839578655,95.0
2011-09-17,ad,0.0,0.0,188.304140321,33.8192815778,97.0
2011-09-18,ad,0.0,0.0,250.706700878,46.1403115542,92.0
2011-09-19,ad,0.0,0.0,189.49832834,31.7527568687,88.0
2011-09-20,ad,0.0,0.0,138.170618976,20.7247993716,84.0
2011-09-21,ad,0.0,0.0,173.511174695,31.4841542798,89.0
2011-09-22,ad,0.0,0.0,154.394815803,30.5971677249,100.0
2011-09-23,ad,0.0,0.0,176.641799381,39.2913203287,98.0
2011-09-24,ad,0.0,0.0,174.548901372,43.2146590517,91.0
2011-09-25,ad,0.0,0.0,165.892748394,38.9916615632,91.0
2011-09-26,ad,0.0,0.0,146.157042142,38.2402673677,82.0
2011-09-27,ad,0.0,0.0,142.7231113,38.4613023174,88.0
2011-09-28,ad,0.0,0.0,145.565762026,43.6352658379,85.0
2011-09-29,ad,0.0,0.0,157.925619768,48.5727700192,81.0
2011-09-30,ad,0.0,0.0,169.919227201,45.2302288982,110.0
2011-10-01,ad,0.0,0.0,167.843026376,42.5375919965,107.0
2011-10-02,ad,0.0,0.0,154.14747482,40.1792049131,91.0
2011-10-03,ad,0.0,0.0,155.186409944,36.2832389865,83.0
2011-10-04,ad,0.0,0.0,160.379957534,37.6816023143,92.0
2011-10-05,ad,0.0,0.0,154.930554436,42.843397018,97.0
2011-10-06,ad,0.0,0.0,146.511099588,39.1661992084,89.0
2011-10-07,ad,0.0,0.0,177.4515303,58.6692707643,85.0
2011-10-08,ad,0.0,0.0,183.76931812,52.6590043236,86.0
2011-10-09,ad,0.0,0.0,174.395275759,45.848526063,89.0
2011-10-10,ad,0.0,0.0,145.956796193,38.0994915674,83.0
2011-10-11,ad,0.0,0.0,163.37090222,44.5742617217,83.0
2011-10-12,ad,0.0,0.0,163.984529567,43.939961019,80.0
2011-10-13,ad,0.0,0.0,165.287936237,45.8266286589,78.0
2011-10-14,ad,0.0,0.0,169.092933267,40.6749384604,86.0
2011-10-15,ad,0.0,0.0,140.756077285,40.6035306487,71.0
2011-10-16,ad,0.0,0.0,142.664111975,43.3991099726,79.0
2011-10-17,ad,0.0,0.0,140.774801809,36.9577271345,72.0
2011-10-18,ad,0.0,0.0,137.774240524,38.1237940406,75.0
2011-10-19,ad,0.0,0.0,139.808888497,36.134123203,86.0
2011-10-20,ad,0.0,0.0,141.714076213,32.4584484816,92.0
2011-10-21,ad,0.0,0.0,136.343220778,34.4130000389,86.0
2011-10-22,ad,0.0,0.0,121.414597605,29.111540943,81.0
2011-10-23,ad,0.0,0.0,124.802359558,34.2047731234,79.0
2011-10-24,ad,0.0,0.0,128.314974318,27.6458264309,80.0
2011-10-25,ad,0.0,0.0,114.319445715,31.8579626684,58.0
2011-10-26,ad,0.0,0.0,154.710525406,30.5714191278,55.0
2011-10-27,ad,0.0,0.0,151.910714843,31.2667573976,59.0
2011-10-28,ad,0.0,0.0,151.464632932,29.2927124045,68.0
2011-10-29,ad,0.0,0.0,143.153535681,31.3313855459,74.0
