date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,ae,0.0,0.0,7008.40361641,3159.60995291,4793.0
2011-09-09,ae,0.0,0.0,7759.26744103,2695.68964768,5000.0
2011-09-11,ae,0.0,0.0,7646.87896034,3702.64326987,5272.0
2011-09-12,ae,0.0,0.0,6586.67274729,3332.21226954,4813.0
2011-09-13,ae,0.0,0.0,6445.88950261,3563.4973586,4822.0
2011-09-14,ae,0.0,0.0,6239.94246389,3634.15323662,4785.0
2011-09-15,ae,0.0,0.0,6819.53252669,3248.53229244,4995.0
2011-09-16,ae,0.0,0.0,7422.38698905,2733.19058054,5157.0
2011-09-17,ae,0.0,0.0,7874.59848917,2757.95504328,5033.0
2011-09-18,ae,0.0,0.0,7941.19192148,2539.02928588,4787.0
2011-09-19,ae,0.0,0.0,7688.37009447,2355.14592233,4672.0
2011-09-20,ae,0.0,0.0,7171.95437922,2481.73157008,4496.0
2011-09-21,ae,0.0,0.0,7156.9960822,2401.91442536,4608.0
2011-09-22,ae,0.0,0.0,6991.12000579,2865.60302611,4798.0
2011-09-23,ae,0.0,0.0,7232.68544787,3124.43876339,4902.0
2011-09-24,ae,0.0,0.0,6845.611248,3208.97288885,4803.0
2011-09-25,ae,0.0,0.0,6487.99736821,2926.03480301,4569.0
2011-09-26,ae,0.0,0.0,5754.16190002,3030.57061351,4392.0
2011-09-27,ae,0.0,0.0,5649.95220816,3076.59464806,4456.0
2011-09-28,ae,0.0,0.0,5654.04424134,3290.69815659,4442.0
2011-09-29,ae,0.0,0.0,5742.34675771,3366.60417104,4219.0
2011-09-30,ae,0.0,0.0,6475.62839375,3300.74374445,4464.0
2011-10-01,ae,0.0,0.0,6699.18984698,3266.19255383,4654.0
2011-10-02,ae,0.0,0.0,5813.10500199,2971.74080825,4320.0
2011-10-03,ae,0.0,0.0,6179.99040566,2949.07928706,4351.0
2011-10-04,ae,0.0,0.0,6131.05234454,2883.00701016,4341.0
2011-10-05,ae,0.0,0.0,6316.10705023,3252.64035398,4539.0
2011-10-06,ae,0.0,0.0,5419.39901044,3282.2721786,4254.0
2011-10-07,ae,0.0,0.0,5591.06827149,3369.56171707,4482.0
2011-10-08,ae,0.0,0.0,6111.804025,3273.20072306,4710.0
2011-10-09,ae,0.0,0.0,6180.29649449,3209.37302154,4590.0
2011-10-10,ae,0.0,0.0,5670.82575042,3010.70457857,4302.0
2011-10-11,ae,0.0,0.0,5815.84598114,2989.14577122,4184.0
2011-10-12,ae,0.0,0.0,5786.38130483,2936.30857604,4231.0
2011-10-13,ae,0.0,0.0,5935.65782597,3206.78434921,4570.0
2011-10-14,ae,0.0,0.0,6656.92952813,3168.61886994,4642.0
2011-10-15,ae,0.0,0.0,5695.21906989,3315.00949491,4301.0
2011-10-16,ae,0.0,0.0,5499.90565798,3359.65029349,4208.0
2011-10-17,ae,0.0,0.0,5383.38371363,2942.4827974,3936.0
2011-10-18,ae,0.0,0.0,5124.63394379,2949.45626087,4019.0
2011-10-19,ae,0.0,0.0,5438.52530892,2948.74132734,4034.0
