date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,af,0.0,0.0,187.657854986,46.5390455436,136.0
2011-09-09,af,0.0,0.0,223.469255651,38.9065726407,123.0
2011-09-11,af,0.0,0.0,295.37379143,93.099563475,188.0
2011-09-12,af,0.0,0.0,264.87486256,96.144833516,176.0
2011-09-13,af,0.0,0.0,241.543752709,83.8705470195,160.0
2011-09-14,af,0.0,0.0,243.174501441,84.6136095646,149.0
2011-09-15,af,0.0,0.0,243.817251901,67.1140138896,123.0
2011-09-16,af,0.0,0.0,233.506719876,48.4384015265,115.0
2011-09-17,af,0.0,0.0,283.108173316,60.5933084173,132.0
2011-09-18,af,0.0,0.0,343.502962476,71.1980890695,164.0
2011-09-19,af,0.0,0.0,343.865163323,66.1881331803,160.0
2011-09-20,af,0.0,0.0,295.252568824,61.8197758916,143.0
2011-09-21,af,0.0,0.0,277.907842915,56.596976212,160.0
2011-09-22,af,0.0,0.0,220.612844889,50.9902390271,105.0
2011-09-23,af,0.0,0.0,209.843207588,48.8129421389,102.0
2011-09-24,af,0.0,0.0,228.574081453,61.0962458064,123.0
2011-09-25,af,0.0,0.0,273.943706153,76.981296028,170.0
2011-09-26,af,0.0,0.0,240.73423158,80.7187758853,159.0
2011-09-27,af,0.0,0.0,223.365083685,74.5651079578,160.0
2011-09-28,af,0.0,0.0,240.807580543,88.4718780061,159.0
2011-09-29,af,0.0,0.0,162.981891251,51.9978105117,125.0
2011-09-30,af,0.0,0.0,177.789348797,47.5616106641,112.0
2011-10-01,af,0.0,0.0,219.224661335,60.2989243421,145.0
2011-10-02,af,0.0,0.0,266.656133158,85.3746659374,168.0
2011-10-03,af,0.0,0.0,274.509390802,82.2128404347,175.0
2011-10-04,af,0.0,0.0,268.662251341,80.5741381186,164.0
2011-10-05,af,0.0,0.0,270.296565297,91.1333952143,171.0
2011-10-06,af,0.0,0.0,205.846346112,69.3611957545,134.0
2011-10-07,af,0.0,0.0,179.83972433,60.0967896501,106.0
2011-10-08,af,0.0,0.0,238.050840419,75.6474666846,163.0
2011-10-09,af,0.0,0.0,295.489322867,95.6735906377,205.0
2011-10-10,af,0.0,0.0,278.019794251,94.498779579,180.0
2011-10-11,af,0.0,0.0,267.32631884,89.3080580786,171.0
2011-10-12,af,0.0,0.0,267.536573865,86.4870896663,150.0
2011-10-13,af,0.0,0.0,237.929468354,74.1908893325,137.0
2011-10-14,af,0.0,0.0,203.124129515,52.8568917729,116.0
2011-10-15,af,0.0,0.0,243.910700622,87.6649761981,147.0
2011-10-16,af,0.0,0.0,293.546444802,118.799419817,186.0
2011-10-17,af,0.0,0.0,274.544135391,94.8037082355,166.0
2011-10-18,af,0.0,0.0,257.200568396,93.1753428284,172.0
2011-10-19,af,0.0,0.0,240.602901942,78.9309957769,190.0
2011-10-20,af,0.0,0.0,229.303639155,65.9185946146,136.0
2011-10-21,af,0.0,0.0,174.74232099,50.2949765238,91.0
2011-10-22,af,0.0,0.0,226.369304501,72.3136681335,129.0
2011-10-23,af,0.0,0.0,262.000354686,97.5659404279,158.0
2011-10-24,af,0.0,0.0,261.233370019,77.1610408323,136.0
2011-10-25,af,0.0,0.0,234.037933715,88.626570512,133.0
2011-10-26,af,0.0,0.0,294.708263779,88.5325320407,134.0
2011-10-27,af,0.0,0.0,214.555406317,49.8809715819,106.0
2011-10-28,af,0.0,0.0,161.559471136,30.6084296453,103.0
2011-10-29,af,0.0,0.0,213.207737792,55.4439932187,148.0
2011-10-30,af,0.0,0.0,249.054457105,65.3488176713,158.0
2011-10-31,af,0.0,0.0,217.599803625,59.120941042,159.0
2011-11-01,af,0.0,0.0,219.104234068,63.4775279558,172.0
2011-11-02,af,0.0,0.0,214.871337141,55.2803449243,173.0
2011-11-03,af,0.0,0.0,173.749847733,45.2205818185,146.0
2011-11-04,af,0.0,0.0,198.960159265,38.4180260817,119.0
2011-11-05,af,0.0,0.0,281.384592749,68.7586265602,114.0
2011-11-06,af,0.0,0.0,287.355208721,82.7967705757,117.0
2011-11-07,af,0.0,0.0,253.383952441,83.5513094584,106.0
2011-11-08,af,0.0,0.0,302.620624817,78.4198752073,111.0
2011-11-09,af,0.0,0.0,371.121930399,59.8996812064,147.0
2011-11-10,af,0.0,0.0,295.942190052,64.0835529599,125.0
2011-11-11,af,0.0,0.0,180.588544001,62.6830565201,103.0
2011-11-12,af,0.0,0.0,161.081384112,53.3361466549,137.0
2011-11-13,af,0.0,0.0,175.884398232,52.9645217541,165.0
2011-11-14,af,0.0,0.0,171.86767523,47.5350718678,165.0
2011-11-15,af,0.0,0.0,194.334942825,44.022550351,149.0
2011-11-16,af,0.0,0.0,253.136921744,51.6733750947,110.0
2011-11-17,af,0.0,0.0,194.622759751,53.0716721838,100.0
2011-11-18,af,0.0,0.0,166.85537295,49.652908167,108.0
2011-11-19,af,0.0,0.0,218.647945866,72.8777672685,135.0
2011-11-20,af,0.0,0.0,262.382102914,87.4784837269,168.0
2011-11-21,af,0.0,0.0,268.829518941,88.5906849934,168.0
2011-11-22,af,0.0,0.0,249.895537259,71.5261797913,165.0
2011-11-23,af,0.0,0.0,231.634427493,45.7552609795,176.0
2011-11-24,af,0.0,0.0,311.301313906,43.6614142028,158.0
2011-11-25,af,0.0,0.0,311.770854357,18.9445134284,108.0
