date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,ag,0.0,0.0,93.8297743771,14.5279332425,29.0
2011-09-09,ag,0.0,0.0,67.1432288744,5.82438150794,29.0
2011-09-11,ag,0.0,0.0,38.0419915579,2.01490196,25.0
2011-09-12,ag,0.0,0.0,55.8264388651,5.929184805,42.0
2011-09-13,ag,0.0,0.0,104.785592181,23.0390626927,54.0
2011-09-14,ag,0.0,0.0,80.0790729819,15.1009606153,37.0
2011-09-15,ag,0.0,0.0,69.3027349108,7.54411192861,33.0
2011-09-16,ag,0.0,0.0,72.1016026776,6.150603044,38.0
2011-09-17,ag,0.0,0.0,64.3261414922,4.83807064122,35.0
2011-09-18,ag,0.0,0.0,65.8203741421,4.46016798397,52.0
2011-09-19,ag,0.0,0.0,99.891220345,10.958439639,48.0
2011-09-20,ag,0.0,0.0,117.406427528,15.5546608906,22.0
2011-09-21,ag,0.0,0.0,85.3734126623,9.5549318521,37.0
2011-09-22,ag,0.0,0.0,73.892113143,8.56376133305,46.0
2011-09-23,ag,0.0,0.0,83.7241740964,10.9754646578,45.0
2011-09-24,ag,0.0,0.0,75.7304481115,10.3039277855,34.0
2011-09-25,ag,0.0,0.0,103.597915862,17.8445588302,32.0
2011-09-26,ag,0.0,0.0,89.3851944061,17.297778108,40.0
2011-09-27,ag,0.0,0.0,48.7344457593,5.16267291871,33.0
2011-09-28,ag,0.0,0.0,71.6596820009,13.2501166964,31.0
2011-09-29,ag,0.0,0.0,84.0437765931,16.7378016077,38.0
2011-09-30,ag,0.0,0.0,89.5495203376,15.6781287286,36.0
2011-10-01,ag,0.0,0.0,75.7498455313,11.0086065678,38.0
2011-10-02,ag,0.0,0.0,65.8403336182,9.0018443736,34.0
2011-10-03,ag,0.0,0.0,86.951551455,13.5291290502,31.0
2011-10-04,ag,0.0,0.0,72.4366903725,9.52413104809,28.0
2011-10-05,ag,0.0,0.0,72.1235000841,10.0164511612,28.0
2011-10-06,ag,0.0,0.0,79.0560160779,13.2787288283,27.0
2011-10-07,ag,0.0,0.0,71.0365635325,12.7743100538,30.0
2011-10-08,ag,0.0,0.0,78.4526414011,12.4573896613,28.0
2011-10-09,ag,0.0,0.0,78.6177567312,11.7433912169,27.0
2011-10-10,ag,0.0,0.0,66.6582108476,9.53486309992,20.0
2011-10-11,ag,0.0,0.0,62.9087778431,8.27949021321,21.0
2011-10-12,ag,0.0,0.0,60.2927220923,7.665945241,24.0
2011-10-13,ag,0.0,0.0,63.116904778,8.10802218492,32.0
2011-10-14,ag,0.0,0.0,72.6680199893,9.20943170485,36.0
2011-10-15,ag,0.0,0.0,57.2784482747,8.28820865941,27.0
2011-10-16,ag,0.0,0.0,54.5485429843,7.74970821074,19.0
2011-10-17,ag,0.0,0.0,47.7016300927,4.17811278356,19.0
2011-10-18,ag,0.0,0.0,46.9423921747,4.4234009112,24.0
2011-10-19,ag,0.0,0.0,53.5115974148,5.8885873304,23.0
2011-10-20,ag,0.0,0.0,68.9510437168,9.00200285172,31.0
2011-10-21,ag,0.0,0.0,66.5125656038,10.1722046475,20.0
2011-10-22,ag,0.0,0.0,56.0212585089,6.92495627313,24.0
2011-10-23,ag,0.0,0.0,41.6983261551,3.34242242575,22.0
2011-10-24,ag,0.0,0.0,45.3723971763,3.08993349996,25.0
2011-10-25,ag,0.0,0.0,46.9424145663,5.45859125589,27.0
2011-10-26,ag,0.0,0.0,54.100127317,4.49554820986,26.0
2011-10-27,ag,0.0,0.0,63.1291854873,6.89057063395,20.0
2011-10-28,ag,0.0,0.0,48.2356699032,3.25148378557,22.0
2011-10-29,ag,0.0,0.0,53.9069844193,4.98636341084,30.0
2011-10-30,ag,0.0,0.0,49.2336430556,4.02229531096,28.0
2011-10-31,ag,0.0,0.0,55.4707037684,5.53989982311,20.0
2011-11-01,ag,0.0,0.0,59.3649010524,6.83835609112,15.0
2011-11-02,ag,0.0,0.0,61.3727623029,4.60685733142,23.0
2011-11-03,ag,0.0,0.0,46.9109089586,3.83047933943,26.0
2011-11-04,ag,0.0,0.0,56.6636494869,4.11209405102,27.0
2011-11-05,ag,0.0,0.0,76.7771529683,7.53173185207,26.0
2011-11-06,ag,0.0,0.0,71.088457756,7.7955551564,24.0
2011-11-07,ag,0.0,0.0,46.4457344555,4.63999006059,21.0
2011-11-08,ag,0.0,0.0,41.0672927144,2.02308814002,29.0
2011-11-09,ag,0.0,0.0,70.5387004603,4.06589096018,27.0
2011-11-10,ag,0.0,0.0,71.853950102,5.6898064327,21.0
2011-11-11,ag,0.0,0.0,52.7329068924,8.0048640144,16.0
2011-11-12,ag,0.0,0.0,48.7925532259,6.15957541844,16.0
2011-11-13,ag,0.0,0.0,49.2197441904,5.2413029468,16.0
2011-11-14,ag,0.0,0.0,47.8377650841,3.90809467901,22.0
2011-11-15,ag,0.0,0.0,62.7070153223,6.94831833892,24.0
2011-11-16,ag,0.0,0.0,61.9206506634,4.95706951259,21.0
2011-11-17,ag,0.0,0.0,45.7648459506,3.72033305349,28.0
2011-11-18,ag,0.0,0.0,37.0249293473,3.13315178857,30.0
2011-11-19,ag,0.0,0.0,38.7209249922,3.09493791153,21.0
2011-11-20,ag,0.0,0.0,40.3331613049,2.92143305548,20.0
2011-11-21,ag,0.0,0.0,51.3544773187,5.19758989294,14.0
2011-11-22,ag,0.0,0.0,57.0133109002,5.28053634514,18.0
2011-11-23,ag,0.0,0.0,62.7882019399,3.63781962606,25.0
2011-11-24,ag,0.0,0.0,111.281350697,7.87140222605,28.0
2011-11-25,ag,0.0,0.0,109.2179577,3.3686545378,19.0
2011-11-26,ag,0.0,0.0,79.5598930135,2.20494309278,22.0
2011-11-27,ag,0.0,0.0,54.01068356,3.96295883789,20.0
2011-11-28,ag,0.0,0.0,37.5625256354,2.12304005539,20.0
2011-11-29,ag,0.0,0.0,42.6554380812,3.10066925683,19.0
2011-11-30,ag,0.0,0.0,50.7248365797,4.20773752146,15.0
2011-12-01,ag,0.0,0.0,52.2299397737,3.06739449047,13.0
2011-12-02,ag,0.0,0.0,53.845176358,0.996222954581,14.0
2011-12-03,ag,0.0,0.0,54.7493792312,2.09098634812,21.0
2011-12-04,ag,0.0,0.0,44.126957138,3.50897084964,17.0
2011-12-05,ag,0.0,0.0,55.4914162831,4.71091648618,22.0
2011-12-06,ag,0.0,0.0,47.8374782243,4.04231983816,13.0
2011-12-07,ag,0.0,0.0,41.6580504661,2.47830534167,11.0
2011-12-08,ag,0.0,0.0,34.1507830277,1.33587038034,21.0
2011-12-09,ag,0.0,0.0,38.5342227587,2.00910411262,37.0
2011-12-10,ag,0.0,0.0,49.4773284099,4.39397378968,29.0
2011-12-11,ag,0.0,0.0,46.5543965509,3.34759277626,11.0
2011-12-12,ag,0.0,0.0,45.8301766675,5.07213384154,14.0
