date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,al,0.0,0.0,307.346034042,91.4100992666,245.0
2011-09-09,al,0.0,0.0,377.08829992,88.2943178289,232.0
2011-09-11,al,0.0,0.0,307.252055592,94.6775964886,215.0
2011-09-12,al,0.0,0.0,386.315117143,135.455783315,242.0
2011-09-13,al,0.0,0.0,365.934655307,138.284972125,260.0
2011-09-14,al,0.0,0.0,356.914996962,141.590385842,280.0
2011-09-15,al,0.0,0.0,411.628224944,135.295857927,290.0
2011-09-16,al,0.0,0.0,410.240192557,102.660460717,250.0
2011-09-17,al,0.0,0.0,353.410297288,80.4924761203,220.0
2011-09-18,al,0.0,0.0,389.611147663,82.7061897679,209.0
2011-09-19,al,0.0,0.0,457.695203731,96.1284049932,226.0
2011-09-20,al,0.0,0.0,454.421351851,109.791891624,230.0
2011-09-21,al,0.0,0.0,488.105997676,116.649265691,218.0
2011-09-22,al,0.0,0.0,471.834144878,138.61915779,234.0
2011-09-23,al,0.0,0.0,414.553109894,123.265879259,242.0
2011-09-24,al,0.0,0.0,357.847577976,112.324140105,184.0
2011-09-25,al,0.0,0.0,340.729152314,101.365283335,189.0
2011-09-26,al,0.0,0.0,331.611603004,117.931707132,235.0
2011-09-27,al,0.0,0.0,342.782017263,127.437198884,254.0
2011-09-28,al,0.0,0.0,319.733120783,124.590453382,234.0
2011-09-29,al,0.0,0.0,332.642862794,132.648502447,244.0
2011-09-30,al,0.0,0.0,378.633063875,132.20033085,221.0
2011-10-01,al,0.0,0.0,313.590360208,97.69126618,172.0
2011-10-02,al,0.0,0.0,291.679745072,96.3064150821,169.0
2011-10-03,al,0.0,0.0,391.492604884,127.97354669,230.0
2011-10-04,al,0.0,0.0,410.387056636,134.905553682,238.0
2011-10-05,al,0.0,0.0,394.420154671,138.756583261,235.0
2011-10-06,al,0.0,0.0,369.145708979,155.042002406,223.0
2011-10-07,al,0.0,0.0,329.653654184,134.207294563,210.0
2011-10-08,al,0.0,0.0,277.582952663,92.9464085375,168.0
2011-10-09,al,0.0,0.0,296.361929558,96.8006085458,172.0
2011-10-10,al,0.0,0.0,355.197437173,128.988316901,228.0
2011-10-11,al,0.0,0.0,376.483490932,133.483083488,248.0
2011-10-12,al,0.0,0.0,355.007534145,123.173046769,246.0
2011-10-13,al,0.0,0.0,370.731240075,135.812989378,267.0
2011-10-14,al,0.0,0.0,374.127034541,118.215296682,265.0
2011-10-15,al,0.0,0.0,249.961296001,90.7406682476,167.0
2011-10-16,al,0.0,0.0,253.195491686,96.7641213562,173.0
2011-10-17,al,0.0,0.0,338.532924824,126.106405603,220.0
2011-10-18,al,0.0,0.0,357.69412438,143.511303114,216.0
2011-10-19,al,0.0,0.0,371.885752968,140.381070457,209.0
2011-10-20,al,0.0,0.0,417.788774333,142.442083977,229.0
