date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,am,0.0,0.0,209.539425428,59.7501611151,129.0
2011-09-09,am,0.0,0.0,222.967538065,45.6542047489,121.0
2011-09-11,am,0.0,0.0,230.590813354,69.697378518,115.0
2011-09-12,am,0.0,0.0,192.706678026,63.7151187793,113.0
2011-09-13,am,0.0,0.0,209.022565683,66.4140031667,111.0
2011-09-14,am,0.0,0.0,211.041170112,72.255736869,117.0
2011-09-15,am,0.0,0.0,232.197868644,64.7246777063,107.0
2011-09-16,am,0.0,0.0,231.001969912,48.1453346235,101.0
2011-09-17,am,0.0,0.0,224.479188166,43.7525511931,110.0
2011-09-18,am,0.0,0.0,224.908381723,39.5039359384,108.0
2011-09-19,am,0.0,0.0,234.891047096,40.0182982884,107.0
2011-09-20,am,0.0,0.0,214.686006056,40.8731801795,104.0
2011-09-21,am,0.0,0.0,225.182479037,42.7948380446,109.0
2011-09-22,am,0.0,0.0,194.612134539,44.1825998737,115.0
2011-09-23,am,0.0,0.0,183.21269753,43.6143138873,105.0
2011-09-24,am,0.0,0.0,193.198401625,50.3426354199,108.0
2011-09-25,am,0.0,0.0,189.97008219,47.5880614331,94.0
2011-09-26,am,0.0,0.0,173.848735798,48.5816940978,101.0
2011-09-27,am,0.0,0.0,172.273647113,49.4142290867,111.0
2011-09-28,am,0.0,0.0,176.316508553,54.0979762154,103.0
2011-09-29,am,0.0,0.0,180.085891183,56.4305823398,88.0
2011-09-30,am,0.0,0.0,181.725128767,49.0303770023,94.0
2011-10-01,am,0.0,0.0,197.717861609,51.5627158198,93.0
2011-10-02,am,0.0,0.0,159.057943219,41.4289586027,97.0
2011-10-03,am,0.0,0.0,186.709073854,46.7426518769,98.0
2011-10-04,am,0.0,0.0,199.31544042,49.5270450054,91.0
2011-10-05,am,0.0,0.0,198.699147596,47.5272869924,106.0
2011-10-06,am,0.0,0.0,153.149349154,44.4471983283,104.0
2011-10-07,am,0.0,0.0,156.428944234,47.7714403643,100.0
2011-10-08,am,0.0,0.0,162.366518908,43.6697203176,98.0
2011-10-09,am,0.0,0.0,183.359349106,49.5333643284,99.0
2011-10-10,am,0.0,0.0,168.541872704,46.1873705385,110.0
2011-10-11,am,0.0,0.0,164.724171999,42.0049355837,102.0
2011-10-12,am,0.0,0.0,176.964086273,47.9231587008,100.0
2011-10-13,am,0.0,0.0,190.014942854,54.4506991455,109.0
2011-10-14,am,0.0,0.0,195.128668112,48.6722008276,110.0
2011-10-15,am,0.0,0.0,157.363920072,46.8363354886,103.0
2011-10-16,am,0.0,0.0,156.487351428,49.3763791367,111.0
2011-10-17,am,0.0,0.0,178.419776319,52.8101282657,104.0
2011-10-18,am,0.0,0.0,163.602544506,50.0747960256,94.0
2011-10-19,am,0.0,0.0,162.598823241,49.8525385168,113.0
2011-10-20,am,0.0,0.0,197.642053714,46.2600102334,112.0
2011-10-21,am,0.0,0.0,170.241959176,45.7003059563,96.0
2011-10-22,am,0.0,0.0,170.318430555,45.3790128379,86.0
2011-10-23,am,0.0,0.0,165.622267328,53.3659261927,80.0
2011-10-24,am,0.0,0.0,175.688249846,43.4834218191,103.0
2011-10-25,am,0.0,0.0,143.365463102,40.8550840426,97.0
2011-10-26,am,0.0,0.0,196.183908067,43.0098628198,95.0
2011-10-27,am,0.0,0.0,181.43269804,38.1958626495,97.0
2011-10-28,am,0.0,0.0,167.176866168,33.0263539045,89.0
2011-10-29,am,0.0,0.0,148.899372657,34.2795495645,93.0
2011-10-30,am,0.0,0.0,137.733973259,28.2417045194,90.0
2011-10-31,am,0.0,0.0,169.813082597,41.8792279595,99.0
2011-11-01,am,0.0,0.0,151.52029176,49.6095980425,92.0
2011-11-02,am,0.0,0.0,159.285580828,36.0723714377,108.0
2011-11-03,am,0.0,0.0,165.20600517,39.4388227225,107.0
2011-11-04,am,0.0,0.0,174.047739154,32.7395049073,109.0
2011-11-05,am,0.0,0.0,191.022784521,37.0074555179,121.0
2011-11-06,am,0.0,0.0,176.462282385,41.3775555807,122.0
2011-11-07,am,0.0,0.0,164.302585347,49.3200766248,113.0
2011-11-08,am,0.0,0.0,173.001524072,39.1058484492,103.0
2011-11-09,am,0.0,0.0,245.110737928,35.2790700695,119.0
2011-11-10,am,0.0,0.0,217.391798458,47.1395532491,106.0
2011-11-11,am,0.0,0.0,167.697148669,55.7034836706,98.0
2011-11-12,am,0.0,0.0,171.548118744,56.4615517643,96.0
2011-11-13,am,0.0,0.0,183.905987542,55.5800690928,95.0
2011-11-14,am,0.0,0.0,182.486948755,51.8062187517,105.0
2011-11-15,am,0.0,0.0,177.499208057,41.8142097245,99.0
2011-11-16,am,0.0,0.0,208.92918525,41.531875144,99.0
2011-11-17,am,0.0,0.0,167.95286237,43.7527489483,100.0
2011-11-18,am,0.0,0.0,152.662168746,49.7964178694,97.0
2011-11-19,am,0.0,0.0,158.480581259,48.1052782926,95.0
2011-11-20,am,0.0,0.0,161.639855775,45.242255273,100.0
2011-11-21,am,0.0,0.0,181.01392533,51.6046535583,90.0
2011-11-22,am,0.0,0.0,176.442494665,43.1286309605,94.0
2011-11-23,am,0.0,0.0,212.678696781,39.9982164702,117.0
2011-11-24,am,0.0,0.0,311.861929438,44.4150672151,144.0
2011-11-25,am,0.0,0.0,287.065841657,16.6672747134,127.0
2011-11-26,am,0.0,0.0,263.698551773,21.714679466,162.0
2011-11-27,am,0.0,0.0,191.942085999,43.7494694628,166.0
2011-11-28,am,0.0,1.0,154.697303736,42.2346143734,159.0
2011-11-29,am,0.0,0.0,160.5363979,35.8699459624,107.0
2011-11-30,am,0.0,0.0,184.183881221,31.058877389,73.0
2011-12-01,am,0.0,0.0,206.460822029,25.4611042281,89.0
2011-12-02,am,0.0,0.0,254.707093848,14.8757147477,106.0
2011-12-03,am,0.0,0.0,285.967677455,33.9982125532,121.0
2011-12-04,am,0.0,0.0,238.876589788,71.9400629137,102.0
2011-12-05,am,0.0,0.0,291.618158111,89.3791476726,106.0
2011-12-06,am,0.0,0.0,195.606436694,54.0781105795,88.0
2011-12-07,am,0.0,0.0,146.408199671,33.8720567604,87.0
2011-12-08,am,0.0,0.0,156.389884542,35.4938572293,90.0
2011-12-09,am,0.0,0.0,190.623866154,45.9167036862,92.0
2011-12-10,am,0.0,0.0,204.695083479,59.8619659836,86.0
2011-12-11,am,0.0,0.0,197.212410526,55.1921929639,82.0
2011-12-12,am,0.0,0.0,164.831114588,50.211468671,90.0
2011-12-13,am,0.0,0.0,155.475424931,42.349546684,83.0
2011-12-14,am,0.0,0.0,157.939476673,38.3134792877,80.0
2011-12-15,am,0.0,0.0,159.969819618,39.7586556209,78.0
2011-12-16,am,0.0,0.0,165.428137314,45.6508796791,87.0
2011-12-17,am,0.0,0.0,160.722491352,40.6786384663,82.0
2011-12-18,am,0.0,0.0,148.115232134,38.990943295,78.0
2011-12-19,am,0.0,0.0,153.371679536,42.982256317,99.0
2011-12-20,am,0.0,0.0,145.239950222,39.0235401325,97.0
2011-12-21,am,0.0,0.0,143.241935936,36.663402901,93.0
2011-12-22,am,0.0,0.0,140.347327315,36.2187893537,99.0
2011-12-23,am,0.0,0.0,139.509786708,42.3351022607,99.0
2011-12-24,am,0.0,0.0,133.132454259,37.1073009791,94.0
2011-12-25,am,0.0,0.0,155.089661268,36.533218927,109.0
2011-12-26,am,0.0,0.0,160.394813358,44.2145641317,105.0
2011-12-27,am,0.0,0.0,173.393036187,45.6931477309,99.0
2011-12-28,am,0.0,0.0,170.137107316,40.8041492104,106.0
2011-12-29,am,0.0,0.0,174.648560478,46.7079283903,100.0
2011-12-30,am,0.0,0.0,182.164231146,46.9270601789,92.0
2011-12-31,am,0.0,0.0,164.496931022,43.7723470053,79.0
2012-01-01,am,0.0,0.0,166.54444763,41.45326886,65.0
2012-01-02,am,0.0,0.0,209.1337377,46.2700614097,78.0
2012-01-03,am,0.0,0.0,177.037864995,45.9245769375,91.0
2012-01-04,am,0.0,0.0,195.238029996,53.3546727991,82.0
2012-01-05,am,0.0,0.0,227.034411815,44.5918668677,86.0
2012-01-06,am,0.0,0.0,248.246951466,28.327019112,102.0
2012-01-07,am,0.0,0.0,257.387563537,32.9777417638,100.0
2012-01-09,am,0.0,0.0,267.947543056,27.8189064747,109.0
2012-01-10,am,0.0,0.0,254.772070289,34.020530843,98.0
2012-01-11,am,0.0,0.0,159.090991256,34.772508105,102.0
2012-01-12,am,0.0,0.0,174.889645291,29.4524756561,102.0
2012-01-13,am,0.0,0.0,204.970330992,29.5682954982,97.0
2012-01-14,am,0.0,0.0,179.049510591,26.3781427841,105.0
2012-01-16,am,0.0,0.0,186.139410871,26.384254446,102.0
2012-01-17,am,0.0,0.0,192.22700338,22.4842378399,97.0
2012-01-18,am,0.0,0.0,171.654568117,51.4852771893,93.0
2012-01-19,am,0.0,0.0,178.7326406,43.2906064001,104.0
2012-01-20,am,0.0,0.0,184.826676501,42.4706309801,102.0
2012-01-21,am,0.0,0.0,192.129883716,41.10685938,106.0
2012-01-22,am,0.0,0.0,178.914963323,36.6353546411,117.0
2012-01-23,am,0.0,0.0,188.073356021,33.5309026421,103.0
2012-01-24,am,0.0,0.0,179.978792069,37.8185933141,107.0
2012-01-25,am,0.0,0.0,178.622145517,39.9210703841,119.0
2012-01-26,am,0.0,0.0,182.816586256,41.8765835397,109.0
2012-01-27,am,0.0,0.0,179.477271955,38.9272483549,108.0
2012-01-28,am,0.0,0.0,183.693243927,41.1443386258,96.0
2012-01-29,am,0.0,0.0,212.860893792,48.1934370072,103.0
2012-01-30,am,0.0,0.0,186.016218494,49.6925433557,103.0
2012-01-31,am,0.0,0.0,192.424850762,53.7793928059,108.0
2012-02-01,am,0.0,0.0,226.034121404,56.7644201415,107.0
2012-02-02,am,0.0,0.0,207.157525006,52.3635846631,100.0
2012-02-03,am,0.0,0.0,213.352848581,51.690057782,109.0
2012-02-04,am,0.0,0.0,179.440271123,47.7800974055,98.0
2012-02-05,am,0.0,0.0,180.075472965,48.5048307731,101.0
2012-02-06,am,0.0,0.0,180.009489071,49.3393084522,108.0
2012-02-07,am,0.0,0.0,183.668375764,46.4837133584,113.0
2012-02-08,am,0.0,0.0,203.40624936,55.1319463711,139.0
2012-02-09,am,0.0,0.0,200.833135475,50.808458501,149.0
