date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,an,0.0,0.0,172.525097176,41.4468151954,99.0
2011-09-09,an,0.0,0.0,205.918525554,39.461147633,97.0
2011-09-11,an,0.0,0.0,186.136100068,47.6793651382,96.0
2011-09-12,an,0.0,0.0,183.499680643,50.1186398264,91.0
2011-09-13,an,0.0,0.0,197.802516382,60.7846031318,81.0
2011-09-14,an,0.0,0.0,179.671495069,55.8495410823,88.0
2011-09-15,an,0.0,0.0,186.244901778,45.8144704091,88.0
2011-09-16,an,0.0,0.0,191.727375216,36.3348821637,80.0
2011-09-17,an,0.0,0.0,204.753584937,38.0707657326,82.0
2011-09-18,an,0.0,0.0,193.373179906,31.458796108,79.0
2011-09-19,an,0.0,0.0,195.505567157,29.9755241376,80.0
2011-09-20,an,0.0,0.0,165.115832815,27.1762107981,81.0
2011-09-21,an,0.0,0.0,177.364097993,29.1623164227,76.0
2011-09-22,an,0.0,0.0,166.138783408,33.2928108229,89.0
2011-09-23,an,0.0,0.0,153.291342887,31.2954822989,97.0
2011-09-24,an,0.0,0.0,152.440484481,34.3025817086,105.0
2011-09-25,an,0.0,0.0,146.577824014,30.990659873,95.0
2011-09-26,an,0.0,0.0,134.279346287,33.5968235434,89.0
2011-09-27,an,0.0,0.0,139.255194513,36.203749683,80.0
2011-09-28,an,0.0,0.0,127.893248313,34.7343082155,76.0
2011-09-29,an,0.0,0.0,143.047784,41.4989728326,70.0
2011-09-30,an,0.0,0.0,170.51025393,44.777531417,71.0
2011-10-01,an,0.0,0.0,191.85908114,49.5639512237,82.0
2011-10-02,an,0.0,0.0,160.303330969,41.9620808572,74.0
2011-10-03,an,0.0,0.0,167.78254495,39.8139923037,76.0
2011-10-04,an,0.0,0.0,149.823846073,33.5551884793,68.0
2011-10-05,an,0.0,0.0,148.075825986,35.6581163687,79.0
2011-10-06,an,0.0,0.0,125.072394819,33.8123515886,73.0
2011-10-07,an,0.0,0.0,123.323669191,33.5518236408,63.0
2011-10-08,an,0.0,0.0,146.882459257,37.9221346833,74.0
2011-10-09,an,0.0,0.0,146.151088549,34.6278599676,80.0
2011-10-10,an,0.0,0.0,135.665687809,33.7128555537,72.0
2011-10-11,an,0.0,0.0,128.029739341,29.1766302706,64.0
2011-10-12,an,0.0,0.0,137.655982628,32.8461458052,78.0
2011-10-13,an,0.0,0.0,141.168123445,34.3526973134,83.0
2011-10-14,an,0.0,0.0,133.61679805,26.9351308897,72.0
2011-10-15,an,0.0,0.0,123.834036551,32.7261426467,74.0
2011-10-16,an,0.0,0.0,130.571666116,37.9315355716,80.0
2011-10-17,an,0.0,0.0,125.470244865,31.164226672,79.0
2011-10-18,an,0.0,0.0,111.128271652,27.6558240375,74.0
2011-10-19,an,0.0,0.0,137.330359756,34.7258437447,66.0
2011-10-20,an,0.0,0.0,150.657164078,34.9257032828,79.0
2011-10-21,an,0.0,0.0,119.615231182,27.0394407961,78.0
2011-10-22,an,0.0,0.0,128.861336192,29.7792967651,66.0
2011-10-23,an,0.0,0.0,126.688284475,34.766117263,65.0
2011-10-24,an,0.0,0.0,139.078810701,30.6806874912,66.0
2011-10-25,an,0.0,0.0,117.303749379,29.9796344657,62.0
2011-10-26,an,0.0,0.0,123.94162194,21.5446010277,63.0
2011-10-27,an,0.0,0.0,135.49908664,24.5502150117,68.0
2011-10-28,an,0.0,0.0,140.06402105,25.0640042105,70.0
2011-10-29,an,0.0,0.0,120.453779311,23.8300367917,69.0
2011-10-30,an,0.0,0.0,117.033709776,21.2985359108,73.0
2011-10-31,an,0.0,0.0,117.174050477,23.6603534933,65.0
2011-11-01,an,0.0,0.0,114.081237921,24.161353778,68.0
2011-11-02,an,0.0,0.0,122.105496243,18.9025071551,63.0
2011-11-03,an,0.0,0.0,122.738780432,25.069967114,68.0
2011-11-04,an,0.0,0.0,142.139717202,24.0677678844,70.0
2011-11-05,an,0.0,0.0,148.882956569,24.8916826088,75.0
2011-11-06,an,0.0,0.0,149.236568804,30.7160313373,71.0
2011-11-07,an,0.0,0.0,118.24545068,26.875209496,66.0
2011-11-08,an,0.0,0.0,133.132209319,26.6161225923,66.0
2011-11-09,an,0.0,0.0,153.652396952,18.3223605151,75.0
2011-11-10,an,0.0,0.0,153.295907091,25.2198891367,70.0
2011-11-11,an,0.0,0.0,111.369933159,33.3524526911,66.0
2011-11-12,an,0.0,0.0,113.327491428,31.0360036412,72.0
2011-11-13,an,0.0,0.0,115.755288437,28.083191312,73.0
2011-11-14,an,0.0,0.0,116.131048507,25.7569076545,66.0
2011-11-15,an,0.0,0.0,121.470287359,24.0320013901,75.0
2011-11-16,an,0.0,0.0,140.02035205,23.3147789117,67.0
2011-11-17,an,0.0,0.0,118.274143482,25.4080074742,59.0
2011-11-18,an,0.0,0.0,109.242854497,29.9306998722,60.0
2011-11-19,an,0.0,0.0,124.384296697,33.3400428283,64.0
2011-11-20,an,0.0,0.0,130.68715384,31.5085034978,70.0
2011-11-21,an,0.0,0.0,122.695501832,28.182406337,59.0
2011-11-22,an,0.0,0.0,139.094532191,30.0743049037,59.0
2011-11-23,an,0.0,0.0,151.111614066,24.4228424688,68.0
2011-11-24,an,0.0,0.0,201.122735689,22.3210344899,93.0
2011-11-25,an,0.0,0.0,191.248218141,8.49503155761,63.0
2011-11-26,an,0.0,0.0,190.161707703,13.2305992253,73.0
2011-11-27,an,0.0,0.0,142.566594813,27.1864947647,55.0
2011-11-28,an,0.0,0.0,109.680100752,24.0727098727,55.0
2011-11-29,an,0.0,0.0,108.295948316,19.9490481418,49.0
2011-11-30,an,0.0,0.0,111.722341398,18.6062232608,47.0
2011-12-01,an,0.0,0.0,141.753418472,14.7341426688,58.0
2011-12-02,an,0.0,0.0,141.726512323,6.21419941727,63.0
2011-12-03,an,0.0,0.0,144.320533303,12.4706313805,60.0
2011-12-04,an,0.0,0.0,94.1283746553,17.9627418384,56.0
2011-12-05,an,0.0,0.0,120.967950397,23.1555073187,59.0
2011-12-06,an,0.0,0.0,101.649404183,19.2005910634,52.0
2011-12-07,an,0.0,0.0,102.785782562,18.8978951722,46.0
2011-12-08,an,0.0,0.0,109.629985267,20.3182336059,46.0
2011-12-09,an,0.0,0.0,120.657020706,24.6339551408,53.0
2011-12-10,an,0.0,0.0,115.208098523,23.7403275054,55.0
2011-12-11,an,0.0,0.0,122.189023012,24.0157621491,52.0
2011-12-12,an,0.0,0.0,102.154880348,23.5552423055,42.0
2011-12-13,an,0.0,0.0,100.950369343,20.800021206,43.0
2011-12-14,an,0.0,0.0,92.9803552328,16.0121994752,49.0
2011-12-15,an,0.0,0.0,92.1157099745,16.0162746259,50.0
2011-12-16,an,0.0,0.0,104.293204497,21.7312161015,40.0
2011-12-17,an,0.0,0.0,111.602964554,22.5705602995,42.0
2011-12-18,an,0.0,0.0,101.911531601,20.6581377266,52.0
2011-12-19,an,0.0,0.0,83.3590860764,14.5709344084,48.0
2011-12-20,an,0.0,0.0,84.2306858611,16.0896222395,50.0
2011-12-21,an,0.0,0.0,97.1057359156,18.4737697332,47.0
2011-12-22,an,0.0,0.0,98.5864980453,19.6196847317,48.0
2011-12-23,an,0.0,0.0,75.5397622732,14.3592313564,52.0
2011-12-24,an,0.0,0.0,76.8095248734,14.5187097256,63.0
2011-12-25,an,0.0,0.0,110.553417874,20.987982897,69.0
2011-12-26,an,0.0,0.0,88.4636350239,17.1242488079,58.0
2011-12-27,an,0.0,0.0,99.4665667727,18.8549501181,55.0
2011-12-28,an,0.0,0.0,97.6432236532,16.4905083927,53.0
