date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,ao,0.0,0.0,143.961339366,31.7948171362,93.0
2011-09-09,ao,0.0,0.0,151.864912596,25.1564816161,110.0
2011-09-11,ao,0.0,0.0,197.610243223,51.7661678643,142.0
2011-09-12,ao,0.0,0.0,169.01286375,44.7004084938,105.0
2011-09-13,ao,0.0,0.0,169.368404652,47.8678749663,84.0
2011-09-14,ao,0.0,0.0,271.93523578,99.1132700897,101.0
2011-09-15,ao,0.0,0.0,176.797696615,42.2352149084,104.0
2011-09-16,ao,0.0,0.0,212.873776894,42.102323777,185.0
2011-09-17,ao,0.0,0.0,259.448035707,52.7552039437,193.0
2011-09-18,ao,0.0,0.0,269.290057944,50.7399937226,130.0
2011-09-19,ao,0.0,0.0,219.754319672,35.6605373362,197.0
2011-09-20,ao,0.0,0.0,169.349572118,28.26325923,142.0
2011-09-21,ao,0.0,0.0,198.647789752,34.9947797072,175.0
2011-09-22,ao,0.0,0.0,191.391878486,41.1620206538,171.0
2011-09-23,ao,0.0,0.0,317.246431366,87.4996137744,145.0
2011-09-24,ao,0.0,0.0,319.0915226,96.8543483536,130.0
2011-09-25,ao,0.0,0.0,223.72404718,58.1074872619,164.0
2011-09-26,ao,0.0,0.0,293.079268852,100.79047063,189.0
2011-09-27,ao,0.0,0.0,223.760483491,72.407499366,139.0
2011-09-28,ao,0.0,0.0,262.762491989,96.6519880778,114.0
2011-09-29,ao,0.0,0.0,252.036571809,92.631635787,98.0
2011-09-30,ao,0.0,0.0,240.72035849,72.4969556275,103.0
2011-10-01,ao,0.0,0.0,230.230897368,64.6486320309,89.0
2011-10-02,ao,0.0,0.0,257.931675394,81.8604528198,106.0
2011-10-03,ao,0.0,0.0,322.249014904,99.5349807592,111.0
2011-10-04,ao,0.0,0.0,241.02096977,66.4255771938,113.0
2011-10-05,ao,0.0,0.0,209.998444125,59.6885860954,162.0
2011-10-06,ao,0.0,0.0,166.35842806,51.9555646361,166.0
2011-10-07,ao,0.0,0.0,169.570045138,53.5231472365,108.0
2011-10-08,ao,0.0,0.0,156.840592088,41.6399910248,106.0
2011-10-09,ao,0.0,0.0,197.574619705,55.0897772212,117.0
2011-10-10,ao,0.0,0.0,187.465314063,54.2337241515,110.0
2011-10-11,ao,0.0,0.0,196.481283147,55.4355975141,107.0
2011-10-12,ao,0.0,0.0,254.784318723,80.0624804002,115.0
2011-10-13,ao,0.0,0.0,284.974903403,95.8679925024,118.0
2011-10-14,ao,0.0,0.0,209.567399047,53.8702617793,96.0
2011-10-15,ao,0.0,0.0,167.405271634,52.064317847,111.0
2011-10-16,ao,0.0,0.0,180.529520978,61.1549246971,91.0
2011-10-17,ao,0.0,0.0,178.735914854,52.9067103967,121.0
2011-10-18,ao,0.0,1.0,171.32275213,53.0692839639,203.0
2011-10-19,ao,0.0,1.0,190.804128157,56.8912759222,194.0
2011-10-20,ao,0.0,0.0,202.564254222,54.7854169142,138.0
2011-10-21,ao,0.0,1.0,152.340152921,38.9871006828,158.0
2011-10-22,ao,0.0,0.0,181.360399085,50.0833627412,141.0
2011-10-23,ao,0.0,0.0,142.111206063,41.1517306379,109.0
2011-10-24,ao,0.0,0.0,200.078289079,52.4128411308,108.0
2011-10-25,ao,0.0,0.0,280.225623516,103.566009972,115.0
2011-10-26,ao,0.0,0.0,313.648186133,81.6426986311,105.0
2011-10-27,ao,0.0,0.0,218.700280191,49.6118928361,92.0
2011-10-28,ao,0.0,0.0,256.57745449,60.2602654422,77.0
2011-10-29,ao,0.0,0.0,229.845476849,62.0835169048,75.0
2011-10-30,ao,0.0,0.0,180.979963572,41.4457996102,103.0
2011-10-31,ao,0.0,0.0,178.152382867,44.830143461,114.0
2011-11-01,ao,0.0,0.0,192.588756491,53.1549783116,95.0
2011-11-02,ao,0.0,0.0,186.371546898,36.2298053806,90.0
2011-11-03,ao,0.0,0.0,157.980608476,36.9782014931,119.0
2011-11-04,ao,0.0,0.0,154.559692491,27.5898802577,143.0
2011-11-05,ao,0.0,0.0,159.100414372,28.0031429349,106.0
2011-11-06,ao,0.0,0.0,199.447003168,47.8598627813,94.0
2011-11-07,ao,0.0,0.0,190.1679413,55.9294900323,118.0
2011-11-08,ao,0.0,0.0,175.312711282,40.5895869532,164.0
2011-11-09,ao,0.0,0.0,205.40899382,29.0104041489,142.0
2011-11-10,ao,0.0,0.0,245.88056385,51.0702755019,142.0
2011-11-11,ao,0.0,0.0,205.439682526,82.160920044,101.0
2011-11-12,ao,0.0,0.0,151.796456408,48.2782278863,123.0
2011-11-13,ao,0.0,0.0,146.920173785,40.1188447314,86.0
2011-11-14,ao,0.0,0.0,189.601711848,54.2250687463,105.0
2011-11-15,ao,0.0,0.0,265.251443825,75.2581096164,133.0
2011-11-16,ao,0.0,0.0,241.502992527,51.8106198038,159.0
2011-11-17,ao,0.0,0.0,215.87901917,61.9707499371,164.0
2011-11-18,ao,0.0,1.0,156.06122071,51.9848997781,178.0
2011-11-19,ao,0.0,0.0,194.790502375,65.1293859902,147.0
2011-11-20,ao,0.0,0.0,150.229158153,39.5688183461,133.0
2011-11-21,ao,0.0,0.0,181.539262915,51.1733167699,167.0
2011-11-22,ao,0.0,0.0,227.145199358,61.4852455808,165.0
2011-11-23,ao,0.0,0.0,317.487027533,71.3898472166,163.0
2011-11-24,ao,0.0,0.0,478.225171527,80.4910031606,159.0
2011-11-25,ao,0.0,0.0,483.374617279,33.7227010317,104.0
2011-11-26,ao,0.0,0.0,384.285117651,37.188711336,168.0
2011-11-27,ao,0.0,0.0,246.377222105,61.0038419111,102.0
2011-11-28,ao,0.0,0.0,264.45090959,88.2666028665,150.0
2011-11-29,ao,0.0,0.0,258.706987644,71.9374766324,137.0
2011-11-30,ao,0.0,0.0,235.612462553,54.8883586193,128.0
2011-12-01,ao,0.0,0.0,225.074130093,28.4693604109,111.0
2011-12-02,ao,0.0,0.0,214.827555521,11.7379322326,119.0
2011-12-03,ao,0.0,0.0,294.036226729,35.3817913586,106.0
2011-12-04,ao,0.0,0.0,157.249755307,40.1167901058,121.0
2011-12-05,ao,0.0,0.0,281.784166806,82.5879761032,141.0
2011-12-06,ao,0.0,0.0,241.582350202,73.7302696833,134.0
2011-12-07,ao,0.0,0.0,235.722061343,69.292282298,115.0
2011-12-08,ao,0.0,0.0,189.360883642,46.9859152137,126.0
2011-12-09,ao,0.0,0.0,205.751972152,55.4263990668,100.0
2011-12-10,ao,0.0,0.0,184.839366861,50.358270466,94.0
2011-12-11,ao,0.0,0.0,233.011625279,65.6430832077,95.0
2011-12-12,ao,0.0,0.0,212.255140279,70.6657269164,119.0
2011-12-13,ao,0.0,0.0,223.08785324,71.6445174874,101.0
2011-12-14,ao,0.0,0.0,199.971448925,53.6060591126,88.0
2011-12-15,ao,0.0,0.0,214.516036927,59.8869399054,93.0
2011-12-16,ao,0.0,0.0,176.789700306,50.4474659499,78.0
2011-12-17,ao,0.0,0.0,173.312839072,45.141120599,68.0
2011-12-18,ao,0.0,0.0,167.336218554,46.6720889379,71.0
2011-12-19,ao,0.0,0.0,198.590763888,59.0122843541,83.0
2011-12-20,ao,0.0,0.0,170.902840878,50.5673841812,86.0
2011-12-21,ao,0.0,0.0,157.639181681,40.6422934131,92.0
2011-12-22,ao,0.0,0.0,165.574759538,44.5215922759,90.0
2011-12-23,ao,0.0,0.0,129.333229346,35.5202038817,84.0
2011-12-24,ao,0.0,0.0,114.084735474,29.0374194513,68.0
2011-12-25,ao,0.0,0.0,141.945129122,32.6479733953,93.0
2011-12-26,ao,0.0,0.0,138.515428524,34.9334675681,82.0
2011-12-27,ao,0.0,0.0,156.851124526,39.1602810145,76.0
2011-12-28,ao,0.0,0.0,169.248254332,40.5391664653,75.0
2011-12-29,ao,0.0,0.0,161.062541326,41.3538494623,76.0
2011-12-30,ao,0.0,0.0,159.077882275,37.7333325157,80.0
2011-12-31,ao,0.0,0.0,126.873512431,28.6236582972,71.0
2012-01-01,ao,0.0,0.0,146.986696763,33.0619081502,77.0
2012-01-02,ao,0.0,0.0,172.991054168,32.618445157,98.0
2012-01-03,ao,0.0,1.0,143.494190774,31.7012162171,146.0
2012-01-04,ao,0.0,0.0,145.768973281,34.2073998567,133.0
2012-01-05,ao,0.0,0.0,170.455098434,34.223767653,137.0
2012-01-06,ao,0.0,0.0,216.723339555,24.0733465651,114.0
2012-01-07,ao,0.0,0.0,235.233329243,28.1424921941,107.0
2012-01-09,ao,0.0,0.0,327.272677389,36.9213320775,76.0
