date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2012-02-06,aq,0.0,0.0,7.56496538969,0.0,1.0
2012-02-07,aq,0.0,0.0,7.42760257706,0.0,0.0
2012-02-09,aq,0.0,0.0,8.73710529932,0.0,0.0
2012-02-13,aq,0.0,0.0,8.9659577344,0.0,0.0
2012-02-18,aq,0.0,0.0,7.30277326837,0.0,1.0
2012-02-19,aq,0.0,0.0,13.5516123694,0.0,0.0
2012-02-21,aq,0.0,0.0,7.88514130449,0.0,0.0
2012-07-10,aq,0.0,0.0,10.4963657104,0.0,5.0
2012-07-11,aq,0.0,0.0,10.6941082753,0.0,3.0
2012-07-12,aq,0.0,0.0,15.5997424554,0.0,5.0
2012-07-13,aq,0.0,0.0,15.4627408788,0.0,4.0
2012-07-14,aq,0.0,0.0,15.3905321571,0.0,3.0
2012-07-15,aq,0.0,0.0,13.3398950132,0.0,4.0
2012-07-16,aq,0.0,0.0,15.4182625233,0.0,4.0
2012-07-17,aq,0.0,0.0,16.919312222,0.0,3.0
2012-07-18,aq,0.0,0.0,12.4722392958,0.0,3.0
2012-07-19,aq,0.0,0.0,17.4876376411,0.0,3.0
2012-07-20,aq,0.0,0.0,15.498152843,0.0,4.0
2012-07-21,aq,0.0,0.0,12.8820302308,0.0,4.0
2012-07-22,aq,0.0,0.0,15.6334604329,0.0,3.0
2012-07-23,aq,0.0,0.0,15.8662199585,0.0,4.0
2012-07-24,aq,0.0,0.0,12.9825305153,0.0,4.0
2012-07-25,aq,0.0,0.0,13.3051370303,0.0,4.0
2012-07-26,aq,0.0,0.0,12.5646689655,0.0,4.0
2012-07-27,aq,0.0,0.0,15.9302848128,0.0,4.0
2012-07-28,aq,0.0,0.0,16.0760807827,0.0,3.0
2012-07-29,aq,0.0,0.0,13.719013994,0.0,1.0
2012-07-31,aq,0.0,0.0,15.6229041029,0.0,0.0
2012-08-01,aq,0.0,0.0,15.6504647,0.0,1.0
2013-01-24,aq,0.0,1.0,6.08854412262,0.0,8.0
2013-01-25,aq,0.0,0.0,18.4865113337,0.0,8.0
2013-01-26,aq,0.0,0.0,25.9226507965,0.0,6.0
2013-01-27,aq,0.0,0.0,25.543152833,0.0,7.0
2013-01-28,aq,0.0,0.0,23.5034121009,0.0,9.0
2013-01-29,aq,0.0,0.0,20.9517776593,0.0,10.0
2013-01-30,aq,0.0,0.0,24.1650139974,0.0,5.0
