date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,ar,0.0,0.0,6316.61541124,3088.83866983,5038.0
2011-09-09,ar,0.0,0.0,6673.6512557,2291.52567707,5023.0
2011-09-11,ar,0.0,0.0,6995.98207578,3455.06587736,5032.0
2011-09-12,ar,0.0,0.0,6778.65589132,3564.45713173,4804.0
2011-09-13,ar,0.0,0.0,6856.26404015,3911.93787016,4999.0
2011-09-14,ar,0.0,0.0,6690.2736441,4068.71521754,5337.0
2011-09-15,ar,0.0,0.0,7040.91883174,3485.62307104,5557.0
2011-09-16,ar,0.0,0.0,7425.33212342,2759.05097212,5440.0
2011-09-17,ar,0.0,0.0,7589.35427767,2676.08702292,5212.0
2011-09-18,ar,0.0,0.0,7546.84148439,2418.56358367,4991.0
2011-09-19,ar,0.0,0.0,7438.91112183,2489.85410757,5150.0
2011-09-20,ar,0.0,0.0,7421.73610497,2584.05524797,5008.0
2011-09-21,ar,0.0,0.0,7726.75556518,2848.75374528,4818.0
2011-09-22,ar,0.0,0.0,7701.26619679,3232.28479846,4692.0
2011-09-23,ar,0.0,0.0,7591.61297189,3328.81218784,4684.0
2011-09-24,ar,0.0,0.0,7037.14431047,3392.69370904,4608.0
2011-09-25,ar,0.0,0.0,6707.17142738,3125.94168125,4717.0
2011-09-26,ar,0.0,0.0,6336.20009094,3396.43101984,4645.0
2011-09-27,ar,0.0,0.0,6271.49138237,3511.07311732,4725.0
2011-09-28,ar,0.0,0.0,5866.53126643,3554.71576344,4662.0
2011-09-29,ar,0.0,0.0,5622.83375707,3317.14655562,4768.0
2011-09-30,ar,0.0,0.0,6128.25475619,3181.91070598,5042.0
2011-10-01,ar,0.0,0.0,6327.29176177,3196.18665381,4895.0
2011-10-02,ar,0.0,0.0,5944.83478473,3092.41328849,4560.0
2011-10-03,ar,0.0,0.0,6445.49656893,3126.05004131,4965.0
2011-10-04,ar,0.0,0.0,6393.38662713,3063.85682817,5158.0
2011-10-05,ar,0.0,0.0,6297.09476625,3564.89397829,5213.0
2011-10-06,ar,0.0,0.0,6294.96835582,3535.14114055,4828.0
2011-10-07,ar,0.0,0.0,6237.83260155,3841.6317021,4807.0
2011-10-08,ar,0.0,0.0,6403.36738883,3439.15215561,4915.0
2011-10-09,ar,0.0,0.0,6506.70125758,3407.81027341,4893.0
2011-10-10,ar,0.0,0.0,6413.5133386,3514.86485931,4570.0
2011-10-11,ar,0.0,0.0,6820.10681806,3696.64173905,4825.0
2011-10-12,ar,0.0,0.0,6612.43500108,3450.33312954,5078.0
2011-10-13,ar,0.0,0.0,6675.79609136,3741.41689694,5382.0
2011-10-14,ar,0.0,0.0,7080.94126335,3492.67254591,5209.0
2011-10-15,ar,0.0,0.0,5925.48754621,3500.9266426,4828.0
2011-10-16,ar,0.0,0.0,5836.77378757,3592.05133434,4810.0
2011-10-17,ar,0.0,0.0,5706.70289013,3131.261548,5043.0
2011-10-18,ar,0.0,1.0,5887.24380728,3415.44343081,6150.0
2011-10-19,ar,0.0,0.0,6498.07399143,3550.73067801,5882.0
2011-10-20,ar,0.0,0.0,7094.48255872,3529.68362105,5764.0
2011-10-21,ar,0.0,0.0,6074.47845416,3150.06405912,5414.0
2011-10-22,ar,0.0,0.0,5941.14314626,3168.99917123,5495.0
2011-10-23,ar,0.0,1.0,5550.42072771,3245.17785008,5698.0
2011-10-24,ar,0.0,0.0,6426.64338354,3073.8301434,5575.0
2011-10-25,ar,0.0,0.0,6758.48172649,4148.61469416,4966.0
2011-10-26,ar,0.0,0.0,7759.42464415,3169.80325364,4998.0
2011-10-27,ar,0.0,0.0,7067.35387209,2906.21860286,4808.0
2011-10-28,ar,0.0,0.0,7006.77854783,2789.85962771,4513.0
2011-10-29,ar,0.0,0.0,7063.46462808,3271.6232787,4463.0
2011-10-30,ar,0.0,0.0,7182.07709566,3114.56137775,4161.0
2011-10-31,ar,0.0,0.0,6997.25083664,3294.70653414,4381.0
2011-11-01,ar,0.0,0.0,6412.86540785,3243.56924357,4735.0
