date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,at,0.0,0.0,9608.16889622,4052.75530307,6828.0
2011-09-09,at,0.0,0.0,11934.7089324,4145.50353828,7268.0
2011-09-11,at,0.0,0.0,10225.6873308,4976.8078412,6581.0
2011-09-12,at,0.0,0.0,9739.28634548,4857.31995192,6920.0
2011-09-13,at,0.0,0.0,9197.98180665,5312.03988817,7449.0
2011-09-14,at,0.0,0.0,8482.40568586,5153.40150683,7588.0
2011-09-15,at,0.0,0.0,9698.30625604,4473.65837367,7247.0
2011-09-16,at,0.0,0.0,10726.173716,3887.74026954,6794.0
2011-09-17,at,0.0,0.0,9200.03662777,3219.46723003,6383.0
2011-09-18,at,0.0,0.0,9851.59295583,3112.70167859,6716.0
2011-09-19,at,0.0,0.0,10623.7250814,3623.40806662,6739.0
2011-09-20,at,0.0,0.0,10993.7681295,3824.30110862,6193.0
2011-09-21,at,0.0,0.0,10897.5030292,4083.89028455,5756.0
2011-09-22,at,0.0,0.0,9983.35228642,4240.89695158,5813.0
2011-09-23,at,0.0,0.0,9439.56839058,4190.04503702,5815.0
2011-09-24,at,0.0,0.0,8576.79414035,4182.02082389,5663.0
2011-09-25,at,0.0,0.0,8982.3230012,4238.41317697,5922.0
2011-09-26,at,0.0,0.0,8286.94841823,4453.13999611,5901.0
2011-09-27,at,0.0,0.0,7711.92888015,4352.87079517,5894.0
2011-09-28,at,0.0,0.0,6981.03998848,4268.09641349,5649.0
2011-09-29,at,0.0,0.0,7021.68484166,4025.8051519,5556.0
2011-09-30,at,0.0,0.0,7588.07810527,3943.76201745,5614.0
2011-10-01,at,0.0,0.0,7764.35916695,3952.08975782,5553.0
2011-10-02,at,0.0,0.0,7433.97221398,3904.03065988,5371.0
2011-10-03,at,0.0,0.0,8153.68412053,3999.63778289,5509.0
2011-10-04,at,0.0,0.0,7996.49321219,3817.13566506,5486.0
2011-10-05,at,0.0,0.0,7921.5644259,4139.10581832,5742.0
2011-10-06,at,0.0,0.0,7322.09291769,4124.99805542,5504.0
2011-10-07,at,0.0,0.0,6979.34236707,4261.03079733,5674.0
2011-10-08,at,0.0,0.0,7262.4730897,3867.65309603,5939.0
2011-10-09,at,0.0,0.0,7653.03197422,3993.53590649,6237.0
2011-10-10,at,0.0,0.0,7143.5382625,3839.61602524,6172.0
2011-10-11,at,0.0,0.0,7252.12390976,3923.72568013,6618.0
2011-10-12,at,0.0,0.0,7266.47886656,3806.49026421,6368.0
2011-10-13,at,0.0,0.0,7602.95715472,4240.49560271,6302.0
2011-10-14,at,0.0,0.0,8323.28321262,4141.17445661,6232.0
2011-10-15,at,0.0,0.0,7134.60351709,4260.89272445,5682.0
2011-10-16,at,0.0,0.0,7424.28398576,4607.20153128,5977.0
2011-10-17,at,0.0,0.0,7908.68564562,4095.94323215,5988.0
2011-10-18,at,0.0,0.0,8124.55452563,4657.8411595,5947.0
