date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,au,0.0,0.0,12466.7158134,6278.36814961,8422.0
2011-09-09,au,0.0,0.0,14062.1993055,4992.84617219,8856.0
2011-09-11,au,0.0,0.0,12939.738276,6569.02652478,9325.0
2011-09-12,au,0.0,0.0,11545.9576657,6219.63515822,8558.0
2011-09-13,au,0.0,0.0,10876.9653364,6339.87807039,8584.0
2011-09-14,au,0.0,0.0,10605.340311,6589.50605702,8424.0
2011-09-15,au,0.0,0.0,11635.3042157,5899.13971592,8423.0
2011-09-16,au,0.0,0.0,12927.2940428,4929.44260202,8374.0
2011-09-17,au,0.0,0.0,13592.7692402,4922.88735871,8171.0
2011-09-18,au,0.0,0.0,13797.4153677,4547.10235185,8583.0
2011-09-19,au,0.0,0.0,13079.7915934,4497.94224886,8518.0
2011-09-20,au,0.0,0.0,12591.8550824,4495.09990582,8166.0
2011-09-21,au,0.0,0.0,12072.7973694,4545.52477414,7829.0
2011-09-22,au,0.0,0.0,11567.7346609,4946.95007777,7772.0
2011-09-23,au,0.0,0.0,11576.0144617,5176.1483633,7662.0
2011-09-24,au,0.0,0.0,10920.857366,5375.76639663,7612.0
2011-09-25,au,0.0,0.0,11395.5557166,5446.27598207,7847.0
2011-09-26,au,0.0,0.0,10363.118916,5685.2848412,7434.0
2011-09-27,au,0.0,0.0,10114.3111541,5792.86384134,7428.0
2011-09-28,au,0.0,0.0,9427.11601694,5845.56721993,7489.0
2011-09-29,au,0.0,0.0,9205.13216806,5564.19762404,7338.0
2011-09-30,au,0.0,0.0,9909.88777615,5268.96269658,7505.0
2011-10-01,au,0.0,0.0,10329.5022202,5346.53526991,7995.0
2011-10-02,au,0.0,0.0,9773.42788026,5209.44174046,7674.0
2011-10-03,au,0.0,0.0,10201.5337452,5061.86755664,7792.0
2011-10-04,au,0.0,0.0,9944.84040676,4871.20349917,7726.0
2011-10-05,au,0.0,0.0,10003.9043125,5795.17572117,8050.0
2011-10-06,au,0.0,0.0,9590.84198075,5500.50101683,7704.0
2011-10-07,au,0.0,0.0,9200.45053458,5774.50288276,7775.0
2011-10-08,au,0.0,0.0,10343.2325672,5684.94743859,8109.0
2011-10-09,au,0.0,0.0,10817.9147025,5810.11494074,8235.0
2011-10-10,au,0.0,0.0,9961.8579721,5577.46674593,7726.0
2011-10-11,au,0.0,0.0,10122.7124414,5591.4256102,7703.0
2011-10-12,au,0.0,0.0,10111.5754776,5382.99395468,7448.0
2011-10-13,au,0.0,0.0,10537.7618396,6039.29499112,7807.0
2011-10-14,au,0.0,0.0,11326.4316044,5716.74748286,8034.0
2011-10-15,au,0.0,0.0,9665.25064027,5846.90841341,7202.0
2011-10-16,au,0.0,0.0,9709.08539833,6122.37444256,7606.0
2011-10-17,au,0.0,0.0,9528.91620647,5363.2184024,7139.0
2011-10-18,au,0.0,0.0,9299.18235202,5515.98972991,7030.0
2011-10-19,au,0.0,0.0,9447.43367398,5257.1462105,7102.0
2011-10-20,au,0.0,0.0,10205.9217011,5166.41815087,7407.0
2011-10-21,au,0.0,0.0,9276.88142023,4908.95072778,6843.0
2011-10-22,au,0.0,0.0,8779.20936527,4774.98584658,6636.0
2011-10-23,au,0.0,0.0,8683.61680715,5190.57432148,6748.0
2011-10-24,au,0.0,0.0,9024.41635417,4389.25714055,6266.0
2011-10-25,au,0.0,0.0,7702.40375533,4757.45575849,6158.0
2011-10-26,au,0.0,0.0,9330.42827205,3844.63902402,6652.0
2011-10-27,au,0.0,0.0,9031.67626941,3756.78039308,6355.0
2011-10-28,au,0.0,0.0,8808.34568587,3546.5880315,6293.0
2011-10-29,au,0.0,0.0,8492.5529159,3969.68654866,6283.0
2011-10-30,au,0.0,0.0,8472.95368449,3704.25319793,5708.0
2011-10-31,au,0.0,0.0,7843.37442201,3714.39457161,5624.0
2011-11-01,au,0.0,0.0,7911.24428517,4044.46755658,5687.0
2011-11-02,au,0.0,0.0,8350.04601277,3751.81728551,5576.0
2011-11-03,au,0.0,0.0,7937.41077303,3898.92153938,5584.0
2011-11-04,au,0.0,0.0,9098.25315191,3520.89455093,5697.0
2011-11-05,au,0.0,0.0,9503.34096092,3881.46291648,6152.0
2011-11-06,au,0.0,0.0,8286.54671597,3998.03993704,5980.0
2011-11-07,au,0.0,0.0,7018.11599191,4145.99764034,5444.0
2011-11-08,au,0.0,0.0,7903.85818309,3650.88133342,5451.0
2011-11-09,au,0.0,0.0,9622.933321,2682.31561921,5708.0
2011-11-10,au,0.0,0.0,9014.25211026,3323.68811451,5961.0
2011-11-11,au,0.0,0.0,6520.40325223,4373.50077406,5257.0
2011-11-12,au,0.0,0.0,6667.82392769,4062.03928177,5126.0
2011-11-13,au,0.0,0.0,6963.90185333,3813.70893398,5173.0
2011-11-14,au,0.0,0.0,6716.6579864,3528.10266589,4842.0
2011-11-15,au,0.0,0.0,7040.54183876,3274.41915925,5050.0
2011-11-16,au,0.0,0.0,7664.12192773,2768.39656816,5163.0
2011-11-17,au,0.0,0.0,7162.1639852,3498.59790259,5073.0
2011-11-18,au,0.0,0.0,6148.80662302,3938.52807462,4900.0
2011-11-19,au,0.0,0.0,6320.91424824,3772.78514734,4881.0
2011-11-20,au,0.0,0.0,6638.07879418,3592.1178307,4973.0
2011-11-21,au,0.0,0.0,6360.95807863,3413.38282502,5226.0
2011-11-22,au,0.0,0.0,6759.73992511,3240.89958704,5468.0
2011-11-23,au,0.0,0.0,8362.6636525,3080.00684687,6013.0
2011-11-24,au,0.0,0.0,11905.3875279,3442.99062281,7646.0
2011-11-25,au,0.0,0.0,10806.0113351,1372.95528041,6217.0
2011-11-26,au,0.0,0.0,10186.3338857,1714.21960493,5997.0
2011-11-27,au,0.0,0.0,7252.03487836,3129.94425772,5473.0
2011-11-28,au,0.0,0.0,6743.22343009,3589.26938666,5053.0
2011-11-29,au,0.0,0.0,6788.15151802,3210.7991334,4460.0
2011-11-30,au,0.0,0.0,7274.79866985,2271.42039277,4435.0
2011-12-01,au,0.0,0.0,8190.74198327,2092.29443452,5031.0
2011-12-02,au,0.0,0.0,9299.8051495,1267.93800088,5043.0
2011-12-03,au,0.0,0.0,8386.35116872,1689.58837464,5085.0
2011-12-04,au,0.0,0.0,6339.26513594,3146.37461892,5108.0
2011-12-05,au,0.0,0.0,7536.90895906,3775.11479996,5964.0
2011-12-06,au,0.0,0.0,6085.63054733,3408.01710808,5245.0
2011-12-07,au,0.0,0.0,6290.3381738,3473.71923034,5412.0
2011-12-08,au,0.0,0.0,6459.94124146,3183.66084293,5270.0
2011-12-09,au,0.0,0.0,6808.64062274,3206.44856474,5122.0
2011-12-10,au,0.0,0.0,6620.01146436,3550.90512759,5051.0
2011-12-11,au,0.0,0.0,7359.8204265,4054.0594489,5145.0
2011-12-12,au,0.0,0.0,6995.45165933,4116.41369575,5220.0
2011-12-13,au,0.0,0.0,6720.40396617,3934.47894404,5026.0
2011-12-14,au,0.0,0.0,7158.56947626,3610.42779136,4662.0
2011-12-15,au,0.0,0.0,6950.79289102,3486.18080995,4430.0
2011-12-16,au,0.0,0.0,6855.66687578,3775.6127052,4932.0
2011-12-17,au,0.0,0.0,6969.64564099,3637.37661912,5052.0
2011-12-18,au,0.0,0.0,6788.64954805,3772.90630512,5273.0
2011-12-19,au,0.0,0.0,6714.96966474,3635.62684986,4979.0
2011-12-20,au,0.0,0.0,6450.169995,3677.71569981,4605.0
2011-12-21,au,0.0,0.0,6199.52827416,3283.06878133,4512.0
2011-12-22,au,0.0,0.0,5925.08376641,3173.52417821,4476.0
2011-12-23,au,0.0,0.0,5917.38161781,3585.25122188,4645.0
2011-12-24,au,0.0,0.0,5902.06025952,3610.33826137,4566.0
2011-12-25,au,0.0,0.0,7456.54098454,4053.86096169,5310.0
2011-12-26,au,0.0,0.0,5888.93980224,3470.49708429,4594.0
2011-12-27,au,0.0,0.0,5787.80813573,3534.91054364,4958.0
2011-12-28,au,0.0,0.0,5861.78920238,3237.23723155,4873.0
2011-12-29,au,0.0,0.0,5836.82994768,3209.16012527,4818.0
2011-12-30,au,0.0,0.0,6474.15516335,3175.43737619,4955.0
2011-12-31,au,0.0,0.0,6044.90452639,3075.61595708,4566.0
2012-01-01,au,0.0,0.0,6250.70197948,2828.25673438,4533.0
2012-01-02,au,0.0,0.0,7067.96071555,2764.24078287,4596.0
2012-01-03,au,0.0,0.0,6750.29630851,3256.68228569,4582.0
2012-01-04,au,0.0,0.0,6769.97566236,3564.01720299,4592.0
2012-01-05,au,0.0,0.0,7806.68801977,3466.32473373,4931.0
2012-01-06,au,0.0,0.0,9851.25613044,2353.77013791,5080.0
2012-01-07,au,0.0,0.0,9922.71802332,3784.06946234,6927.0
2012-01-09,au,0.0,0.0,11172.21695,2917.46588006,5947.0
2012-01-10,au,0.0,0.0,9149.79153521,2925.56378137,5918.0
2012-01-11,au,0.0,0.0,6532.69554808,2981.57066111,5207.0
2012-01-12,au,0.0,0.0,7390.36407459,2534.36496575,5616.0
2012-01-13,au,0.0,0.0,7737.36894278,2120.93194884,5714.0
2012-01-14,au,0.0,0.0,9594.03891867,2587.32358388,5834.0
2012-01-16,au,0.0,0.0,7697.62097868,2102.89463279,5866.0
2012-01-17,au,0.0,0.0,8513.6808898,2151.82483685,5808.0
2012-01-18,au,0.0,0.0,6596.33533064,3801.51250451,4987.0
2012-01-19,au,0.0,0.0,7641.7239972,3129.35037653,4818.0
2012-01-20,au,0.0,0.0,8104.43709648,3640.65273774,5104.0
2012-01-21,au,0.0,0.0,8099.39823499,3202.84684802,5336.0
2012-01-22,au,0.0,0.0,8522.39704054,3244.72831886,5485.0
2012-01-23,au,0.0,0.0,8424.93371377,2371.48959273,5001.0
2012-01-24,au,0.0,0.0,8153.8513548,3135.38391607,5207.0
2012-01-25,au,0.0,0.0,7224.72199213,3172.34015041,5189.0
2012-01-26,au,0.0,0.0,6445.12707662,2805.36269175,4905.0
2012-01-27,au,0.0,0.0,6774.38915273,2815.17165102,5073.0
2012-01-28,au,0.0,0.0,7026.996978,2984.76401319,5083.0
2012-01-29,au,0.0,0.0,7737.68853911,3139.00471532,5378.0
2012-01-30,au,0.0,0.0,7204.94929337,3214.10316377,5335.0
2012-01-31,au,0.0,0.0,7484.48294637,3346.34942237,5358.0
2012-02-01,au,0.0,0.0,7769.87366249,3227.6425563,5307.0
2012-02-02,au,0.0,0.0,7105.64083825,3424.44451437,5153.0
2012-02-03,au,0.0,0.0,7565.71395659,3572.91835575,5497.0
2012-02-04,au,0.0,0.0,7084.66033681,3789.96840164,5311.0
2012-02-05,au,0.0,0.0,7042.82542919,3820.10446095,5316.0
2012-02-06,au,0.0,0.0,7070.51728161,3748.23277121,5180.0
2012-02-07,au,0.0,0.0,6973.28735041,3311.66260564,4915.0
2012-02-08,au,0.0,0.0,7569.08756212,4115.28476796,5554.0
2012-02-09,au,0.0,0.0,7855.47405546,3849.65763043,5696.0
2012-02-10,au,0.0,0.0,7635.57710144,3504.08251749,5149.0
2012-02-11,au,0.0,0.0,6916.0940179,4210.29263491,5343.0
2012-02-12,au,0.0,0.0,6795.2712524,4287.61533755,5513.0
2012-02-13,au,0.0,0.0,8068.45914261,3518.61696808,5324.0
2012-02-14,au,0.0,0.0,7870.59265859,3262.68769268,5285.0
2012-02-15,au,0.0,0.0,7232.78765245,3546.19860091,5418.0
2012-02-16,au,0.0,0.0,7065.22274957,3787.52996719,5441.0
2012-02-17,au,0.0,0.0,6909.98440357,3800.83590063,5365.0
2012-02-18,au,0.0,0.0,6770.01332816,3948.23919444,5325.0
2012-02-19,au,0.0,0.0,7115.38729006,3969.16816023,5335.0
2012-02-20,au,0.0,0.0,7049.57647121,3391.67955092,5268.0
2012-02-21,au,0.0,0.0,7254.00803588,2965.73401739,4911.0
2012-02-22,au,0.0,0.0,7334.94496254,3665.32995547,4859.0
2012-02-23,au,0.0,0.0,7334.74435915,3344.64955434,4657.0
2012-02-24,au,0.0,0.0,6982.11508596,3429.27759094,4610.0
2012-02-25,au,0.0,0.0,7321.5728136,3995.88067825,5078.0
2012-02-26,au,0.0,0.0,7472.15400797,3673.6139558,4951.0
2012-02-27,au,0.0,0.0,7106.89773827,3277.32340355,4786.0
2012-02-28,au,0.0,0.0,6642.2896897,3218.96865233,4800.0
2012-02-29,au,0.0,0.0,5921.84974136,3411.21452376,4835.0
2012-03-01,au,0.0,0.0,5976.97394493,3723.89699443,5158.0
2012-03-02,au,0.0,0.0,5655.16444753,3563.81833981,4982.0
2012-03-03,au,0.0,0.0,6115.47513807,3507.69866245,5012.0
2012-03-04,au,0.0,0.0,6131.31297905,3670.39082893,5096.0
2012-03-05,au,0.0,0.0,6464.11223123,3354.38334479,5146.0
2012-03-06,au,0.0,0.0,6238.71159653,3394.95961115,5058.0
2012-03-07,au,0.0,0.0,6473.45057275,3407.38071348,4922.0
2012-03-08,au,0.0,0.0,6069.17943988,3772.01813999,4761.0
2012-03-09,au,0.0,0.0,6375.2330883,3744.12199183,4836.0
2012-03-10,au,0.0,0.0,6141.17868107,4077.76086104,4905.0
2012-03-11,au,0.0,0.0,6708.31221178,3736.78253919,5025.0
2012-03-12,au,0.0,0.0,6278.57144078,3866.37462003,4870.0
2012-03-13,au,0.0,0.0,5905.63730098,3918.0283175,4772.0
2012-03-14,au,0.0,0.0,5744.90993817,3786.69328162,4721.0
2012-03-15,au,0.0,0.0,5788.29303946,3699.60734503,4792.0
2012-03-16,au,0.0,0.0,5683.156281,3717.28366839,4769.0
2012-03-17,au,0.0,0.0,5960.38986102,3594.14057216,5015.0
2012-03-18,au,0.0,0.0,6150.56094617,3326.03928537,5092.0
2012-03-19,au,0.0,0.0,5980.22123319,3632.96697602,5086.0
2012-03-20,au,0.0,0.0,6050.60080296,3623.72653302,5069.0
2012-03-21,au,0.0,0.0,5851.8658459,3589.64977349,4899.0
2012-03-22,au,0.0,0.0,5982.0480284,3931.90769485,5133.0
2012-03-23,au,0.0,0.0,5651.33964577,3854.1542993,4904.0
2012-03-24,au,0.0,0.0,6153.92040962,3929.32841237,4788.0
2012-03-25,au,0.0,0.0,6375.10578165,4026.1559943,4916.0
2012-03-26,au,0.0,0.0,6174.99398978,4038.68081871,4928.0
2012-03-27,au,0.0,0.0,6158.75797135,4040.5251687,4880.0
2012-03-28,au,0.0,0.0,5935.23713885,3938.38992372,4919.0
2012-03-29,au,0.0,0.0,6275.31284733,3682.44439057,5120.0
2012-03-30,au,0.0,0.0,6614.39884271,3537.27823417,5185.0
2012-03-31,au,0.0,0.0,6436.60296644,3211.41979962,5121.0
2012-04-01,au,0.0,0.0,6704.60873982,3479.63391373,5271.0
2012-04-02,au,0.0,0.0,5886.81822575,3815.25433176,5267.0
2012-04-03,au,0.0,0.0,6018.05831949,3614.92860166,5201.0
2012-04-04,au,0.0,0.0,6418.75743841,3586.67956606,4924.0
2012-04-05,au,0.0,0.0,6866.46571308,3333.63118689,4724.0
2012-04-06,au,0.0,0.0,7419.64522263,3001.7215609,4703.0
2012-04-07,au,0.0,0.0,6955.00591449,3412.00958883,4632.0
2012-04-08,au,0.0,0.0,6896.25127612,3582.01765968,4698.0
2012-04-09,au,0.0,0.0,6950.26593424,3925.59974972,4905.0
2012-04-10,au,0.0,0.0,7075.92342801,3732.86056583,4976.0
2012-04-11,au,0.0,0.0,6638.99951155,3524.91486289,4699.0
2012-04-12,au,0.0,0.0,6500.83736264,3226.56410957,4790.0
2012-04-13,au,0.0,0.0,7414.68044926,2460.73974302,5201.0
2012-04-14,au,0.0,0.0,6934.31319895,2832.14483411,5298.0
2012-04-15,au,0.0,0.0,6755.56967628,2853.77618527,5305.0
2012-04-16,au,0.0,0.0,6405.57642668,3380.39771068,5261.0
2012-04-17,au,0.0,0.0,6153.07954625,3954.81451831,5241.0
2012-04-18,au,0.0,0.0,6608.93459803,3368.69615914,5287.0
2012-04-19,au,0.0,0.0,6563.16214167,3700.79110997,5404.0
2012-04-20,au,0.0,0.0,6909.5676127,3735.07872171,5190.0
2012-04-21,au,0.0,0.0,7194.47870698,3731.3269597,5145.0
2012-04-22,au,0.0,0.0,7307.81213733,3886.66857752,5238.0
2012-04-23,au,0.0,0.0,6697.00901571,3984.7270433,4880.0
2012-04-24,au,0.0,0.0,6665.41169636,3760.04769439,4903.0
2012-04-25,au,0.0,0.0,7351.09114118,3248.42115865,5146.0
2012-04-26,au,0.0,0.0,7209.95607153,3238.73654925,4985.0
2012-04-27,au,0.0,0.0,6860.7269379,3904.64606982,5190.0
2012-04-28,au,0.0,0.0,6607.96165391,3717.01123377,5151.0
2012-04-29,au,0.0,0.0,7082.06647691,3591.3300293,5272.0
2012-04-30,au,0.0,0.0,6759.45002506,3200.83989149,5205.0
2012-05-01,au,0.0,0.0,6817.65673391,3127.97291317,5291.0
2012-05-02,au,0.0,0.0,6640.42664069,3884.17731979,5285.0
2012-05-03,au,0.0,0.0,6906.86967245,3814.32850034,5376.0
2012-05-04,au,0.0,0.0,7873.06358994,4330.88790879,5994.0
2012-05-05,au,0.0,0.0,8496.83095289,3819.14578399,5982.0
2012-05-06,au,0.0,0.0,8097.32612276,4116.00773022,5938.0
2012-05-07,au,0.0,0.0,7710.3930233,4116.25193459,5494.0
2012-05-08,au,0.0,0.0,7759.77230812,4068.09088428,5398.0
2012-05-09,au,0.0,0.0,7082.72110081,4259.2838801,5626.0
2012-05-10,au,0.0,0.0,7370.87314098,4314.02275444,5835.0
2012-05-11,au,0.0,0.0,6995.25920985,4395.23910718,5603.0
2012-05-12,au,0.0,0.0,7209.10634581,4268.3008134,5570.0
2012-05-13,au,0.0,0.0,7356.51485582,4265.43564555,5594.0
2012-05-14,au,0.0,0.0,7357.68665557,4039.28029012,5618.0
2012-05-15,au,0.0,0.0,6913.81099944,4380.91121719,5539.0
2012-05-16,au,0.0,0.0,7896.89340025,4282.24304016,5764.0
2012-05-17,au,0.0,0.0,7877.00806127,4438.86617762,5906.0
2012-05-18,au,0.0,0.0,7827.23582646,4185.18556449,5780.0
2012-05-19,au,0.0,0.0,7902.64396126,3885.74979174,5653.0
2012-05-20,au,0.0,0.0,8049.67987748,3756.28557517,5842.0
2012-05-21,au,0.0,0.0,7687.2750502,4197.37848364,6052.0
2012-05-22,au,0.0,0.0,7213.19802659,4439.19932368,6065.0
2012-05-23,au,0.0,0.0,7550.07919466,4086.81516114,6219.0
2012-05-24,au,0.0,0.0,7547.6391012,4211.91164518,6342.0
2012-05-25,au,0.0,0.0,7267.95093108,4272.52340166,6171.0
2012-05-26,au,0.0,0.0,7072.37724329,4165.04436558,5930.0
2012-05-27,au,0.0,0.0,7386.09232621,4508.80309295,6155.0
2012-05-28,au,0.0,0.0,7459.38510588,4605.83914858,5999.0
2012-05-29,au,0.0,0.0,7858.64563503,4470.16861141,6102.0
2012-05-30,au,0.0,0.0,7577.56494325,4804.15951341,6021.0
2012-05-31,au,0.0,0.0,7758.2993951,4856.05331953,6044.0
2012-06-01,au,0.0,0.0,7609.12802003,4752.29558227,6106.0
2012-06-02,au,0.0,0.0,7778.44175495,4275.55867,6107.0
2012-06-03,au,0.0,0.0,7816.98682795,4358.56855386,6097.0
2012-06-04,au,0.0,0.0,7320.51933749,4850.09653921,6096.0
2012-06-05,au,0.0,0.0,7517.90464487,4712.31175447,5883.0
2012-06-06,au,0.0,0.0,7077.29504131,5075.64816828,5845.0
2012-06-07,au,0.0,0.0,7227.81620647,4769.05821956,5698.0
2012-06-08,au,0.0,0.0,7223.94419021,4787.79991844,5717.0
2012-06-09,au,0.0,0.0,7328.11844617,4947.94352144,5798.0
2012-06-10,au,0.0,0.0,7495.45008008,4777.28574873,5927.0
2012-06-11,au,0.0,0.0,7262.9311178,4282.55436148,5776.0
2012-06-12,au,0.0,0.0,7031.26189988,4032.42230542,5705.0
2012-06-13,au,0.0,0.0,6767.42147842,4249.85164804,5545.0
2012-06-14,au,0.0,0.0,7204.20222454,4364.30385107,5790.0
2012-06-15,au,0.0,0.0,7164.28049554,4468.0732276,5847.0
2012-06-16,au,0.0,0.0,7096.11776067,4479.52022643,6119.0
2012-06-17,au,0.0,0.0,7320.67989355,4463.56921839,6167.0
2012-06-18,au,0.0,0.0,7619.7148367,4568.60211426,5945.0
2012-06-19,au,0.0,0.0,8061.47655246,4283.57471602,5941.0
2012-06-20,au,0.0,0.0,7234.90754591,4369.93556077,5753.0
2012-06-21,au,0.0,0.0,6796.78645993,4553.64489318,5720.0
2012-06-22,au,0.0,0.0,7060.87104016,4894.09644481,6000.0
2012-06-23,au,0.0,0.0,7491.60388881,4873.75639943,5953.0
2012-06-24,au,0.0,0.0,7512.46188243,5010.63517127,6059.0
2012-06-25,au,0.0,0.0,7632.95924513,4758.09150799,6063.0
2012-06-26,au,0.0,0.0,7625.66403609,4527.7368372,5996.0
2012-06-27,au,0.0,0.0,7207.36634032,4583.37026485,5762.0
2012-06-28,au,0.0,0.0,7147.03604599,4814.21064975,5905.0
2012-06-29,au,0.0,0.0,7271.90108864,4631.58692464,5888.0
2012-06-30,au,0.0,0.0,7195.75855656,4722.24189153,5848.0
2012-07-01,au,0.0,0.0,7394.49810065,4752.30073241,5856.0
2012-07-02,au,0.0,0.0,7478.24763319,4395.35897143,5597.0
2012-07-03,au,0.0,0.0,7163.52497589,4711.49717556,5618.0
