date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,aw,0.0,0.0,85.8191409999,13.6211840615,32.0
2011-09-09,aw,0.0,0.0,95.0078871329,10.0699364482,36.0
2011-09-11,aw,0.0,0.0,89.2405923043,15.1717807144,31.0
2011-09-12,aw,0.0,0.0,79.4624587681,15.4125305636,25.0
2011-09-13,aw,0.0,0.0,72.4631258128,12.4252662251,27.0
2011-09-14,aw,0.0,0.0,76.2188735861,13.1966180055,27.0
2011-09-15,aw,0.0,0.0,74.0881152185,9.18402295331,30.0
2011-09-16,aw,0.0,0.0,84.4000192321,9.22636219552,23.0
2011-09-17,aw,0.0,0.0,99.0181295834,12.0094845512,34.0
2011-09-18,aw,0.0,0.0,76.9674687706,6.65881408563,39.0
2011-09-19,aw,0.0,0.0,69.6819273694,4.61777673351,29.0
2011-09-20,aw,0.0,0.0,67.8092024094,5.37563268622,29.0
2011-09-21,aw,0.0,0.0,68.0590635711,5.33933737849,43.0
2011-09-22,aw,0.0,0.0,69.107638158,7.28431986101,31.0
2011-09-23,aw,0.0,0.0,57.4729804222,5.07147450794,27.0
2011-09-24,aw,0.0,0.0,74.8999814931,10.0708097483,40.0
2011-09-25,aw,0.0,0.0,81.9270896905,11.6442296513,37.0
2011-09-26,aw,0.0,0.0,58.7437598592,7.72092638903,31.0
2011-09-27,aw,0.0,0.0,59.9558908838,8.12095235184,36.0
2011-09-28,aw,0.0,0.0,79.5010672605,16.1557342446,32.0
2011-09-29,aw,0.0,0.0,60.6967043281,9.79668893698,21.0
2011-09-30,aw,0.0,0.0,60.0978080441,7.09874786031,31.0
2011-10-01,aw,0.0,0.0,87.1616123381,13.6390424107,45.0
2011-10-02,aw,0.0,0.0,74.8085079448,11.7045912979,31.0
2011-10-03,aw,0.0,0.0,71.2668610736,9.37514847062,37.0
2011-10-04,aw,0.0,0.0,77.1279190451,11.2103148687,36.0
2011-10-05,aw,0.0,0.0,71.4726494777,10.3924047174,32.0
2011-10-06,aw,0.0,0.0,48.7210286655,4.83915319217,40.0
2011-10-07,aw,0.0,0.0,63.472843881,10.4167768727,30.0
2011-10-08,aw,0.0,0.0,89.2690651573,16.3161202653,26.0
2011-10-09,aw,0.0,0.0,73.194602912,10.1947268712,36.0
2011-10-10,aw,0.0,0.0,76.270917007,12.5506191628,30.0
2011-10-11,aw,0.0,0.0,74.9513043477,12.0078061282,22.0
2011-10-12,aw,0.0,0.0,66.2815836152,8.99465732529,27.0
2011-10-13,aw,0.0,0.0,87.7281838625,15.1572784658,31.0
2011-10-14,aw,0.0,0.0,72.3455803754,9.06118144678,28.0
2011-10-15,aw,0.0,0.0,53.8206710292,6.68631174392,33.0
2011-10-16,aw,0.0,0.0,67.7414872621,12.3427968641,36.0
2011-10-17,aw,0.0,0.0,61.5357544841,8.6185189305,29.0
2011-10-18,aw,0.0,0.0,47.501005875,5.21781919839,21.0
2011-10-19,aw,0.0,0.0,58.3279762284,7.37672857728,19.0
2011-10-20,aw,0.0,0.0,67.6633689311,8.92647635407,29.0
2011-10-21,aw,0.0,0.0,55.2982028448,7.09288130464,25.0
2011-10-22,aw,0.0,0.0,65.3437167633,9.73453224874,33.0
2011-10-23,aw,0.0,0.0,65.77414762,11.3945623857,38.0
2011-10-24,aw,0.0,0.0,61.6801012546,7.07309540963,27.0
2011-10-25,aw,0.0,0.0,41.9798984242,4.25407538458,24.0
2011-10-26,aw,0.0,0.0,44.8732747318,3.1394514908,17.0
2011-10-27,aw,0.0,0.0,60.454838244,5.77569144632,16.0
2011-10-28,aw,0.0,0.0,57.6103540487,4.74958391047,14.0
2011-10-29,aw,0.0,0.0,69.0152214818,8.72152702316,20.0
2011-10-30,aw,0.0,0.0,75.799182597,9.83123805674,24.0
2011-10-31,aw,0.0,0.0,57.7060252707,6.22325695179,17.0
2011-11-01,aw,0.0,0.0,54.1605971855,5.51978503964,18.0
2011-11-02,aw,0.0,0.0,40.8135500714,2.37764924405,33.0
2011-11-03,aw,0.0,1.0,39.2722258574,2.58403324677,45.0
2011-11-04,aw,0.0,0.0,41.739893552,1.72021012306,31.0
2011-11-05,aw,0.0,0.0,56.2769185497,3.92906437487,20.0
2011-11-06,aw,0.0,0.0,61.080334221,5.86171827085,11.0
2011-11-07,aw,0.0,0.0,41.4185306875,2.93162489328,16.0
2011-11-08,aw,0.0,0.0,48.8535537822,3.13679500829,22.0
2011-11-09,aw,0.0,0.0,92.7804825998,6.65552013404,22.0
2011-11-10,aw,0.0,0.0,110.403304061,13.6877491759,30.0
2011-11-11,aw,0.0,0.0,60.1961813337,10.060243639,21.0
2011-11-12,aw,0.0,0.0,40.2703460281,4.1560633757,30.0
2011-11-13,aw,0.0,0.0,27.6547795963,0.670436984229,26.0
2011-11-14,aw,0.0,0.0,38.8468033054,2.71628982102,22.0
2011-11-15,aw,0.0,0.0,52.4192937882,4.16429530347,22.0
2011-11-16,aw,0.0,0.0,53.4980092346,3.47801563137,23.0
2011-11-17,aw,0.0,0.0,59.8839260773,7.40534960704,19.0
2011-11-18,aw,0.0,0.0,46.6728315943,4.44652908959,14.0
2011-11-19,aw,0.0,0.0,62.1294709564,9.10972090856,10.0
2011-11-20,aw,0.0,0.0,57.3579480788,6.61601977767,27.0
2011-11-21,aw,0.0,0.0,51.2651640772,5.21121676432,19.0
2011-11-22,aw,0.0,0.0,52.2740664675,4.72342696735,11.0
2011-11-23,aw,0.0,0.0,65.9621217365,5.01427517584,29.0
2011-11-24,aw,0.0,0.0,82.8643785218,3.35857032329,34.0
2011-11-25,aw,0.0,0.0,62.7726552397,0.789354726181,25.0
2011-11-26,aw,0.0,0.0,46.3667806389,0.391248072716,38.0
2011-11-27,aw,0.0,0.0,61.0658180919,7.42327632926,34.0
2011-11-28,aw,0.0,0.0,45.0187879689,3.65947945226,34.0
2011-11-29,aw,0.0,0.0,30.05760506,0.601191389718,29.0
2011-11-30,aw,0.0,0.0,59.033533031,4.3249109799,24.0
2011-12-01,aw,0.0,0.0,61.6196281696,4.17274683882,17.0
2011-12-02,aw,0.0,0.0,66.49822376,2.15651472777,18.0
2011-12-03,aw,0.0,0.0,84.3522329732,5.17986870624,22.0
2011-12-04,aw,0.0,0.0,64.2883989914,8.98977407942,26.0
2011-12-05,aw,0.0,0.0,82.6885120961,11.5601712648,20.0
2011-12-06,aw,0.0,0.0,68.5634221116,8.13325442433,21.0
2011-12-07,aw,0.0,0.0,59.9208434078,6.34763901121,19.0
2011-12-08,aw,0.0,0.0,40.8851926708,2.82513456167,20.0
2011-12-09,aw,0.0,0.0,45.4457312886,3.54747967366,25.0
2011-12-10,aw,0.0,0.0,51.5800434335,5.09011217952,30.0
2011-12-11,aw,0.0,0.0,66.4752528961,7.2441867317,22.0
2011-12-12,aw,0.0,0.0,43.7340133268,4.33904436353,22.0
2011-12-13,aw,0.0,0.0,50.1323571483,4.59275851644,20.0
2011-12-14,aw,0.0,0.0,46.7893124064,3.50401469736,22.0
2011-12-15,aw,0.0,0.0,49.0679679744,4.15624100096,22.0
2011-12-16,aw,0.0,0.0,58.6411417621,6.90431782867,23.0
2011-12-17,aw,0.0,0.0,68.2179557697,9.007504018,24.0
2011-12-18,aw,0.0,0.0,51.4795320874,5.37742591847,26.0
2011-12-19,aw,0.0,0.0,50.1495319979,5.12320857758,27.0
2011-12-20,aw,0.0,0.0,47.3815185422,4.63704420705,26.0
2011-12-21,aw,0.0,0.0,51.6263116175,5.19834221506,28.0
2011-12-22,aw,0.0,0.0,51.8131153284,5.29697926416,28.0
2011-12-23,aw,0.0,0.0,49.0008390717,6.12138092629,19.0
