date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,az,0.0,0.0,498.470676379,153.350406449,278.0
2011-09-09,az,0.0,0.0,546.184342575,137.843695688,271.0
2011-09-11,az,0.0,0.0,318.284662701,98.7301960401,187.0
2011-09-12,az,0.0,0.0,401.707636181,137.688847138,252.0
2011-09-13,az,0.0,0.0,460.569230748,189.688282836,285.0
2011-09-14,az,0.0,0.0,443.422926512,191.543763595,276.0
2011-09-15,az,0.0,0.0,464.735987049,149.510581858,275.0
2011-09-16,az,0.0,0.0,472.194809692,118.53889503,215.0
2011-09-17,az,0.0,0.0,306.248369278,66.1202987634,152.0
2011-09-18,az,0.0,0.0,343.410647698,68.3892424209,164.0
2011-09-19,az,0.0,0.0,459.793411294,106.84478648,228.0
2011-09-20,az,0.0,0.0,495.087344999,120.14634619,268.0
2011-09-21,az,0.0,0.0,468.176779116,121.403840003,261.0
2011-09-22,az,0.0,0.0,447.311184919,132.126603424,276.0
2011-09-23,az,0.0,0.0,361.475799273,105.235337602,256.0
2011-09-24,az,0.0,0.0,256.713383429,74.1882800559,176.0
2011-09-25,az,0.0,0.0,273.703135734,78.6482407703,182.0
2011-09-26,az,0.0,0.0,336.370600002,120.392535631,246.0
2011-09-27,az,0.0,0.0,393.44150113,154.142662859,235.0
2011-09-28,az,0.0,0.0,373.323827198,158.221981727,237.0
2011-09-29,az,0.0,0.0,391.436767694,157.189789011,240.0
2011-09-30,az,0.0,0.0,395.510381491,141.815800772,214.0
2011-10-01,az,0.0,0.0,296.469223028,94.6740164827,149.0
2011-10-02,az,0.0,0.0,280.120692121,92.7882420048,148.0
2011-10-03,az,0.0,0.0,403.139011291,135.291290502,236.0
2011-10-04,az,0.0,0.0,380.292624455,122.453113475,216.0
2011-10-05,az,0.0,0.0,395.343630091,140.230316257,224.0
2011-10-06,az,0.0,0.0,376.457219418,144.503813719,229.0
2011-10-07,az,0.0,0.0,319.664535896,129.339889295,211.0
2011-10-08,az,0.0,0.0,244.074884359,77.6754884765,151.0
2011-10-09,az,0.0,0.0,264.318320045,82.2037385182,146.0
2011-10-10,az,0.0,0.0,364.151337038,132.754632391,197.0
2011-10-11,az,0.0,0.0,343.481927024,123.43967227,197.0
2011-10-12,az,0.0,0.0,340.0509526,119.170603292,204.0
