date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,ba,0.0,0.0,424.593046262,149.671195665,238.0
2011-09-09,ba,0.0,0.0,486.474628505,126.427028535,244.0
2011-09-11,ba,0.0,0.0,416.789812372,151.362993751,286.0
2011-09-12,ba,0.0,0.0,393.395289461,163.733037793,264.0
2011-09-13,ba,0.0,0.0,444.936923442,180.157525831,306.0
2011-09-14,ba,0.0,0.0,372.919340369,153.245683689,258.0
2011-09-15,ba,0.0,0.0,398.62871091,133.085573261,239.0
2011-09-16,ba,0.0,0.0,428.198773495,110.381986698,239.0
2011-09-17,ba,0.0,0.0,464.391320519,114.303539992,221.0
2011-09-18,ba,0.0,0.0,502.820649584,115.433579041,224.0
2011-09-19,ba,0.0,0.0,495.544338066,108.470650624,234.0
2011-09-20,ba,0.0,0.0,526.828159597,134.218686265,225.0
2011-09-21,ba,0.0,0.0,453.197442087,108.341362138,244.0
2011-09-22,ba,0.0,0.0,393.169109643,114.501385588,225.0
2011-09-23,ba,0.0,0.0,391.28997544,121.591420534,221.0
2011-09-24,ba,0.0,0.0,355.689772527,115.85702398,220.0
2011-09-25,ba,0.0,0.0,359.540692467,113.021645904,303.0
2011-09-26,ba,0.0,1.0,344.173510736,122.480609064,360.0
2011-09-27,ba,0.0,0.0,338.565570369,124.262252556,282.0
2011-09-28,ba,0.0,0.0,357.334790667,141.255826785,224.0
2011-09-29,ba,0.0,0.0,324.613421686,125.319864677,236.0
2011-09-30,ba,0.0,0.0,348.410936532,119.378309223,223.0
2011-10-01,ba,0.0,0.0,367.569447422,119.596854749,181.0
2011-10-02,ba,0.0,0.0,445.84423478,165.715834411,184.0
2011-10-03,ba,0.0,0.0,577.464492705,206.800823455,226.0
2011-10-04,ba,0.0,0.0,455.016169906,148.581135016,227.0
2011-10-05,ba,0.0,0.0,391.840277077,121.300986204,254.0
2011-10-06,ba,0.0,0.0,361.432464004,146.271689044,237.0
2011-10-07,ba,0.0,0.0,333.004040378,135.352414366,227.0
2011-10-08,ba,0.0,0.0,288.789304622,98.4419119025,212.0
2011-10-09,ba,0.0,0.0,319.530630427,106.929167439,250.0
2011-10-10,ba,0.0,0.0,349.386071883,126.098852899,227.0
2011-10-11,ba,0.0,0.0,363.925496276,125.290583724,234.0
2011-10-12,ba,0.0,0.0,381.806076549,134.869460915,224.0
2011-10-13,ba,0.0,0.0,390.586271421,145.735694772,224.0
2011-10-14,ba,0.0,0.0,400.083959797,129.54293451,209.0
2011-10-15,ba,0.0,0.0,307.835989631,118.949423463,185.0
2011-10-16,ba,0.0,0.0,352.663523871,148.900643334,177.0
2011-10-17,ba,0.0,0.0,336.752557954,125.152769726,193.0
2011-10-18,ba,0.0,0.0,337.574264367,133.78191774,210.0
2011-10-19,ba,0.0,0.0,329.876749309,131.150524406,206.0
2011-10-20,ba,0.0,0.0,371.567060983,109.867524304,204.0
2011-10-21,ba,0.0,0.0,298.769001203,98.2869593855,197.0
2011-10-22,ba,0.0,0.0,283.467038266,92.789921773,199.0
2011-10-23,ba,0.0,0.0,249.523021171,93.7509514196,204.0
2011-10-24,ba,0.0,0.0,301.354150778,92.0825403227,173.0
2011-10-25,ba,0.0,0.0,288.903130191,107.585054645,173.0
2011-10-26,ba,0.0,0.0,330.348387132,87.7174833825,224.0
2011-10-27,ba,0.0,0.0,307.131168577,77.9195598049,198.0
2011-10-28,ba,0.0,0.0,310.825136357,78.3044197413,185.0
2011-10-29,ba,0.0,0.0,307.483257356,94.5861645392,214.0
2011-10-30,ba,0.0,0.0,310.200861513,88.1832814586,186.0
2011-10-31,ba,0.0,0.0,266.0009126,78.7579510879,169.0
2011-11-01,ba,0.0,0.0,249.562833488,99.219196085,184.0
2011-11-02,ba,0.0,0.0,337.733336793,101.120910096,180.0
2011-11-03,ba,0.0,0.0,306.11700958,92.6499327449,188.0
2011-11-04,ba,0.0,0.0,328.756840625,80.0948602196,173.0
2011-11-05,ba,0.0,0.0,393.7110826,101.613691422,192.0
2011-11-06,ba,0.0,0.0,332.082562913,99.4513177993,184.0
2011-11-07,ba,0.0,0.0,260.741059355,94.7870222632,203.0
2011-11-08,ba,0.0,0.0,315.395086192,90.1422947303,238.0
2011-11-09,ba,0.0,0.0,381.648934224,64.6782951275,196.0
2011-11-10,ba,0.0,0.0,353.996104246,92.2872943892,194.0
2011-11-11,ba,0.0,0.0,250.427742012,97.4810964235,165.0
2011-11-12,ba,0.0,0.0,257.322178116,98.4634378328,159.0
2011-11-13,ba,0.0,0.0,264.155873015,91.0709565858,146.0
