date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,bb,0.0,0.0,218.362138078,63.2996756368,120.0
2011-09-09,bb,0.0,0.0,225.501260088,46.1558993066,118.0
2011-09-11,bb,0.0,0.0,219.49285977,64.769281047,110.0
2011-09-12,bb,0.0,0.0,201.828887637,67.4194861501,96.0
2011-09-13,bb,0.0,0.0,190.687252904,58.7802096992,94.0
2011-09-14,bb,0.0,0.0,200.249292095,67.4916223502,98.0
2011-09-15,bb,0.0,0.0,218.776026526,58.9067291484,94.0
2011-09-16,bb,0.0,0.0,225.367775524,46.9710581693,91.0
2011-09-17,bb,0.0,0.0,217.464213536,41.5649236335,93.0
2011-09-18,bb,0.0,0.0,216.313156943,37.4517834221,104.0
2011-09-19,bb,0.0,0.0,204.58252489,32.6465064985,122.0
2011-09-20,bb,0.0,0.0,186.437847364,33.1404163618,115.0
2011-09-21,bb,0.0,0.0,194.025154893,34.1275290736,111.0
2011-09-22,bb,0.0,0.0,173.572984859,37.337408344,104.0
2011-09-23,bb,0.0,0.0,168.817414153,38.3277303858,103.0
2011-09-24,bb,0.0,0.0,167.609209356,40.6878834216,114.0
2011-09-25,bb,0.0,0.0,183.595247217,44.9442802424,105.0
2011-09-26,bb,0.0,0.0,193.817847343,56.7926846496,101.0
2011-09-27,bb,0.0,0.0,187.826129144,55.9543476423,103.0
2011-09-28,bb,0.0,0.0,178.667395334,55.6006977769,103.0
2011-09-29,bb,0.0,0.0,165.174320575,49.8347999884,96.0
2011-09-30,bb,0.0,0.0,179.218575267,47.6092066544,86.0
2011-10-01,bb,0.0,0.0,207.006620209,55.143459974,99.0
2011-10-02,bb,0.0,0.0,174.722740657,47.6433023932,97.0
2011-10-03,bb,0.0,0.0,186.709073854,46.7426518769,94.0
2011-10-04,bb,0.0,0.0,187.51386829,44.8420542617,89.0
2011-10-05,bb,0.0,0.0,198.699147596,47.5272869924,92.0
2011-10-06,bb,0.0,0.0,165.401297087,50.1041144792,89.0
2011-10-07,bb,0.0,0.0,145.7633344,42.9942963279,101.0
2011-10-08,bb,0.0,0.0,171.042592437,47.3705440734,103.0
2011-10-09,bb,0.0,0.0,183.359349106,49.5333643284,101.0
2011-10-10,bb,0.0,0.0,162.390709467,43.9879719414,94.0
2011-10-11,bb,0.0,0.0,160.893377301,40.5564895291,86.0
2011-10-12,bb,0.0,0.0,157.57076175,40.3923766193,93.0
2011-10-13,bb,0.0,0.0,166.263074997,44.8417522374,94.0
2011-10-14,bb,0.0,0.0,196.532471479,49.4210039172,93.0
2011-10-15,bb,0.0,0.0,164.255770587,49.8100710752,105.0
2011-10-16,bb,0.0,0.0,158.755284058,50.9193909847,109.0
2011-10-17,bb,0.0,0.0,155.969605789,43.405584876,83.0
2011-10-18,bb,0.0,0.0,141.712063199,40.3587908266,84.0
2011-10-19,bb,0.0,0.0,153.240617587,45.2507657306,82.0
2011-10-20,bb,0.0,0.0,173.925007268,38.5500085278,87.0
2011-10-21,bb,0.0,0.0,147.693355312,36.9358637181,83.0
2011-10-22,bb,0.0,0.0,172.700506507,46.733610236,87.0
2011-10-23,bb,0.0,0.0,163.443026968,51.9236038632,88.0
2011-10-24,bb,0.0,0.0,145.186817581,32.6125663643,82.0
2011-10-25,bb,0.0,0.0,130.332239184,35.4077395036,72.0
2011-10-26,bb,0.0,0.0,149.352910658,28.8618816291,78.0
2011-10-27,bb,0.0,0.0,147.043493836,28.0102992763,88.0
2011-10-28,bb,0.0,0.0,147.363311659,27.1668395021,86.0
2011-10-29,bb,0.0,0.0,150.109936662,34.914356038,96.0
2011-10-30,bb,0.0,0.0,149.710840498,31.6998724198,100.0
2011-10-31,bb,0.0,0.0,140.125480745,31.8782182975,110.0
2011-11-01,bb,0.0,0.0,118.09669799,33.8605192988,99.0
2011-11-02,bb,0.0,0.0,135.332861906,27.7934665176,98.0
2011-11-03,bb,0.0,0.0,151.843754752,34.4307182498,93.0
2011-11-04,bb,0.0,0.0,169.903745365,31.5702368749,101.0
2011-11-05,bb,0.0,0.0,196.8555413,38.8891905442,102.0
2011-11-06,bb,0.0,0.0,193.13588387,47.1849318026,106.0
2011-11-07,bb,0.0,0.0,179.780365126,56.2557124001,104.0
2011-11-08,bb,0.0,0.0,183.647771707,42.4199034025,91.0
2011-11-09,bb,0.0,0.0,225.370275813,30.8691863108,88.0
2011-11-10,bb,0.0,0.0,192.421118905,39.1723048127,83.0
2011-11-11,bb,0.0,0.0,156.517338758,51.061526698,93.0
2011-11-12,bb,0.0,0.0,148.53556623,46.1332191245,100.0
2011-11-13,bb,0.0,0.0,162.728934431,46.8747570662,91.0
