date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,bd,0.0,1.0,1285.36910148,504.742722037,1496.0
2011-09-09,bd,0.0,0.0,1348.76634238,404.970027584,1183.0
2011-09-11,bd,0.0,0.0,2187.7366282,968.572246092,1565.0
2011-09-12,bd,0.0,0.0,2163.364656,1009.82286461,1531.0
2011-09-13,bd,0.0,0.0,2130.08584829,1085.0051659,1575.0
2011-09-14,bd,0.0,0.0,2275.02960648,1231.83635683,1402.0
2011-09-15,bd,0.0,0.0,2216.04441101,969.262389592,1289.0
2011-09-16,bd,0.0,0.0,1851.0150269,609.618578525,1138.0
2011-09-17,bd,0.0,0.0,2283.14271422,729.870965901,1368.0
2011-09-18,bd,0.0,0.0,2455.12318785,720.507910862,1511.0
2011-09-19,bd,0.0,0.0,2544.6034671,717.345301777,1336.0
2011-09-20,bd,0.0,0.0,2434.4000992,777.239628826,1279.0
2011-09-21,bd,0.0,0.0,2189.38242562,670.733277721,1248.0
2011-09-22,bd,0.0,0.0,1893.98213085,700.964998781,1129.0
2011-09-23,bd,0.0,0.0,1687.53773996,648.263561905,949.0
2011-09-24,bd,0.0,0.0,1948.13771693,829.315357778,1128.0
2011-09-25,bd,0.0,0.0,2131.80730014,883.879445128,1204.0
2011-09-26,bd,0.0,0.0,1721.11092545,824.150651003,1175.0
2011-09-27,bd,0.0,0.0,1682.96448754,831.238092721,1174.0
2011-09-28,bd,0.0,0.0,1605.64159928,844.949802024,1150.0
2011-09-29,bd,0.0,0.0,1425.93664051,745.499404814,1003.0
2011-09-30,bd,0.0,0.0,1336.49949037,594.901488826,898.0
2011-10-01,bd,0.0,0.0,1660.57342642,721.909724345,1095.0
2011-10-02,bd,0.0,0.0,1609.05975071,740.871493167,1180.0
2011-10-03,bd,0.0,0.0,1737.74778698,746.512355694,1215.0
2011-10-04,bd,0.0,0.0,1698.87213287,718.354953364,1163.0
2011-10-05,bd,0.0,0.0,1720.37186918,795.33103031,1063.0
2011-10-06,bd,0.0,0.0,1363.65339205,731.501362416,824.0
2011-10-07,bd,0.0,0.0,1200.03416559,630.29497268,810.0
2011-10-08,bd,0.0,0.0,1518.61525672,724.238415324,979.0
2011-10-09,bd,0.0,0.0,1772.75857407,829.494645588,1137.0
2011-10-10,bd,0.0,0.0,1661.28801344,797.38232266,1117.0
2011-10-11,bd,0.0,0.0,1637.76656661,757.133555522,1078.0
2011-10-12,bd,0.0,0.0,1432.10522277,645.974200835,1066.0
2011-10-13,bd,0.0,0.0,1230.93326331,574.409055077,997.0
