date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,be,0.0,0.0,4422.9009897,1790.70229004,2919.0
2011-09-09,be,0.0,0.0,4762.00438632,1577.4366584,3095.0
2011-09-11,be,0.0,0.0,4639.85490367,2164.67633903,3552.0
2011-09-12,be,0.0,0.0,4088.67983775,1944.11381773,3199.0
2011-09-13,be,0.0,0.0,4026.93467625,2220.19767482,3183.0
2011-09-14,be,0.0,0.0,3849.77155335,2235.73695847,3072.0
2011-09-15,be,0.0,0.0,4242.41447826,1865.45313144,3065.0
2011-09-16,be,0.0,0.0,4671.05284797,1615.93116338,3191.0
2011-09-17,be,0.0,0.0,4785.30556927,1612.69021374,3221.0
2011-09-18,be,0.0,0.0,5402.99419045,1651.74887673,3400.0
2011-09-19,be,0.0,0.0,5010.71989113,1638.83464801,3269.0
2011-09-20,be,0.0,0.0,4802.34724649,1595.69366033,3153.0
2011-09-21,be,0.0,0.0,4516.52892794,1611.97320893,3160.0
2011-09-22,be,0.0,0.0,4318.7301128,1750.06579813,3206.0
2011-09-23,be,0.0,0.0,4522.43435635,1925.87123966,3192.0
2011-09-24,be,0.0,0.0,4407.76879347,2069.02869934,3071.0
2011-09-25,be,0.0,0.0,4628.65256178,2104.99703238,3155.0
2011-09-26,be,0.0,0.0,4097.60549093,2116.55612929,3079.0
2011-09-27,be,0.0,0.0,3998.6018423,2172.74777407,3095.0
2011-09-28,be,0.0,0.0,3896.20625847,2301.62321202,3046.0
2011-09-29,be,0.0,0.0,3936.24208454,2181.73605304,2901.0
2011-09-30,be,0.0,0.0,4233.70232263,2126.52436936,2989.0
2011-10-01,be,0.0,0.0,4282.47833616,2104.11166865,3175.0
2011-10-02,be,0.0,0.0,4029.42841743,2041.34132411,3112.0
2011-10-03,be,0.0,0.0,4330.45075201,2047.17084312,3087.0
2011-10-04,be,0.0,0.0,4273.76473198,1966.05276636,3032.0
2011-10-05,be,0.0,0.0,4344.77306988,2190.52081934,3257.0
2011-10-06,be,0.0,0.0,3893.82250618,2111.31788369,3069.0
2011-10-07,be,0.0,0.0,3781.51306538,2225.92352688,3009.0
2011-10-08,be,0.0,0.0,4217.76343533,2174.91367734,3244.0
2011-10-09,be,0.0,0.0,4502.89979071,2275.86921783,3449.0
2011-10-10,be,0.0,0.0,4068.61968432,2114.53925516,3138.0
2011-10-11,be,0.0,0.0,4075.23062868,2129.33434665,3136.0
2011-10-12,be,0.0,0.0,4185.52076764,2123.46683176,3246.0
2011-10-13,be,0.0,0.0,4309.04368662,2322.94835598,3409.0
2011-10-14,be,0.0,0.0,4492.84008203,2154.23956629,3340.0
2011-10-15,be,0.0,0.0,3961.37748267,2286.03864297,3050.0
2011-10-16,be,0.0,0.0,4170.69068234,2505.48066453,3123.0
2011-10-17,be,0.0,0.0,4095.00147565,2041.7044469,2863.0
2011-10-18,be,0.0,0.0,3926.73110541,2160.09411164,2864.0
2011-10-19,be,0.0,0.0,4207.95743307,2234.71889189,2931.0
2011-10-20,be,0.0,0.0,4548.26157463,2211.72285449,3241.0
2011-10-21,be,0.0,0.0,3943.08659755,1988.03024579,2857.0
2011-10-22,be,0.0,0.0,3802.44292129,1971.53505096,2791.0
2011-10-23,be,0.0,0.0,3756.23029932,1949.96924318,2884.0
2011-10-24,be,0.0,0.0,3757.3249986,1647.55254218,2655.0
2011-10-25,be,0.0,0.0,3269.96592376,1819.75785993,2520.0
2011-10-26,be,0.0,0.0,3943.01858166,1535.22971367,2567.0
2011-10-27,be,0.0,0.0,4039.09881219,1606.5630455,2529.0
2011-10-28,be,0.0,0.0,3782.17124523,1441.49114494,2358.0
2011-10-29,be,0.0,0.0,3663.22462304,1618.69822225,2495.0
2011-10-30,be,0.0,0.0,3705.73225536,1543.41217218,2508.0
2011-10-31,be,0.0,0.0,3435.56597905,1517.93255153,2547.0
2011-11-01,be,0.0,0.0,3350.40660314,1596.75614728,2649.0
2011-11-02,be,0.0,0.0,3601.40592407,1218.76970068,2523.0
2011-11-03,be,0.0,0.0,3269.32950127,1496.44059527,2490.0
2011-11-04,be,0.0,0.0,3511.76422796,1280.62357589,2525.0
2011-11-05,be,0.0,0.0,3961.40579642,1450.48602585,2672.0
2011-11-06,be,0.0,0.0,3833.0896422,1646.9881985,2768.0
2011-11-07,be,0.0,0.0,3259.53782576,1825.83608884,2503.0
2011-11-08,be,0.0,0.0,3766.26816732,1658.93227482,2453.0
2011-11-09,be,0.0,0.0,4448.85943368,1188.25663311,2506.0
2011-11-10,be,0.0,0.0,4094.14634836,1458.48704892,2537.0
2011-11-11,be,0.0,0.0,2981.60644388,1873.13817937,2430.0
2011-11-12,be,0.0,0.0,2975.30760735,1698.67402095,2356.0
2011-11-13,be,0.0,0.0,3317.85821065,1686.38922313,2335.0
2011-11-14,be,0.0,0.0,3218.28564603,1510.47859344,2260.0
2011-11-15,be,0.0,0.0,3244.7806556,1434.51190433,2305.0
2011-11-16,be,0.0,0.0,3475.29651848,1151.03154082,2321.0
2011-11-17,be,0.0,0.0,3118.87425154,1458.37055697,2277.0
2011-11-18,be,0.0,0.0,2933.94515888,1761.61459313,2235.0
2011-11-19,be,0.0,0.0,2979.16450168,1685.19369283,2304.0
2011-11-20,be,0.0,0.0,3076.32021225,1575.38277517,2414.0
2011-11-21,be,0.0,0.0,3054.96512635,1548.13927525,2319.0
2011-11-22,be,0.0,0.0,3221.25206586,1405.28273485,2262.0
2011-11-23,be,0.0,0.0,3927.40203134,1299.91421305,2424.0
2011-11-24,be,0.0,0.0,5468.36557326,1504.1534072,3263.0
2011-11-25,be,0.0,0.0,5068.13330633,578.566416867,2391.0
2011-11-26,be,0.0,0.0,4942.65835346,782.019816907,2441.0
2011-11-27,be,0.0,0.0,3599.32734801,1474.88118084,2321.0
2011-11-28,be,0.0,0.0,3130.21046962,1515.85059955,2167.0
2011-11-29,be,0.0,0.0,2892.27567656,1294.2193478,1981.0
2011-11-30,be,0.0,0.0,2876.98040514,1048.66169563,1969.0
2011-12-01,be,0.0,0.0,3633.11461066,851.341398127,2275.0
2011-12-02,be,0.0,0.0,3747.33321951,440.529790516,2284.0
2011-12-03,be,0.0,0.0,3507.96632294,674.791165772,2370.0
2011-12-04,be,0.0,0.0,2830.91401947,1253.87225027,2159.0
2011-12-05,be,0.0,0.0,3332.33069064,1567.1648844,2468.0
2011-12-06,be,0.0,0.0,2778.45245146,1469.78749316,2179.0
2011-12-07,be,0.0,0.0,2870.37405792,1491.93981568,2237.0
2011-12-08,be,0.0,0.0,2994.29186904,1402.66389936,2198.0
2011-12-09,be,0.0,0.0,3164.94416258,1411.7304898,2155.0
2011-12-10,be,0.0,0.0,3157.89048576,1604.5327622,2111.0
