date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,bf,0.0,0.0,125.723655257,28.3961161735,75.0
2011-09-09,bf,0.0,0.0,138.087850279,22.5762550956,76.0
2011-09-11,bf,0.0,0.0,108.513323931,22.5284455816,78.0
2011-09-12,bf,0.0,0.0,115.167896335,29.6349389671,81.0
2011-09-13,bf,0.0,0.0,146.682502234,39.6957260306,57.0
2011-09-14,bf,0.0,0.0,157.081780027,46.8471261019,79.0
2011-09-15,bf,0.0,0.0,146.298079088,32.725960638,79.0
2011-09-16,bf,0.0,0.0,154.940345673,27.0083584473,71.0
2011-09-17,bf,0.0,0.0,136.090507826,20.2355549268,85.0
2011-09-18,bf,0.0,0.0,161.876733342,24.1127920663,87.0
2011-09-19,bf,0.0,0.0,177.304854904,26.3278278213,84.0
2011-09-20,bf,0.0,0.0,122.879490308,17.1225484536,77.0
2011-09-21,bf,0.0,0.0,161.451588743,26.0019269132,81.0
2011-09-22,bf,0.0,0.0,149.903941469,29.8699266752,84.0
2011-09-23,bf,0.0,0.0,136.100861023,27.7545633828,95.0
2011-09-24,bf,0.0,0.0,154.814613222,36.5501325651,85.0
2011-09-25,bf,0.0,0.0,158.095907326,36.3519913725,72.0
2011-09-26,bf,0.0,0.0,140.958434431,35.5809590576,82.0
2011-09-27,bf,0.0,0.0,133.990614421,34.153952457,86.0
2011-09-28,bf,0.0,0.0,137.526876671,37.5680390385,78.0
2011-09-29,bf,0.0,0.0,137.645267146,38.108964697,66.0
2011-09-30,bf,0.0,0.0,166.685807766,43.3456956107,69.0
2011-10-01,bf,0.0,0.0,160.562827213,37.955888034,71.0
2011-10-02,bf,0.0,0.0,127.728348342,29.6907536653,55.0
2011-10-03,bf,0.0,0.0,157.369076534,36.1193219049,76.0
2011-10-04,bf,0.0,0.0,161.288152445,36.1413571661,84.0
2011-10-05,bf,0.0,0.0,157.014011736,33.3400371439,92.0
2011-10-06,bf,0.0,0.0,120.069089737,30.7089733905,79.0
2011-10-07,bf,0.0,0.0,120.876911454,31.8476269095,74.0
2011-10-08,bf,0.0,0.0,128.901663866,31.0869195482,74.0
2011-10-09,bf,0.0,0.0,114.599593191,23.5873163468,76.0
2011-10-10,bf,0.0,0.0,135.325591222,33.7241118217,73.0
2011-10-11,bf,0.0,0.0,153.231787906,37.6595974198,87.0
2011-10-12,bf,0.0,0.0,157.57076175,40.3923766193,74.0
2011-10-13,bf,0.0,0.0,150.428496426,38.4357876321,79.0
2011-10-14,bf,0.0,0.0,151.610763713,32.9473359448,77.0
2011-10-15,bf,0.0,0.0,124.053309254,32.7110914524,74.0
2011-10-16,bf,0.0,0.0,124.736294617,35.4892725045,63.0
2011-10-17,bf,0.0,0.0,126.429907723,31.1073358278,66.0
2011-10-18,bf,0.0,0.0,142.864193794,41.1061758419,69.0
2011-10-19,bf,0.0,0.0,126.335776331,33.7463337652,67.0
2011-10-20,bf,0.0,0.0,150.207960823,30.8400068223,73.0
2011-10-21,bf,0.0,0.0,126.27218164,29.4234846568,67.0
2011-10-22,bf,0.0,0.0,128.632101398,29.8011427592,53.0
2011-10-23,bf,0.0,0.0,103.51391708,25.9618019316,52.0
2011-10-24,bf,0.0,0.0,119.565614479,24.2995592518,74.0
2011-10-25,bf,0.0,0.0,110.782403306,27.236722695,77.0
2011-10-26,bf,0.0,0.0,125.304560636,22.0708506575,92.0
2011-10-27,bf,0.0,0.0,126.884305165,21.8989612524,93.0
2011-10-28,bf,0.0,0.0,122.596368523,20.7746419722,67.0
2011-10-29,bf,0.0,0.0,99.2662484379,17.7745812557,55.0
2011-10-30,bf,0.0,0.0,97.012624643,15.5617555515,52.0
2011-10-31,bf,0.0,0.0,128.250440004,27.5027765704,57.0
2011-11-01,bf,0.0,0.0,124.781416744,37.0103350476,67.0
2011-11-02,bf,0.0,0.0,155.69267299,34.8896707348,88.0
2011-11-03,bf,0.0,0.0,159.13225498,36.9347704862,91.0
2011-11-04,bf,0.0,0.0,136.75179505,22.8007266319,90.0
2011-11-05,bf,0.0,0.0,123.946081559,18.8173502633,73.0
2011-11-06,bf,0.0,0.0,112.546810025,19.5998947488,46.0
2011-11-07,bf,0.0,0.0,103.582064675,23.8894121151,43.0
2011-11-08,bf,0.0,0.0,131.747314485,25.8496286359,68.0
2011-11-09,bf,0.0,0.0,205.629813698,26.9492896364,88.0
2011-11-10,bf,0.0,0.0,189.483391899,38.508367443,90.0
2011-11-11,bf,0.0,0.0,141.983585873,44.0985912392,89.0
2011-11-12,bf,0.0,0.0,111.924687229,29.6078869008,77.0
2011-11-13,bf,0.0,0.0,81.3644672155,15.4017058932,41.0
2011-11-14,bf,0.0,0.0,81.2361255749,14.314876234,73.0
2011-11-15,bf,0.0,0.0,125.366573523,24.9637072982,75.0
2011-11-16,bf,0.0,0.0,161.210791088,28.200655962,73.0
2011-11-17,bf,0.0,0.0,146.095983021,35.6272384294,91.0
2011-11-18,bf,0.0,0.0,140.404622351,44.2634825506,81.0
2011-11-19,bf,0.0,0.0,131.480185934,36.4669045122,68.0
2011-11-20,bf,0.0,0.0,81.4275965185,14.0918500031,60.0
2011-11-21,bf,0.0,0.0,133.575793175,32.1594217827,79.0
2011-11-22,bf,0.0,0.0,139.363999409,30.3248186441,93.0
2011-11-23,bf,0.0,0.0,164.903047504,26.8738016909,104.0
2011-11-24,bf,0.0,0.0,289.425819406,39.6319061304,93.0
2011-11-25,bf,0.0,0.0,246.961054955,13.2279958043,65.0
2011-11-26,bf,0.0,0.0,200.252283677,14.2391340761,97.0
2011-11-27,bf,0.0,0.0,125.659926805,22.2112691119,74.0
2011-11-28,bf,0.0,0.0,138.862146661,35.5659910513,81.0
2011-11-29,bf,0.0,0.0,159.320213068,35.2721135297,86.0
2011-11-30,bf,0.0,0.0,166.80804337,26.7342235753,81.0
2011-12-01,bf,0.0,0.0,141.604019297,14.7275014653,80.0
2011-12-02,bf,0.0,0.0,144.482971364,6.32645339847,88.0
2011-12-03,bf,0.0,0.0,184.320398739,18.3067298363,69.0
2011-12-04,bf,0.0,0.0,119.438294894,26.3780230684,47.0
2011-12-05,bf,0.0,0.0,164.035213938,39.2013805582,81.0
2011-12-06,bf,0.0,0.0,162.564808874,41.1298305816,65.0
2011-12-07,bf,0.0,0.0,160.091208986,39.3861125121,67.0
2011-12-08,bf,0.0,0.0,142.736799384,31.0571250756,93.0
2011-12-09,bf,0.0,0.0,163.205364858,36.0774100391,80.0
2011-12-10,bf,0.0,0.0,127.310356798,29.2009590164,63.0
2011-12-11,bf,0.0,0.0,104.161484433,19.7703377781,51.0
2011-12-12,bf,0.0,0.0,132.090687718,35.865334765,58.0
2011-12-13,bf,0.0,0.0,120.648929746,28.489695042,82.0
2011-12-14,bf,0.0,0.0,126.096840247,27.1677398586,94.0
2011-12-15,bf,0.0,0.0,165.008239133,41.153696169,98.0
2011-12-16,bf,0.0,0.0,146.340275316,37.9134424454,91.0
2011-12-17,bf,0.0,0.0,124.135257548,27.1190923109,80.0
2011-12-18,bf,0.0,0.0,100.417106531,20.6422640974,61.0
2011-12-19,bf,0.0,0.0,106.273289757,24.1303895113,79.0
2011-12-20,bf,0.0,0.0,144.019446438,39.0235401325,90.0
2011-12-21,bf,0.0,0.0,164.416830813,44.893962736,117.0
2011-12-22,bf,0.0,0.0,170.155609222,48.5485899847,120.0
2011-12-23,bf,0.0,0.0,145.135181333,44.6442896567,101.0
2011-12-24,bf,0.0,0.0,129.747730846,35.6521127054,68.0
2011-12-25,bf,0.0,0.0,126.26768882,26.4282860323,54.0
2011-12-26,bf,0.0,0.0,132.500063209,33.1609230988,60.0
2011-12-27,bf,0.0,0.0,161.918497028,41.3414193756,89.0
2011-12-28,bf,0.0,0.0,206.50229056,54.636064197,99.0
2011-12-29,bf,0.0,0.0,206.287792448,59.114721869,99.0
2011-12-30,bf,0.0,0.0,184.804292466,48.3935308095,103.0
2011-12-31,bf,0.0,0.0,125.86507601,29.1815646702,91.0
2012-01-01,bf,0.0,0.0,92.1545943552,16.696455513,58.0
2012-01-02,bf,0.0,0.0,131.249449177,22.1291598046,81.0
2012-01-03,bf,0.0,0.0,161.643268039,40.1840048203,82.0
2012-01-04,bf,0.0,0.0,184.540055749,48.7814151306,81.0
2012-01-05,bf,0.0,0.0,225.401070722,43.9058381467,89.0
2012-01-06,bf,0.0,0.0,273.071646613,32.167970856,88.0
2012-01-07,bf,0.0,0.0,291.254348213,39.8481046312,70.0
2012-01-09,bf,0.0,0.0,277.432411837,29.594581356,77.0
2012-01-10,bf,0.0,0.0,233.04732011,29.9146047068,70.0
2012-01-11,bf,0.0,0.0,157.742762516,34.0906942206,78.0
2012-01-12,bf,0.0,0.0,179.155246395,30.5433080878,94.0
2012-01-13,bf,0.0,0.0,180.431629394,24.2724813791,76.0
2012-01-14,bf,0.0,0.0,132.676975474,16.638520833,56.0
2012-01-16,bf,0.0,0.0,138.984093451,17.2230549856,86.0
2012-01-17,bf,0.0,0.0,144.521031738,14.6325992292,88.0
2012-01-18,bf,0.0,0.0,136.598353501,36.1165377298,96.0
2012-01-19,bf,0.0,0.0,166.145834924,38.767707224,106.0
2012-01-20,bf,0.0,0.0,149.492164817,31.0103019855,102.0
2012-01-21,bf,0.0,0.0,113.952896549,17.8725475565,77.0
2012-01-22,bf,0.0,0.0,139.003163812,24.8375285702,63.0
2012-01-23,bf,0.0,0.0,162.908611201,27.024906607,55.0
2012-01-24,bf,0.0,0.0,165.421683887,33.0162322583,91.0
2012-01-25,bf,0.0,0.0,184.07625683,41.9509553189,99.0
2012-01-26,bf,0.0,0.0,185.355705509,43.1082477614,98.0
2012-01-27,bf,0.0,0.0,179.477271955,38.9272483549,103.0
2012-01-28,bf,0.0,0.0,140.915365205,27.6254845059,74.0
2012-01-29,bf,0.0,0.0,127.181037171,21.9615662311,88.0
2012-01-30,bf,0.0,0.0,110.569080923,22.2503925473,86.0
2012-01-31,bf,0.0,0.0,167.721660462,43.9324617288,86.0
2012-02-01,bf,0.0,0.0,192.5475849,44.8508998649,81.0
2012-02-02,bf,0.0,0.0,189.203872839,45.8181365802,77.0
2012-02-03,bf,0.0,0.0,204.761458705,48.1004704361,70.0
2012-02-04,bf,0.0,0.0,143.552216898,33.9084562233,64.0
2012-02-05,bf,0.0,0.0,157.408630214,39.8173983959,60.0
2012-02-06,bf,0.0,0.0,154.833336753,39.7660097973,57.0
2012-02-07,bf,0.0,0.0,151.61886053,34.8627850188,69.0
2012-02-08,bf,0.0,0.0,160.800886318,38.8253143459,82.0
2012-02-09,bf,0.0,0.0,161.822382541,36.7384238392,80.0
2012-02-10,bf,0.0,0.0,128.157362889,30.4501452117,68.0
2012-02-11,bf,0.0,0.0,118.831947526,30.7849817701,59.0
2012-02-12,bf,0.0,0.0,110.260360314,28.0354752036,53.0
2012-02-13,bf,0.0,0.0,124.58089884,23.9400128256,77.0
2012-02-14,bf,0.0,0.0,151.16986178,29.6557368405,88.0
2012-02-15,bf,0.0,0.0,143.971622752,35.4399755325,82.0
2012-02-16,bf,0.0,0.0,135.848246245,34.4647833799,85.0
2012-02-17,bf,0.0,0.0,128.191117251,31.2534261781,76.0
2012-02-18,bf,0.0,0.0,108.65873915,25.6592858295,69.0
2012-02-19,bf,0.0,0.0,100.820459884,21.1647603587,67.0
2012-02-20,bf,0.0,0.0,141.270763977,31.5300132716,83.0
2012-02-21,bf,0.0,0.0,163.021275642,32.5727903342,90.0
2012-02-22,bf,0.0,0.0,150.726656751,37.3718558795,89.0
2012-02-23,bf,0.0,0.0,152.328774441,36.4088763014,67.0
2012-02-24,bf,0.0,0.0,133.26414199,32.5958457724,60.0
2012-02-25,bf,0.0,0.0,133.392396387,31.3396761204,50.0
2012-02-26,bf,0.0,0.0,126.67836756,29.892718637,58.0
2012-02-27,bf,0.0,0.0,155.16149472,32.793361392,58.0
2012-02-28,bf,0.0,0.0,162.714392809,39.4314667514,71.0
2012-02-29,bf,0.0,0.0,145.998612777,41.073574019,71.0
2012-03-01,bf,0.0,0.0,120.424809002,32.8334814761,79.0
2012-03-02,bf,0.0,0.0,105.937671611,27.0091305248,74.0
2012-03-03,bf,0.0,0.0,90.0137823513,18.8410772947,63.0
2012-03-04,bf,0.0,0.0,108.274385329,23.7767855075,61.0
2012-03-05,bf,0.0,0.0,111.271890665,24.647361836,71.0
2012-03-06,bf,0.0,0.0,129.466733352,31.1511416931,73.0
2012-03-07,bf,0.0,0.0,132.083366581,31.8387510127,73.0
2012-03-08,bf,0.0,0.0,128.279296131,36.9543976943,62.0
2012-03-09,bf,0.0,0.0,131.188843672,35.3587842011,67.0
2012-03-10,bf,0.0,0.0,109.383773695,31.3119187223,66.0
2012-03-11,bf,0.0,0.0,112.119783397,27.1667996638,69.0
2012-03-12,bf,0.0,0.0,120.319503279,33.3010143043,85.0
2012-03-13,bf,0.0,0.0,118.637097482,35.160721417,85.0
2012-03-14,bf,0.0,0.0,116.072857013,35.7932042548,85.0
2012-03-15,bf,0.0,0.0,107.450152056,28.5243406673,81.0
2012-03-16,bf,0.0,0.0,110.919709542,31.2917079468,82.0
2012-03-17,bf,0.0,0.0,112.000946732,29.8647760675,75.0
2012-03-18,bf,0.0,0.0,120.441371081,27.7892688965,69.0
2012-03-19,bf,0.0,0.0,139.877994567,42.2965219701,75.0
2012-03-20,bf,0.0,0.0,145.314978629,42.4857667704,71.0
2012-03-21,bf,0.0,0.0,140.729404575,43.2372899712,79.0
2012-03-22,bf,0.0,0.0,147.039877001,39.4293306197,81.0
2012-03-23,bf,0.0,0.0,136.38266118,42.0336154474,86.0
2012-03-24,bf,0.0,0.0,134.048594624,33.9094365116,84.0
2012-03-25,bf,0.0,0.0,129.390251883,30.6406817992,69.0
2012-03-26,bf,0.0,0.0,126.300063775,37.6177488694,73.0
2012-03-27,bf,0.0,0.0,120.093267667,35.4795382742,78.0
2012-03-28,bf,0.0,0.0,129.48808331,42.0433852506,76.0
2012-03-29,bf,0.0,0.0,136.707800774,37.9232293101,74.0
2012-03-30,bf,0.0,0.0,157.185242789,41.5184166839,78.0
2012-03-31,bf,0.0,0.0,152.381640255,37.2903901174,66.0
2012-04-01,bf,0.0,0.0,131.988945994,29.937378863,61.0
2012-04-02,bf,0.0,0.0,125.029484924,34.1785124038,76.0
2012-04-03,bf,0.0,0.0,132.637725258,36.7418131073,83.0
2012-04-04,bf,0.0,0.0,129.818196174,37.4966032063,86.0
2012-04-05,bf,0.0,0.0,142.10394504,28.9301395982,80.0
2012-04-06,bf,0.0,0.0,157.283635222,27.5534963743,101.0
2012-04-07,bf,0.0,0.0,126.564047944,26.6387415216,77.0
2012-04-08,bf,0.0,0.0,114.59365843,24.3073341826,65.0
2012-04-09,bf,0.0,0.0,137.922076092,36.1543457987,76.0
