date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,bg,0.0,0.0,2984.12424215,1391.90237279,1983.0
2011-09-09,bg,0.0,0.0,3348.99680983,1099.30638541,1943.0
2011-09-11,bg,0.0,0.0,2865.02123103,1332.09844834,2111.0
2011-09-12,bg,0.0,0.0,2635.81355592,1300.94727386,2110.0
2011-09-13,bg,0.0,0.0,2600.48387382,1388.60331478,2198.0
2011-09-14,bg,0.0,0.0,2685.87628048,1535.8938777,2044.0
2011-09-15,bg,0.0,0.0,2855.3952502,1328.27344834,2028.0
2011-09-16,bg,0.0,0.0,2960.86697831,1031.89201624,1938.0
2011-09-17,bg,0.0,0.0,2923.59613417,964.940469535,1765.0
2011-09-18,bg,0.0,0.0,3253.48923185,984.664670751,1809.0
2011-09-19,bg,0.0,0.0,3353.67971784,1062.62243245,1882.0
2011-09-20,bg,0.0,0.0,3347.11274947,1104.95904018,1861.0
2011-09-21,bg,0.0,0.0,3048.83921249,1055.84360245,1771.0
2011-09-22,bg,0.0,0.0,2900.511155,1140.05046943,1771.0
2011-09-23,bg,0.0,0.0,2794.39357818,1143.95712957,1803.0
2011-09-24,bg,0.0,0.0,2468.07012749,1105.06056718,1758.0
2011-09-25,bg,0.0,0.0,2512.63708914,1092.42739939,1919.0
2011-09-26,bg,0.0,0.0,2391.12920944,1197.96328499,1926.0
2011-09-27,bg,0.0,0.0,2407.26314393,1259.60765089,1999.0
2011-09-28,bg,0.0,1.0,2229.69778342,1259.96830107,4288.0
2011-09-29,bg,0.0,1.0,2192.78018815,1208.3410634,7160.0
2011-09-30,bg,0.0,1.0,2434.68206566,1182.44741263,6600.0
2011-10-01,bg,0.0,1.0,2492.92432975,1176.38444073,3555.0
2011-10-02,bg,0.0,0.0,2490.25843043,1217.84555581,1778.0
2011-10-03,bg,0.0,0.0,2749.95578976,1255.68464336,1775.0
2011-10-04,bg,0.0,0.0,2780.34694381,1257.19527721,1732.0
2011-10-05,bg,1.0,0.0,5805.41432904,3271.45712701,1839.0
2011-10-06,bg,1.0,0.0,9362.93582583,5363.4193196,1770.0
2011-10-07,bg,1.0,0.0,8113.41301453,5063.23843582,1710.0
2011-10-08,bg,1.0,0.0,4692.32603498,2473.48985097,1740.0
2011-10-09,bg,0.0,0.0,2618.63293911,1282.96823793,1767.0
2011-10-10,bg,0.0,0.0,2372.10457006,1210.21914391,1735.0
2011-10-11,bg,0.0,0.0,2373.90487918,1192.92812303,1786.0
2011-10-12,bg,0.0,0.0,2412.74296812,1173.12721324,1783.0
2011-10-13,bg,0.0,0.0,2530.47959525,1322.42556987,1961.0
2011-10-14,bg,0.0,0.0,2607.66457419,1195.6897004,2124.0
2011-10-15,bg,0.0,0.0,2170.84779358,1193.29265073,1695.0
2011-10-16,bg,0.0,0.0,2179.59059962,1250.04936403,1818.0
2011-10-17,bg,0.0,0.0,2238.20105061,1146.41420249,1721.0
2011-10-18,bg,0.0,0.0,2251.8562842,1219.21388393,1671.0
2011-10-19,bg,0.0,0.0,2360.94662139,1200.53780764,1739.0
2011-10-20,bg,0.0,0.0,2668.73941753,1241.70830574,1997.0
2011-10-21,bg,0.0,0.0,2547.29041746,1245.87805697,1637.0
2011-10-22,bg,0.0,0.0,2159.7788997,1070.19569562,1640.0
2011-10-23,bg,0.0,0.0,2166.52517163,1184.3402694,1719.0
2011-10-24,bg,0.0,0.0,2272.14346033,1008.75120163,1703.0
2011-10-25,bg,0.0,0.0,1914.06411403,1076.79913819,1580.0
2011-10-26,bg,0.0,0.0,2384.80614772,897.893902531,1706.0
2011-10-27,bg,0.0,0.0,2529.89767412,971.389259489,1716.0
2011-10-28,bg,0.0,0.0,2204.24140608,807.719421673,1723.0
2011-10-29,bg,0.0,0.0,2193.79734595,934.928544689,1589.0
2011-10-30,bg,0.0,0.0,2251.52893402,900.630684431,1426.0
2011-10-31,bg,0.0,0.0,2221.6719565,964.971606148,1468.0
2011-11-01,bg,0.0,0.0,2121.2728787,988.371928448,1487.0
2011-11-02,bg,0.0,0.0,2234.84054561,918.607444333,1407.0
2011-11-03,bg,0.0,0.0,2233.06777384,1006.09029658,1359.0
2011-11-04,bg,0.0,0.0,2594.17567108,921.887556585,1373.0
2011-11-05,bg,0.0,0.0,2511.59725396,935.050248494,1376.0
2011-11-06,bg,0.0,0.0,2170.1872471,948.51269827,1370.0
2011-11-07,bg,0.0,0.0,1917.05691701,1029.71476835,1373.0
2011-11-08,bg,0.0,0.0,2161.97661859,908.501807133,1428.0
2011-11-09,bg,0.0,0.0,2545.41047032,642.743554038,1573.0
2011-11-10,bg,0.0,0.0,2302.75403499,766.426950295,1591.0
2011-11-11,bg,0.0,0.0,1649.72744492,998.527216226,1313.0
2011-11-12,bg,0.0,0.0,1568.16957406,859.250888671,1245.0
2011-11-13,bg,0.0,0.0,1677.11192959,827.029066457,1329.0
2011-11-14,bg,0.0,0.0,1776.31594711,843.82501889,1354.0
2011-11-15,bg,0.0,0.0,1930.98659719,815.601605605,1334.0
2011-11-16,bg,0.0,0.0,2204.18662685,728.176514888,1346.0
2011-11-17,bg,0.0,0.0,1995.09239972,890.675470267,1298.0
2011-11-18,bg,0.0,0.0,1612.54650088,931.355336283,1248.0
2011-11-19,bg,0.0,0.0,1614.79789286,865.986882854,1215.0
2011-11-20,bg,0.0,0.0,1789.09821625,875.340856869,1218.0
2011-11-21,bg,0.0,0.0,1861.04456426,907.505706369,1373.0
2011-11-22,bg,0.0,0.0,1871.77147663,812.255535599,1274.0
2011-11-23,bg,0.0,0.0,2286.184743,762.14134308,1494.0
2011-11-24,bg,0.0,1.0,3197.06474065,834.621011684,4060.0
2011-11-25,bg,0.0,1.0,2890.95343931,330.964446097,4100.0
2011-11-26,bg,0.0,0.0,2667.89650867,403.433037024,1994.0
2011-11-27,bg,0.0,0.0,1869.43805343,723.878472505,1373.0
2011-11-28,bg,0.0,0.0,1856.01183368,895.326927062,1244.0
2011-11-29,bg,0.0,0.0,1664.83994585,706.437614915,1160.0
2011-11-30,bg,0.0,0.0,1892.55549152,536.224964384,1125.0
2011-12-01,bg,0.0,0.0,4416.40534129,1092.86169767,1580.0
2011-12-02,bg,0.0,0.0,6197.96596266,826.748639116,1338.0
2011-12-03,bg,0.0,0.0,2883.93370873,541.40198312,1192.0
2011-12-04,bg,0.0,0.0,1668.05359142,748.474116077,1083.0
2011-12-05,bg,0.0,0.0,1951.17947671,878.575036936,1349.0
2011-12-06,bg,0.0,0.0,1665.47298843,837.042645197,1230.0
2011-12-07,bg,0.0,0.0,1681.00392606,830.906342517,1324.0
2011-12-08,bg,0.0,0.0,2109.81656555,957.30124738,1268.0
2011-12-09,bg,0.0,0.0,1892.92777532,807.480458472,1225.0
2011-12-10,bg,0.0,0.0,1636.4490223,784.998935299,1134.0
2011-12-11,bg,0.0,0.0,1653.76917322,805.957731067,1231.0
2011-12-12,bg,0.0,0.0,1664.67808557,880.6907273,1291.0
2011-12-13,bg,0.0,0.0,1660.60743399,870.991521964,1229.0
2011-12-14,bg,0.0,0.0,1838.72538763,836.416942134,1225.0
2011-12-15,bg,0.0,0.0,1759.64677483,793.137497345,1250.0
2011-12-16,bg,0.0,0.0,1725.9999908,852.582778429,1306.0
2011-12-17,bg,0.0,0.0,1652.94774371,767.882180399,1200.0
2011-12-18,bg,0.0,0.0,1710.32840479,852.769601341,1233.0
2011-12-19,bg,0.0,0.0,1745.08499574,851.469240024,1264.0
2011-12-20,bg,0.0,0.0,1658.85891217,849.95066866,1281.0
2011-12-21,bg,0.0,0.0,1710.60591054,816.672665105,1276.0
2011-12-22,bg,0.0,0.0,1752.20425913,850.064660401,1257.0
2011-12-23,bg,0.0,0.0,1643.65383532,900.724360044,1238.0
2011-12-24,bg,0.0,0.0,1477.17980546,808.745919509,1192.0
2011-12-25,bg,0.0,0.0,1836.90441567,895.008264268,1350.0
2011-12-26,bg,0.0,0.0,1569.93475277,833.978320319,1143.0
2011-12-27,bg,0.0,0.0,1686.67139745,933.44365676,1254.0
2011-12-28,bg,0.0,0.0,1736.1428557,869.286264101,1265.0
2011-12-29,bg,0.0,0.0,1717.58630362,855.219546271,1254.0
2011-12-30,bg,0.0,0.0,1811.07258293,801.447439736,1207.0
