date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,bh,0.0,0.0,1183.42802933,423.46235044,713.0
2011-09-09,bh,0.0,0.0,1234.40243854,359.17019299,735.0
2011-09-11,bh,0.0,0.0,1077.85642747,434.547189374,690.0
2011-09-12,bh,0.0,0.0,1029.1482643,424.924911025,637.0
2011-09-13,bh,0.0,0.0,984.497191651,468.460941418,672.0
2011-09-14,bh,0.0,0.0,950.191985382,476.077653083,654.0
2011-09-15,bh,0.0,0.0,1106.12600426,422.470268002,706.0
2011-09-16,bh,0.0,0.0,1184.72829498,355.61668509,757.0
2011-09-17,bh,0.0,0.0,1146.68339182,333.826874244,691.0
2011-09-18,bh,0.0,0.0,1130.39338201,294.371086942,661.0
2011-09-19,bh,0.0,0.0,1076.76859578,298.617480161,681.0
2011-09-20,bh,0.0,0.0,1090.60669427,310.020482578,688.0
2011-09-21,bh,0.0,0.0,1034.11988564,315.312751119,677.0
2011-09-22,bh,0.0,0.0,1064.83813047,372.523617988,687.0
2011-09-23,bh,0.0,0.0,1144.23037932,424.169428247,733.0
2011-09-24,bh,0.0,0.0,1015.30143146,408.722468826,780.0
2011-09-25,bh,0.0,0.0,970.750841224,375.396645021,731.0
2011-09-26,bh,0.0,0.0,917.374363641,405.459918851,663.0
2011-09-27,bh,0.0,0.0,936.652274593,437.352148685,668.0
2011-09-28,bh,0.0,0.0,896.901826334,453.621642194,648.0
2011-09-29,bh,0.0,0.0,906.06098875,430.816458772,616.0
2011-09-30,bh,0.0,0.0,1039.76943059,451.815164268,701.0
2011-10-01,bh,0.0,0.0,1157.14419208,497.589016863,700.0
2011-10-02,bh,0.0,0.0,998.378877047,438.320576038,667.0
2011-10-03,bh,0.0,0.0,1002.57773723,405.161812082,717.0
2011-10-04,bh,0.0,0.0,990.830443309,390.489372972,687.0
2011-10-05,bh,0.0,0.0,995.037177086,428.395911204,678.0
2011-10-06,bh,0.0,0.0,890.948752624,410.85949198,665.0
2011-10-07,bh,0.0,0.0,949.522065885,483.02859891,687.0
2011-10-08,bh,0.0,0.0,997.469297814,442.603726791,654.0
2011-10-09,bh,0.0,0.0,1036.94110171,448.597544485,576.0
2011-10-10,bh,0.0,0.0,1010.98286452,454.739624765,582.0
2011-10-11,bh,0.0,0.0,990.184163251,445.587109656,610.0
2011-10-12,bh,0.0,0.0,936.948901314,406.295097773,556.0
2011-10-13,bh,0.0,0.0,1003.29579887,462.968066759,593.0
2011-10-14,bh,0.0,0.0,1099.8025333,454.331964106,640.0
2011-10-15,bh,0.0,0.0,860.322293085,422.69864163,603.0
2011-10-16,bh,0.0,0.0,757.997461886,378.960731505,597.0
2011-10-17,bh,0.0,0.0,824.382017499,343.997952513,530.0
2011-10-18,bh,0.0,0.0,826.186102274,383.361412304,526.0
2011-10-19,bh,0.0,0.0,785.647543863,345.954505661,523.0
