date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,bj,0.0,0.0,1307.88370884,513.632148987,970.0
2011-09-09,bj,0.0,0.0,1451.8810921,390.896623943,959.0
2011-09-11,bj,0.0,0.0,1062.0887394,443.4297727,668.0
2011-09-12,bj,0.0,0.0,1238.00207501,620.17087268,876.0
2011-09-13,bj,0.0,0.0,1330.90607743,674.847271852,970.0
2011-09-14,bj,0.0,0.0,1336.85484623,676.13260487,906.0
2011-09-15,bj,0.0,0.0,1465.59762469,604.73258831,870.0
2011-09-16,bj,0.0,0.0,1513.57367823,487.843901088,768.0
2011-09-17,bj,0.0,0.0,1446.22254053,442.713271409,760.0
2011-09-18,bj,0.0,0.0,1091.79779775,294.012252704,782.0
2011-09-19,bj,0.0,0.0,1496.64661393,394.050281259,834.0
2011-09-20,bj,0.0,0.0,1537.00858795,460.154157941,870.0
2011-09-21,bj,0.0,0.0,1446.25510089,425.011255328,840.0
2011-09-22,bj,0.0,0.0,1305.07116675,462.554311174,855.0
2011-09-23,bj,0.0,0.0,1166.83516066,422.834187099,838.0
2011-09-24,bj,0.0,0.0,1117.04282744,443.115628926,779.0
2011-09-25,bj,0.0,0.0,1136.73836946,439.89312016,669.0
2011-09-26,bj,0.0,0.0,1087.33547661,511.686848873,767.0
2011-09-27,bj,0.0,0.0,1154.44480094,562.560517464,815.0
2011-09-28,bj,0.0,0.0,1094.57991156,564.681377882,781.0
2011-09-29,bj,0.0,0.0,1085.79659965,563.686409605,734.0
2011-09-30,bj,0.0,0.0,1186.93170887,520.338218161,673.0
2011-10-01,bj,0.0,0.0,1168.75798362,485.980616424,622.0
2011-10-02,bj,0.0,0.0,925.453638607,395.890588016,518.0
2011-10-03,bj,0.0,0.0,1150.82783067,480.296067803,675.0
2011-10-04,bj,0.0,0.0,1186.48448798,498.158366977,697.0
2011-10-05,bj,0.0,0.0,1152.65891067,542.803292548,734.0
2011-10-06,bj,0.0,0.0,1019.48752483,512.143712838,638.0
2011-10-07,bj,0.0,0.0,907.426582892,463.947216099,610.0
2011-10-08,bj,0.0,0.0,888.971107191,393.811811858,642.0
2011-10-09,bj,0.0,0.0,820.050643736,341.915455066,593.0
2011-10-10,bj,0.0,0.0,952.156286507,428.935866683,702.0
2011-10-11,bj,0.0,0.0,995.603159418,451.043217691,637.0
2011-10-12,bj,0.0,0.0,1008.68519065,439.354415505,656.0
2011-10-13,bj,0.0,0.0,975.643741744,435.572318017,739.0
2011-10-14,bj,0.0,0.0,979.447857389,392.651196027,844.0
2011-10-15,bj,0.0,0.0,845.099047224,408.607939907,649.0
2011-10-16,bj,0.0,0.0,774.511004363,389.569526022,519.0
2011-10-17,bj,0.0,0.0,950.254054823,435.23520599,623.0
