date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2014-03-07,bl,0.0,1.0,6.74483602566,0.0,14.0
2014-03-08,bl,0.0,1.0,6.86504006724,0.0,13.0
2014-03-09,bl,0.0,1.0,10.0976137639,0.0,16.0
2014-03-10,bl,0.0,0.0,25.170802172,0.0,17.0
2014-03-11,bl,0.0,0.0,35.3959670604,2.53256234604,15.0
2014-03-12,bl,0.0,0.0,30.1876662769,1.73641327605,19.0
2014-03-13,bl,0.0,0.0,34.3913292861,2.56803973509,24.0
2014-03-14,bl,0.0,0.0,31.9948019526,2.53552740361,20.0
2014-03-15,bl,0.0,0.0,31.357617414,1.6679936412,20.0
2014-03-16,bl,0.0,0.0,38.3423237652,3.26187844356,27.0
2014-03-17,bl,0.0,0.0,37.746784655,3.5448602861,29.0
2014-03-18,bl,0.0,0.0,33.2271880717,2.61277502204,26.0
2014-03-19,bl,0.0,0.0,39.9654930077,4.39050474324,25.0
2014-03-20,bl,0.0,0.0,49.1052159481,7.25617390297,27.0
2014-03-21,bl,0.0,0.0,43.5375042252,5.45028560868,28.0
2014-03-22,bl,0.0,0.0,45.3983867383,5.04521855558,23.0
2014-03-23,bl,0.0,0.0,56.1073175343,8.46598397944,29.0
2014-03-24,bl,0.0,0.0,57.4654375091,9.45333908559,33.0
2014-03-25,bl,0.0,0.0,50.4949866825,7.76194521931,29.0
2014-03-26,bl,0.0,0.0,48.328151559,7.70359035593,32.0
2014-03-27,bl,0.0,0.0,52.3560480648,8.91970717576,37.0
2014-03-28,bl,0.0,0.0,53.7965103735,9.89827233086,42.0
2014-03-29,bl,0.0,0.0,47.446609873,6.96205760099,37.0
2014-03-30,bl,0.0,0.0,57.9789694462,9.00385316877,30.0
2014-03-31,bl,0.0,0.0,63.4125166886,11.6607777055,33.0
2014-04-01,bl,0.0,0.0,57.465880397,10.5104848728,36.0
2014-04-02,bl,0.0,0.0,61.6172590679,12.5539731665,34.0
2014-04-03,bl,0.0,0.0,67.4319813075,15.229206663,35.0
2014-04-04,bl,0.0,0.0,75.8783920588,18.4447681887,33.0
2014-04-05,bl,0.0,0.0,71.2889637075,14.7748152294,27.0
2014-04-06,bl,0.0,0.0,61.1794300584,10.7645449676,31.0
2014-04-07,bl,0.0,0.0,67.538970859,13.4812377761,36.0
2014-04-08,bl,0.0,0.0,63.8474831224,12.7548692562,32.0
2014-04-09,bl,0.0,0.0,58.3356846108,12.1651277527,35.0
2014-04-10,bl,0.0,0.0,59.8530148996,12.1152783037,38.0
2014-04-11,bl,0.0,0.0,58.1969890555,11.5332842745,33.0
2014-04-12,bl,0.0,0.0,50.924800535,7.89313647877,35.0
2014-04-13,bl,0.0,0.0,57.4032216079,9.6875989889,35.0
2014-04-14,bl,0.0,0.0,59.0846971037,12.1238837084,31.0
2014-04-15,bl,0.0,0.0,62.3390163331,11.2238062689,44.0
2014-04-16,bl,0.0,0.0,73.5974189436,13.4798735211,45.0
2014-04-17,bl,0.0,0.0,84.2524200151,14.4474429031,50.0
2014-04-18,bl,0.0,0.0,61.0562021562,6.98057365782,30.0
2014-04-19,bl,0.0,0.0,59.5825806101,8.47190688977,33.0
2014-04-20,bl,0.0,0.0,58.1359991845,8.90626596718,33.0
2014-04-21,bl,0.0,0.0,54.0590892186,8.87402355119,30.0
2014-04-22,bl,0.0,0.0,70.2032932532,16.5630915347,44.0
2014-04-23,bl,0.0,0.0,73.7063659893,14.8307343603,40.0
2014-04-24,bl,0.0,0.0,79.4903766955,17.6591504683,39.0
2014-04-25,bl,0.0,0.0,76.9352655282,8.92512156043,41.0
2014-04-26,bl,0.0,0.0,80.4443714803,11.7257551522,42.0
2014-04-27,bl,0.0,0.0,77.2597651192,11.8882053517,46.0
2014-04-28,bl,0.0,0.0,59.6836416893,11.0505539938,39.0
2014-04-29,bl,0.0,0.0,80.6324509636,19.8289201029,43.0
2014-04-30,bl,0.0,0.0,76.1116304171,16.2376357335,55.0
2014-05-01,bl,0.0,0.0,80.8302473478,12.9626523372,49.0
2014-05-02,bl,0.0,0.0,83.102865105,14.9214645264,44.0
