date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,bm,0.0,0.0,96.1755187366,15.0660048441,34.0
2011-09-09,bm,0.0,0.0,56.8135013553,3.8829210053,23.0
2011-09-11,bm,0.0,0.0,49.4545890252,4.02980392,38.0
2011-09-12,bm,0.0,0.0,57.0400571013,5.929184805,20.0
2011-09-13,bm,0.0,0.0,45.0821733801,3.83984378211,5.0
2011-09-14,bm,0.0,0.0,35.8563013352,2.38436220242,10.0
2011-09-15,bm,0.0,0.0,78.8148749966,10.2874253572,17.0
2011-09-16,bm,0.0,0.0,60.7915473556,4.47316585018,25.0
2011-09-17,bm,0.0,0.0,75.5132965343,6.98832425954,32.0
2011-09-18,bm,0.0,0.0,90.1452950207,8.4247617475,36.0
2011-09-19,bm,0.0,0.0,57.2905528449,3.28753189169,28.0
2011-09-20,bm,0.0,1.0,21.2180290714,0.0,30.0
2011-09-21,bm,0.0,0.0,33.0477726435,0.56205481483,28.0
2011-09-22,bm,0.0,0.0,44.8630686939,2.4467889523,29.0
2011-09-23,bm,0.0,0.0,61.1319366418,5.81054011297,28.0
2011-09-24,bm,0.0,0.0,70.5961804429,8.93007074747,33.0
2011-09-25,bm,0.0,0.0,76.7391969347,10.5745533809,21.0
2011-09-26,bm,0.0,0.0,58.8060489514,7.6110223675,13.0
2011-09-27,bm,0.0,0.0,61.809540963,8.85029643207,13.0
2011-09-28,bm,0.0,0.0,57.7900661298,8.57360492119,13.0
2011-09-29,bm,0.0,0.0,58.7155151541,8.00503555151,14.0
2011-09-30,bm,1.0,0.0,62.1871669011,7.83906436428,4.0
2011-10-01,bm,1.0,0.0,73.1377818923,10.2746994632,8.0
2011-10-02,bm,0.0,0.0,47.883878995,4.1546974032,9.0
2011-10-03,bm,0.0,0.0,36.8885369809,1.42411884739,15.0
2011-10-04,bm,0.0,0.0,36.2183451862,1.36059014973,14.0
2011-10-05,bm,0.0,0.0,37.397370414,1.54099248635,34.0
2011-10-06,bm,0.0,1.0,37.6457219418,2.34330508734,38.0
2011-10-07,bm,0.0,1.0,15.391255432,0.0,23.0
2011-10-08,bm,0.0,0.0,24.9056004448,0.0,18.0
2011-10-09,bm,0.0,1.0,29.8205284153,0.0,30.0
2011-10-10,bm,0.0,0.0,38.2667506717,2.20035302306,23.0
2011-10-11,bm,0.0,0.0,37.7452667059,2.25804278542,20.0
2011-10-12,bm,0.0,0.0,69.939557627,10.4535616923,17.0
2011-10-13,bm,0.0,0.0,82.8409375212,13.7836377144,23.0
2011-10-14,bm,0.0,0.0,60.0908626835,6.13962113656,27.0
2011-10-15,bm,0.0,0.0,41.2404827577,3.76736757246,24.0
2011-10-16,bm,0.0,0.0,59.0942548997,9.29964985289,25.0
2011-10-17,bm,0.0,0.0,52.594104974,5.57081704474,24.0
2011-10-18,bm,0.0,0.0,45.7688323703,4.4234009112,32.0
2011-10-19,bm,0.0,0.0,41.3498707296,2.9442936652,25.0
2011-10-20,bm,0.0,0.0,53.9071796332,5.5396940626,27.0
2011-10-21,bm,0.0,0.0,53.2100524831,6.35762790468,21.0
2011-10-22,bm,0.0,0.0,51.3528202998,5.53996501851,13.0
2011-10-23,bm,0.0,0.0,51.8411622469,6.01636036635,11.0
2011-10-24,bm,0.0,0.0,53.9563642097,4.94389359994,15.0
2011-10-25,bm,0.0,0.0,58.6780182078,8.87021079083,23.0
2011-10-26,bm,0.0,0.0,57.8745548042,5.05749173609,14.0
2011-10-27,bm,0.0,0.0,56.1148315442,5.30043894919,25.0
2011-10-28,bm,0.0,0.0,49.472481952,3.25148378557,22.0
2011-10-29,bm,0.0,0.0,34.3044446305,1.24659085271,25.0
2011-10-30,bm,0.0,1.0,30.0205140583,0.574613615852,31.0
2011-10-31,bm,0.0,0.0,37.3824308004,1.84663327437,30.0
2011-11-01,bm,0.0,0.0,53.1810571928,5.4706848729,21.0
2011-11-02,bm,0.0,0.0,39.1741035976,1.53561911047,26.0
2011-11-03,bm,0.0,0.0,55.3308156948,5.74571900914,30.0
2011-11-04,bm,0.0,0.0,56.6636494869,4.11209405102,29.0
2011-11-05,bm,0.0,0.0,67.9182507027,5.64879888906,26.0
2011-11-06,bm,0.0,0.0,76.7755343765,9.2129288212,25.0
2011-11-07,bm,0.0,0.0,61.9276459406,9.27998012118,20.0
2011-11-08,bm,0.0,0.0,52.9900551153,4.04617628004,21.0
2011-11-09,bm,0.0,0.0,77.100440038,4.5741273302,16.0
2011-11-10,bm,0.0,0.0,79.4979873469,7.58640857694,13.0
2011-11-11,bm,0.0,0.0,56.0287135732,8.80535041584,13.0
2011-11-12,bm,0.0,0.0,48.7925532259,6.15957541844,18.0
2011-11-13,bm,0.0,0.0,51.4570052899,5.89646581515,14.0
2011-11-14,bm,0.0,0.0,46.641820957,3.90809467901,8.0
2011-11-15,bm,0.0,0.0,49.1819728018,3.78999182123,7.0
2011-11-16,bm,0.0,0.0,42.5704473311,1.98282780504,4.0
2011-11-17,bm,0.0,0.0,32.0353921654,1.24011101783,6.0
2011-11-18,bm,0.0,0.0,31.4150915674,1.56657589429,8.0
2011-11-19,bm,0.0,0.0,42.2410090824,3.86867238941,18.0
2011-11-20,bm,0.0,0.0,36.6665102771,2.19107479161,26.0
2011-11-21,bm,0.0,1.0,25.0509645457,0.0,31.0
2011-11-22,bm,0.0,0.0,24.6193842523,0.0,23.0
2011-11-23,bm,0.0,1.0,20.4061656305,0.0,21.0
2011-11-24,bm,0.0,0.0,37.835659237,0.0,25.0
2011-11-25,bm,0.0,0.0,42.0069068075,0.0,12.0
2011-11-26,bm,0.0,0.0,71.6039037121,1.83745257732,17.0
2011-11-27,bm,0.0,0.0,65.0897981364,5.94443825684,15.0
2011-11-28,bm,0.0,0.0,67.6125461437,9.19984024002,14.0
2011-11-29,bm,0.0,0.0,50.9495510414,4.96107081093,19.0
2011-11-30,bm,0.0,0.0,44.1085535476,2.80515834764,13.0
2011-12-01,bm,0.0,0.0,48.0515445918,2.50968640129,18.0
2011-12-02,bm,0.0,0.0,39.292425991,0.398489181832,22.0
2011-12-03,bm,0.0,0.0,45.4019242405,1.19484934178,20.0
2011-12-04,bm,0.0,0.0,35.0752736225,1.75448542482,20.0
2011-12-05,bm,0.0,0.0,42.6857048332,2.35545824309,21.0
2011-12-06,bm,0.0,0.0,47.8374782243,4.04231983816,24.0
