date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,bn,0.0,0.0,175.930826957,38.7411553135,101.0
2011-09-09,bn,0.0,0.0,163.984424366,27.6658121627,90.0
2011-09-11,bn,0.0,0.0,180.065426707,44.9994771067,89.0
2011-09-12,bn,0.0,0.0,163.838461887,40.8454953233,87.0
2011-09-13,bn,0.0,0.0,170.581196573,50.6859379239,97.0
2011-09-14,bn,0.0,0.0,162.548566053,50.0716062508,113.0
2011-09-15,bn,0.0,0.0,190.242801716,45.2646715717,108.0
2011-09-16,bn,0.0,0.0,179.547128236,31.8713066826,92.0
2011-09-17,bn,0.0,0.0,194.376818857,34.9416212977,85.0
2011-09-18,bn,0.0,0.0,180.290590041,27.7521563447,96.0
2011-09-19,bn,0.0,0.0,182.154578276,30.1357090071,87.0
2011-09-20,bn,0.0,0.0,192.376796914,33.7911598658,89.0
2011-09-21,bn,0.0,0.0,213.433531656,42.7161659271,88.0
2011-09-22,bn,0.0,0.0,196.605801041,44.0422011414,86.0
2011-09-23,bn,0.0,0.0,172.76416877,38.0913185183,89.0
2011-09-24,bn,0.0,0.0,155.311596974,36.4072115089,89.0
2011-09-25,bn,0.0,0.0,172.663193103,40.9763943509,109.0
2011-09-26,bn,0.0,0.0,145.839001399,38.0551118375,87.0
2011-09-27,bn,0.0,0.0,149.769272333,41.3013833497,92.0
2011-09-28,bn,0.0,0.0,144.475165324,42.8680246059,76.0
2011-09-29,bn,0.0,0.0,141.608007136,39.2974472529,78.0
2011-09-30,bn,0.0,0.0,156.711660591,39.9079640363,82.0
2011-10-01,bn,0.0,0.0,164.560009258,41.098797853,91.0
2011-10-02,bn,0.0,0.0,179.564546231,49.8563688384,86.0
2011-10-03,bn,0.0,0.0,163.363520916,39.1632683031,92.0
2011-10-04,bn,0.0,0.0,168.15660265,40.1374094169,96.0
2011-10-05,bn,0.0,0.0,146.918240912,35.4428271859,100.0
2011-10-06,bn,0.0,0.0,141.798885981,36.7117797017,87.0
2011-10-07,bn,0.0,0.0,139.705241614,40.7181132966,88.0
2011-10-08,bn,0.0,0.0,160.641122869,42.501682374,85.0
2011-10-09,bn,0.0,0.0,166.723863413,42.2762083808,86.0
2011-10-10,bn,0.0,0.0,160.473470559,43.2736094535,84.0
2011-10-11,bn,0.0,0.0,169.853700176,46.6662175654,84.0
2011-10-12,bn,0.0,0.0,167.613767416,45.2987673332,79.0
2011-10-13,bn,0.0,0.0,163.05200401,44.5941220171,90.0
2011-10-14,bn,0.0,0.0,174.682740359,42.2098953139,94.0
2011-10-15,bn,0.0,0.0,138.613844825,39.9340962681,85.0
2011-10-16,bn,0.0,0.0,139.780641397,41.848424338,79.0
2011-10-17,bn,0.0,0.0,146.774246439,36.2103107908,81.0
2011-10-18,bn,0.0,0.0,140.827176524,38.3361412304,80.0
2011-10-19,bn,0.0,0.0,138.643684211,35.3315239824,68.0
2011-10-20,bn,0.0,0.0,159.214228219,39.470320196,88.0
2011-10-21,bn,0.0,0.0,146.327644328,38.1457674281,80.0
2011-10-22,bn,0.0,0.0,141.220255824,36.7022682476,81.0
2011-10-23,bn,0.0,0.0,128.475923829,32.0872552872,79.0
2011-10-24,bn,0.0,0.0,143.474877558,30.8993349996,75.0
2011-10-25,bn,0.0,0.0,122.690401707,33.4338714424,80.0
2011-10-26,bn,0.0,0.0,127.07239207,22.4777410493,83.0
2011-10-27,bn,0.0,0.0,146.132373813,29.1524142206,88.0
2011-10-28,bn,0.0,0.0,142.233385612,26.5537842489,83.0
2011-10-29,bn,0.0,0.0,143.343572206,31.1647713178,78.0
2011-10-30,bn,0.0,0.0,136.893544106,27.5814535609,72.0
2011-10-31,bn,0.0,0.0,131.441450234,27.6994991156,81.0
2011-11-01,bn,0.0,0.0,142.228408771,33.5079448465,83.0
2011-11-02,bn,0.0,0.0,155.390610937,26.1055248781,86.0
2011-11-03,bn,0.0,0.0,150.355477432,35.1127272781,83.0
2011-11-04,bn,0.0,0.0,164.462787535,29.9595423717,82.0
2011-11-05,bn,0.0,0.0,166.842659335,29.4992830873,86.0
2011-11-06,bn,0.0,0.0,150.707530443,30.4735337932,88.0
2011-11-07,bn,0.0,0.0,139.337203366,38.6665838383,92.0
2011-11-08,bn,0.0,0.0,157.645413968,34.3924983803,92.0
2011-11-09,bn,0.0,0.0,201.773492014,27.4447639812,108.0
2011-11-10,bn,0.0,0.0,181.928086428,32.242236452,151.0
2011-11-11,bn,0.0,0.0,129.635062777,40.8248064734,96.0
2011-11-12,bn,0.0,0.0,127.691149932,36.9574525106,80.0
2011-11-13,bn,0.0,0.0,139.828818723,36.0339577592,78.0
2011-11-14,bn,0.0,0.0,155.472736523,38.4295976769,81.0
2011-11-15,bn,0.0,0.0,159.841411606,37.2682529087,90.0
2011-11-16,bn,0.0,0.0,192.212019768,35.6909004907,85.0
2011-11-17,bn,0.0,0.0,227.680108604,66.9659949629,91.0
2011-11-18,bn,0.0,0.0,151.465620057,48.5638527229,85.0
2011-11-19,bn,0.0,0.0,134.936556791,37.9129894162,97.0
2011-11-20,bn,0.0,0.0,138.110522044,34.3268384019,79.0
2011-11-21,bn,0.0,0.0,146.548142592,37.1256420924,83.0
2011-11-22,bn,0.0,0.0,164.561147371,37.6238214591,84.0
2011-11-23,bn,0.0,0.0,189.934310868,32.1340733635,94.0
2011-11-24,bn,0.0,0.0,287.105884799,41.5037571919,131.0
2011-11-25,bn,0.0,0.0,254.141786186,14.8782242086,60.0
2011-11-26,bn,0.0,0.0,270.503636246,23.1519024742,68.0
2011-11-27,bn,0.0,0.0,157.877382714,31.7036707031,71.0
2011-11-28,bn,0.0,0.0,148.998018354,36.0916809416,69.0
2011-11-29,bn,0.0,0.0,142.184793604,32.246960271,67.0
2011-11-30,bn,0.0,0.0,145.558226707,28.0515834764,68.0
2011-12-01,bn,0.0,0.0,183.849388003,25.3757180575,72.0
2011-12-02,bn,0.0,0.0,132.43002834,6.57507150023,75.0
2011-12-03,bn,0.0,0.0,134.870422009,11.9484934178,83.0
2011-12-04,bn,0.0,0.0,117.671885701,24.5627959475,67.0
2011-12-05,bn,0.0,0.0,145.131396433,31.4061099079,89.0
