date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,bo,0.0,0.0,394.7680486,125.428403233,201.0
2011-09-09,bo,0.0,0.0,413.485029917,87.8830817295,196.0
2011-09-11,bo,0.0,0.0,304.172159685,96.5476954556,175.0
2011-09-12,bo,0.0,0.0,347.79221084,136.510984992,175.0
2011-09-13,bo,0.0,0.0,368.354222882,146.773457284,198.0
2011-09-14,bo,0.0,0.0,348.429136393,136.623809939,177.0
2011-09-15,bo,0.0,0.0,344.846499926,105.969495615,183.0
2011-09-16,bo,0.0,0.0,351.666746801,84.1905550342,195.0
2011-09-17,bo,0.0,0.0,302.632874924,66.0521650315,190.0
2011-09-18,bo,0.0,0.0,322.12311004,65.5637079201,177.0
2011-09-19,bo,0.0,0.0,342.350338815,65.6750468765,187.0
2011-09-20,bo,0.0,0.0,355.998312649,79.5593637561,209.0
2011-09-21,bo,0.0,0.0,324.698449121,69.4113859204,219.0
2011-09-22,bo,0.0,0.0,312.313364752,81.9485984364,237.0
2011-09-23,bo,0.0,0.0,332.808654072,91.9204754564,227.0
2011-09-24,bo,0.0,0.0,313.805094876,94.6656116342,191.0
2011-09-25,bo,0.0,0.0,293.145367799,84.0972141482,172.0
2011-09-26,bo,0.0,0.0,276.441222867,96.8625310624,176.0
2011-09-27,bo,0.0,0.0,311.535511455,115.908138113,195.0
2011-09-28,bo,0.0,0.0,318.004269042,127.7072326,205.0
2011-09-29,bo,0.0,0.0,332.707860762,137.153645118,188.0
2011-09-30,bo,0.0,0.0,356.830735262,122.808337983,218.0
2011-10-01,bo,0.0,0.0,322.233839553,101.933895912,182.0
2011-10-02,bo,0.0,0.0,269.069310834,86.0631713079,152.0
2011-10-03,bo,0.0,0.0,299.584767847,93.0303194393,182.0
2011-10-04,bo,0.0,0.0,320.080864037,101.593478497,202.0
2011-10-05,bo,0.0,0.0,337.870706622,123.110025114,206.0
2011-10-06,bo,0.0,0.0,293.54419771,112.107048952,204.0
2011-10-07,bo,0.0,0.0,323.241334579,132.21293723,204.0
2011-10-08,bo,0.0,0.0,290.124461761,99.3800052523,181.0
2011-10-09,bo,0.0,0.0,271.091121896,84.6946540071,142.0
2011-10-10,bo,0.0,0.0,287.861202897,98.9284098717,187.0
2011-10-11,bo,0.0,0.0,321.041420289,113.323670335,230.0
2011-10-12,bo,0.0,0.0,314.536242247,107.243991186,244.0
2011-10-13,bo,0.0,0.0,344.266660915,122.055979224,237.0
2011-10-14,bo,0.0,0.0,360.336640716,115.530063446,221.0
2011-10-15,bo,0.0,0.0,266.813113826,98.8088291047,217.0
2011-10-16,bo,0.0,0.0,212.256660088,77.1424804004,200.0
2011-10-17,bo,0.0,0.0,284.011174542,99.1129677008,204.0
2011-10-18,bo,0.0,0.0,333.665602244,131.190882702,233.0
2011-10-19,bo,0.0,0.0,369.410516113,138.682497253,212.0
2011-10-20,bo,0.0,0.0,370.895503771,124.970668957,211.0
2011-10-21,bo,0.0,0.0,307.458007817,108.327641744,206.0
2011-10-22,bo,0.0,0.0,319.717471306,114.033092057,142.0
2011-10-23,bo,0.0,0.0,279.540127385,106.824022366,160.0
2011-10-24,bo,0.0,0.0,313.238161273,98.3803270612,228.0
2011-10-25,bo,0.0,0.0,306.453258496,126.204236409,267.0
2011-10-26,bo,0.0,0.0,325.028044003,100.462447706,196.0
2011-10-27,bo,0.0,0.0,316.498859042,83.4849945423,186.0
2011-10-28,bo,0.0,0.0,326.876139276,81.7983895692,190.0
2011-10-29,bo,0.0,0.0,231.693957832,62.296621594,146.0
2011-10-30,bo,0.0,0.0,251.460780362,66.5054339133,146.0
2011-10-31,bo,0.0,0.0,343.831733905,108.284670961,173.0
2011-11-01,bo,0.0,0.0,406.204478891,143.514411031,175.0
2011-11-02,bo,0.0,0.0,300.099632878,86.784197408,173.0
2011-11-03,bo,0.0,0.0,284.426120604,88.5031387019,171.0
2011-11-04,bo,0.0,0.0,338.093137772,80.8498757838,182.0
2011-11-05,bo,0.0,0.0,278.498596926,67.4489384353,178.0
2011-11-06,bo,0.0,0.0,267.920556924,75.4696227372,175.0
2011-11-07,bo,0.0,0.0,272.875025706,92.3461841382,187.0
2011-11-08,bo,0.0,0.0,306.691754299,80.3019522123,181.0
2011-11-09,bo,0.0,0.0,371.121930399,59.8996812064,173.0
2011-11-10,bo,0.0,0.0,340.410187521,77.7713021357,174.0
2011-11-11,bo,0.0,0.0,260.850119113,103.697895972,160.0
2011-11-12,bo,0.0,0.0,237.491784268,90.7407170362,163.0
2011-11-13,bo,0.0,0.0,249.99920755,85.8159339813,152.0
2011-11-14,bo,0.0,0.0,282.522205857,93.7119988251,170.0
2011-11-15,bo,0.0,0.0,297.895011041,79.121610766,193.0
2011-11-16,bo,0.0,0.0,292.28180655,62.6042813647,186.0
2011-11-17,bo,0.0,0.0,259.113141681,78.3732833412,183.0
2011-11-18,bo,0.0,0.0,243.86554508,85.2251408837,182.0
2011-11-19,bo,0.0,0.0,254.491871418,89.5789222675,153.0
2011-11-20,bo,0.0,0.0,244.076374803,79.392237332,132.0
2011-11-21,bo,0.0,0.0,276.331738075,92.3129826822,151.0
2011-11-22,bo,0.0,0.0,314.919376036,97.1676404712,178.0
2011-11-23,bo,0.0,0.0,366.626676628,85.8694623862,206.0
2011-11-24,bo,0.0,0.0,526.300782504,90.6813987288,273.0
2011-11-25,bo,0.0,0.0,489.62671087,35.2578444361,142.0
2011-11-26,bo,0.0,0.0,388.321787851,42.6460399261,141.0
2011-11-27,bo,0.0,0.0,225.180204214,67.5518145963,141.0
2011-11-28,bo,0.0,0.0,242.128075833,79.0447561688,155.0
2011-11-29,bo,0.0,0.0,276.529966552,78.7560720531,144.0
2011-11-30,bo,0.0,0.0,302.112786688,60.941927444,153.0
2011-12-01,bo,0.0,0.0,358.031287813,59.5311882339,185.0
2011-12-02,bo,0.0,0.0,271.77534928,23.961274753,180.0
2011-12-03,bo,0.0,0.0,250.378850254,30.1651177599,170.0
2011-12-04,bo,0.0,0.0,207.274665713,59.3325089241,130.0
2011-12-05,bo,0.0,0.0,289.409792336,85.5452673597,170.0
2011-12-06,bo,0.0,0.0,256.776737712,75.4174501165,165.0
2011-12-07,bo,0.0,0.0,273.729307385,86.4865815278,176.0
2011-12-08,bo,0.0,0.0,286.196348696,96.760858737,201.0
2011-12-09,bo,0.0,0.0,292.872490526,93.6534633847,178.0
2011-12-10,bo,0.0,0.0,278.029014605,90.1677014659,141.0
2011-12-11,bo,0.0,0.0,246.099872424,72.441867317,142.0
2011-12-12,bo,0.0,0.0,247.826075519,89.6735835129,164.0
2011-12-13,bo,0.0,0.0,269.461419672,91.089710576,166.0
2011-12-14,bo,0.0,0.0,287.058754493,90.4035791918,167.0
2011-12-15,bo,0.0,0.0,322.087174396,103.906025024,163.0
2011-12-16,bo,0.0,0.0,293.205708811,100.496181728,162.0
2011-12-17,bo,0.0,0.0,245.322264018,74.3119081485,145.0
2011-12-18,bo,0.0,0.0,236.052488596,76.8203702639,138.0
2011-12-19,bo,0.0,0.0,261.756093843,87.0945458189,193.0
2011-12-20,bo,0.0,0.0,262.42071808,92.740884141,205.0
2011-12-21,bo,0.0,0.0,273.241698073,89.8570582889,201.0
2011-12-22,bo,0.0,0.0,269.175452804,89.2919361672,188.0
2011-12-23,bo,0.0,0.0,240.445977771,89.525196047,177.0
2011-12-24,bo,0.0,0.0,213.830361495,75.890846968,149.0
2011-12-25,bo,0.0,0.0,250.861908105,75.7937499931,175.0
2011-12-26,bo,0.0,0.0,281.433805468,104.575946974,143.0
2011-12-27,bo,0.0,0.0,321.190055503,120.355221373,146.0
2011-12-28,bo,0.0,0.0,326.370243698,109.349631871,157.0
2011-12-29,bo,0.0,0.0,301.674300736,104.545165927,179.0
2011-12-30,bo,0.0,0.0,304.061238839,94.7200325129,188.0
2011-12-31,bo,0.0,0.0,253.39465892,73.183097371,165.0
2012-01-01,bo,0.0,0.0,254.298223348,71.4940602517,145.0
2012-01-02,bo,0.0,0.0,278.252289369,64.0692593985,147.0
2012-01-03,bo,0.0,0.0,249.400018841,71.3425296532,166.0
2012-01-04,bo,0.0,0.0,271.496644447,87.0366470632,173.0
2012-01-05,bo,0.0,0.0,352.416321044,99.2127251445,178.0
2012-01-06,bo,0.0,0.0,455.403692284,66.9588620069,179.0
2012-01-07,bo,0.0,0.0,466.203713993,85.9353166652,179.0
2012-01-09,bo,0.0,0.0,460.320734821,58.8656479895,208.0
2012-01-10,bo,0.0,0.0,422.690130567,69.1021873844,194.0
2012-01-11,bo,0.0,0.0,303.900728212,84.4975131023,171.0
2012-01-12,bo,0.0,0.0,324.919471167,73.0724660813,213.0
2012-01-13,bo,0.0,0.0,333.897833642,57.7267290069,228.0
2012-01-14,bo,0.0,0.0,306.499889808,51.8820969056,214.0
2012-01-16,bo,0.0,0.0,333.187275958,56.3321293316,205.0
2012-01-17,bo,0.0,0.0,351.946655737,51.725060371,214.0
2012-01-18,bo,0.0,0.0,269.169644816,96.2068710437,198.0
2012-01-19,bo,0.0,0.0,349.789311014,94.4660326178,224.0
2012-01-20,bo,0.0,0.0,387.255074578,116.924766751,253.0
2012-01-21,bo,0.0,0.0,359.504372931,93.5527931412,216.0
2012-01-22,bo,0.0,0.0,321.652171293,77.4324700176,190.0
2012-01-23,bo,0.0,0.0,355.918423128,66.9341344873,178.0
2012-01-24,bo,0.0,0.0,360.140579787,93.1701583379,201.0
2012-01-25,bo,0.0,0.0,335.263594785,108.504753708,186.0
2012-01-26,bo,0.0,0.0,357.856398579,105.55732761,178.0
2012-01-27,bo,0.0,0.0,396.649231895,114.952374857,182.0
2012-01-28,bo,0.0,0.0,343.898374197,96.6941602943,188.0
2012-01-29,bo,0.0,0.0,328.193186492,84.6823838681,174.0
2012-01-30,bo,0.0,0.0,314.842816514,88.8464658189,197.0
2012-01-31,bo,0.0,0.0,351.112199874,101.298927033,201.0
2012-02-01,bo,0.0,0.0,340.054040603,89.1987046499,195.0
2012-02-02,bo,0.0,0.0,317.340645722,94.6634519845,204.0
2012-02-03,bo,0.0,0.0,334.156185998,96.6535527544,229.0
2012-02-04,bo,0.0,0.0,321.783437041,106.377851989,253.0
2012-02-05,bo,0.0,0.0,286.673937721,89.9304818976,234.0
2012-02-06,bo,0.0,0.0,316.467718802,108.530948666,241.0
2012-02-07,bo,0.0,0.0,316.911043288,96.8548347185,243.0
2012-02-08,bo,0.0,0.0,339.611227566,115.847973918,232.0
2012-02-09,bo,0.0,0.0,377.151712087,120.11147793,226.0
2012-02-10,bo,0.0,0.0,378.086331486,117.657968935,234.0
2012-02-11,bo,0.0,0.0,388.598568155,163.30855928,192.0
2012-02-12,bo,0.0,0.0,356.779571759,151.345734847,168.0
2012-02-13,bo,0.0,0.0,449.792213009,131.441794543,183.0
