date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,br,0.0,0.0,15346.7681748,7784.58420664,12652.0
2011-09-09,br,0.0,0.0,17940.3222372,6424.19394358,13393.0
2011-09-11,br,0.0,0.0,15897.7878401,8131.50854575,12185.0
2011-09-12,br,0.0,0.0,16796.1747397,9169.60230102,12980.0
2011-09-13,br,0.0,0.0,16892.7919653,10006.4062689,13848.0
2011-09-14,br,0.0,0.0,15161.2058422,9546.60304245,13539.0
2011-09-15,br,0.0,0.0,17352.732083,8930.0845681,14193.0
2011-09-16,br,0.0,0.0,19410.5959422,7511.77989366,14504.0
2011-09-17,br,0.0,0.0,18056.2747885,6607.30577019,13641.0
2011-09-18,br,0.0,0.0,17945.4716913,5971.36757334,13656.0
2011-09-19,br,0.0,0.0,19693.1363545,6875.01932341,14798.0
2011-09-20,br,0.0,0.0,20144.7122849,7315.30878873,15270.0
2011-09-21,br,0.0,0.0,19243.2155173,7369.54096962,15169.0
2011-09-22,br,0.0,0.0,19316.5069549,8415.44501106,15377.0
2011-09-23,br,0.0,0.0,19860.9132928,9055.03903574,15252.0
2011-09-24,br,0.0,0.0,18067.0947398,9060.6735145,13866.0
2011-09-25,br,0.0,0.0,17984.050024,8739.41919512,13860.0
2011-09-26,br,0.0,0.0,17834.6669103,9975.84283986,14639.0
2011-09-27,br,0.0,0.0,18710.9998914,10956.2936774,15765.0
2011-09-28,br,0.0,0.0,18055.9309104,11464.3868977,15621.0
2011-09-29,br,0.0,0.0,17996.7037203,11147.8243561,15375.0
2011-09-30,br,0.0,0.0,19488.6191022,10621.9243897,16197.0
2011-10-01,br,0.0,0.0,18613.6615143,9849.65276747,15475.0
2011-10-02,br,0.0,0.0,17087.6658134,9299.40770265,14101.0
2011-10-03,br,0.0,0.0,19846.7636649,10095.989107,15696.0
2011-10-04,br,0.0,0.0,20828.8658448,10482.3366438,16440.0
2011-10-05,br,0.0,0.0,20599.361651,12253.2115471,17148.0
2011-10-06,br,0.0,0.0,19832.8444041,11684.0605479,16235.0
2011-10-07,br,0.0,0.0,19592.5292263,12638.8075622,15959.0
2011-10-08,br,0.0,0.0,19792.4522354,11136.2669003,14863.0
2011-10-09,br,0.0,0.0,19663.4053172,10799.6993633,14935.0
2011-10-10,br,0.0,0.0,19825.5937283,11379.0481481,15583.0
2011-10-11,br,0.0,0.0,21262.0945743,12061.4930235,16114.0
2011-10-12,br,0.0,0.0,21266.1407939,11621.7709597,15300.0
2011-10-13,br,0.0,0.0,21921.6404957,12899.3776348,17098.0
2011-10-14,br,0.0,0.0,22961.7023679,11888.5938055,16509.0
2011-10-15,br,0.0,0.0,17530.425593,10836.6311798,15072.0
2011-10-16,br,0.0,0.0,17427.6667581,11224.0948167,15973.0
2011-10-17,br,0.0,0.0,18985.6705397,10957.6037647,17060.0
2011-10-18,br,0.0,0.0,19205.034469,11694.2869406,18027.0
2011-10-19,br,0.0,0.0,19162.3278303,10944.9521751,18483.0
2011-10-20,br,0.0,0.0,22054.7234007,11473.7162356,19963.0
2011-10-21,br,0.0,0.0,18831.9916894,10217.4746227,17115.0
2011-10-22,br,0.0,0.0,18131.635725,10132.202512,14877.0
2011-10-23,br,0.0,0.0,18003.287745,11048.8543183,13911.0
2011-10-24,br,0.0,0.0,21242.1808428,10657.144626,15413.0
2011-10-25,br,0.0,0.0,19432.208167,12410.4463462,14871.0
2011-10-26,br,0.0,0.0,23887.0535609,10179.1502948,14974.0
2011-10-27,br,0.0,0.0,23944.6342912,10302.13159,14617.0
2011-10-28,br,0.0,0.0,21677.913806,9021.61296296,12590.0
2011-10-29,br,0.0,0.0,18760.4543811,9039.7313577,11583.0
2011-10-30,br,0.0,0.0,17234.1030725,7744.73418807,11086.0
2011-10-31,br,0.0,0.0,18974.4409109,9297.17811001,13439.0
2011-11-01,br,0.0,0.0,18793.4967698,9938.85858314,14200.0
2011-11-02,br,0.0,0.0,18520.8509448,8578.19852036,13025.0
2011-11-03,br,0.0,0.0,17975.4798525,9115.28101188,13965.0
2011-11-04,br,0.0,0.0,17960.421131,7144.4818596,14374.0
2011-11-05,br,0.0,0.0,17309.6567502,7247.77340915,13739.0
2011-11-06,br,0.0,0.0,15878.7441661,7877.5157868,12600.0
2011-11-07,br,0.0,0.0,16486.9271871,10087.7930243,13381.0
2011-11-08,br,0.0,0.0,19388.9452414,9286.83236579,14655.0
2011-11-09,br,0.0,0.0,22105.1398624,6378.34410358,17371.0
2011-11-10,br,0.0,0.0,22146.7138732,8470.77106502,17584.0
2011-11-11,br,0.0,0.0,16161.4409707,11244.5304139,13534.0
2011-11-12,br,0.0,0.0,14664.8681078,9219.62344659,11517.0
2011-11-13,br,0.0,0.0,14460.9253796,8159.79690265,10845.0
2011-11-14,br,0.0,0.0,16216.9545125,8835.9462164,11560.0
2011-11-15,br,0.0,0.0,18568.6916128,8982.36589987,12404.0
2011-11-16,br,0.0,0.0,22851.6458012,8609.10651321,14045.0
2011-11-17,br,0.0,0.0,20717.5620301,10535.8586943,14281.0
2011-11-18,br,0.0,0.0,15534.9393592,10341.9906537,13191.0
2011-11-19,br,0.0,0.0,13966.0096423,8628.82987216,12127.0
2011-11-20,br,0.0,0.0,13700.5653452,7655.57304586,12443.0
2011-11-21,br,0.0,0.0,14910.7937559,8309.74462222,13254.0
2011-11-22,br,0.0,0.0,16301.7053875,8117.14031908,13431.0
2011-11-23,br,0.0,0.0,22304.5417889,8555.85405441,16054.0
2011-11-24,br,0.0,0.0,32835.6830546,9905.93497487,22004.0
2011-11-25,br,0.0,0.0,28511.7927903,3775.77490516,14117.0
2011-11-26,br,0.0,0.0,24835.0069207,4345.80440617,13001.0
2011-11-27,br,0.0,0.0,17808.12842,7989.22754517,11315.0
2011-11-28,br,0.0,0.0,16786.2960555,9284.76460821,12210.0
2011-11-29,br,0.0,0.0,16381.3633848,8035.95964052,11896.0
2011-11-30,br,0.0,0.0,19072.1125661,6181.26188604,11431.0
2011-12-01,br,0.0,0.0,23174.0571502,6129.73983317,13151.0
2011-12-02,br,0.0,0.0,20794.6042355,2926.35640197,12299.0
2011-12-03,br,0.0,0.0,17910.5355722,3721.47297577,10515.0
2011-12-04,br,0.0,0.0,12913.3587021,6608.59684381,9097.0
2011-12-05,br,0.0,0.0,17886.5203591,9298.71211738,12223.0
2011-12-06,br,0.0,0.0,15897.5792472,9294.81267753,11553.0
2011-12-07,br,0.0,0.0,15884.9500393,9151.57923755,11532.0
2011-12-08,br,0.0,0.0,16561.450266,8496.21546402,11452.0
2011-12-09,br,0.0,0.0,16305.3412841,7973.53419499,11015.0
2011-12-10,br,0.0,0.0,13479.9859751,7464.11745609,9797.0
2011-12-11,br,0.0,0.0,12942.6604003,7318.06272113,9637.0
2011-12-12,br,0.0,0.0,14136.3389041,8563.35823236,10827.0
2011-12-13,br,0.0,0.0,14565.3425336,8816.61563295,11425.0
2011-12-14,br,0.0,0.0,15019.4036796,7819.90146991,11704.0
2011-12-15,br,0.0,0.0,14864.8136673,7705.56078264,11688.0
2011-12-16,br,0.0,0.0,14508.8296942,8259.24994199,11878.0
2011-12-17,br,0.0,0.0,13327.1369629,7163.1027135,10267.0
2011-12-18,br,0.0,0.0,12544.0801771,7170.0682528,9817.0
2011-12-19,br,0.0,0.0,13716.0990274,7664.69121063,10797.0
2011-12-20,br,0.0,0.0,14412.936544,8514.94629911,11216.0
2011-12-21,br,0.0,0.0,15263.0923838,8415.37630479,11058.0
2011-12-22,br,0.0,0.0,15308.9984836,8559.79472489,10737.0
2011-12-23,br,0.0,0.0,13993.2691386,8803.92847658,10208.0
2011-12-24,br,0.0,0.0,11815.2187896,7455.83843037,9104.0
2011-12-25,br,0.0,0.0,13700.1333725,7654.95303674,10259.0
2011-12-26,br,0.0,0.0,12561.7239946,7658.03902071,10204.0
2011-12-27,br,0.0,0.0,13831.6583808,8785.73403546,11549.0
2011-12-28,br,0.0,0.0,14089.7036432,8099.92589668,11224.0
2011-12-29,br,0.0,0.0,13735.7512879,7857.09244196,11290.0
2011-12-30,br,0.0,0.0,13983.963795,7106.793618,10609.0
2011-12-31,br,0.0,0.0,11867.7820552,6234.58773231,8840.0
2012-01-01,br,0.0,0.0,11910.2575063,5545.42542405,8318.0
2012-01-02,br,0.0,0.0,15427.6320734,6255.17654134,10777.0
2012-01-03,br,0.0,0.0,15448.6386792,7729.9412873,11768.0
2012-01-04,br,0.0,0.0,15319.7891328,8363.39565485,12005.0
2012-01-05,br,0.0,0.0,17967.0663425,8279.82039094,13504.0
2012-01-06,br,0.0,0.0,20752.0041958,5127.65941864,14668.0
2012-01-07,br,0.0,0.0,18927.085302,7443.66872231,14518.0
2012-01-09,br,0.0,0.0,25719.1344838,6976.81152587,18041.0
2012-01-10,br,0.0,0.0,23033.4082195,7676.56590555,16383.0
2012-01-11,br,0.0,0.0,16736.1566714,7965.5042996,12962.0
2012-01-12,br,0.0,0.0,19831.9011305,7092.09922136,14326.0
2012-01-13,br,0.0,0.0,21880.8221028,6261.08621807,13361.0
2012-01-14,br,0.0,0.0,19837.4878484,5499.82137044,12212.0
2012-01-16,br,0.0,0.0,22889.1895137,6515.92784133,12314.0
2012-01-17,br,0.0,0.0,23130.7079412,6076.21251852,14129.0
2012-01-18,br,0.0,0.0,16124.1076149,9648.8096173,12748.0
2012-01-19,br,0.0,0.0,19143.8339173,8137.24878768,13211.0
2012-01-20,br,0.0,0.0,18640.0701804,8663.21285321,13671.0
2012-01-21,br,0.0,0.0,16708.3174374,6808.93396023,12287.0
2012-01-22,br,0.0,0.0,16007.3818759,6260.6166715,11917.0
2012-01-23,br,0.0,0.0,17429.0559471,5056.03450156,12912.0
2012-01-24,br,0.0,0.0,19498.8637666,7765.56367417,14073.0
2012-01-25,br,0.0,0.0,18116.8295195,8274.79459584,13903.0
2012-01-26,br,0.0,0.0,17313.5050122,7862.64081033,14121.0
2012-01-27,br,0.0,0.0,17790.9683855,7699.84345376,14097.0
2012-01-28,br,0.0,0.0,15909.0710548,6997.63959429,12572.0
2012-01-29,br,0.0,0.0,16548.1539553,6933.87591855,12852.0
2012-01-30,br,0.0,0.0,18247.7038978,8470.5858063,14302.0
2012-01-31,br,0.0,0.0,19836.5445407,9233.78425916,15822.0
2012-02-01,br,0.0,0.0,20416.0226808,8829.30373873,16088.0
2012-02-02,br,0.0,0.0,20025.8627726,10081.7356146,15836.0
2012-02-03,br,0.0,0.0,20601.6941279,10145.3053852,15783.0
2012-02-04,br,0.0,0.0,17203.1443805,9559.0551574,13583.0
2012-02-05,br,0.0,0.0,16539.9876876,9300.05066829,13025.0
2012-02-06,br,0.0,0.0,18592.0947382,10253.9988109,14552.0
2012-02-07,br,0.0,0.0,20172.0166038,9994.86850868,15049.0
2012-02-08,br,0.0,0.0,22465.8115061,12757.5461505,16466.0
