date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,by,0.0,0.0,4651.46532018,2235.9282797,3026.0
2011-09-09,by,0.0,0.0,4923.56340481,1660.20692993,2909.0
2011-09-11,by,0.0,0.0,3697.24767023,1754.35371281,2664.0
2011-09-12,by,0.0,0.0,4170.19960607,2131.33915079,3159.0
2011-09-13,by,0.0,0.0,4177.82655138,2314.08242152,3322.0
2011-09-14,by,0.0,0.0,4123.50495921,2436.57733705,3317.0
2011-09-15,by,0.0,0.0,4291.7214523,2061.01330666,3215.0
2011-09-16,by,0.0,0.0,4368.99859484,1570.72389446,2877.0
2011-09-17,by,0.0,0.0,3682.39207738,1239.31302814,2296.0
2011-09-18,by,0.0,0.0,4071.13494949,1254.40803061,2429.0
2011-09-19,by,0.0,0.0,4950.46020548,1616.10583235,2992.0
2011-09-20,by,0.0,0.0,4988.24132587,1696.16121173,3068.0
2011-09-21,by,0.0,0.0,4865.19825553,1745.6839114,3149.0
2011-09-22,by,0.0,0.0,4523.63614164,1839.50172362,3094.0
2011-09-23,by,0.0,0.0,4089.32406236,1726.24161444,2801.0
2011-09-24,by,0.0,0.0,3177.81676322,1454.20757444,2261.0
2011-09-25,by,0.0,0.0,3335.72034078,1485.64839312,2311.0
2011-09-26,by,0.0,0.0,3739.28176616,1940.51974952,2664.0
2011-09-27,by,0.0,0.0,3896.34093849,2118.33018917,2937.0
2011-09-28,by,0.0,0.0,3881.75365404,2292.40985884,2849.0
2011-09-29,by,0.0,0.0,3752.72174168,2158.87280901,2697.0
2011-09-30,by,0.0,0.0,3720.8589898,1870.95200808,2588.0
2011-10-01,by,0.0,0.0,3174.7053051,1529.88649836,2146.0
2011-10-02,by,0.0,0.0,2977.79462986,1478.31764284,2050.0
2011-10-03,by,0.0,0.0,3758.66745439,1760.09280887,2570.0
2011-10-04,by,0.0,0.0,4030.02757291,1875.85867521,2812.0
2011-10-05,by,0.0,0.0,3905.27430603,2144.59494884,2924.0
2011-10-06,by,0.0,0.0,3621.45384624,1963.00990433,2733.0
2011-10-07,by,0.0,0.0,3265.81326294,1929.6564261,2568.0
2011-10-08,by,0.0,0.0,2880.70823,1465.55200765,2377.0
2011-10-09,by,0.0,0.0,3002.57292605,1489.28660522,2313.0
2011-10-10,by,0.0,0.0,3386.44297722,1780.96446856,2633.0
2011-10-11,by,0.0,0.0,3783.92143526,1977.13293094,2860.0
2011-10-12,by,0.0,0.0,3770.43841144,1900.577679,2762.0
2011-10-13,by,0.0,0.0,3843.60042203,2079.3832754,2928.0
2011-10-14,by,0.0,0.0,3855.59837095,1828.06987571,2944.0
2011-10-15,by,0.0,0.0,2929.5573809,1652.71408085,2057.0
2011-10-16,by,0.0,0.0,2823.84361323,1655.36605181,2310.0
2011-10-17,by,0.0,0.0,3343.10579758,1771.07225719,3172.0
2011-10-18,by,0.0,1.0,3543.92395164,1990.66006922,3836.0
2011-10-19,by,0.0,1.0,3598.55921696,1894.46045936,3940.0
2011-10-20,by,0.0,0.0,3926.60860727,1884.66182779,3834.0
2011-10-21,by,0.0,0.0,3489.49966673,1748.6902242,3074.0
2011-10-22,by,0.0,0.0,2601.07426407,1310.01934244,1948.0
2011-10-23,by,0.0,0.0,2727.0410321,1519.97460567,2255.0
2011-10-24,by,0.0,0.0,4096.39502918,1906.27617134,3901.0
2011-10-25,by,0.0,0.0,4266.52757035,2554.30065128,3816.0
2011-10-26,by,0.0,0.0,5252.61100891,2099.80358417,3311.0
2011-10-27,by,0.0,0.0,4751.29974271,1910.98181654,4153.0
2011-10-28,by,0.0,0.0,4041.51971775,1556.85341854,2930.0
2011-10-29,by,0.0,0.0,2586.5519182,1119.1570917,1965.0
2011-10-30,by,0.0,0.0,2922.78476021,1196.05134288,2292.0
2011-10-31,by,0.0,0.0,4941.69636371,2282.48116377,3182.0
2011-11-01,by,0.0,0.0,4963.53330229,2472.99754482,3555.0
2011-11-02,by,0.0,0.0,4233.23448139,1830.71670096,3360.0
2011-11-03,by,0.0,0.0,5242.69918056,2518.44214266,3313.0
2011-11-04,by,0.0,0.0,4325.46693854,1602.59383643,3096.0
2011-11-05,by,0.0,0.0,3079.19801348,1167.67882729,2771.0
2011-11-06,by,0.0,0.0,3419.18602602,1558.27086144,2511.0
2011-11-07,by,0.0,0.0,4033.78250238,2306.00280202,2502.0
2011-11-08,by,0.0,0.0,5003.1289906,2251.00559197,3050.0
2011-11-09,by,0.0,0.0,5879.58596696,1592.68816107,3105.0
2011-11-10,by,0.0,0.0,5424.84578736,1941.74017391,3075.0
2011-11-11,by,0.0,0.0,3603.66768372,2333.66384972,2767.0
2011-11-12,by,0.0,0.0,3071.1711513,1785.71737105,2371.0
2011-11-13,by,0.0,0.0,2997.69874037,1558.29687259,2232.0
2011-11-14,by,0.0,0.0,3158.1559139,1581.23394809,2647.0
2011-11-15,by,0.0,0.0,4004.55399977,1800.01377609,2909.0
2011-11-16,by,0.0,0.0,4239.50927533,1478.78984116,2882.0
2011-11-17,by,0.0,0.0,3762.14149814,1769.63963677,2774.0
2011-11-18,by,0.0,0.0,3297.37956905,2031.61748779,2495.0
2011-11-19,by,0.0,0.0,2992.88375788,1700.93480933,2175.0
2011-11-20,by,0.0,0.0,2939.14567224,1506.23033732,2015.0
2011-11-21,by,0.0,0.0,3540.09816644,1829.90075985,2422.0
2011-11-22,by,0.0,0.0,3957.1690457,1835.02063084,2492.0
2011-11-23,by,0.0,0.0,4747.87457738,1688.40718331,2624.0
2011-11-24,by,0.0,0.0,6625.99470656,1846.76004301,3213.0
2011-11-25,by,0.0,0.0,5616.53010693,683.519959722,2386.0
2011-11-26,by,0.0,0.0,4656.44000882,743.088057165,1999.0
2011-11-27,by,0.0,0.0,3024.33533976,1228.60107719,2004.0
2011-11-28,by,0.0,0.0,3198.03228711,1622.01102954,2360.0
2011-11-29,by,0.0,0.0,3166.62246619,1427.09050992,2262.0
2011-11-30,by,0.0,0.0,3250.81025586,966.156814527,2125.0
2011-12-01,by,0.0,0.0,3519.5637821,858.289291453,2419.0
2011-12-02,by,0.0,0.0,3670.22408388,471.999870054,2275.0
2011-12-03,by,0.0,0.0,2890.60330565,542.881223511,1932.0
2011-12-04,by,0.0,0.0,2395.69098094,1113.33255746,1755.0
2011-12-05,by,0.0,0.0,3603.37647732,1718.54004983,2612.0
2011-12-06,by,0.0,0.0,3153.93294396,1687.83381693,2398.0
2011-12-07,by,0.0,0.0,3086.76359905,1622.00878839,2448.0
2011-12-08,by,0.0,0.0,3175.70077266,1494.03081704,2330.0
2011-12-09,by,0.0,0.0,3148.46726857,1408.3961485,2140.0
2011-12-10,by,0.0,0.0,2595.06428479,1304.15864392,1800.0
2011-12-11,by,0.0,0.0,2618.92419567,1339.91518945,1828.0
2011-12-12,by,0.0,0.0,3136.93370427,1757.03236459,2310.0
2011-12-13,by,0.0,0.0,3145.77285001,1753.04827197,2298.0
2011-12-14,by,0.0,0.0,3314.99156126,1591.36926186,2205.0
2011-12-15,by,0.0,0.0,3150.55787482,1500.54923707,2158.0
2011-12-16,by,0.0,0.0,2943.23064018,1531.07390475,2150.0
2011-12-17,by,0.0,0.0,2569.21298784,1248.66301145,1832.0
2011-12-18,by,0.0,0.0,2494.01993924,1291.91115489,1960.0
2011-12-19,by,0.0,0.0,3046.25558821,1565.67576635,2371.0
2011-12-20,by,0.0,0.0,3020.31769607,1638.14288728,2531.0
2011-12-21,by,0.0,0.0,3002.6995423,1513.48726359,2514.0
2011-12-22,by,0.0,0.0,2953.67957843,1506.76046406,2336.0
2011-12-23,by,0.0,0.0,2648.29879912,1519.10922733,2124.0
2011-12-24,by,0.0,0.0,2211.88531351,1262.48780538,1695.0
2011-12-25,by,0.0,0.0,2860.24574826,1456.31208973,2060.0
2011-12-26,by,0.0,0.0,2868.10683732,1612.0639137,2244.0
2011-12-27,by,0.0,0.0,3239.93375781,1904.22505979,2444.0
2011-12-28,by,0.0,0.0,3325.86402477,1768.9406073,2353.0
2011-12-29,by,0.0,0.0,3109.18929728,1637.58986766,2390.0
2011-12-30,by,0.0,0.0,3035.62713025,1412.8311494,2197.0
2011-12-31,by,0.0,0.0,2320.62116079,1100.0118225,1606.0
2012-01-01,by,0.0,0.0,2497.81768157,1062.06903356,1529.0
2012-01-02,by,0.0,0.0,3531.0645324,1317.21418521,1897.0
2012-01-03,by,0.0,0.0,3399.70878808,1568.03221163,2270.0
2012-01-04,by,0.0,0.0,3343.45828233,1679.31919768,2425.0
2012-01-05,by,0.0,0.0,3957.15143027,1679.21474387,2642.0
2012-01-06,by,0.0,0.0,4479.21647778,1015.20437258,2437.0
2012-01-07,by,0.0,0.0,3617.80775409,1278.88750187,2186.0
2012-01-09,by,0.0,0.0,4747.61631627,1166.04653329,2772.0
2012-01-10,by,0.0,0.0,4633.54827744,1414.83289981,2600.0
2012-01-11,by,0.0,0.0,3518.4348701,1540.91307313,2386.0
2012-01-12,by,0.0,0.0,4033.82405689,1330.65009867,2499.0
2012-01-13,by,0.0,0.0,3795.60851635,993.320007592,2219.0
2012-01-14,by,0.0,0.0,3130.42131868,787.140437754,1946.0
2012-01-16,by,0.0,0.0,3666.12160145,957.481872717,2463.0
2012-01-17,by,0.0,0.0,3830.19610769,921.610459941,2516.0
2012-01-18,by,0.0,0.0,3095.23129446,1697.25492511,2407.0
2012-01-19,by,0.0,0.0,3481.99294225,1356.89195012,2345.0
2012-01-20,by,0.0,0.0,3237.99087597,1370.51987147,2223.0
2012-01-21,by,0.0,0.0,2795.08644972,1029.15684021,1792.0
2012-01-22,by,0.0,0.0,2989.53194616,1061.67697879,1827.0
2012-01-23,by,0.0,0.0,3628.48599732,968.899831812,2103.0
2012-01-24,by,0.0,0.0,3619.32522395,1322.90850231,2317.0
2012-01-25,by,0.0,0.0,3565.59013778,1494.56346836,2424.0
2012-01-26,by,0.0,0.0,3207.33283234,1332.57802565,2258.0
2012-01-27,by,0.0,0.0,3026.53275624,1192.37642244,2090.0
2012-01-28,by,0.0,0.0,2445.04422479,964.480594078,1643.0
2012-01-29,by,0.0,0.0,2669.18702338,1005.78240111,1817.0
2012-01-30,by,0.0,0.0,3114.02669801,1312.08641812,2180.0
2012-01-31,by,0.0,0.0,3413.59109002,1449.33976196,2279.0
2012-02-01,by,0.0,0.0,3713.42743826,1470.56718541,2320.0
2012-02-02,by,0.0,0.0,3350.70563522,1534.99417332,2256.0
2012-02-03,by,0.0,0.0,3204.8024288,1427.68172136,2147.0
2012-02-04,by,0.0,0.0,2378.32709624,1174.73294441,1645.0
2012-02-05,by,0.0,0.0,2464.30367927,1242.45026623,1731.0
2012-02-06,by,0.0,0.0,2969.8945829,1486.41919411,2202.0
2012-02-07,by,0.0,0.0,3044.62244223,1369.44538566,2228.0
2012-02-08,by,0.0,0.0,3392.5247299,1750.50719685,2686.0
2012-02-09,by,0.0,0.0,3527.86413225,1639.72732949,3033.0
2012-02-10,by,0.0,0.0,3068.77479696,1326.35863241,2760.0
2012-02-11,by,0.0,1.0,2226.9228231,1249.22605748,2407.0
2012-02-12,by,0.0,1.0,2295.48615576,1340.57004213,2421.0
2012-02-13,by,0.0,0.0,3521.99344959,1453.55971616,2947.0
2012-02-14,by,0.0,0.0,3657.13517508,1440.03934889,2944.0
2012-02-15,by,0.0,0.0,3572.3746317,1676.03059467,2879.0
2012-02-16,by,0.0,0.0,3828.62045637,1978.71696643,2851.0
2012-02-17,by,0.0,0.0,3772.56069874,1997.69569142,2711.0
2012-02-18,by,0.0,0.0,3124.06525665,1733.24042697,2307.0
2012-02-19,by,0.0,0.0,3201.9857154,1697.06750886,2370.0
2012-02-20,by,0.0,0.0,3968.77174572,1843.11448593,2839.0
2012-02-21,by,0.0,0.0,4109.34268436,1622.07975757,2833.0
2012-02-22,by,0.0,0.0,3968.90857562,1910.3021649,2884.0
2012-02-23,by,0.0,0.0,3915.62703938,1717.94245826,2754.0
2012-02-24,by,0.0,0.0,3598.76038207,1696.12944635,2593.0
2012-02-25,by,0.0,0.0,3253.45118061,1684.18151213,2348.0
2012-02-26,by,0.0,0.0,3401.03568949,1588.8054041,2429.0
2012-02-27,by,0.0,0.0,3898.53108783,1732.39315112,2794.0
2012-02-28,by,0.0,0.0,3893.71175664,1824.28977782,2853.0
2012-02-29,by,0.0,0.0,3569.3024027,1990.987008,2733.0
2012-03-01,by,0.0,0.0,3590.07736851,2165.01707213,2851.0
2012-03-02,by,0.0,0.0,3237.33463235,1966.63920311,2625.0
2012-03-03,by,0.0,0.0,2894.69637031,1580.83200364,2215.0
2012-03-04,by,0.0,0.0,3073.29858624,1758.90824631,2355.0
2012-03-05,by,0.0,0.0,3834.90345056,1924.82822698,2859.0
2012-03-06,by,0.0,0.0,3765.42000313,1985.12493108,2895.0
2012-03-07,by,0.0,0.0,3721.98001926,1890.83957042,2593.0
2012-03-08,by,0.0,0.0,3413.14458274,2046.74190919,2047.0
2012-03-09,by,0.0,0.0,3423.93879223,1932.32217156,2132.0
2012-03-10,by,0.0,0.0,2783.7216989,1752.63895564,2287.0
2012-03-11,by,0.0,0.0,3174.06718745,1683.21448124,2578.0
2012-03-12,by,0.0,0.0,3548.0015898,2108.64356454,2688.0
2012-03-13,by,0.0,0.0,3434.69647345,2203.27822608,2719.0
2012-03-14,by,0.0,0.0,3085.74236795,1953.8460295,2697.0
2012-03-15,by,0.0,1.0,2556.30391802,1544.03403949,2715.0
2012-03-16,by,0.0,0.0,2571.19057955,1592.42588589,2559.0
2012-03-17,by,0.0,0.0,2845.25576376,1632.71589151,2218.0
2012-03-18,by,0.0,0.0,3218.84393497,1669.30309222,2201.0
2012-03-19,by,0.0,0.0,3359.50464055,1966.51171453,2648.0
2012-03-20,by,0.0,0.0,3505.76452805,2027.26520898,2669.0
2012-03-21,by,0.0,0.0,3398.9949842,2013.35325255,2621.0
2012-03-22,by,0.0,0.0,3446.90059594,2186.51159667,2719.0
2012-03-23,by,0.0,0.0,3089.80363688,2026.12054768,2514.0
2012-03-24,by,0.0,0.0,2791.40897368,1690.25591151,2163.0
2012-03-25,by,0.0,0.0,2828.3584979,1691.66918874,2174.0
2012-03-26,by,0.0,0.0,3277.25722491,2059.11593059,2584.0
2012-03-27,by,0.0,0.0,3304.44604048,2084.1576973,2660.0
2012-03-28,by,0.0,0.0,3236.14751186,2064.66336661,2542.0
2012-03-29,by,0.0,0.0,3386.25267493,1911.18031936,2523.0
2012-03-30,by,0.0,0.0,3460.17419622,1773.96863659,2409.0
2012-03-31,by,0.0,0.0,2981.72731039,1411.23940897,1984.0
2012-04-01,by,0.0,0.0,3042.25343475,1496.60870286,2086.0
2012-04-02,by,0.0,0.0,3146.9698664,1958.6987863,2429.0
2012-04-03,by,0.0,0.0,3340.2447382,1931.82034749,2447.0
2012-04-04,by,0.0,0.0,3384.03035927,1814.12097365,2534.0
2012-04-05,by,0.0,0.0,3456.17205157,1605.03083092,2530.0
2012-04-06,by,0.0,0.0,3528.24192622,1360.20275651,2458.0
2012-04-07,by,0.0,0.0,2777.35623084,1279.24016085,2058.0
2012-04-08,by,0.0,0.0,2809.2612992,1373.23803143,2118.0
2012-04-09,by,0.0,0.0,3280.01356781,1765.30270802,2459.0
2012-04-10,by,0.0,0.0,3405.3932345,1713.25819283,2475.0
2012-04-11,by,0.0,0.0,3485.25075573,1774.92497598,2478.0
2012-04-12,by,0.0,0.0,3547.92789824,1692.3043697,2449.0
2012-04-13,by,0.0,0.0,3953.99794119,1258.57160789,2283.0
2012-04-14,by,0.0,0.0,3162.79601401,1222.45740272,2008.0
2012-04-15,by,0.0,0.0,3123.51364851,1251.29578967,2015.0
2012-04-16,by,0.0,0.0,3279.63529895,1656.37305513,2404.0
2012-04-17,by,0.0,0.0,3125.85834964,1922.05998218,2449.0
2012-04-18,by,0.0,0.0,3553.83589664,1738.90186353,2499.0
2012-04-19,by,0.0,0.0,3424.54103828,1849.98752951,2519.0
2012-04-20,by,0.0,0.0,3110.6315171,1594.69318473,2159.0
2012-04-21,by,0.0,0.0,2811.41269882,1368.17795062,1953.0
2012-04-22,by,0.0,0.0,2861.2875059,1427.78730509,1897.0
2012-04-23,by,0.0,0.0,3132.45243677,1774.89143687,1840.0
2012-04-24,by,0.0,0.0,3186.38603409,1713.71695279,1937.0
2012-04-25,by,0.0,0.0,3552.58667201,1498.32536009,2162.0
2012-04-26,by,0.0,0.0,3437.42271861,1472.66921994,1998.0
2012-04-27,by,0.0,0.0,2932.77228444,1576.44930682,1881.0
2012-04-28,by,0.0,0.0,2586.30785826,1364.1735901,1612.0
2012-04-29,by,0.0,0.0,2649.50789779,1254.90650994,1393.0
2012-04-30,by,0.0,0.0,2631.74230848,1165.51569394,1512.0
2012-05-01,by,0.0,0.0,2775.36432664,1195.29643076,1473.0
2012-05-02,by,0.0,0.0,2865.86833967,1584.38783932,1780.0
2012-05-03,by,0.0,0.0,2849.57708772,1480.52454383,1914.0
2012-05-04,by,0.0,0.0,2947.35201059,1514.57940271,1974.0
2012-05-05,by,0.0,0.0,2763.82158117,1145.11841456,1519.0
2012-05-06,by,0.0,0.0,2240.49391636,1033.11465011,1594.0
2012-05-07,by,0.0,0.0,2336.35470788,1141.78277999,1964.0
2012-05-08,by,0.0,0.0,2256.52616724,1078.7770372,1898.0
2012-05-09,by,0.0,0.0,2471.36876273,1379.57670025,1713.0
2012-05-10,by,0.0,0.0,2711.74044596,1481.38724555,2081.0
2012-05-11,by,0.0,0.0,2383.33067605,1394.49509865,1916.0
2012-05-12,by,0.0,0.0,1914.91887311,1030.92538516,1625.0
2012-05-13,by,0.0,0.0,2061.52536107,1092.38606558,1619.0
2012-05-14,by,0.0,0.0,2716.4293595,1393.62908094,2077.0
2012-05-15,by,0.0,0.0,2513.00516144,1485.08361527,2126.0
2012-05-16,by,0.0,0.0,2498.61076097,1249.68805117,2131.0
2012-05-17,by,0.0,0.0,2899.34637511,1529.98196722,2168.0
2012-05-18,by,0.0,0.0,2768.26610382,1378.82497948,1969.0
2012-05-19,by,0.0,0.0,2400.51253319,1083.90036684,1658.0
2012-05-20,by,0.0,0.0,2426.96340875,1039.72402532,1832.0
2012-05-21,by,0.0,0.0,2930.78175757,1501.02844107,2164.0
2012-05-22,by,0.0,0.0,2851.55645602,1650.36342637,2210.0
2012-05-23,by,0.0,0.0,2877.46900524,1461.38667597,2220.0
2012-05-24,by,0.0,0.0,2855.0401056,1496.12016283,2235.0
