date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,bz,0.0,0.0,143.369080556,34.9035594633,82.0
2011-09-09,bz,0.0,0.0,139.35471129,23.0779496533,71.0
2011-09-11,bz,0.0,0.0,81.3849929484,13.3762645641,47.0
2011-09-12,bz,0.0,0.0,117.448448738,30.3758124413,67.0
2011-09-13,bz,0.0,0.0,127.124835269,32.0619325632,66.0
2011-09-14,bz,0.0,0.0,124.706145975,33.3488016318,91.0
2011-09-15,bz,0.0,0.0,158.377736994,37.0894220564,91.0
2011-09-16,bz,0.0,0.0,146.489054091,24.6598055389,122.0
2011-09-17,bz,0.0,1.0,94.0006600446,10.3912309084,100.0
2011-09-18,bz,0.0,0.0,107.44030974,12.3129150977,92.0
2011-09-19,bz,0.0,0.0,150.027184919,20.5357057006,81.0
2011-09-20,bz,0.0,0.0,138.415977589,20.9889303625,86.0
2011-09-21,bz,0.0,0.0,182.695218841,31.4189950201,73.0
2011-09-22,bz,0.0,0.0,169.628144294,36.0928280658,66.0
2011-09-23,bz,0.0,0.0,215.929250661,54.8483038279,68.0
2011-09-24,bz,0.0,0.0,177.844886264,44.825634278,60.0
2011-09-25,bz,0.0,0.0,165.745709293,38.9957725632,52.0
2011-09-26,bz,0.0,0.0,137.43447357,34.2124606323,45.0
2011-09-27,bz,0.0,0.0,147.150406909,39.2407113336,63.0
2011-09-28,bz,0.0,0.0,125.772442768,32.3085135731,74.0
2011-09-29,bz,0.0,0.0,112.410301503,27.8488588171,53.0
2011-09-30,bz,0.0,0.0,126.580951762,28.4234069579,54.0
2011-10-01,bz,0.0,0.0,120.753861788,23.6329114174,51.0
2011-10-02,bz,0.0,0.0,97.6037378842,18.6430313712,47.0
2011-10-03,bz,0.0,0.0,96.0218094105,15.580883959,57.0
2011-10-04,bz,0.0,0.0,124.572150262,24.0942381108,58.0
2011-10-05,bz,0.0,0.0,150.066489093,31.2119496667,74.0
2011-10-06,bz,0.0,0.0,100.465973045,22.6276646035,68.0
2011-10-07,bz,0.0,0.0,98.3606240261,23.0895295094,64.0
2011-10-08,bz,0.0,0.0,99.1551260505,19.984448281,48.0
2011-10-09,bz,0.0,0.0,101.11728811,18.8698530775,51.0
2011-10-10,bz,0.0,0.0,107.03024033,22.7271188364,45.0
2011-10-11,bz,0.0,0.0,112.369977797,23.1751368737,52.0
2011-10-12,bz,0.0,0.0,130.904940531,30.1231283262,64.0
2011-10-13,bz,0.0,0.0,133.27436964,32.0298230267,58.0
2011-10-14,bz,0.0,0.0,134.7651233,27.7057143172,59.0
2011-10-15,bz,0.0,0.0,87.2967731789,18.5858474161,47.0
