date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,ch,0.0,0.0,7316.37665706,3047.63755133,5042.0
2011-09-09,ch,0.0,0.0,7764.08144657,2645.23993486,5236.0
2011-09-11,ch,0.0,0.0,8001.498891,3850.47764556,5875.0
2011-09-12,ch,0.0,0.0,6860.58388922,3364.48297768,5327.0
2011-09-13,ch,0.0,0.0,6560.06544536,3726.18440616,5252.0
2011-09-14,ch,0.0,0.0,6536.6037334,3920.68624818,5147.0
2011-09-15,ch,0.0,0.0,7212.91993934,3278.25954716,5280.0
2011-09-16,ch,0.0,0.0,7785.55933226,2778.3951387,5222.0
2011-09-17,ch,0.0,0.0,8058.94681347,2801.78046467,5213.0
2011-09-18,ch,0.0,0.0,8817.06837964,2771.25104071,5537.0
2011-09-19,ch,0.0,0.0,8227.80478165,2771.38938469,5306.0
2011-09-20,ch,0.0,0.0,7813.89283936,2673.79257033,5069.0
2011-09-21,ch,0.0,0.0,7457.78069321,2743.951606,4910.0
2011-09-22,ch,0.0,0.0,7325.87521732,3065.82655723,4808.0
2011-09-23,ch,0.0,0.0,7299.95060812,3199.02513997,4766.0
2011-09-24,ch,0.0,0.0,7039.08097362,3398.23538367,4722.0
2011-09-25,ch,0.0,0.0,7438.5861562,3477.70624314,4897.0
2011-09-26,ch,0.0,0.0,6561.57894199,3485.15633319,4670.0
2011-09-27,ch,0.0,0.0,6342.60981881,3544.54372104,4732.0
2011-09-28,ch,0.0,0.0,5978.96024179,3625.85546303,4559.0
2011-09-29,ch,0.0,0.0,5834.71040786,3312.62925731,4427.0
2011-09-30,ch,0.0,0.0,6249.81027356,3214.72903157,4603.0
2011-10-01,ch,0.0,0.0,6504.03846113,3279.83085009,4842.0
2011-10-02,ch,0.0,0.0,6175.82329339,3212.27354224,4690.0
2011-10-03,ch,0.0,0.0,6489.74761314,3145.87853388,4716.0
2011-10-04,ch,0.0,0.0,6454.62651712,3046.36134524,4498.0
2011-10-05,ch,0.0,0.0,6427.00522972,3320.83880807,4761.0
2011-10-06,ch,0.0,0.0,5868.96805073,3266.56729175,4582.0
2011-10-07,ch,0.0,0.0,5750.40981796,3475.41072902,4657.0
2011-10-08,ch,0.0,0.0,6354.66395349,3359.83127042,4853.0
2011-10-09,ch,0.0,0.0,6705.55245775,3473.69512195,5024.0
2011-10-10,ch,0.0,0.0,6139.96186585,3273.3918473,4644.0
2011-10-11,ch,0.0,0.0,5976.3338951,3199.64662694,4578.0
2011-10-12,ch,0.0,0.0,6053.38929806,3140.94683647,4619.0
2011-10-13,ch,0.0,0.0,6359.02815639,3512.39521051,4955.0
2011-10-14,ch,0.0,0.0,6865.73042707,3380.62888832,4880.0
2011-10-15,ch,0.0,0.0,5858.43968953,3462.96427261,4570.0
2011-10-16,ch,0.0,0.0,6011.70400806,3691.18602078,4859.0
2011-10-17,ch,0.0,0.0,5993.28172959,3059.0749097,4563.0
2011-10-18,ch,0.0,0.0,5670.6409747,3191.48375743,4557.0
2011-10-19,ch,0.0,0.0,5927.62558636,3215.1686824,4592.0
2011-10-20,ch,0.0,0.0,6542.82722106,3251.10795299,4969.0
2011-10-21,ch,0.0,0.0,5700.12687225,2938.49561754,4312.0
2011-10-22,ch,0.0,0.0,5630.13648014,2992.27360562,4305.0
2011-10-23,ch,0.0,0.0,5770.14675443,3076.36560066,4441.0
2011-10-24,ch,0.0,0.0,5905.76931895,2665.99462377,4116.0
2011-10-25,ch,0.0,0.0,5131.65941054,2939.4513913,3957.0
2011-10-26,ch,0.0,0.0,6096.95853438,2439.9587909,4089.0
2011-10-27,ch,0.0,0.0,6117.68569731,2495.97670118,3963.0
2011-10-28,ch,0.0,0.0,5637.38931843,2205.58983455,3802.0
2011-10-29,ch,0.0,0.0,5575.69741119,2532.44931728,3908.0
2011-10-30,ch,0.0,0.0,5633.0492579,2410.5041185,3814.0
2011-10-31,ch,0.0,0.0,5254.04035476,2388.31236819,3809.0
2011-11-01,ch,0.0,0.0,5185.77146068,2547.28764394,3839.0
2011-11-02,ch,0.0,0.0,5652.82314913,1972.24681089,3778.0
2011-11-03,ch,0.0,0.0,5050.74119788,2381.9197359,3781.0
2011-11-04,ch,0.0,0.0,5573.76825319,2100.10517606,3836.0
2011-11-05,ch,0.0,0.0,6117.07201438,2308.47581266,4107.0
2011-11-06,ch,0.0,0.0,5752.47800161,2541.35098099,4102.0
2011-11-07,ch,0.0,0.0,4812.49263935,2770.07406617,3710.0
2011-11-08,ch,0.0,0.0,5394.38761074,2435.12375787,3607.0
2011-11-09,ch,0.0,0.0,6576.50349175,1805.25558632,3605.0
2011-11-10,ch,0.0,0.0,6133.5754853,2246.8413402,3732.0
2011-11-11,ch,0.0,0.0,4469.11385913,2888.1549364,3549.0
2011-11-12,ch,0.0,0.0,4512.79210368,2649.3018272,3541.0
2011-11-13,ch,0.0,0.0,4857.09384715,2532.85964904,3574.0
2011-11-14,ch,0.0,0.0,4710.82391665,2270.6030085,3391.0
2011-11-15,ch,0.0,0.0,4711.63299441,2138.81871778,3534.0
2011-11-16,ch,0.0,0.0,4940.75191752,1677.47232306,3552.0
2011-11-17,ch,0.0,0.0,4531.86387026,2174.53466977,3473.0
2011-11-18,ch,0.0,0.0,4233.18358871,2608.34886399,3326.0
2011-11-19,ch,0.0,0.0,4416.53217184,2570.34593553,3443.0
2011-11-20,ch,0.0,0.0,4641.98020109,2449.62161702,3474.0
2011-11-21,ch,0.0,0.0,4521.6991005,2358.96329855,3331.0
2011-11-22,ch,0.0,0.0,4868.15929664,2188.12224802,3275.0
2011-11-23,ch,0.0,0.0,5927.20626313,2020.80880228,3512.0
2011-11-24,ch,0.0,0.0,8221.4661895,2329.93505891,4626.0
2011-11-25,ch,0.0,0.0,7441.52354095,874.165852559,3550.0
2011-11-26,ch,0.0,0.0,7285.69720271,1185.8918934,3586.0
2011-11-27,ch,0.0,0.0,5117.16604498,2151.22615584,3416.0
2011-11-28,ch,0.0,0.0,4442.39469848,2207.25397759,3148.0
2011-11-29,ch,0.0,0.0,4135.20774731,1900.09012059,2958.0
2011-11-30,ch,0.0,0.0,4118.6361875,1540.03193285,2966.0
2011-12-01,ch,0.0,0.0,5098.68672071,1219.98644507,3298.0
2011-12-02,ch,0.0,0.0,5492.20798852,663.683732342,3216.0
2011-12-03,ch,0.0,0.0,5089.02156708,1005.16700878,3288.0
2011-12-04,ch,0.0,0.0,4112.85869735,1872.03594828,3058.0
2011-12-05,ch,0.0,0.0,4779.37608449,2309.13423098,3519.0
2011-12-06,ch,0.0,0.0,4088.16503095,2229.74362273,3129.0
2011-12-07,ch,0.0,0.0,4261.21542026,2284.99752502,3188.0
2011-12-08,ch,0.0,0.0,4285.92326998,2061.91593206,3163.0
2011-12-09,ch,0.0,0.0,4404.46166132,2013.79202222,3185.0
2011-12-10,ch,0.0,0.0,4332.9770355,2253.37622514,3271.0
2011-12-11,ch,0.0,0.0,4471.9605628,2388.50744586,3501.0
2011-12-12,ch,0.0,0.0,4182.8419778,2391.87340156,3384.0
2011-12-13,ch,0.0,0.0,4065.39257028,2309.60639774,3204.0
2011-12-14,ch,0.0,0.0,4344.95135487,2056.12379718,3165.0
2011-12-15,ch,0.0,0.0,4235.94350377,2064.06317174,3125.0
2011-12-16,ch,0.0,0.0,4339.48081839,2315.72776943,3364.0
2011-12-17,ch,0.0,0.0,4567.76737042,2328.87050546,3377.0
2011-12-18,ch,0.0,0.0,4668.75131773,2542.2988513,3449.0
2011-12-19,ch,0.0,0.0,4424.24188932,2324.05422208,3311.0
2011-12-20,ch,0.0,0.0,4224.55312557,2281.73635972,3255.0
2011-12-21,ch,0.0,0.0,4277.6912885,2193.64456513,3253.0
2011-12-22,ch,0.0,0.0,4220.9045019,2210.1772168,3198.0
2011-12-23,ch,0.0,0.0,4089.2165286,2393.08158725,3193.0
2011-12-24,ch,0.0,0.0,4044.45626548,2348.32940254,3084.0
2011-12-25,ch,0.0,0.0,4980.63967456,2590.95305499,3556.0
2011-12-26,ch,0.0,0.0,3963.68993695,2277.83255115,2964.0
2011-12-27,ch,0.0,0.0,4138.383167,2470.45697133,3159.0
2011-12-28,ch,0.0,0.0,4269.98962157,2311.03708463,3098.0
2011-12-29,ch,0.0,0.0,4214.1157312,2259.36959839,3162.0
2011-12-30,ch,0.0,0.0,4499.1291645,2165.12727859,3302.0
2011-12-31,ch,0.0,0.0,4130.90935202,2055.63093546,3155.0
2012-01-01,ch,0.0,0.0,4240.21353041,1853.65456568,3183.0
2012-01-02,ch,0.0,0.0,4640.32735856,1727.07032472,3421.0
2012-01-03,ch,0.0,0.0,4397.21852175,1991.86950853,3317.0
2012-01-04,ch,0.0,0.0,4359.4610478,2233.16838685,3386.0
2012-01-05,ch,0.0,0.0,5257.05302757,2198.38548944,3713.0
2012-01-06,ch,0.0,0.0,6572.09421367,1586.58836533,3739.0
2012-01-07,ch,0.0,0.0,6968.27223967,2517.22434412,4563.0
2012-01-09,ch,0.0,0.0,8385.48005424,2157.91121082,4963.0
2012-01-10,ch,0.0,0.0,6677.29847904,2116.64924498,4275.0
2012-01-11,ch,0.0,0.0,4945.86945405,2138.08843395,3388.0
2012-01-12,ch,0.0,0.0,5698.99446334,1862.26550483,3472.0
2012-01-13,ch,0.0,0.0,5490.66180425,1737.00627557,3522.0
2012-01-14,ch,0.0,0.0,6407.29047375,1695.43310621,3773.0
2012-01-16,ch,0.0,0.0,6452.50777866,1746.771181,3716.0
2012-01-17,ch,0.0,0.0,6179.64987805,1548.62645804,3547.0
2012-01-18,ch,0.0,0.0,4351.60367845,2434.69462531,3369.0
2012-01-19,ch,0.0,0.0,4887.58664903,1780.72278412,3472.0
2012-01-20,ch,0.0,0.0,5062.82002127,2200.04557268,3593.0
2012-01-21,ch,0.0,0.0,5300.2220154,2045.72647037,3692.0
2012-01-22,ch,0.0,0.0,5659.18647681,2109.22689107,3750.0
2012-01-23,ch,0.0,0.0,5404.32370009,1488.66777432,3430.0
2012-01-24,ch,0.0,0.0,5037.56802796,1906.49347291,3505.0
2012-01-25,ch,0.0,0.0,4790.85724855,2309.56647645,3458.0
2012-01-26,ch,0.0,0.0,4699.39105429,2008.25137867,3332.0
2012-01-27,ch,0.0,0.0,4816.20738906,1958.18661098,3376.0
2012-01-28,ch,0.0,0.0,4906.02086155,2062.47455082,3385.0
2012-01-29,ch,0.0,0.0,5336.97803503,2150.43845117,3575.0
2012-01-30,ch,0.0,0.0,4998.39900206,2181.08153084,3423.0
2012-01-31,ch,0.0,0.0,5113.28674874,2217.92252031,3428.0
2012-02-01,ch,0.0,0.0,5239.42360539,2108.1153251,3446.0
2012-02-02,ch,0.0,0.0,4886.84193255,2280.52038895,3279.0
2012-02-03,ch,0.0,0.0,5089.97740879,2360.16189246,3425.0
2012-02-04,ch,0.0,0.0,4769.04277482,2505.3906819,3435.0
2012-02-05,ch,0.0,0.0,4831.91074688,2452.80106947,3491.0
2012-02-06,ch,0.0,0.0,4615.38677286,2368.1987802,3373.0
2012-02-07,ch,0.0,0.0,4526.31326655,2090.00934595,3329.0
2012-02-08,ch,0.0,0.0,4975.33465423,2637.85371548,3657.0
2012-02-09,ch,0.0,0.0,5052.65384619,2411.36023623,3606.0
2012-02-10,ch,0.0,0.0,4669.99175753,2238.78456212,3387.0
2012-02-11,ch,0.0,0.0,4592.45939975,2606.22029539,3658.0
2012-02-12,ch,0.0,0.0,4518.99270312,2773.69931028,3767.0
2012-02-13,ch,0.0,0.0,5362.4837512,2185.686679,3711.0
2012-02-14,ch,0.0,0.0,5466.91865373,2068.96737158,3624.0
2012-02-15,ch,0.0,0.0,4828.51348264,2283.27856069,3616.0
2012-02-16,ch,0.0,0.0,4527.10271719,2366.87508923,3573.0
2012-02-17,ch,0.0,0.0,4598.03736995,2469.10426492,3518.0
2012-02-18,ch,0.0,0.0,4684.21246065,2672.75335181,3571.0
2012-02-19,ch,0.0,0.0,4933.75459789,2673.09286332,3647.0
2012-02-20,ch,0.0,0.0,5202.01494072,2178.62337236,3568.0
2012-02-21,ch,0.0,0.0,5040.03044989,1999.08931397,3539.0
2012-02-22,ch,0.0,0.0,4949.30812358,2418.35657953,3600.0
2012-02-23,ch,0.0,0.0,4880.80935116,2177.01995943,3421.0
2012-02-24,ch,0.0,0.0,4659.00778036,2213.35677077,3470.0
2012-02-25,ch,0.0,0.0,5067.84859181,2585.62334361,3815.0
2012-02-26,ch,0.0,0.0,5226.00387729,2446.83643768,3809.0
2012-02-27,ch,0.0,0.0,4870.09907847,2195.36023806,3651.0
2012-02-28,ch,0.0,0.0,4833.9462243,2303.39058455,3815.0
2012-02-29,ch,0.0,0.0,4491.95035457,2470.54428505,3490.0
2012-03-01,ch,0.0,0.0,4430.36055327,2706.69870096,3521.0
2012-03-02,ch,0.0,0.0,4371.06113257,2569.91546737,3315.0
2012-03-03,ch,0.0,0.0,4630.89942608,2614.98308303,3465.0
2012-03-04,ch,0.0,0.0,4750.06077672,2804.60472508,3648.0
2012-03-05,ch,0.0,0.0,4984.75944528,2513.00722531,3535.0
2012-03-06,ch,0.0,0.0,4991.41144447,2681.77890759,3448.0
2012-03-07,ch,0.0,0.0,4738.65460542,2428.48160874,3432.0
2012-03-08,ch,0.0,0.0,4264.57116427,2504.27655197,3379.0
