date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,ci,0.0,0.0,2381.07485109,998.13015224,1678.0
2011-09-09,ci,0.0,0.0,2727.1334728,883.436442634,1564.0
2011-09-11,ci,0.0,0.0,2021.99900485,888.198459145,1132.0
2011-09-12,ci,0.0,0.0,2117.48973584,986.11810253,1517.0
2011-09-13,ci,0.0,0.0,2170.8826173,1107.79939208,1474.0
2011-09-14,ci,0.0,0.0,2052.86823082,1100.4719433,1649.0
2011-09-15,ci,0.0,0.0,2472.46855114,1093.82048102,1641.0
2011-09-16,ci,0.0,0.0,2414.91907165,818.399964926,1546.0
2011-09-17,ci,0.0,0.0,1785.28297003,555.289311613,1418.0
2011-09-18,ci,0.0,0.0,1803.38395187,511.966536661,1449.0
2011-09-19,ci,0.0,0.0,2521.87026162,710.109830433,1505.0
2011-09-20,ci,0.0,0.0,2284.80797716,724.517779878,1494.0
2011-09-21,ci,0.0,0.0,2556.88083666,795.335902437,1521.0
2011-09-22,ci,0.0,0.0,2384.42381947,903.748482885,1513.0
2011-09-23,ci,0.0,0.0,2258.04812914,895.434003735,1322.0
2011-09-24,ci,0.0,0.0,2015.31487958,860.927540921,1261.0
2011-09-25,ci,0.0,0.0,2048.23222504,845.786759034,1096.0
2011-09-26,ci,0.0,0.0,1927.78435409,934.540214074,1201.0
2011-09-27,ci,0.0,0.0,1951.95315386,978.949391428,1395.0
2011-09-28,ci,0.0,0.0,1939.32671079,1040.51905915,1330.0
2011-09-29,ci,0.0,0.0,1884.59778921,1015.98378131,1259.0
2011-09-30,ci,0.0,0.0,1829.22397415,845.087061187,1265.0
2011-10-01,ci,0.0,0.0,1845.81667717,812.417809188,1330.0
2011-10-02,ci,0.0,0.0,1471.65689559,670.70539075,1161.0
2011-10-03,ci,0.0,0.0,1773.70118947,763.575495253,1182.0
2011-10-04,ci,0.0,0.0,2001.12545712,861.478104225,1146.0
2011-10-05,ci,0.0,0.0,1976.13920497,927.886202029,1143.0
2011-10-06,ci,0.0,0.0,1691.51306779,931.076705939,1166.0
2011-10-07,ci,0.0,0.0,1658.94051152,906.698091244,1162.0
2011-10-08,ci,0.0,0.0,1827.31737448,890.054808155,1094.0
2011-10-09,ci,0.0,0.0,1745.69355767,815.328702874,1150.0
2011-10-10,ci,0.0,0.0,1618.12165823,773.929901406,1148.0
2011-10-11,ci,0.0,0.0,1614.94938535,745.462903414,1273.0
2011-10-12,ci,0.0,0.0,1534.74345544,697.296303656,1333.0
2011-10-13,ci,0.0,0.0,1708.53009216,831.654834958,1318.0
2011-10-14,ci,0.0,0.0,1815.78196087,775.881409238,1169.0
2011-10-15,ci,0.0,0.0,1397.719357,723.694018073,1212.0
2011-10-16,ci,0.0,0.0,1451.04860258,794.239908092,1134.0
2011-10-17,ci,0.0,0.0,1510.3776646,742.143444468,1146.0
2011-10-18,ci,0.0,0.0,1629.88131756,853.593271645,1234.0
2011-10-19,ci,0.0,0.0,1787.72530266,885.878439359,1350.0
2011-10-20,ci,0.0,0.0,1842.06868683,811.508988041,1269.0
2011-10-21,ci,0.0,0.0,1464.72235919,656.492469562,1298.0
2011-10-22,ci,0.0,0.0,1603.60773928,734.330386138,1262.0
2011-10-23,ci,0.0,0.0,1389.1645802,717.317235774,1126.0
2011-10-24,ci,0.0,0.0,1554.26670907,653.242971166,1146.0
2011-10-25,ci,0.0,0.0,1484.7613463,753.578993614,1105.0
2011-10-26,ci,0.0,0.0,1883.15382722,689.427232885,1189.0
2011-10-27,ci,0.0,0.0,1668.77822493,582.556143714,1105.0
2011-10-28,ci,0.0,0.0,1777.44961226,621.800615093,1076.0
2011-10-29,ci,0.0,0.0,1715.85179509,709.884253902,1014.0
2011-10-30,ci,0.0,0.0,1511.78596237,577.363014014,886.0
2011-10-31,ci,0.0,0.0,1523.26265619,636.338980793,958.0
2011-11-01,ci,0.0,0.0,1510.04305248,679.279203358,906.0
2011-11-02,ci,0.0,0.0,1695.33841626,558.149030718,927.0
2011-11-03,ci,0.0,0.0,1495.95483873,616.721191003,1013.0
2011-11-04,ci,0.0,0.0,1655.99670526,561.189904817,972.0
2011-11-05,ci,0.0,0.0,1656.68780103,558.818274568,940.0
2011-11-06,ci,0.0,0.0,1393.3395536,555.031543001,717.0
2011-11-07,ci,0.0,0.0,1310.4521596,613.771676329,762.0
2011-11-08,ci,0.0,0.0,1344.50350005,529.660839586,1068.0
2011-11-09,ci,0.0,0.0,1685.32418551,415.306838342,1172.0
2011-11-10,ci,0.0,0.0,1719.64616569,565.556013891,1183.0
2011-11-11,ci,0.0,0.0,1178.57502081,697.961083146,1041.0
2011-11-12,ci,0.0,0.0,1097.92505457,571.062466997,936.0
2011-11-13,ci,0.0,1.0,911.57289644,414.561395558,966.0
2011-11-14,ci,0.0,0.0,1027.40427607,448.712443875,953.0
2011-11-15,ci,0.0,0.0,1477.47533196,600.167613664,944.0
2011-11-16,ci,0.0,0.0,1671.2520919,542.457189345,932.0
2011-11-17,ci,0.0,0.0,1507.70825623,655.030826835,1046.0
2011-11-18,ci,0.0,0.0,1296.4228549,727.000946896,1002.0
2011-11-19,ci,0.0,0.0,1234.45547288,638.888262571,925.0
2011-11-20,ci,0.0,0.0,1323.97079218,625.04077869,943.0
2011-11-21,ci,0.0,0.0,1339.63456082,622.979508503,945.0
2011-11-22,ci,0.0,0.0,1352.66242314,556.040481774,961.0
2011-11-23,ci,0.0,0.0,1599.64617719,514.132145306,1100.0
2011-11-24,ci,0.0,0.0,2610.12616983,627.694545656,1290.0
2011-11-25,ci,0.0,0.0,2358.02748082,228.078726062,855.0
2011-11-26,ci,0.0,0.0,2060.08516679,291.073182957,960.0
2011-11-27,ci,0.0,0.0,1465.80605735,551.023832914,833.0
2011-11-28,ci,0.0,0.0,1293.00652108,607.653555271,873.0
2011-11-29,ci,0.0,0.0,1297.14480316,512.630085582,785.0
2011-11-30,ci,0.0,0.0,1355.04820013,455.387314308,836.0
2011-12-01,ci,0.0,0.0,1543.05629573,289.438497511,885.0
2011-12-02,ci,0.0,0.0,1441.13485162,129.117254559,821.0
2011-12-03,ci,0.0,0.0,1452.64686324,245.642436727,840.0
2011-12-04,ci,0.0,0.0,1043.16386971,435.895868612,719.0
2011-12-05,ci,0.0,0.0,1401.80507224,590.465436626,917.0
2011-12-06,ci,0.0,0.0,1176.22881984,524.560147851,846.0
2011-12-07,ci,0.0,0.0,1296.47133739,575.598390452,819.0
2011-12-08,ci,0.0,0.0,1243.30369655,493.352109744,909.0
2011-12-09,ci,0.0,0.0,1181.16872902,490.626273221,916.0
2011-12-10,ci,0.0,0.0,1202.72190766,528.04243603,807.0
