date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,ck,1.0,0.0,42.7242457576,3.55379329223,3.0
2011-09-09,ck,0.0,0.0,24.3423639582,0.0,4.0
2011-09-16,ck,0.0,0.0,18.2509581404,0.0,0.0
2011-09-17,ck,0.0,0.0,12.5536093547,0.0,4.0
2011-09-24,ck,0.0,0.0,16.6848214547,0.0,9.0
2011-09-25,ck,0.0,0.0,16.5892748394,0.0,7.0
2011-09-26,ck,0.0,0.0,19.8773577313,0.0,3.0
2011-09-27,ck,0.0,0.0,15.4616703908,0.0,3.0
2011-09-28,ck,0.0,0.0,12.7081220817,0.0,3.0
2011-09-30,ck,0.0,0.0,16.1237222891,0.0,5.0
2011-10-01,ck,0.0,0.0,28.6243920952,0.0,4.0
2011-10-02,ck,0.0,0.0,22.7038916402,0.0,8.0
2011-10-03,ck,0.0,0.0,14.4665297405,0.0,13.0
2011-10-04,ck,0.0,0.0,14.113436263,0.0,6.0
2011-10-05,ck,0.0,0.0,14.0845958578,0.0,6.0
2011-10-06,ck,0.0,0.0,13.7745478245,0.0,4.0
2011-10-07,ck,0.0,0.0,17.6276354603,0.0,4.0
2011-10-08,ck,0.0,0.0,16.1418995646,0.0,2.0
2011-10-09,ck,0.0,0.0,27.0380272495,0.0,3.0
2011-10-10,ck,0.0,0.0,34.3427755748,1.49409770853,6.0
2011-10-11,ck,0.0,0.0,21.3638872134,0.0,10.0
2011-10-12,ck,0.0,0.0,20.4980661959,0.0,12.0
2011-10-13,ck,0.0,0.0,17.0535172308,0.0,11.0
2011-10-14,ck,0.0,0.0,18.1670093593,0.0,3.0
2011-10-15,ck,0.0,0.0,10.2992251672,0.0,1.0
2011-10-16,ck,0.0,0.0,12.4548034264,0.0,4.0
2011-10-17,ck,0.0,0.0,20.1106859727,0.0,6.0
2011-10-18,ck,0.0,0.0,27.7864014503,0.747525373345,6.0
2011-10-19,ck,0.0,0.0,32.8246955601,1.47486217155,4.0
2011-10-20,ck,0.0,0.0,31.3526717285,0.690605286842,2.0
2011-10-21,ck,0.0,0.0,12.1932961671,0.0,0.0
2011-10-25,ck,0.0,0.0,17.8296383225,0.0,0.0
2011-10-26,ck,0.0,0.0,16.3515189454,0.0,1.0
2011-10-27,ck,0.0,0.0,10.516895643,0.0,0.0
2011-11-04,ck,0.0,0.0,20.7092256872,0.0,0.0
2011-11-05,ck,0.0,0.0,15.8870441596,0.0,1.0
2011-11-06,ck,0.0,0.0,12.4484928132,0.0,1.0
2011-11-07,ck,0.0,0.0,10.6965358048,0.0,4.0
2011-11-08,ck,0.0,0.0,7.9435760634,0.0,3.0
2011-11-12,ck,0.0,0.0,6.20647588677,0.0,1.0
2011-11-13,ck,0.0,0.0,6.66402091228,0.0,0.0
2012-01-05,ck,0.0,0.0,9.22412920808,0.0,0.0
2012-01-06,ck,0.0,0.0,11.3254525355,0.0,2.0
2012-01-10,ck,0.0,0.0,11.3520986789,0.0,0.0
2012-01-13,ck,0.0,0.0,13.0234375323,0.0,0.0
2012-01-14,ck,0.0,0.0,7.95195931925,0.0,0.0
2012-01-24,ck,0.0,0.0,14.7181432397,0.0,1.0
2012-02-04,ck,0.0,0.0,7.94541346184,0.0,0.0
2012-03-02,ck,0.0,0.0,6.97450908226,0.0,3.0
2012-03-05,ck,0.0,0.0,7.68774497272,0.0,4.0
2012-03-06,ck,0.0,0.0,16.0283104259,0.0,5.0
2012-03-07,ck,0.0,0.0,16.5139045223,0.0,7.0
2012-03-08,ck,0.0,0.0,14.5382960602,0.0,6.0
2012-03-09,ck,0.0,0.0,13.3652685289,0.0,5.0
2012-03-10,ck,0.0,0.0,10.4738692685,0.0,3.0
2012-03-11,ck,0.0,0.0,16.2580273589,0.0,3.0
2012-03-12,ck,0.0,0.0,15.0732093684,0.0,3.0
2012-03-13,ck,0.0,0.0,16.6355980309,0.0,1.0
2012-03-20,ck,0.0,0.0,7.21598187592,0.0,1.0
2012-03-27,ck,0.0,0.0,6.9251401477,0.0,4.0
2012-03-28,ck,0.0,0.0,14.9502194933,0.0,5.0
2012-03-29,ck,0.0,0.0,17.424970883,0.0,6.0
2012-03-30,ck,0.0,0.0,14.081360029,0.0,4.0
2012-03-31,ck,0.0,0.0,16.5793220851,0.0,4.0
2012-04-01,ck,0.0,0.0,16.8294870859,0.0,3.0
2012-04-02,ck,0.0,0.0,14.7425615363,0.0,3.0
2012-04-03,ck,0.0,0.0,15.2148498937,0.0,3.0
2012-04-04,ck,0.0,0.0,18.579961709,0.0,2.0
2012-04-05,ck,0.0,0.0,21.6647953085,0.0,3.0
2012-04-06,ck,0.0,0.0,17.6820142794,0.0,3.0
2012-04-07,ck,0.0,0.0,16.7777095729,0.0,2.0
2012-04-08,ck,0.0,0.0,13.685506772,0.0,3.0
2012-04-09,ck,0.0,0.0,13.802658472,0.0,4.0
2012-04-10,ck,0.0,0.0,14.2268612151,0.0,4.0
2012-04-11,ck,0.0,0.0,11.519374514,0.0,1.0
2012-04-12,ck,0.0,0.0,14.3535148513,0.0,1.0
2012-04-13,ck,0.0,0.0,16.4438477705,0.0,4.0
2012-04-14,ck,0.0,0.0,12.7703742154,0.0,4.0
2012-04-15,ck,0.0,0.0,14.9972283429,0.0,4.0
