date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,cl,0.0,0.0,3644.88316337,1710.2744137,2666.0
2011-09-09,cl,0.0,0.0,4190.77622681,1451.90404993,2629.0
2011-09-11,cl,0.0,0.0,3901.54723771,1943.07843141,2433.0
2011-09-12,cl,0.0,0.0,3717.30041636,2110.74852793,2652.0
2011-09-13,cl,0.0,0.0,3938.42518497,2148.14948174,2822.0
2011-09-14,cl,0.0,0.0,3686.02589162,2124.7950754,2874.0
2011-09-15,cl,0.0,0.0,3838.6468458,1800.65507866,2692.0
2011-09-16,cl,0.0,0.0,3974.9241408,1432.61727416,2385.0
2011-09-17,cl,0.0,0.0,3562.20411721,1191.16320623,2073.0
2011-09-18,cl,0.0,0.0,3751.81561612,1155.36186667,1896.0
2011-09-19,cl,0.0,0.0,4312.9027099,1296.90879848,1967.0
2011-09-20,cl,0.0,0.0,4268.29677829,1450.99789637,2391.0
2011-09-21,cl,0.0,0.0,4354.94417005,1450.14913222,2615.0
2011-09-22,cl,0.0,0.0,3796.25157037,1556.3476378,2623.0
2011-09-23,cl,0.0,0.0,3361.95299968,1457.77540053,2543.0
2011-09-24,cl,0.0,0.0,2871.10737249,1314.42552206,2106.0
2011-09-25,cl,0.0,0.0,2626.4320088,1147.40103678,1947.0
2011-09-26,cl,0.0,0.0,2506.71082563,1234.38557961,2243.0
2011-09-27,cl,0.0,0.0,3080.58778692,1606.68912516,2421.0
2011-09-28,cl,0.0,0.0,3299.46959672,1823.55261493,2273.0
2011-09-29,cl,0.0,0.0,3230.07560236,1784.52555841,2260.0
2011-09-30,cl,0.0,0.0,3425.20535807,1675.55984017,2259.0
2011-10-01,cl,0.0,0.0,3024.15440676,1387.18028532,2142.0
2011-10-02,cl,0.0,0.0,2546.13207592,1232.51151843,1997.0
2011-10-03,cl,0.0,0.0,3228.73334143,1465.31131414,2343.0
2011-10-04,cl,0.0,0.0,3417.21077456,1499.197038,2451.0
2011-10-05,cl,0.0,0.0,3407.06510423,1488.24250911,2643.0
2011-10-06,cl,0.0,0.0,2988.2501007,1684.95288208,2575.0
2011-10-07,cl,0.0,0.0,2889.1951973,1659.26136199,2341.0
2011-10-08,cl,0.0,0.0,2870.54089916,1459.60488926,2048.0
2011-10-09,cl,0.0,0.0,2918.9190501,1441.18502879,1893.0
2011-10-10,cl,0.0,0.0,3106.33743488,1587.23265422,1778.0
2011-10-11,cl,0.0,0.0,3367.26853923,1643.26204895,2036.0
2011-10-12,cl,0.0,0.0,3437.46677172,1680.04902074,2049.0
2011-10-13,cl,0.0,0.0,3649.87036065,1912.1804347,2115.0
2011-10-14,cl,0.0,0.0,3541.79589673,1619.66108292,2006.0
2011-10-15,cl,0.0,0.0,2547.68740672,1399.14259349,1843.0
2011-10-16,cl,0.0,0.0,2332.56870933,1337.01976631,1854.0
2011-10-17,cl,0.0,0.0,2288.73580616,1174.12107089,1911.0
2011-10-18,cl,0.0,0.0,2541.60009281,1397.60997863,2118.0
2011-10-19,cl,0.0,0.0,2595.73229332,1444.18969272,2068.0
2011-10-20,cl,0.0,0.0,3014.70012599,1250.30527659,2113.0
2011-10-21,cl,0.0,0.0,2452.16067025,1153.15018591,1953.0
2011-10-22,cl,0.0,0.0,2388.0311417,1141.24830794,1793.0
2011-10-23,cl,0.0,0.0,2196.67428245,1223.08933544,1639.0
2011-10-24,cl,0.0,0.0,2532.83893529,1119.69811184,1810.0
2011-10-25,cl,0.0,0.0,2488.25966642,1327.10931332,1830.0
2011-10-26,cl,0.0,0.0,2833.9081946,1075.81248974,1837.0
2011-10-27,cl,0.0,0.0,2710.81795894,990.036759874,1810.0
2011-10-28,cl,0.0,0.0,2624.05762526,954.035481338,1751.0
2011-10-29,cl,0.0,0.0,2364.23150243,1039.81300346,1618.0
2011-10-30,cl,0.0,0.0,2146.25460939,859.354723234,1467.0
2011-10-31,cl,0.0,0.0,2339.38302599,1033.85437381,1430.0
2011-11-01,cl,0.0,0.0,2218.21250658,1317.41043691,1472.0
2011-11-02,cl,0.0,0.0,2394.0742562,993.468590415,1623.0
2011-11-03,cl,0.0,0.0,2393.05757489,1035.42559973,1786.0
2011-11-04,cl,0.0,0.0,2636.96138132,934.24515789,1784.0
2011-11-05,cl,0.0,0.0,2580.99487482,922.677407912,1694.0
2011-11-06,cl,0.0,0.0,2239.82046617,963.298530801,1606.0
2011-11-07,cl,0.0,0.0,1872.81135327,995.649046862,1657.0
2011-11-08,cl,0.0,0.0,2151.87280326,882.201428574,1762.0
2011-11-09,cl,0.0,0.0,2919.94335452,722.730949341,1779.0
2011-11-10,cl,0.0,0.0,2856.93951352,1082.88184999,1881.0
2011-11-11,cl,0.0,0.0,2172.23706576,1260.29131805,1757.0
2011-11-12,cl,0.0,0.0,1934.10043633,1062.44115088,1525.0
2011-11-13,cl,0.0,0.0,1958.32012189,977.003865137,1445.0
2011-11-14,cl,0.0,0.0,2132.15396255,1027.94444576,1531.0
2011-11-15,cl,0.0,0.0,2383.20615013,1003.54103339,1681.0
2011-11-16,cl,0.0,0.0,2499.41210502,832.688459678,1672.0
2011-11-17,cl,0.0,0.0,2351.34007319,1076.31762413,1655.0
2011-11-18,cl,0.0,0.0,2133.92739525,1267.04218801,1527.0
2011-11-19,cl,0.0,0.0,1962.81134715,1072.28217097,1403.0
2011-11-20,cl,0.0,0.0,1929.95557121,968.629268632,1393.0
2011-11-21,cl,0.0,0.0,2096.01641813,1038.0762194,1625.0
2011-11-22,cl,0.0,0.0,2347.45232032,1031.71771876,1699.0
2011-11-23,cl,0.0,0.0,2814.1398574,951.207585432,1944.0
2011-11-24,cl,0.0,0.0,4056.44869369,1029.06294194,2725.0
2011-11-25,cl,0.0,0.0,3533.44278628,366.150923863,2138.0
2011-11-26,cl,0.0,0.0,3061.28243562,450.668593508,2443.0
2011-11-27,cl,0.0,0.0,2118.26733757,845.374363774,1891.0
2011-11-28,cl,0.0,0.0,2164.5441633,1094.39518297,1804.0
2011-11-29,cl,0.0,0.0,2254.8066796,925.44460583,1570.0
2011-11-30,cl,0.0,0.0,2444.20119105,700.593917813,1403.0
2011-12-01,cl,0.0,0.0,3157.44534632,632.284088331,1670.0
2011-12-02,cl,0.0,0.0,3443.75907004,336.498926708,1525.0
2011-12-03,cl,0.0,0.0,3563.07594327,657.008193014,1349.0
2011-12-04,cl,0.0,0.0,2272.6453334,1037.73540753,1178.0
2011-12-05,cl,0.0,0.0,2753.54837755,1292.0775032,1589.0
2011-12-06,cl,0.0,0.0,2271.9423289,1085.37052924,1473.0
2011-12-07,cl,0.0,0.0,2112.65663824,997.256368806,1425.0
2011-12-08,cl,0.0,0.0,2263.92975718,963.404696224,1292.0
2011-12-09,cl,0.0,0.0,2183.03496034,906.526921347,1416.0
2011-12-10,cl,0.0,0.0,1857.23344034,886.979130122,1304.0
2011-12-11,cl,0.0,0.0,1816.5762885,867.423570014,1290.0
2011-12-12,cl,0.0,0.0,1963.29663198,1035.07356132,1462.0
2011-12-13,cl,0.0,0.0,2012.47390031,1025.62902151,1536.0
2011-12-14,cl,0.0,0.0,1997.17015664,896.535415333,1507.0
2011-12-15,cl,0.0,0.0,1798.71576704,809.123517898,1494.0
2011-12-16,cl,0.0,0.0,1982.5925995,988.844478474,1472.0
2011-12-17,cl,0.0,0.0,1881.62916705,882.877116343,1320.0
2011-12-18,cl,0.0,0.0,1789.93492392,886.088299587,1324.0
2011-12-19,cl,0.0,0.0,1939.48753806,996.886716686,1434.0
2011-12-20,cl,0.0,0.0,2055.3283712,1065.11309538,1478.0
2011-12-21,cl,0.0,0.0,2058.94713132,1021.33765224,1498.0
2011-12-22,cl,0.0,0.0,2036.89926368,1041.86815332,1527.0
2011-12-23,cl,0.0,0.0,1819.25262183,1024.50947471,1404.0
2011-12-24,cl,0.0,0.0,1643.84733776,863.654240436,1256.0
2011-12-25,cl,0.0,0.0,2005.18579745,925.767313661,1435.0
2011-12-26,cl,0.0,0.0,1832.91754105,894.654071102,1313.0
2011-12-27,cl,0.0,0.0,2069.24189509,969.710135178,1421.0
2011-12-28,cl,0.0,0.0,2135.15575899,937.80383609,1395.0
2011-12-29,cl,0.0,0.0,2118.56297275,1010.05895144,1363.0
2011-12-30,cl,0.0,0.0,2039.44737043,929.009144479,1363.0
2011-12-31,cl,0.0,0.0,1732.20253122,821.461045467,1218.0
2012-01-01,cl,0.0,0.0,1752.04758907,746.15883948,1220.0
2012-01-02,cl,0.0,0.0,2091.337377,791.285108165,1308.0
2012-01-03,cl,0.0,0.0,2005.14625353,920.644253295,1286.0
2012-01-04,cl,0.0,0.0,2054.0110553,958.859691161,1288.0
2012-01-05,cl,0.0,0.0,2453.27832047,842.443269439,1402.0
2012-01-06,cl,0.0,0.0,2868.2070854,589.586092703,1397.0
2012-01-07,cl,0.0,0.0,3048.01062083,748.869552552,1512.0
2012-01-09,cl,0.0,0.0,3426.40884705,696.064553493,1584.0
2012-01-10,cl,0.0,0.0,2806.44272776,677.477812477,1541.0
2012-01-11,cl,0.0,0.0,1919.87772498,788.858664264,1421.0
2012-01-12,cl,0.0,0.0,2193.94083483,689.951513055,1640.0
2012-01-13,cl,0.0,0.0,2220.03076807,556.060482504,1530.0
2012-01-14,cl,0.0,0.0,2137.00099331,555.970086372,1423.0
2012-01-16,cl,0.0,0.0,2151.77158967,526.952192964,1516.0
2012-01-17,cl,0.0,0.0,2369.86429714,498.579051784,1549.0
2012-01-18,cl,0.0,0.0,1889.40908427,985.904636326,1343.0
2012-01-19,cl,0.0,0.0,2256.81425772,964.023652969,1434.0
2012-01-20,cl,0.0,0.0,2280.4350233,935.028018563,1587.0
