date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,cm,0.0,0.0,1589.19111601,693.93008899,936.0
2011-09-09,cm,0.0,0.0,1764.73738934,566.413155621,760.0
2011-09-11,cm,0.0,0.0,1456.2981314,661.069075034,1117.0
2011-09-12,cm,0.0,0.0,1374.03282261,711.979408685,1197.0
2011-09-13,cm,0.0,0.0,1455.82383467,723.683620713,1105.0
2011-09-14,cm,0.0,0.0,1413.73602024,743.995884025,1028.0
2011-09-15,cm,0.0,0.0,1411.97779083,599.248701461,1004.0
2011-09-16,cm,0.0,0.0,1218.39453643,387.511229896,1044.0
2011-09-17,cm,0.0,0.0,1572.75731209,484.559504464,1048.0
2011-09-18,cm,0.0,0.0,1780.64406676,510.472938425,1007.0
2011-09-19,cm,0.0,0.0,2012.48587447,563.415515377,956.0
2011-09-20,cm,0.0,0.0,1738.67416746,543.502828333,969.0
2011-09-21,cm,0.0,0.0,1627.26206549,493.49490454,926.0
2011-09-22,cm,0.0,0.0,1478.00026501,552.593643491,991.0
2011-09-23,cm,0.0,0.0,1525.900038,611.922040297,1086.0
2011-09-24,cm,0.0,0.0,1498.2472073,641.351382747,1065.0
2011-09-25,cm,0.0,0.0,1436.88780287,588.902260235,1096.0
2011-09-26,cm,0.0,0.0,1260.40333454,576.82208626,974.0
2011-09-27,cm,0.0,0.0,1300.42676675,621.311262782,887.0
2011-09-28,cm,0.0,0.0,1223.63656936,612.359036327,936.0
2011-09-29,cm,0.0,0.0,1273.2187211,641.989482204,868.0
2011-09-30,cm,0.0,0.0,1517.71814439,686.425278032,903.0
2011-10-01,cm,0.0,0.0,1576.43503082,677.476793966,966.0
2011-10-02,cm,0.0,0.0,1471.28597477,673.220577295,853.0
2011-10-03,cm,0.0,0.0,1456.33077606,609.070918396,901.0
2011-10-04,cm,0.0,0.0,1311.28579224,520.703256949,892.0
2011-10-05,cm,0.0,0.0,1461.75876413,584.514693757,876.0
2011-10-06,cm,0.0,0.0,1200.69089737,614.987598688,719.0
2011-10-07,cm,0.0,0.0,1205.21391126,631.379203482,769.0
2011-10-08,cm,0.0,0.0,1343.55195798,631.360532728,876.0
2011-10-09,cm,0.0,0.0,1299.69420984,587.324177036,917.0
2011-10-10,cm,0.0,0.0,1248.68613719,580.641229626,907.0
2011-10-11,cm,0.0,0.0,1283.31622371,567.06663038,922.0
