date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,cn,0.0,0.0,2194.64977159,989.131380044,1184.0
2011-09-09,cn,0.0,0.0,2270.21493302,748.026585502,1143.0
2011-09-11,cn,0.0,0.0,1795.40226868,834.960514367,1018.0
2011-09-12,cn,1.0,0.0,1757.16562626,935.723197886,932.0
2011-09-13,cn,0.0,0.0,1752.85590169,890.100318303,1004.0
2011-09-14,cn,0.0,0.0,1588.80426363,848.012384352,1173.0
2011-09-15,cn,0.0,0.0,1763.63005433,769.423696778,1335.0
2011-09-16,cn,0.0,0.0,1790.26526682,598.293853431,1471.0
2011-09-17,cn,0.0,0.0,1707.44482499,531.046590107,1424.0
2011-09-18,cn,0.0,0.0,1631.66017059,462.760392421,1188.0
2011-09-19,cn,0.0,0.0,1588.16656359,432.302932827,1498.0
2011-09-20,cn,0.0,0.0,1587.54651846,490.478162154,1566.0
2011-09-21,cn,0.0,0.0,1843.94709249,567.708737605,1608.0
2011-09-22,cn,0.0,0.0,1936.91671741,747.370457018,963.0
2011-09-23,cn,1.0,0.0,2114.79799435,879.55533006,836.0
2011-09-24,cn,1.0,0.0,2003.6337546,886.857933561,844.0
2011-09-25,cn,0.0,0.0,1680.40649884,701.923906138,803.0
2011-09-26,cn,1.0,0.0,1931.13055171,927.841932347,811.0
2011-09-27,cn,1.0,0.0,2051.73128333,1032.61205195,859.0
2011-09-28,cn,1.0,0.0,2067.60492363,1097.7381007,853.0
2011-09-29,cn,0.0,0.0,1239.95444821,622.934999855,877.0
2011-09-30,cn,0.0,0.0,1185.59980561,519.437762155,805.0
2011-10-01,cn,0.0,0.0,1265.92510051,528.517837153,748.0
2011-10-02,cn,0.0,0.0,1096.53582067,483.337850365,704.0
2011-10-03,cn,0.0,0.0,1225.61170623,500.712952681,865.0
2011-10-04,cn,0.0,0.0,1271.94721847,503.301862758,823.0
2011-10-05,cn,0.0,0.0,1339.48236561,529.893781841,756.0
2011-10-06,cn,0.0,0.0,1211.71765051,621.452645718,724.0
2011-10-07,cn,0.0,0.0,1081.96686429,558.925852262,781.0
2011-10-08,cn,0.0,1.0,1056.00209244,479.626758743,1080.0
2011-10-09,cn,0.0,0.0,1085.32555904,477.250034084,1004.0
2011-10-10,cn,0.0,0.0,1200.70706394,555.714712193,929.0
2011-10-11,cn,0.0,0.0,1190.1002194,519.992133605,931.0
2011-10-12,cn,0.0,0.0,1042.39119312,449.108458682,885.0
2011-10-13,cn,0.0,0.0,1089.94682498,501.266730368,1001.0
2011-10-14,cn,0.0,0.0,1245.17358716,508.437297876,1133.0
2011-10-15,cn,0.0,0.0,1382.96466983,713.696540779,1111.0
2011-10-16,cn,0.0,0.0,1274.57813772,685.097260521,972.0
2011-10-17,cn,0.0,0.0,1233.57779124,591.762807142,822.0
2011-10-18,cn,0.0,0.0,1206.28073308,612.855712553,976.0
2011-10-19,cn,0.0,0.0,1167.43615536,595.929575808,1003.0
2011-10-20,cn,0.0,0.0,1477.04494809,569.255125928,969.0
2011-10-21,cn,0.0,0.0,1420.56204345,632.291904327,910.0
2011-10-22,cn,0.0,0.0,1473.3139762,669.848413383,752.0
2011-10-23,cn,0.0,0.0,1187.68599597,618.756279369,794.0
2011-10-24,cn,0.0,0.0,1135.87333755,459.133777443,920.0
2011-10-25,cn,0.0,0.0,1188.19558056,586.951374078,1026.0
2011-10-26,cn,0.0,0.0,1421.38405651,501.970372647,1097.0
2011-10-27,cn,0.0,0.0,1289.00224032,435.432834204,1122.0
