date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,co,0.0,0.0,2536.06740843,1167.4210965,1776.0
2011-09-09,co,0.0,0.0,2901.86601923,941.354444805,1753.0
2011-09-11,co,0.0,0.0,2015.19483692,907.092335238,1487.0
2011-09-12,co,0.0,0.0,2192.14999258,1063.5935957,1616.0
2011-09-13,co,0.0,0.0,2348.35265045,1242.4345448,1818.0
2011-09-14,co,0.0,0.0,2409.54665872,1365.06077277,1677.0
2011-09-15,co,0.0,0.0,2568.66099914,1183.03915372,1677.0
2011-09-16,co,0.0,0.0,2682.89084664,926.443197066,1654.0
2011-09-17,co,0.0,0.0,2294.52082095,740.205888727,1484.0
2011-09-18,co,0.0,0.0,2326.15933258,682.47098189,1428.0
2011-09-19,co,0.0,0.0,2597.15538377,804.2206869,1652.0
2011-09-20,co,0.0,0.0,2790.20056074,906.437277781,1770.0
2011-09-21,co,0.0,0.0,2521.42032433,858.505421164,1683.0
2011-09-22,co,0.0,0.0,2416.21288662,934.437502319,1751.0
2011-09-23,co,0.0,0.0,2399.93783069,969.400608109,1593.0
2011-09-24,co,0.0,0.0,2090.73647305,921.226779466,1379.0
2011-09-25,co,0.0,0.0,2004.75005944,852.529549433,1285.0
2011-09-26,co,0.0,0.0,2110.50768853,1045.00221552,1484.0
2011-09-27,co,0.0,0.0,2294.27401415,1195.25893356,1752.0
2011-09-28,co,0.0,0.0,2123.41167146,1194.51540231,1830.0
2011-09-29,co,0.0,0.0,2168.92092185,1194.14286909,1826.0
2011-09-30,co,0.0,0.0,2163.0593594,1038.85938438,1787.0
2011-10-01,co,0.0,0.0,1976.3841633,911.624600891,1611.0
2011-10-02,co,0.0,0.0,1696.81716469,799.427628789,1455.0
2011-10-03,co,0.0,0.0,2142.36154066,955.458626644,1722.0
2011-10-04,co,0.0,0.0,2450.60575112,1094.82182724,1804.0
2011-10-05,co,0.0,0.0,2549.31185027,1352.396287,1822.0
2011-10-06,co,0.0,0.0,2488.18422976,1307.36772958,1657.0
2011-10-07,co,0.0,0.0,2286.89190705,1311.61986147,1628.0
2011-10-08,co,0.0,0.0,2187.8482333,1085.81383563,1474.0
2011-10-09,co,0.0,0.0,2161.6902786,1039.4967547,1469.0
2011-10-10,co,0.0,0.0,2303.41901891,1172.86670119,1607.0
2011-10-11,co,0.0,0.0,2468.15732277,1245.05734436,1695.0
2011-10-12,co,0.0,0.0,2391.03913332,1161.27039836,1658.0
2011-10-13,co,0.0,0.0,2375.68613116,1234.04564317,1747.0
2011-10-14,co,0.0,0.0,2487.48281997,1135.82847021,1565.0
2011-10-15,co,0.0,0.0,1852.71617175,1002.30567323,1380.0
2011-10-16,co,0.0,0.0,1827.45933911,1029.95387774,1225.0
2011-10-17,co,0.0,0.0,2079.68152588,1058.00552189,1221.0
2011-10-18,co,0.0,0.0,2141.86844512,1154.17917644,1467.0
2011-10-19,co,0.0,0.0,2202.90179092,1112.78350844,1533.0
2011-10-20,co,0.0,0.0,2389.07358571,1100.82482723,1581.0
2011-10-21,co,0.0,0.0,1899.93723913,904.934445469,1446.0
2011-10-22,co,0.0,0.0,1774.52104192,862.256117455,1230.0
2011-10-23,co,0.0,0.0,1485.58598176,781.721585758,1165.0
2011-10-24,co,0.0,0.0,1637.83170049,702.718332302,1301.0
2011-10-25,co,0.0,0.0,1690.66923388,939.455921356,1374.0
2011-10-26,co,0.0,0.0,2114.37718055,786.930973845,1490.0
2011-10-27,co,0.0,0.0,2022.74959533,760.471133315,1416.0
2011-10-28,co,0.0,0.0,1957.9574501,708.992131717,1242.0
2011-10-29,co,0.0,0.0,1667.67751396,690.543737432,1180.0
2011-10-30,co,0.0,0.0,1553.85516833,597.738297261,1088.0
2011-10-31,co,0.0,0.0,1717.34405675,726.837504889,1202.0
2011-11-01,co,0.0,0.0,1856.42031118,853.280646735,1268.0
2011-11-02,co,0.0,0.0,1963.58707444,796.914110872,1313.0
2011-11-03,co,0.0,0.0,1858.50405536,822.11214772,1280.0
2011-11-04,co,0.0,0.0,1898.34568799,653.125939198,1241.0
2011-11-05,co,0.0,0.0,1892.00253173,682.981955587,1149.0
2011-11-06,co,0.0,0.0,1677.78019804,712.120946605,1016.0
2011-11-07,co,0.0,0.0,1584.27580308,833.541698779,1051.0
2011-11-08,co,0.0,0.0,1857.47286949,768.109254471,1226.0
2011-11-09,co,0.0,0.0,2382.72768365,597.19479824,1308.0
2011-11-10,co,0.0,0.0,2175.16485948,719.464514615,1313.0
2011-11-11,co,0.0,0.0,1498.1662322,897.625112727,1195.0
2011-11-12,co,0.0,0.0,1320.94495123,710.267871684,1079.0
2011-11-13,co,0.0,0.0,1262.83196288,602.69324681,1013.0
2011-11-14,co,0.0,0.0,1378.31785982,636.450074878,996.0
2011-11-15,co,0.0,0.0,1669.17873901,694.209738725,1165.0
2011-11-16,co,0.0,0.0,1848.54885421,599.674776967,1282.0
2011-11-17,co,0.0,0.0,1661.62204457,727.333602018,1233.0
2011-11-18,co,0.0,0.0,1474.64597253,843.744791938,1150.0
2011-11-19,co,0.0,0.0,1409.72559151,744.158979083,1042.0
2011-11-20,co,0.0,0.0,1381.76433471,656.505642652,949.0
2011-11-21,co,0.0,0.0,1389.86248436,655.875740206,1109.0
2011-11-22,co,0.0,0.0,1645.42954535,703.954797519,1179.0
2011-11-23,co,0.0,0.0,2181.49749551,723.78274413,1298.0
2011-11-24,co,0.0,0.0,3045.4605549,790.957305241,1613.0
2011-11-25,co,0.0,0.0,2675.33562305,303.458017601,1113.0
2011-11-26,co,0.0,0.0,2305.44286272,342.621439531,1063.0
2011-11-27,co,0.0,0.0,1476.16367774,555.858973841,982.0
2011-11-28,co,0.0,0.0,1514.9865265,714.379690388,1024.0
2011-11-29,co,0.0,0.0,1546.68239114,650.812605866,1051.0
2011-11-30,co,0.0,0.0,1654.83205783,462.454370172,1019.0
2011-12-01,co,0.0,0.0,1812.17469691,418.858888572,1125.0
2011-12-02,co,0.0,0.0,1769.41931515,212.036206357,1055.0
2011-12-03,co,0.0,0.0,1582.02838971,279.280585828,933.0
2011-12-04,co,0.0,0.0,1213.83146342,525.202532542,777.0
2011-12-05,co,0.0,0.0,1622.44045086,714.679424665,1088.0
2011-12-06,co,0.0,0.0,1516.88540607,754.55148596,1039.0
2011-12-07,co,0.0,0.0,1530.62657804,747.981557835,1038.0
2011-12-08,co,0.0,0.0,1526.87302894,668.909239801,907.0
2011-12-09,co,0.0,0.0,1510.75130036,627.74228333,947.0
2011-12-10,co,0.0,0.0,1297.5321424,605.318128345,866.0
2011-12-11,co,0.0,0.0,1208.83955294,565.760567187,814.0
2011-12-12,co,0.0,0.0,1357.02588562,700.928340164,972.0
2011-12-13,co,0.0,0.0,1414.50126989,727.933930788,1025.0
2011-12-14,co,0.0,0.0,1459.90516745,646.09872944,1007.0
2011-12-15,co,0.0,0.0,1280.54123813,555.475031093,978.0
2011-12-16,co,0.0,0.0,1353.32644821,648.957721047,1000.0
2011-12-17,co,0.0,0.0,1281.98484801,576.481280834,919.0
2011-12-18,co,0.0,0.0,1156.10175163,548.926941933,839.0
2011-12-19,co,0.0,0.0,1332.96611447,629.793627535,975.0
2011-12-20,co,0.0,0.0,1396.80552046,700.958407941,1050.0
2011-12-21,co,0.0,0.0,1420.67270536,663.313896635,1067.0
2011-12-22,co,0.0,0.0,1387.58371966,655.179185179,1008.0
2011-12-23,co,0.0,0.0,1275.73963656,678.995791005,951.0
2011-12-24,co,0.0,0.0,1147.56117118,609.009042836,828.0
2011-12-25,co,0.0,0.0,1276.15101791,593.702314669,904.0
2011-12-26,co,0.0,0.0,1227.42395192,633.205761724,879.0
2011-12-27,co,0.0,0.0,1397.22143306,756.495207044,1016.0
2011-12-28,co,0.0,0.0,1465.44730059,719.723474557,994.0
2011-12-29,co,0.0,0.0,1392.83777893,676.890714528,960.0
2011-12-30,co,0.0,0.0,1410.81365323,605.602303425,896.0
2011-12-31,co,0.0,0.0,1175.36325819,515.096209628,776.0
2012-01-01,co,0.0,0.0,1139.74827425,445.474280321,678.0
2012-01-02,co,0.0,0.0,1444.79147465,490.614558838,791.0
2012-01-03,co,0.0,0.0,1469.760035,623.885495343,896.0
2012-01-04,co,0.0,0.0,1467.37739284,678.676586098,982.0
2012-01-05,co,0.0,0.0,1655.73119285,643.572347539,1060.0
2012-01-06,co,0.0,0.0,1904.56360138,394.551032701,1052.0
2012-01-07,co,0.0,0.0,1816.1106654,591.671736641,1014.0
2012-01-09,co,0.0,0.0,2068.58779816,462.525078545,1112.0
2012-01-10,co,0.0,0.0,1909.0445945,531.49092704,1102.0
2012-01-11,co,0.0,0.0,1484.21333026,596.039459659,1023.0
2012-01-12,co,0.0,0.0,1683.25003855,510.45321763,1043.0
2012-01-13,co,0.0,0.0,1700.28212227,411.241527966,1038.0
2012-01-14,co,0.0,0.0,1504.24563789,350.96927165,966.0
2012-01-16,co,0.0,0.0,1528.16785946,367.690866559,1037.0
2012-01-17,co,0.0,0.0,1684.62780095,374.678765521,1118.0
2012-01-18,co,0.0,0.0,1377.79945559,697.05936634,1078.0
2012-01-19,co,0.0,0.0,1509.68432368,542.170649615,1128.0
2012-01-20,co,0.0,0.0,1567.64165948,616.265044843,1216.0
2012-01-21,co,0.0,0.0,1434.59929522,492.080036269,1050.0
2012-01-22,co,0.0,0.0,1423.65303966,466.458959258,1014.0
2012-01-23,co,0.0,0.0,1586.94915883,390.363413168,1035.0
2012-01-24,co,0.0,0.0,1664.48819911,565.015809735,1138.0
2012-01-25,co,0.0,0.0,1653.48740185,642.924024559,1111.0
2012-01-26,co,0.0,0.0,1592.87799944,618.016112497,1091.0
2012-01-27,co,0.0,0.0,1699.90256476,632.831974444,1091.0
2012-01-28,co,0.0,0.0,1469.28118631,549.111737129,957.0
2012-01-29,co,0.0,0.0,1523.90707824,540.833889938,963.0
2012-01-30,co,0.0,0.0,1583.0091782,622.478207668,1052.0
2012-01-31,co,0.0,0.0,1730.02654922,687.420494576,1166.0
2012-02-01,co,0.0,0.0,1760.63999276,648.41326187,1123.0
2012-02-02,co,0.0,0.0,1671.91549135,714.807656324,1070.0
2012-02-03,co,0.0,0.0,1722.82924555,720.526154901,1110.0
2012-02-04,co,0.0,0.0,1422.22900967,663.637620535,1031.0
2012-02-05,co,0.0,0.0,1346.77061542,635.811394518,962.0
2012-02-06,co,0.0,0.0,1481.16559207,691.048047436,1017.0
2012-02-07,co,0.0,0.0,1603.4103549,677.563044903,1081.0
2012-02-08,co,0.0,0.0,1695.5841313,817.66575084,1156.0
2012-02-09,co,0.0,0.0,1729.88491741,748.982079898,1174.0
2012-02-10,co,0.0,0.0,1634.21182639,662.843868903,1074.0
2012-02-11,co,0.0,0.0,1428.05451337,763.230358649,997.0
2012-02-12,co,0.0,0.0,1311.88006465,721.257266015,925.0
2012-02-13,co,0.0,0.0,1684.75348703,645.151381408,1053.0
2012-02-14,co,0.0,0.0,1831.60760015,673.419860967,1146.0
2012-02-15,co,0.0,0.0,1593.37084406,693.251933347,1116.0
2012-02-16,co,0.0,0.0,1540.90156639,733.453744799,1118.0
2012-02-17,co,0.0,0.0,1527.89983674,742.423720147,1087.0
2012-02-18,co,0.0,0.0,1346.28892426,686.447263848,967.0
2012-02-19,co,0.0,0.0,1277.84541213,616.702210808,918.0
2012-02-20,co,0.0,0.0,1481.2045614,626.672344325,1057.0
2012-02-21,co,0.0,0.0,1663.05672804,604.141950524,1144.0
2012-02-22,co,0.0,0.0,1599.93003925,707.994165515,1195.0
2012-02-23,co,0.0,0.0,1596.01573951,644.471069089,1128.0
2012-02-24,co,0.0,0.0,1500.41196528,650.856021676,1098.0
2012-02-25,co,0.0,0.0,1418.80809122,674.937124056,1067.0
2012-02-26,co,0.0,0.0,1376.13390805,585.196696078,991.0
2012-02-27,co,0.0,0.0,1513.74356158,614.825870506,1051.0
2012-02-28,co,0.0,0.0,1632.97110269,705.641097222,1154.0
2012-02-29,co,0.0,0.0,1533.66655411,792.392074295,1085.0
2012-03-01,co,0.0,0.0,1526.78654608,849.606465245,1108.0
2012-03-02,co,0.0,0.0,1421.6374346,798.589568346,1070.0
2012-03-03,co,0.0,0.0,1362.6811767,690.612322327,992.0
2012-03-04,co,0.0,0.0,1305.03497732,685.410864664,914.0
2012-03-05,co,0.0,0.0,1504.235433,690.717206066,1023.0
2012-03-06,co,0.0,0.0,1580.63799738,769.544101998,1178.0
2012-03-07,co,0.0,0.0,1537.06342092,718.087440163,1156.0
2012-03-08,co,0.0,0.0,1380.01979525,760.108294713,1083.0
2012-03-09,co,0.0,0.0,1450.73914759,754.057605724,1124.0
2012-03-10,co,0.0,0.0,1292.94097303,752.724957932,1051.0
2012-03-11,co,0.0,0.0,1286.88539633,621.637318748,986.0
2012-03-12,co,0.0,0.0,1326.44242442,717.667569298,1060.0
2012-03-13,co,0.0,0.0,1450.6241483,860.234324089,1134.0
2012-03-14,co,0.0,0.0,1423.76263656,838.058646072,1081.0
2012-03-15,co,0.0,0.0,1392.88007802,790.486326439,1109.0
2012-03-16,co,0.0,0.0,1394.86531441,812.44562272,1081.0
