date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,cr,0.0,0.0,632.972873083,222.563719953,389.0
2011-09-09,cr,0.0,0.0,685.966088251,184.97412953,395.0
2011-09-11,cr,0.0,0.0,511.23682279,181.181587525,423.0
2011-09-12,cr,0.0,0.0,534.804990295,203.183674972,428.0
2011-09-13,cr,0.0,0.0,603.297674966,256.814948232,405.0
2011-09-14,cr,0.0,0.0,576.648379445,257.22253428,368.0
2011-09-15,cr,0.0,0.0,626.21474221,227.640649845,395.0
2011-09-16,cr,0.0,0.0,663.997012696,186.288364109,396.0
2011-09-17,cr,0.0,0.0,663.345518322,176.757126615,367.0
2011-09-18,cr,0.0,0.0,719.061750466,177.082578092,356.0
2011-09-19,cr,0.0,0.0,768.382345337,182.437241734,414.0
2011-09-20,cr,0.0,0.0,680.220781342,180.450039699,437.0
2011-09-21,cr,0.0,0.0,625.740537718,158.536956552,408.0
2011-09-22,cr,0.0,0.0,626.01093588,195.519598106,441.0
2011-09-23,cr,0.0,0.0,629.160989936,206.93339316,400.0
2011-09-24,cr,0.0,0.0,568.422145522,200.434693121,357.0
2011-09-25,cr,0.0,0.0,550.309725246,185.943959238,317.0
2011-09-26,cr,0.0,0.0,574.48207281,233.806465884,357.0
2011-09-27,cr,0.0,0.0,615.341329601,261.391072711,383.0
2011-09-28,cr,0.0,0.0,563.892958472,252.956375047,382.0
2011-09-29,cr,0.0,0.0,591.491233841,270.484376498,386.0
2011-09-30,cr,0.0,0.0,596.785888756,233.127465155,388.0
2011-10-01,cr,0.0,0.0,567.638246959,207.593940633,346.0
2011-10-02,cr,0.0,0.0,464.035958069,174.039450113,319.0
2011-10-03,cr,0.0,0.0,571.25961733,205.468638853,375.0
2011-10-04,cr,0.0,0.0,596.689752188,213.657526644,406.0
2011-10-05,cr,0.0,0.0,615.187749777,241.07987371,414.0
2011-10-06,cr,0.0,0.0,559.790038946,259.77782318,416.0
2011-10-07,cr,0.0,0.0,549.027488802,253.236383193,440.0
2011-10-08,cr,0.0,0.0,519.067673814,207.456383856,336.0
2011-10-09,cr,0.0,0.0,525.061318121,200.684188449,342.0
2011-10-10,cr,0.0,0.0,553.762671148,223.530890084,367.0
2011-10-11,cr,0.0,0.0,612.261030708,242.895447003,389.0
2011-10-12,cr,0.0,0.0,594.094240814,233.344494158,402.0
2011-10-13,cr,0.0,0.0,651.748158708,273.223778632,390.0
2011-10-14,cr,0.0,0.0,731.376157749,272.344101218,382.0
2011-10-15,cr,0.0,0.0,465.524248515,200.819511696,351.0
2011-10-16,cr,0.0,0.0,468.922592226,212.881066984,326.0
2011-10-17,cr,0.0,0.0,520.819884344,215.975338332,359.0
2011-10-18,cr,0.0,0.0,537.119979651,237.690595782,385.0
2011-10-19,cr,0.0,0.0,582.134887815,243.819753952,372.0
2011-10-20,cr,0.0,0.0,589.968390421,218.456849945,353.0
2011-10-21,cr,0.0,0.0,515.699628776,195.564327619,349.0
2011-10-22,cr,0.0,0.0,504.706900085,192.211824574,314.0
2011-10-23,cr,0.0,0.0,435.14671624,185.18278787,307.0
2011-10-24,cr,0.0,0.0,527.035493184,186.001667915,356.0
2011-10-25,cr,0.0,0.0,499.627080687,213.945573232,338.0
2011-10-26,cr,0.0,0.0,564.060850868,171.222881851,350.0
2011-10-27,cr,0.0,0.0,505.150103701,145.766901632,331.0
2011-10-28,cr,0.0,0.0,521.831441258,150.384025263,348.0
2011-10-29,cr,0.0,0.0,469.523915275,156.77655784,335.0
2011-10-30,cr,0.0,0.0,451.243375839,140.45520979,297.0
2011-10-31,cr,0.0,0.0,511.739730653,179.320573844,321.0
2011-11-01,cr,0.0,0.0,500.48543088,187.768235075,408.0
2011-11-02,cr,0.0,0.0,542.405467524,148.594709025,413.0
2011-11-03,cr,0.0,0.0,487.309415377,166.715281308,375.0
2011-11-04,cr,0.0,0.0,578.218849587,164.952262818,376.0
2011-11-05,cr,0.0,0.0,591.152915787,167.396565544,368.0
2011-11-06,cr,0.0,0.0,506.288546504,167.86668289,326.0
2011-11-07,cr,0.0,0.0,475.41985325,186.673752445,332.0
2011-11-08,cr,0.0,0.0,639.298232869,222.91002671,334.0
2011-11-09,cr,0.0,0.0,794.140283192,173.044515976,336.0
2011-11-10,cr,0.0,0.0,681.48378499,192.301654668,346.0
2011-11-11,cr,0.0,0.0,486.56766914,248.9231835,319.0
2011-11-12,cr,0.0,0.0,458.508474493,206.217001971,285.0
2011-11-13,cr,0.0,0.0,439.647489736,174.516974582,265.0
2011-11-14,cr,0.0,0.0,476.374301017,180.298353581,310.0
