date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,cs,0.0,0.0,60.2521414531,7.69988546651,23.0
2011-09-09,cs,0.0,0.0,79.4329771268,8.31326003204,25.0
2011-09-11,cs,0.0,0.0,84.2283556293,13.0665309852,17.0
2011-09-12,cs,0.0,0.0,55.9039878737,6.22793907699,16.0
2011-09-13,cs,0.0,0.0,56.0291607473,6.92378384098,13.0
2011-09-14,cs,1.0,0.0,69.0824054403,12.0305003475,6.0
2011-09-15,cs,0.0,0.0,57.0813555363,5.83856460811,6.0
2011-09-16,cs,1.0,0.0,64.5803134198,5.21450204728,4.0
2011-09-17,cs,0.0,0.0,43.2402099996,1.63641685054,3.0
2011-09-18,cs,0.0,0.0,48.431976306,2.02814556282,3.0
2011-09-19,cs,0.0,0.0,48.4763165522,2.18984530129,4.0
2011-09-20,cs,0.0,0.0,39.4773197073,1.0907789143,4.0
2011-09-21,cs,0.0,0.0,23.4102378556,0.0,5.0
2011-09-22,cs,0.0,0.0,22.4334347748,0.0,3.0
2011-09-23,cs,0.0,0.0,17.2657397891,0.0,1.0
2011-09-24,cs,0.0,0.0,14.1179258463,0.0,2.0
2011-09-25,cs,0.0,0.0,14.0370787103,0.0,3.0
2011-09-26,cs,0.0,0.0,15.2003323828,0.0,5.0
2011-09-27,cs,0.0,0.0,15.4616703908,0.0,3.0
2011-09-28,cs,0.0,0.0,17.3292573841,0.0,4.0
2011-09-29,cs,0.0,0.0,12.4977109169,0.0,8.0
2011-09-30,cs,0.0,0.0,7.44171797959,0.0,7.0
2011-10-01,cs,0.0,0.0,11.7099785844,0.0,6.0
2011-10-02,cs,0.0,0.0,13.144358318,0.0,6.0
2011-10-03,cs,0.0,0.0,19.7270860098,0.0,8.0
2011-10-04,cs,0.0,0.0,14.113436263,0.0,8.0
2011-10-05,cs,0.0,0.0,16.6454314683,0.0,7.0
2011-10-06,cs,0.0,0.0,25.0446324083,0.0,5.0
2011-10-07,cs,0.0,0.0,22.3283382497,0.0,4.0
2011-10-08,cs,0.0,0.0,21.1086378922,0.0,3.0
2011-10-09,cs,0.0,0.0,22.982323162,0.0,5.0
2011-10-10,cs,0.0,0.0,24.530553982,0.0,3.0
2011-10-11,cs,0.0,0.0,25.1339849569,0.0,7.0
2011-10-12,cs,0.0,0.0,22.9096033954,0.0,8.0
