date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,cu,0.0,0.0,656.802492453,232.695227718,425.0
2011-09-09,cu,0.0,0.0,756.048679297,184.005202371,456.0
2011-09-11,cu,0.0,0.0,378.32983498,127.580883281,294.0
2011-09-12,cu,0.0,0.0,558.540471051,245.866558991,388.0
2011-09-13,cu,0.0,0.0,608.690256827,272.579277813,399.0
2011-09-14,cu,0.0,0.0,604.911695128,270.142533289,445.0
2011-09-15,cu,0.0,0.0,678.91654673,247.968619739,463.0
2011-09-16,cu,0.0,0.0,756.786839115,218.549454506,419.0
2011-09-17,cu,0.0,0.0,506.247620264,128.283130433,297.0
2011-09-18,cu,0.0,0.0,513.116458471,118.834220605,258.0
2011-09-19,cu,0.0,0.0,701.363747218,162.64835828,342.0
2011-09-20,cu,0.0,0.0,671.028565509,175.78318884,395.0
2011-09-21,cu,0.0,0.0,745.813904967,197.021549266,398.0
2011-09-22,cu,0.0,0.0,724.301207617,233.705262208,386.0
2011-09-23,cu,0.0,0.0,664.280727205,218.707338155,385.0
2011-09-24,cu,0.0,0.0,468.770573828,157.77601939,302.0
2011-09-25,cu,0.0,0.0,409.635448453,129.380329459,265.0
2011-09-26,cu,0.0,0.0,475.709271017,193.023159726,340.0
2011-09-27,cu,0.0,0.0,553.710286398,238.460691786,365.0
2011-09-28,cu,0.0,0.0,546.137766398,250.79854113,353.0
2011-09-29,cu,0.0,0.0,518.170012875,237.381308858,354.0
2011-09-30,cu,0.0,0.0,575.937327089,222.900682814,343.0
2011-10-01,cu,0.0,0.0,487.3126508,172.282640977,288.0
2011-10-02,cu,0.0,0.0,395.761138805,142.520611686,269.0
2011-10-03,cu,0.0,0.0,542.419998171,197.59928315,350.0
2011-10-04,cu,0.0,0.0,563.033809029,207.39082507,408.0
2011-10-05,cu,0.0,0.0,552.288655055,227.833488036,414.0
2011-10-06,cu,0.0,0.0,518.878955288,230.66630216,375.0
2011-10-07,cu,0.0,0.0,486.625136421,221.156185912,343.0
2011-10-08,cu,0.0,0.0,437.666388896,168.352695465,272.0
2011-10-09,cu,0.0,0.0,450.011262348,164.684049458,244.0
2011-10-10,cu,0.0,0.0,519.13430608,208.930895475,257.0
2011-10-11,cu,0.0,0.0,605.85637681,251.413440809,335.0
2011-10-12,cu,0.0,0.0,592.918893431,235.93678061,388.0
2011-10-13,cu,0.0,0.0,596.817493247,243.314206951,397.0
2011-10-14,cu,0.0,0.0,575.982120681,208.407173276,343.0
2011-10-15,cu,0.0,0.0,383.615421165,158.242711273,234.0
2011-10-16,cu,0.0,0.0,343.223535461,145.027863153,231.0
2011-10-17,cu,0.0,0.0,377.498186162,143.641982175,328.0
2011-10-18,cu,0.0,0.0,469.217253156,200.513337767,379.0
