date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,cy,0.0,0.0,438.249746706,142.45488331,286.0
2011-09-09,cy,0.0,0.0,499.125942262,111.227025314,268.0
2011-09-11,cy,0.0,0.0,372.045286227,125.512004092,357.0
2011-09-12,cy,0.0,0.0,404.222072864,165.134256039,301.0
2011-09-13,cy,0.0,0.0,420.286129714,173.177148013,306.0
2011-09-14,cy,0.0,0.0,402.871188955,163.793317598,285.0
2011-09-15,cy,0.0,0.0,472.816880758,158.954243423,279.0
2011-09-16,cy,0.0,0.0,465.606772764,120.519356179,279.0
2011-09-17,cy,0.0,0.0,516.009971068,131.01255874,265.0
2011-09-18,cy,0.0,0.0,611.463779677,148.030559288,266.0
2011-09-19,cy,0.0,0.0,557.455418955,122.62762659,281.0
2011-09-20,cy,0.0,0.0,526.934010389,130.627874275,286.0
2011-09-21,cy,0.0,0.0,496.264005206,119.601157278,287.0
2011-09-22,cy,0.0,0.0,455.844613234,132.938837464,299.0
2011-09-23,cy,0.0,0.0,458.447262437,138.831614655,304.0
2011-09-24,cy,0.0,0.0,423.572309134,138.977174527,269.0
2011-09-25,cy,0.0,0.0,421.15644544,134.555542637,277.0
2011-09-26,cy,0.0,0.0,397.384257871,155.12043018,276.0
2011-09-27,cy,0.0,0.0,412.637601965,166.110389015,268.0
2011-09-28,cy,0.0,0.0,405.570661966,173.866473299,289.0
2011-09-29,cy,0.0,0.0,410.264760736,178.601175236,269.0
2011-09-30,cy,0.0,0.0,464.505974674,171.079823433,280.0
2011-10-01,cy,0.0,0.0,438.449322671,150.747310855,303.0
2011-10-02,cy,0.0,0.0,411.446793696,149.40566539,288.0
2011-10-03,cy,0.0,0.0,448.717273427,155.771697666,293.0
2011-10-04,cy,0.0,0.0,425.489020066,146.434737972,289.0
2011-10-05,cy,0.0,0.0,460.023962093,182.266790429,307.0
2011-10-06,cy,0.0,0.0,404.384537924,169.370361726,276.0
2011-10-07,cy,0.0,0.0,404.345523983,176.283916307,263.0
2011-10-08,cy,0.0,0.0,458.743807058,177.994039258,277.0
2011-10-09,cy,0.0,0.0,478.475830147,178.015615367,276.0
2011-10-10,cy,0.0,0.0,441.633212992,171.279037987,271.0
2011-10-11,cy,0.0,0.0,442.212695651,171.111237327,275.0
2011-10-12,cy,0.0,0.0,450.714768584,168.822799029,261.0
2011-10-13,cy,0.0,0.0,451.933068383,172.314323611,273.0
2011-10-14,cy,0.0,0.0,452.159877346,154.795183049,293.0
2011-10-15,cy,0.0,0.0,390.486145127,161.214405381,307.0
2011-10-16,cy,0.0,0.0,383.868427819,166.627757665,292.0
2011-10-17,cy,0.0,0.0,395.248884571,152.260501106,263.0
2011-10-18,cy,0.0,0.0,392.752219308,161.006992407,297.0
2011-10-19,cy,0.0,0.0,392.49867337,149.747590119,304.0
2011-10-20,cy,0.0,0.0,422.269543144,146.943533828,318.0
2011-10-21,cy,0.0,0.0,397.041096426,149.595314789,285.0
2011-10-22,cy,0.0,0.0,436.402679812,169.658990621,290.0
2011-10-23,cy,0.0,0.0,392.452414133,164.508994444,304.0
2011-10-24,cy,0.0,0.0,393.059468779,131.816778089,274.0
2011-10-25,cy,0.0,0.0,380.967578199,166.617952563,286.0
2011-10-26,cy,0.0,0.0,449.945538527,151.321561857,277.0
2011-10-27,cy,0.0,0.0,457.560148278,133.365966124,256.0
2011-10-28,cy,0.0,0.0,438.33965037,118.211866216,253.0
2011-10-29,cy,0.0,0.0,437.507207608,142.65926345,246.0
2011-10-30,cy,0.0,0.0,446.372964183,139.372257157,236.0
2011-10-31,cy,0.0,0.0,406.346594615,133.800024463,254.0
2011-11-01,cy,0.0,0.0,432.05385482,155.24395424,269.0
2011-11-02,cy,0.0,0.0,409.335899246,128.98747149,267.0
2011-11-03,cy,0.0,0.0,378.441449171,128.555654027,265.0
2011-11-04,cy,0.0,0.0,436.877552511,112.387061373,299.0
2011-11-05,cy,0.0,0.0,441.557360929,124.420371871,301.0
2011-11-06,cy,0.0,0.0,409.515877163,132.621375878,277.0
2011-11-07,cy,0.0,0.0,383.730504899,144.382525994,245.0
2011-11-08,cy,0.0,0.0,450.538329325,131.745390348,245.0
2011-11-09,cy,0.0,0.0,546.742129606,98.8820134201,240.0
2011-11-10,cy,0.0,0.0,502.948385166,128.789276337,232.0
2011-11-11,cy,0.0,0.0,406.881596052,183.405980188,211.0
2011-11-12,cy,0.0,0.0,379.986854829,165.549857799,229.0
2011-11-13,cy,0.0,0.0,377.211193693,145.484825578,233.0
2011-11-14,cy,0.0,0.0,359.03863661,128.344694043,228.0
2011-11-15,cy,0.0,0.0,389.94840501,112.435973194,237.0
2011-11-16,cy,0.0,0.0,391.448848058,91.9189845434,264.0
2011-11-17,cy,0.0,0.0,335.11966324,109.846019171,254.0
2011-11-18,cy,0.0,0.0,311.541150892,117.833020874,232.0
2011-11-19,cy,0.0,0.0,342.906887779,132.850096583,228.0
2011-11-20,cy,0.0,0.0,356.351507213,130.850168936,240.0
2011-11-21,cy,0.0,0.0,357.605778685,129.53595957,222.0
2011-11-22,cy,0.0,0.0,377.393260351,122.809101151,215.0
2011-11-23,cy,0.0,0.0,501.618925763,129.117585778,245.0
2011-11-24,cy,0.0,0.0,705.467006335,132.327670738,308.0
2011-11-25,cy,0.0,0.0,608.894755825,46.8350470868,213.0
