date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,cz,0.0,0.0,5956.99264061,2657.83354001,4156.0
2011-09-09,cz,0.0,0.0,6655.90465633,2042.82392583,4029.0
2011-09-11,cz,0.0,0.0,5542.97200088,2710.23173672,4121.0
2011-09-12,cz,0.0,0.0,5198.4570852,2956.27014811,4093.0
2011-09-13,cz,0.0,0.0,5216.13733976,2985.17021058,4089.0
2011-09-14,cz,0.0,0.0,5459.93296022,3126.04592401,4027.0
2011-09-15,cz,0.0,0.0,5924.3551042,2767.92322547,3882.0
2011-09-16,cz,0.0,0.0,6002.24803439,2188.37778325,3659.0
2011-09-17,cz,0.0,0.0,5592.43238914,1939.53175501,3406.0
2011-09-18,cz,0.0,0.0,6217.26108847,1989.4487622,3733.0
2011-09-19,cz,0.0,0.0,6563.7345933,1978.97387346,3858.0
2011-09-20,cz,0.0,0.0,6115.54244229,2071.231274,3722.0
2011-09-21,cz,0.0,0.0,6047.33137773,2025.21066766,3643.0
2011-09-22,cz,0.0,0.0,5470.13535881,2216.86134437,3691.0
2011-09-23,cz,0.0,0.0,5193.95353303,2178.19830116,3467.0
2011-09-24,cz,0.0,0.0,4681.24884332,2142.39692712,3225.0
2011-09-25,cz,0.0,0.0,5071.79889615,2269.33097871,3396.0
2011-09-26,cz,0.0,0.0,4712.17101145,2547.20380598,3525.0
2011-09-27,cz,0.0,0.0,4644.81813494,2581.72457949,3576.0
2011-09-28,cz,0.0,0.0,4458.97290287,2631.84604051,3416.0
2011-09-29,cz,0.0,0.0,4405.00711596,2612.70158035,3363.0
2011-09-30,cz,0.0,0.0,4617.51491806,2307.0930546,3372.0
2011-10-01,cz,0.0,0.0,4540.32762452,2165.01852162,3284.0
2011-10-02,cz,0.0,0.0,4361.81864872,2190.13558344,3184.0
2011-10-03,cz,0.0,0.0,4946.44806118,2384.17237261,3518.0
2011-10-04,cz,0.0,0.0,4886.05367151,2351.3635437,3502.0
2011-10-05,cz,0.0,0.0,4723.69237912,2558.92980773,3638.0
2011-10-06,cz,0.0,0.0,4361.75009128,2539.74890036,3415.0
2011-10-07,cz,0.0,0.0,4219.76869505,2530.47548953,3395.0
2011-10-08,cz,0.0,0.0,4338.22859702,2279.06534433,3381.0
2011-10-09,cz,0.0,0.0,4603.1272498,2333.80824375,3605.0
2011-10-10,cz,0.0,0.0,4602.08871812,2436.29666102,3465.0
2011-10-11,cz,0.0,0.0,4651.97762318,2464.60220782,3516.0
2011-10-12,cz,0.0,0.0,4656.5825289,2363.5191864,3504.0
2011-10-13,cz,0.0,0.0,4830.36697207,2552.80479424,3784.0
2011-10-14,cz,0.0,0.0,5028.01783609,2401.2130834,3758.0
2011-10-15,cz,0.0,0.0,4121.28925604,2352.83881033,3302.0
2011-10-16,cz,0.0,0.0,4324.1649369,2610.50153675,3529.0
2011-10-17,cz,0.0,0.0,4361.93828901,2332.74579052,3363.0
2011-10-18,cz,0.0,0.0,4331.86002358,2458.33824518,3375.0
2011-10-19,cz,0.0,0.0,4527.70915473,2423.9930105,3390.0
2011-10-20,cz,0.0,0.0,5030.89678256,2442.42126088,3610.0
2011-10-21,cz,0.0,0.0,4410.5846589,2277.45970618,3152.0
2011-10-22,cz,0.0,0.0,4104.98563524,2148.55033204,2921.0
2011-10-23,cz,0.0,0.0,4113.07669784,2357.25009355,3018.0
2011-10-24,cz,0.0,0.0,4330.91063907,2024.83431317,3010.0
2011-10-25,cz,0.0,0.0,3770.84437595,2241.18871511,3145.0
2011-10-26,cz,0.0,0.0,4376.96347316,1994.17958696,3312.0
2011-10-27,cz,0.0,0.0,4547.15214714,1779.43802833,3126.0
2011-10-28,cz,0.0,0.0,4211.81784056,1554.16940182,2972.0
2011-10-29,cz,0.0,0.0,3850.06342695,1695.71403979,2918.0
2011-10-30,cz,0.0,0.0,3878.99309036,1628.51566869,2900.0
2011-10-31,cz,0.0,0.0,3866.30369314,1747.49055206,3012.0
2011-11-01,cz,0.0,0.0,4130.97645806,2027.83102894,3020.0
2011-11-02,cz,0.0,0.0,4235.00601918,1842.67816414,2949.0
2011-11-03,cz,0.0,0.0,3970.06501395,1886.34427014,2896.0
2011-11-04,cz,0.0,0.0,4420.25472716,1588.90075033,2911.0
2011-11-05,cz,0.0,0.0,4503.59648189,1780.52100588,3063.0
2011-11-06,cz,0.0,0.0,4306.16356258,1979.79534598,3057.0
2011-11-07,cz,0.0,0.0,3920.14211036,2059.46648753,3032.0
2011-11-08,cz,0.0,0.0,4379.17827931,1767.89766667,3044.0
2011-11-09,cz,0.0,0.0,5223.87252924,1306.85891775,3333.0
2011-11-10,cz,0.0,0.0,4750.40883306,1678.6157853,3410.0
2011-11-11,cz,0.0,0.0,3471.31312358,2098.72159608,2819.0
2011-11-12,cz,0.0,0.0,3377.54620149,1980.36419852,2573.0
2011-11-13,cz,0.0,0.0,3611.71421527,1913.42715299,2653.0
2011-11-14,cz,0.0,0.0,3812.87260322,1921.09597592,2606.0
2011-11-15,cz,0.0,0.0,4156.4664416,1690.10899388,2676.0
2011-11-16,cz,0.0,0.0,4632.14470202,1550.20125284,2770.0
2011-11-17,cz,0.0,0.0,4179.20707182,1971.67433287,2727.0
2011-11-18,cz,0.0,0.0,3522.63196458,1944.61538851,2648.0
2011-11-19,cz,0.0,0.0,3302.42034084,1812.07531739,2540.0
2011-11-20,cz,0.0,0.0,3474.42719533,1811.31919246,2626.0
2011-11-21,cz,0.0,0.0,3498.5348558,1800.1031623,2581.0
2011-11-22,cz,0.0,0.0,3660.45962996,1677.49134869,2587.0
2011-11-23,cz,0.0,0.0,4552.92040265,1614.59660662,2994.0
2011-11-24,cz,0.0,0.0,6546.28590323,1702.79515391,4260.0
2011-11-25,cz,0.0,0.0,5944.5704512,647.007757227,3194.0
2011-11-26,cz,0.0,0.0,5274.22129767,921.389211247,3262.0
2011-11-27,cz,0.0,0.0,3586.34460835,1809.79476907,2733.0
2011-11-28,cz,0.0,0.0,3372.75892567,1752.15876174,2499.0
2011-11-29,cz,0.0,0.0,3340.00107427,1442.85933532,2393.0
2011-11-30,cz,0.0,0.0,3704.06481763,1098.13421517,2357.0
2011-12-01,cz,0.0,0.0,4786.14525697,1118.01796968,2591.0
2011-12-02,cz,0.0,0.0,4923.75978536,715.483664125,2472.0
2011-12-03,cz,0.0,0.0,4655.43990552,929.93878185,2442.0
2011-12-04,cz,0.0,0.0,3247.67256974,1522.86772905,2344.0
2011-12-05,cz,0.0,0.0,3830.75917245,1784.1197652,2840.0
2011-12-06,cz,0.0,0.0,3464.46938787,1636.26291282,2494.0
2011-12-07,cz,0.0,0.0,3459.06686945,1728.93817568,2511.0
2011-12-08,cz,0.0,0.0,3345.37076501,1697.90587156,2505.0
2011-12-09,cz,0.0,0.0,3356.67220823,1624.0361946,2528.0
2011-12-10,cz,0.0,0.0,3306.1549791,1643.3790751,2494.0
2011-12-11,cz,0.0,0.0,3572.6912514,1743.43427343,2666.0
2011-12-12,cz,0.0,0.0,3409.01026958,1912.07221619,2701.0
2011-12-13,cz,0.0,0.0,3361.37454679,1768.21202883,2539.0
2011-12-14,cz,0.0,0.0,3413.09065365,1630.76844015,2492.0
2011-12-15,cz,0.0,0.0,3388.20609628,1607.77256054,2473.0
2011-12-16,cz,0.0,0.0,3463.65178625,1797.42407473,2629.0
2011-12-17,cz,0.0,0.0,3518.4722572,1733.94452346,2486.0
2011-12-18,cz,0.0,0.0,3591.01126268,1902.07236773,2574.0
2011-12-19,cz,0.0,0.0,3542.2693821,1837.03621853,2627.0
2011-12-20,cz,0.0,0.0,3315.49138722,1819.26701057,2584.0
2011-12-21,cz,0.0,0.0,3374.59793012,1714.71031065,2606.0
2011-12-22,cz,0.0,0.0,3361.53382375,1732.8689307,2555.0
2011-12-23,cz,0.0,0.0,3215.82250838,1867.02118252,2479.0
2011-12-24,cz,0.0,0.0,2978.03326374,1713.49628007,2351.0
2011-12-25,cz,0.0,0.0,3769.74552126,1865.15135292,2786.0
2011-12-26,cz,0.0,0.0,3213.13089644,1771.25510187,2314.0
2011-12-27,cz,0.0,0.0,3428.08616931,1873.3212054,2506.0
2011-12-28,cz,0.0,0.0,3567.12477292,1762.71606575,2497.0
2011-12-29,cz,0.0,0.0,3436.08280298,1781.78056174,2419.0
2011-12-30,cz,0.0,0.0,3539.85704255,1672.9014973,2477.0
2011-12-31,cz,0.0,0.0,3274.73811757,1500.25349611,2273.0
2012-01-01,cz,0.0,0.0,3357.63671889,1447.7547201,2359.0
2012-01-02,cz,0.0,0.0,3653.89190514,1355.60403302,2537.0
2012-01-03,cz,0.0,0.0,3481.26243916,1608.32382383,2582.0
2012-01-04,cz,0.0,0.0,3538.68199194,1781.55543944,2616.0
2012-01-05,cz,0.0,0.0,3972.69307358,1694.94716697,2882.0
2012-01-06,cz,0.0,0.0,5034.00595952,1105.06208233,3077.0
2012-01-07,cz,0.0,0.0,5316.89072889,1515.06129717,3371.0
2012-01-09,cz,0.0,0.0,6468.21816042,1331.26926992,3557.0
2012-01-10,cz,0.0,0.0,5426.48024103,1379.16448988,3010.0
2012-01-11,cz,0.0,0.0,3809.61270009,1628.25366518,2620.0
2012-01-12,cz,0.0,0.0,4356.74630035,1497.70665213,2880.0
2012-01-13,cz,0.0,0.0,4748.28737453,1266.02207967,2783.0
2012-01-14,cz,0.0,0.0,4762.0264265,1250.31893077,2832.0
2012-01-16,cz,0.0,0.0,4771.89806969,1197.32685083,2892.0
2012-01-17,cz,0.0,0.0,4563.95340665,1008.63867723,2804.0
