date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,dj,0.0,0.0,75.5208440799,10.783437382,17.0
2011-09-09,dj,0.0,0.0,54.8637094711,3.20407068805,24.0
2011-09-11,dj,0.0,0.0,69.1300362921,8.96514314945,17.0
2011-09-12,dj,1.0,0.0,57.5814918609,8.07323029524,5.0
2011-09-13,dj,0.0,0.0,44.6855942512,3.88289569535,5.0
2011-09-14,dj,0.0,0.0,41.1339952687,3.10508658953,14.0
2011-09-15,dj,0.0,1.0,45.7999257714,2.8258532164,47.0
2011-09-16,dj,0.0,0.0,61.8933474369,4.61318109776,50.0
2011-09-17,dj,0.0,0.0,57.1794832805,3.82119962992,26.0
2011-09-18,dj,0.0,0.0,48.4609988555,2.0488658725,31.0
2011-09-19,dj,0.0,1.0,22.7223676205,0.0,25.0
2011-09-20,dj,0.0,1.0,21.1903757529,0.0,31.0
2011-09-21,dj,0.0,0.0,42.536914732,1.60180121355,32.0
2011-09-22,dj,0.0,0.0,99.6744781125,14.568639722,18.0
2011-09-23,dj,1.0,0.0,104.253313324,16.4822921508,7.0
2011-09-24,dj,1.0,0.0,60.6948125893,6.04248584899,5.0
2011-09-25,dj,1.0,0.0,69.1259819264,8.40972141482,6.0
2011-09-26,dj,0.0,0.0,52.9845677161,6.31712159103,33.0
2011-09-27,dj,0.0,0.0,63.4827079946,9.59748914309,44.0
2011-09-28,dj,0.0,0.0,63.3704159323,10.0011688181,15.0
2011-09-29,dj,0.0,0.0,40.4644695521,3.76795728346,11.0
2011-09-30,dj,0.0,0.0,23.7887156841,0.0,5.0
2011-10-01,dj,0.0,0.0,19.8094573496,0.0,11.0
2011-10-02,dj,0.0,0.0,20.5120102429,0.0,14.0
2011-10-03,dj,1.0,0.0,73.9063744467,10.0963137376,6.0
2011-10-04,dj,1.0,0.0,91.2680375367,15.4141829444,5.0
2011-10-05,dj,0.0,0.0,40.2845842511,2.39824724248,3.0
2011-10-06,dj,0.0,0.0,30.4506429159,0.806525532029,2.0
2011-10-07,dj,0.0,0.0,17.6313455225,0.0,4.0
2011-10-08,dj,0.0,0.0,30.9962031796,0.741641830241,15.0
2011-10-09,dj,0.0,0.0,40.6636682844,2.35262927798,17.0
2011-10-10,dj,0.0,0.0,20.9129933729,0.0,19.0
2011-10-11,dj,0.0,0.0,18.7378260869,0.0,13.0
2011-10-12,dj,0.0,1.0,13.256316723,0.0,16.0
2011-10-13,dj,0.0,1.0,11.9629341631,0.0,19.0
2011-10-14,dj,0.0,1.0,18.0863950938,0.0,19.0
2011-10-15,dj,0.0,0.0,35.4987404661,2.22877058131,27.0
2011-10-16,dj,0.0,1.0,38.3868427819,3.08569921602,44.0
2011-10-17,dj,0.0,0.0,43.7850560753,3.59104955438,29.0
2011-10-18,dj,0.0,0.0,32.4397113293,1.49080548525,30.0
2011-10-19,dj,0.0,0.0,40.100483657,2.95069143091,27.0
2011-10-20,dj,0.0,0.0,46.3619379713,3.43326013618,28.0
2011-10-21,dj,0.0,0.0,40.9206701052,3.22403695665,37.0
2011-10-22,dj,0.0,0.0,56.0089000828,6.95323732053,38.0
2011-10-23,dj,0.0,0.0,77.8327413503,15.6675232804,32.0
2011-10-24,dj,0.0,0.0,61.6801012546,7.07309540963,25.0
2011-10-25,dj,0.0,0.0,54.5738679514,8.50815076916,23.0
2011-10-26,dj,0.0,0.0,58.2139780304,6.27890298161,34.0
2011-10-27,dj,0.0,0.0,59.2694492589,5.77569144632,27.0
2011-10-28,dj,0.0,0.0,77.6487380656,8.97143627534,22.0
2011-10-29,dj,0.0,0.0,77.642124167,10.590425671,20.0
2011-10-30,dj,0.0,0.0,66.1738895688,7.5180055728,23.0
2011-10-31,dj,0.0,0.0,55.3016075511,5.60093125661,16.0
2011-11-01,dj,0.0,0.0,52.9296745222,5.51978503964,20.0
2011-11-02,dj,0.0,0.0,69.6231148277,8.9161846652,18.0
2011-11-03,dj,0.0,0.0,57.1232376108,6.46008311692,12.0
