date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,dk,0.0,0.0,2606.17899122,1202.36673054,1934.0
2011-09-09,dk,0.0,0.0,2937.73897664,954.068842501,1869.0
2011-09-11,dk,0.0,0.0,2805.93566813,1302.52682558,1985.0
2011-09-12,dk,0.0,0.0,2697.66477654,1334.16294894,1934.0
2011-09-13,dk,0.0,0.0,2622.40832802,1400.91226383,1837.0
2011-09-14,dk,0.0,0.0,2657.29045754,1518.24914386,1869.0
2011-09-15,dk,0.0,0.0,2787.69410759,1293.97188127,1846.0
2011-09-16,dk,0.0,0.0,2852.76514933,990.755388982,1765.0
2011-09-17,dk,0.0,0.0,2859.43324191,942.030633627,1807.0
2011-09-18,dk,0.0,0.0,3066.88367608,923.313267475,1928.0
2011-09-19,dk,0.0,0.0,3084.85650787,970.648929798,1859.0
2011-09-20,dk,0.0,0.0,2818.39864625,916.25428801,1799.0
2011-09-21,dk,0.0,0.0,2798.21196016,961.391139614,1782.0
2011-09-22,dk,0.0,0.0,2649.78453104,1032.96038239,1781.0
2011-09-23,dk,0.0,0.0,2554.00135496,1037.67732868,1745.0
2011-09-24,dk,0.0,0.0,2524.54183088,1132.49844594,1711.0
2011-09-25,dk,0.0,0.0,2670.87324914,1167.76722004,1760.0
2011-09-26,dk,0.0,0.0,2363.06705735,1182.66717805,1709.0
2011-09-27,dk,0.0,0.0,2329.95479197,1215.22922514,1721.0
2011-09-28,dk,0.0,0.0,2242.4059055,1267.76031283,1737.0
2011-09-29,dk,0.0,0.0,2204.14174353,1215.06652386,1664.0
2011-09-30,dk,0.0,0.0,2359.02459953,1142.96070486,1743.0
2011-10-01,dk,0.0,0.0,2429.1700019,1143.3811366,1734.0
2011-10-02,dk,0.0,0.0,2291.89811399,1112.54832915,1676.0
2011-10-03,dk,0.0,0.0,2452.73436055,1107.70594318,1771.0
2011-10-04,dk,0.0,0.0,2408.26544233,1074.95334602,1728.0
2011-10-05,dk,0.0,0.0,2425.11132316,1280.45171465,1768.0
2011-10-06,dk,0.0,0.0,2276.55708591,1185.95251203,1697.0
2011-10-07,dk,0.0,0.0,2232.83382497,1277.86493856,1701.0
2011-10-08,dk,0.0,0.0,2348.02554436,1172.58994135,1734.0
2011-10-09,dk,0.0,0.0,2473.97949333,1206.29053055,1854.0
2011-10-10,dk,0.0,0.0,2367.19845926,1207.97799734,1725.0
2011-10-11,dk,0.0,0.0,2368.87808219,1190.66163514,1717.0
2011-10-12,dk,0.0,0.0,2322.31032313,1125.69995373,1719.0
2011-10-13,dk,0.0,0.0,2429.47030089,1265.14228405,1827.0
2011-10-14,dk,0.0,0.0,2595.08741386,1189.55008705,1843.0
2011-10-15,dk,0.0,0.0,2163.98164347,1188.78114732,1593.0
2011-10-16,dk,0.0,0.0,2282.62579161,1314.37304488,1635.0
2011-10-17,dk,0.0,0.0,2226.37123533,1139.89225064,1536.0
2011-10-18,dk,0.0,0.0,2168.49707985,1169.87720928,1602.0
