date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,dm,0.0,0.0,66.170344872,9.46537205784,34.0
2011-09-09,dm,0.0,0.0,63.3430505866,5.51864013448,36.0
2011-09-11,dm,0.0,0.0,82.6180989022,13.3762645641,57.0
2011-09-12,dm,0.0,1.0,45.6110480535,4.44524084506,56.0
2011-09-13,dm,0.0,1.0,40.3376881142,3.05351738697,49.0
2011-09-14,dm,0.0,0.0,91.1314143667,19.8504771618,27.0
2011-09-15,dm,0.0,0.0,77.8466842854,10.908653546,20.0
2011-09-16,dm,0.0,0.0,84.5129158215,9.39421163385,23.0
2011-09-17,dm,0.0,0.0,120.657563639,16.4072066974,26.0
2011-09-18,dm,0.0,0.0,124.630759298,15.9041820012,28.0
2011-09-19,dm,0.0,0.0,130.326645485,15.7966966928,32.0
2011-09-20,dm,0.0,0.0,108.755410962,13.8085068174,34.0
2011-09-21,dm,0.0,0.0,67.979616313,5.41706810692,34.0
2011-09-22,dm,0.0,0.0,51.2829273447,3.7337408344,27.0
2011-09-23,dm,0.0,0.0,56.2724713844,5.28658350149,26.0
2011-09-24,dm,0.0,0.0,60.1346018302,6.20662628464,31.0
2011-09-25,dm,0.0,0.0,63.7483497282,7.2703982745,27.0
2011-09-26,dm,0.0,0.0,64.6059491143,8.89523976439,25.0
2011-09-27,dm,0.0,0.0,69.387996754,10.9001975927,24.0
2011-09-28,dm,0.0,0.0,68.1757166404,11.2704117115,29.0
2011-09-29,dm,0.0,0.0,55.0581068584,7.32864705712,22.0
2011-09-30,dm,0.0,0.0,58.9040072555,6.39526656552,18.0
2011-10-01,dm,0.0,0.0,71.6561377645,9.3099348008,14.0
2011-10-02,dm,0.0,0.0,57.8392520795,6.90482643379,10.0
2011-10-03,dm,0.0,0.0,61.3472671234,6.37399798321,13.0
2011-10-04,dm,0.0,0.0,57.6965748583,5.35427513572,12.0
2011-10-05,dm,1.0,0.0,70.8647309607,7.80298741666,6.0
2011-10-06,dm,0.0,0.0,50.2329865226,5.65691615088,6.0
2011-10-07,dm,0.0,0.0,42.6624393366,3.98095336369,13.0
2011-10-08,dm,0.0,0.0,37.1831722689,2.22049425344,13.0
2011-10-09,dm,0.0,0.0,32.3575321951,0.786243878228,17.0
2011-10-10,dm,0.0,0.0,34.4465141293,1.46626573138,18.0
2011-10-11,dm,0.0,0.0,34.4771522788,1.44844605461,8.0
2011-10-12,dm,0.0,0.0,20.6054073058,0.0,11.0
2011-10-13,dm,0.0,0.0,22.4323196424,0.0,10.0
2011-10-14,dm,0.0,0.0,39.3064942959,1.49760617931,8.0
2011-10-15,dm,0.0,0.0,32.1619690659,1.48686779329,16.0
2011-10-16,dm,0.0,0.0,38.5548546997,3.08602369604,17.0
2011-10-17,dm,0.0,0.0,42.5371652152,3.617132073,14.0
2011-10-18,dm,0.0,1.0,23.0426119022,0.0,25.0
2011-10-19,dm,0.0,0.0,29.2443926693,0.766962131027,13.0
2011-10-20,dm,0.0,0.0,31.6227285943,0.642500142131,13.0
