date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,do,0.0,0.0,571.188751521,181.330129731,381.0
2011-09-09,do,0.0,0.0,644.316754006,168.421698605,423.0
2011-09-11,do,0.0,0.0,698.704578279,261.9372548,392.0
2011-09-12,do,0.0,0.0,690.548776396,266.813316225,382.0
2011-09-13,do,0.0,0.0,575.102319875,248.821877081,426.0
2011-09-14,do,0.0,0.0,583.262501719,268.638141473,419.0
2011-09-15,do,0.0,0.0,619.647982732,213.292619073,432.0
2011-09-16,do,0.0,0.0,709.705971454,195.141860214,420.0
2011-09-17,do,0.0,0.0,701.993978893,187.609628199,409.0
2011-09-18,do,0.0,0.0,669.650763011,159.079324762,359.0
2011-09-19,do,0.0,0.0,671.32776026,170.403736386,402.0
2011-09-20,do,0.0,0.0,714.34031207,188.265033538,417.0
2011-09-21,do,0.0,0.0,684.364291825,193.908911116,388.0
2011-09-22,do,0.0,0.0,674.265532429,218.375913993,389.0
2011-09-23,do,0.0,0.0,661.819661905,223.382986565,402.0
2011-09-24,do,0.0,0.0,623.813521732,230.807982396,426.0
2011-09-25,do,0.0,0.0,552.52221793,192.324689615,443.0
2011-09-26,do,0.0,0.0,563.361948954,228.330671025,366.0
2011-09-27,do,0.0,0.0,588.379284167,252.970973017,352.0
2011-09-28,do,0.0,0.0,535.136012362,247.075705456,384.0
2011-09-29,do,0.0,0.0,534.196059441,231.418300489,404.0
2011-09-30,do,0.0,0.0,595.753058913,235.171930928,363.0
2011-10-01,do,0.0,0.0,659.54606885,257.601393685,370.0
2011-10-02,do,0.0,0.0,626.08171786,254.128991163,335.0
2011-10-03,do,0.0,0.0,578.359561951,211.481648837,358.0
2011-10-04,do,0.0,0.0,548.449227106,193.203801261,407.0
2011-10-05,do,0.0,0.0,613.049750715,241.165324113,452.0
2011-10-06,do,0.0,0.0,603.586408468,258.544661303,419.0
2011-10-07,do,0.0,0.0,516.199028336,234.727947239,407.0
2011-10-08,do,0.0,0.0,552.904329874,220.569075768,431.0
2011-10-09,do,0.0,0.0,548.968818554,210.598149156,408.0
2011-10-10,do,0.0,0.0,530.796864156,212.700792229,362.0
2011-10-11,do,0.0,0.0,608.956969522,251.39543011,355.0
2011-10-12,do,0.0,0.0,642.720417503,261.339042307,354.0
2011-10-13,do,0.0,0.0,653.522951556,279.72676538,379.0
2011-10-14,do,0.0,0.0,676.37157067,256.329182452,370.0
2011-10-15,do,0.0,0.0,584.240172401,268.236571159,375.0
2011-10-16,do,0.0,0.0,551.167569737,259.61522506,372.0
2011-10-17,do,0.0,0.0,532.056643342,204.031174264,359.0
2011-10-18,do,0.0,0.0,501.110036464,211.586010253,409.0
2011-10-19,do,0.0,0.0,518.089556789,210.516997062,374.0
2011-10-20,do,0.0,0.0,569.159524499,213.970683168,402.0
2011-10-21,do,0.0,0.0,492.192985468,191.364599931,396.0
2011-10-22,do,0.0,0.0,524.032188969,211.211166331,370.0
2011-10-23,do,0.0,0.0,502.633877437,201.882314515,332.0
2011-10-24,do,0.0,0.0,529.753394059,179.834129698,302.0
2011-10-25,do,0.0,0.0,518.500306345,229.260832748,349.0
2011-10-26,do,0.0,0.0,563.647838093,170.830831975,357.0
2011-10-27,do,0.0,0.0,559.979256452,174.914485323,348.0
2011-10-28,do,0.0,0.0,583.775287034,175.580124421,382.0
2011-10-29,do,0.0,0.0,543.97047914,187.611923333,368.0
2011-10-30,do,0.0,0.0,482.729866057,152.847221817,320.0
2011-10-31,do,0.0,0.0,444.971515012,147.73066195,343.0
2011-11-01,do,0.0,0.0,520.67965298,192.84164177,381.0
2011-11-02,do,0.0,0.0,560.189681446,147.931307642,387.0
2011-11-03,do,0.0,0.0,503.991560351,179.39411573,364.0
2011-11-04,do,0.0,0.0,631.592385744,182.694464267,427.0
2011-11-05,do,0.0,0.0,651.129316519,187.665651981,473.0
2011-11-06,do,0.0,0.0,553.068201342,181.423829094,411.0
2011-11-07,do,0.0,0.0,493.039334989,213.439542787,471.0
2011-11-08,do,0.0,0.0,604.086628315,209.726803849,424.0
2011-11-09,do,0.0,0.0,757.880921224,160.602692927,418.0
2011-11-10,do,0.0,0.0,668.088855204,186.49921085,442.0
2011-11-11,do,0.0,0.0,555.892726825,281.771213307,387.0
2011-11-12,do,0.0,0.0,577.205523268,269.652523874,374.0
2011-11-13,do,0.0,0.0,545.891708293,221.445049502,316.0
2011-11-14,do,0.0,0.0,662.553046414,255.328852362,326.0
2011-11-15,do,0.0,0.0,618.463307983,221.082856238,389.0
2011-11-16,do,0.0,0.0,639.846723522,170.523191233,353.0
2011-11-17,do,0.0,0.0,597.231239656,226.940316263,356.0
2011-11-18,do,0.0,0.0,518.349010862,247.518991297,362.0
2011-11-19,do,0.0,0.0,525.665890804,235.215281276,379.0
2011-11-20,do,0.0,0.0,469.331331547,184.050282496,328.0
2011-11-21,do,0.0,0.0,494.756549778,193.795851722,350.0
2011-11-22,do,0.0,0.0,601.231278584,209.901319719,376.0
2011-11-23,do,0.0,0.0,667.124645611,172.796432238,436.0
2011-11-24,do,0.0,0.0,952.568361967,206.087621918,450.0
2011-11-25,do,0.0,0.0,913.650223064,82.2513149646,321.0
2011-11-26,do,0.0,0.0,903.004785703,113.554569278,361.0
2011-11-27,do,0.0,0.0,549.801060855,173.709695728,308.0
2011-11-28,do,0.0,0.0,528.379527271,200.273445225,332.0
2011-11-29,do,0.0,0.0,533.192976015,189.760958518,343.0
2011-11-30,do,0.0,0.0,569.000340764,168.77702725,280.0
2011-12-01,do,0.0,0.0,554.681960397,104.012558631,353.0
2011-12-02,do,0.0,0.0,567.557264314,51.2058598654,358.0
2011-12-03,do,0.0,0.0,579.542209423,87.5227142856,327.0
2011-12-04,do,0.0,0.0,424.297664788,143.28297636,301.0
2011-12-05,do,0.0,0.0,571.988444764,208.850630887,360.0
2011-12-06,do,0.0,0.0,535.262594185,223.136055066,343.0
2011-12-07,do,0.0,0.0,462.269979366,181.742391722,339.0
2011-12-08,do,0.0,0.0,518.360099528,190.361529199,341.0
2011-12-09,do,0.0,0.0,552.323859542,194.213397553,340.0
2011-12-10,do,0.0,0.0,489.825551258,191.870188816,314.0
2011-12-11,do,0.0,0.0,503.882880315,200.018668382,242.0
2011-12-12,do,0.0,0.0,484.011377976,211.580440247,249.0
2011-12-13,do,0.0,0.0,504.064846988,218.081206218,275.0
2011-12-14,do,0.0,0.0,523.950016322,188.363019004,273.0
2011-12-15,do,0.0,0.0,517.252140947,192.022115098,270.0
2011-12-16,do,0.0,0.0,525.029913559,213.13718805,286.0
2011-12-17,do,0.0,0.0,500.54134696,190.267198158,257.0
2011-12-18,do,0.0,0.0,378.716867568,144.035207537,241.0
2011-12-19,do,0.0,0.0,380.764848887,141.496045697,270.0
2011-12-20,do,0.0,0.0,419.117210878,164.504357042,276.0
2011-12-21,do,0.0,0.0,427.008875659,158.701804238,323.0
2011-12-22,do,0.0,0.0,421.457630925,159.762724476,337.0
2011-12-23,do,0.0,0.0,400.702122149,170.934399089,320.0
2011-12-24,do,0.0,0.0,358.88221104,148.487474078,298.0
2011-12-25,do,0.0,0.0,408.493880665,148.260536707,329.0
2011-12-26,do,0.0,0.0,374.229869296,155.08959932,298.0
2011-12-27,do,0.0,0.0,405.6068829,175.24423836,332.0
2011-12-28,do,0.0,0.0,482.790865779,195.940705828,327.0
2011-12-29,do,0.0,0.0,502.975103401,204.778983667,319.0
2011-12-30,do,0.0,0.0,513.997428779,185.685957561,326.0
2011-12-31,do,0.0,0.0,456.62040818,168.447534989,302.0
2012-01-01,do,0.0,0.0,447.578094876,146.692087932,310.0
2012-01-02,do,0.0,0.0,533.000681134,147.463312819,303.0
2012-01-03,do,0.0,0.0,524.534672328,179.484176582,324.0
2012-01-04,do,0.0,0.0,522.027993628,202.243386573,352.0
2012-01-05,do,0.0,0.0,604.724747909,189.70839249,401.0
2012-01-06,do,0.0,0.0,737.912795452,134.012803674,428.0
2012-01-07,do,0.0,0.0,763.901502209,204.930068721,421.0
2012-01-09,do,0.0,0.0,852.136121963,161.540452463,398.0
2012-01-10,do,0.0,0.0,742.762044229,176.557859726,350.0
2012-01-11,do,0.0,0.0,581.705589047,191.4303642,357.0
2012-01-12,do,0.0,0.0,691.050064302,175.604858438,412.0
2012-01-13,do,0.0,0.0,701.377055871,174.491523983,387.0
2012-01-14,do,0.0,0.0,663.87831113,136.373502053,396.0
2012-01-16,do,0.0,0.0,585.13271228,121.081736127,329.0
2012-01-17,do,0.0,0.0,576.949612509,108.641866045,369.0
2012-01-18,do,0.0,0.0,517.559738856,221.684545278,361.0
2012-01-19,do,0.0,0.0,648.501884111,185.457764613,362.0
2012-01-20,do,0.0,0.0,624.57218954,210.479685428,381.0
