date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,dz,0.0,0.0,1961.04228448,743.614953378,1845.0
2011-09-09,dz,0.0,0.0,1984.59889962,611.074693209,1901.0
2011-09-11,dz,0.0,0.0,2350.99507828,1039.68941136,2153.0
2011-09-12,dz,0.0,0.0,2236.69840931,1012.57300503,2041.0
2011-09-13,dz,0.0,0.0,2561.15482283,1363.14454265,1908.0
2011-09-14,dz,0.0,0.0,2520.69798386,1415.51636084,2005.0
2011-09-15,dz,0.0,0.0,2727.26645031,1156.99243851,1815.0
2011-09-16,dz,0.0,0.0,2919.40802998,973.472718146,1742.0
2011-09-17,dz,0.0,0.0,3234.48620155,1058.46234362,1822.0
2011-09-18,dz,0.0,0.0,3331.08328267,982.723679135,1995.0
2011-09-19,dz,0.0,0.0,3247.93364975,1027.35371615,2199.0
2011-09-20,dz,0.0,0.0,2932.33161767,937.570594372,2115.0
2011-09-21,dz,0.0,0.0,2993.57740529,1034.7429141,1904.0
2011-09-22,dz,0.0,0.0,2607.33599233,1014.80571797,1942.0
2011-09-23,dz,0.0,0.0,2523.68581919,1025.88313772,1868.0
2011-09-24,dz,0.0,0.0,2545.3131967,1143.73598419,1897.0
2011-09-25,dz,0.0,0.0,2766.4480495,1210.12545252,2161.0
2011-09-26,dz,0.0,0.0,2794.46344617,1402.50384899,2176.0
2011-09-27,dz,0.0,0.0,2719.61980237,1435.2230714,2291.0
2011-09-28,dz,0.0,0.0,2390.19713513,1359.30608932,2125.0
2011-09-29,dz,0.0,0.0,2426.9079597,1295.36029833,1888.0
2011-09-30,dz,0.0,0.0,2526.04271952,1217.90554532,1753.0
2011-10-01,dz,0.0,0.0,2691.73158,1274.79664055,1969.0
2011-10-02,dz,0.0,0.0,2796.41853331,1377.97463873,2145.0
2011-10-03,dz,0.0,0.0,3098.6371064,1427.67914451,2221.0
2011-10-04,dz,0.0,0.0,3196.26896269,1438.82408334,2191.0
2011-10-05,dz,0.0,0.0,3070.59123506,1507.09065165,2225.0
2011-10-06,dz,0.0,0.0,2574.96738082,1350.524832,1884.0
2011-10-07,dz,0.0,0.0,2262.51454851,1276.632611,1559.0
2011-10-08,dz,0.0,0.0,2659.9181275,1323.41445461,1571.0
2011-10-09,dz,0.0,0.0,3143.35479068,1546.21317689,1714.0
2011-10-10,dz,0.0,0.0,2960.11832616,1502.10766374,1724.0
2011-10-11,dz,0.0,0.0,2978.10154309,1519.66279459,1848.0
2011-10-12,dz,0.0,0.0,2897.66822375,1430.0472395,1835.0
2011-10-13,dz,0.0,0.0,2692.9879372,1398.6338269,1820.0
2011-10-14,dz,0.0,0.0,2386.86496426,1085.17803589,1778.0
2011-10-15,dz,0.0,0.0,1971.52418961,1074.45323167,1904.0
2011-10-16,dz,0.0,0.0,2125.12032043,1210.50442252,1970.0
2011-10-17,dz,0.0,0.0,2300.68631293,1094.66554929,1822.0
2011-10-18,dz,0.0,0.0,2358.85520678,1245.92458999,1780.0
2011-10-19,dz,0.0,0.0,2427.48064636,1235.13119255,1663.0
2011-10-20,dz,0.0,0.0,2483.49122915,1151.56390326,1456.0
2011-10-21,dz,0.0,0.0,2147.24732624,1031.84300893,1445.0
2011-10-22,dz,0.0,0.0,2413.58255409,1207.71237403,1431.0
2011-10-23,dz,0.0,0.0,2408.3600809,1207.95146467,1511.0
2011-10-24,dz,0.0,0.0,2431.71523245,1028.94785549,1685.0
2011-10-25,dz,0.0,0.0,2068.66686009,1108.77634885,1818.0
2011-10-26,dz,0.0,0.0,2286.04491477,850.220555189,1740.0
2011-10-27,dz,0.0,0.0,1870.49438481,697.537765714,1612.0
2011-10-28,dz,0.0,0.0,1964.0575335,707.739637327,1373.0
2011-10-29,dz,0.0,0.0,1928.39985173,805.297690851,1373.0
2011-10-30,dz,0.0,0.0,1990.96049235,786.646040101,1342.0
2011-10-31,dz,0.0,0.0,2218.82815074,944.245147628,1286.0
2011-11-01,dz,0.0,0.0,2447.56539964,1136.53478234,1278.0
2011-11-02,dz,0.0,0.0,2477.10915082,812.342509441,1143.0
2011-11-03,dz,0.0,0.0,2120.61365369,935.275372044,1065.0
2011-11-04,dz,0.0,0.0,2091.02687009,726.665763016,968.0
2011-11-05,dz,0.0,0.0,2233.91985463,776.396025085,909.0
2011-11-06,dz,0.0,0.0,2104.21834958,856.093693539,873.0
2011-11-07,dz,0.0,0.0,1692.29201695,893.198086664,920.0
2011-11-08,dz,0.0,0.0,1871.87369695,773.494032201,983.0
2011-11-09,dz,0.0,0.0,2084.99275081,517.892861053,1000.0
2011-11-10,dz,0.0,0.0,1816.22324939,598.061876149,1047.0
2011-11-11,dz,0.0,0.0,1193.08201844,683.61538683,933.0
2011-11-12,dz,0.0,0.0,1062.01663724,546.833417704,844.0
2011-11-13,dz,0.0,0.0,1101.85109153,501.199594288,865.0
2011-11-14,dz,0.0,0.0,1237.80217155,526.941432553,884.0
2011-11-15,dz,0.0,0.0,1354.96335069,548.917148775,932.0
2011-11-16,dz,0.0,0.0,1444.81518215,438.700651864,891.0
2011-11-17,dz,0.0,0.0,1337.47762291,576.031567783,904.0
2011-11-18,dz,0.0,0.0,1176.94396622,643.862692552,954.0
2011-11-19,dz,0.0,0.0,1119.38674068,571.016044677,952.0
2011-11-20,dz,0.0,0.0,1192.88380102,553.611564014,968.0
2011-11-21,dz,0.0,0.0,1248.7905826,576.189965274,961.0
2011-11-22,dz,0.0,0.0,1357.95340508,541.91504242,940.0
2011-11-23,dz,0.0,0.0,1575.98386869,474.12915793,873.0
2011-11-24,dz,0.0,0.0,2265.68830019,568.172124317,1066.0
2011-11-25,dz,0.0,0.0,2249.46985954,236.086538857,743.0
2011-11-26,dz,0.0,0.0,2126.23814079,308.324542474,853.0
2011-11-27,dz,0.0,0.0,1503.98980375,564.06114126,856.0
2011-11-28,dz,0.0,0.0,1349.7467545,600.112655656,863.0
2011-11-29,dz,0.0,0.0,1251.22618371,513.470828931,845.0
2011-11-30,dz,0.0,0.0,1086.17313111,357.657689324,817.0
2011-12-01,dz,0.0,0.0,1243.07256661,264.074780225,919.0
2011-12-02,dz,0.0,0.0,1231.16268105,128.31351655,863.0
2011-12-03,dz,0.0,0.0,1287.27808729,223.138114578,859.0
2011-12-04,dz,0.0,0.0,1094.12224493,438.03652773,837.0
2011-12-05,dz,0.0,0.0,1385.86255025,593.575477259,958.0
2011-12-06,dz,0.0,0.0,1234.72410011,597.45487208,859.0
2011-12-07,dz,0.0,0.0,1243.02247358,589.010569537,863.0
2011-12-08,dz,0.0,0.0,1261.13963038,539.691633659,879.0
2011-12-09,dz,0.0,0.0,1251.07776557,506.29423638,873.0
2011-12-10,dz,0.0,0.0,1199.82521394,550.71138164,822.0
2011-12-11,dz,0.0,0.0,1296.67686864,612.609478056,857.0
2011-12-12,dz,0.0,0.0,1201.64487604,612.279013729,880.0
2011-12-13,dz,0.0,0.0,1181.0215014,594.192272015,832.0
2011-12-14,dz,0.0,0.0,1244.70077048,521.62066801,845.0
2011-12-15,dz,0.0,0.0,1244.16716427,538.360184511,803.0
2011-12-16,dz,0.0,0.0,1258.28336948,595.072806052,782.0
2011-12-17,dz,0.0,0.0,1219.90574351,546.44739311,804.0
2011-12-18,dz,0.0,0.0,1213.9004232,580.787127164,873.0
2011-12-19,dz,0.0,0.0,1218.44751644,565.984182789,924.0
2011-12-20,dz,0.0,0.0,1163.39025202,553.679016527,937.0
2011-12-21,dz,0.0,0.0,1210.06966248,548.040342673,845.0
2011-12-22,dz,0.0,0.0,1151.73106349,530.018517218,840.0
2011-12-23,dz,0.0,0.0,1013.74212099,516.601739469,827.0
2011-12-24,dz,0.0,0.0,1026.02061589,520.448596642,868.0
2011-12-25,dz,0.0,0.0,1336.76568922,613.07735449,1054.0
2011-12-26,dz,0.0,0.0,1167.64214474,597.572721551,945.0
2011-12-27,dz,0.0,0.0,1256.18837557,669.335632625,973.0
2011-12-28,dz,0.0,0.0,1176.18693066,561.241013981,896.0
2011-12-29,dz,0.0,0.0,1174.02051162,554.641232515,900.0
2011-12-30,dz,0.0,0.0,1236.76502143,523.692427183,845.0
2011-12-31,dz,0.0,0.0,1229.36263741,543.171924266,828.0
2012-01-01,dz,0.0,0.0,1320.2992924,519.534478091,821.0
2012-01-02,dz,0.0,0.0,1553.60912825,520.495506689,844.0
2012-01-03,dz,0.0,0.0,1423.55056594,579.612434901,853.0
2012-01-04,dz,0.0,0.0,1330.11678174,607.502081041,883.0
2012-01-05,dz,0.0,0.0,1580.38890304,588.467993959,952.0
2012-01-06,dz,0.0,0.0,1784.0676447,379.446214233,942.0
2012-01-07,dz,0.0,0.0,1939.77156523,617.351832021,930.0
2012-01-09,dz,0.0,0.0,2197.1293523,496.736891323,950.0
2012-01-10,dz,0.0,0.0,1821.94048508,509.222861835,807.0
2012-01-11,dz,0.0,0.0,1366.4593554,522.389198082,774.0
2012-01-12,dz,0.0,0.0,1545.46552037,447.819076685,794.0
2012-01-13,dz,0.0,0.0,1463.62312645,410.27752098,751.0
2012-01-14,dz,0.0,0.0,1391.6166602,321.872905422,845.0
2012-01-16,dz,0.0,0.0,1317.16583123,311.246916793,860.0
2012-01-17,dz,0.0,0.0,1250.96894655,270.261037794,858.0
2012-01-18,dz,0.0,0.0,1061.66100278,516.241172915,891.0
2012-01-19,dz,0.0,0.0,1192.44938283,378.027478902,886.0
2012-01-20,dz,0.0,0.0,1155.86411701,433.614794979,907.0
2012-01-21,dz,0.0,0.0,1264.16384234,426.217045842,880.0
2012-01-22,dz,0.0,0.0,1277.25178421,412.713005329,852.0
2012-01-23,dz,0.0,0.0,1330.18968638,321.101928979,766.0
2012-01-24,dz,0.0,0.0,1294.45861021,430.22133358,810.0
2012-01-25,dz,0.0,0.0,1340.95920757,572.45039131,852.0
2012-01-26,dz,0.0,0.0,1271.24063451,479.389038779,775.0
2012-01-27,dz,0.0,0.0,1287.93812054,462.833549511,760.0
2012-01-28,dz,0.0,0.0,1241.5236466,459.120632421,791.0
2012-01-29,dz,0.0,0.0,1291.3341326,455.229025133,878.0
2012-01-30,dz,0.0,0.0,1192.76863857,451.281648416,862.0
2012-01-31,dz,0.0,0.0,1259.45726733,476.377638982,863.0
2012-02-01,dz,0.0,0.0,1371.45010383,485.237282481,857.0
2012-02-02,dz,0.0,0.0,1213.10446396,492.808830442,845.0
2012-02-03,dz,0.0,0.0,1225.05021107,492.633412088,843.0
2012-02-04,dz,0.0,0.0,1188.62070824,544.375332649,861.0
2012-02-05,dz,0.0,0.0,1259.17126597,562.937950369,829.0
2012-02-06,dz,0.0,0.0,1232.71241559,557.353515913,827.0
2012-02-07,dz,0.0,0.0,1208.50578992,491.920007952,860.0
2012-02-08,dz,0.0,0.0,1313.72720821,612.504732696,922.0
2012-02-09,dz,0.0,0.0,1381.02015544,580.83286003,916.0
2012-02-10,dz,0.0,0.0,1220.98824278,514.013776413,895.0
2012-02-11,dz,0.0,0.0,1221.30520836,610.466015136,893.0
2012-02-12,dz,0.0,0.0,1141.61463925,613.552795797,896.0
2012-02-13,dz,0.0,0.0,1397.74012563,499.545989946,926.0
2012-02-14,dz,0.0,0.0,1497.00451573,499.81791171,903.0
2012-02-15,dz,0.0,0.0,1289.17829081,539.236724729,901.0
2012-02-16,dz,0.0,0.0,1218.33539583,563.574984318,881.0
2012-02-17,dz,0.0,0.0,1285.30828312,611.634400325,895.0
2012-02-18,dz,0.0,0.0,1212.95179805,610.025801402,865.0
2012-02-19,dz,0.0,0.0,1245.4737026,594.10451382,928.0
2012-02-20,dz,0.0,0.0,1374.44100337,509.19932563,984.0
2012-02-21,dz,0.0,0.0,1331.35349806,465.984075832,958.0
2012-02-22,dz,0.0,0.0,1307.53455113,564.164480408,981.0
2012-02-23,dz,0.0,0.0,1276.44026487,501.889778896,911.0
2012-02-24,dz,0.0,0.0,1255.3541413,527.181339946,860.0
2012-02-25,dz,0.0,0.0,1303.35183811,584.870932396,942.0
2012-02-26,dz,0.0,0.0,1407.00104389,583.668721046,1013.0
2012-02-27,dz,0.0,0.0,1416.59263807,570.478914909,959.0
2012-02-28,dz,0.0,0.0,1381.31105559,586.254531308,975.0
2012-02-29,dz,0.0,0.0,1291.80271635,633.904082609,953.0
2012-03-01,dz,0.0,0.0,1247.21767841,676.252545063,1001.0
2012-03-02,dz,0.0,0.0,1149.90527221,594.880524725,918.0
2012-03-03,dz,0.0,0.0,1210.6477867,605.083902681,895.0
2012-03-04,dz,0.0,0.0,1331.80372681,702.325638861,968.0
2012-03-05,dz,0.0,0.0,1383.08436388,620.187897495,985.0
2012-03-06,dz,0.0,0.0,1348.06343188,643.716654428,1001.0
2012-03-07,dz,0.0,0.0,1365.93761525,623.44882376,1000.0
2012-03-08,dz,0.0,0.0,1276.86545811,671.953066336,931.0
2012-03-09,dz,0.0,0.0,1259.22298701,638.934223657,906.0
2012-03-10,dz,0.0,0.0,1172.92604896,674.064604317,936.0
2012-03-11,dz,0.0,0.0,1358.85647948,660.655401512,997.0
2012-03-12,dz,0.0,0.0,1284.69133447,688.136109029,962.0
2012-03-13,dz,0.0,0.0,1243.31835873,724.59886763,991.0
2012-03-14,dz,0.0,0.0,1244.24763759,717.638935749,1009.0
2012-03-15,dz,0.0,0.0,1207.63329965,671.752850645,1000.0
2012-03-16,dz,0.0,0.0,1188.81596051,613.054671802,897.0
2012-03-17,dz,0.0,0.0,1212.50771338,637.375620681,910.0
