date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,ee,0.0,0.0,1047.71863649,400.274037161,635.0
2011-09-09,ee,0.0,0.0,1039.88855405,300.891250702,655.0
2011-09-11,ee,0.0,0.0,1087.49379012,442.05582821,798.0
2011-09-12,ee,0.0,0.0,909.047760028,381.308030031,654.0
2011-09-13,ee,0.0,0.0,851.787086172,385.222422348,660.0
2011-09-14,ee,0.0,0.0,854.653598167,409.038892433,633.0
2011-09-15,ee,0.0,0.0,986.558139128,388.707147377,610.0
2011-09-16,ee,0.0,0.0,1060.13960413,324.130218667,574.0
2011-09-17,ee,0.0,0.0,1175.22948066,345.900100084,538.0
2011-09-18,ee,0.0,0.0,1296.31650233,352.642956372,548.0
2011-09-19,ee,0.0,0.0,1138.1758212,289.935673125,547.0
2011-09-20,ee,0.0,0.0,1069.72479721,308.178230451,527.0
2011-09-21,ee,0.0,0.0,1034.38741949,287.381372747,532.0
2011-09-22,ee,0.0,0.0,935.693628152,314.768393235,522.0
2011-09-23,ee,0.0,0.0,886.423852347,311.038773052,549.0
2011-09-24,ee,0.0,0.0,808.709688856,305.36023717,607.0
2011-09-25,ee,0.0,0.0,819.035735939,298.930740025,634.0
2011-09-26,ee,0.0,0.0,742.623167291,316.770050552,535.0
2011-09-27,ee,0.0,0.0,730.79221736,321.489297185,520.0
2011-09-28,ee,0.0,0.0,720.852854129,338.281958272,526.0
2011-09-29,ee,0.0,0.0,691.397622667,325.322304884,544.0
2011-09-30,ee,0.0,0.0,799.893691232,329.790072658,548.0
2011-10-01,ee,0.0,0.0,927.539419856,372.088793245,565.0
2011-10-02,ee,0.0,0.0,879.860388027,373.531309926,517.0
2011-10-03,ee,0.0,0.0,829.591472253,320.644830874,549.0
2011-10-04,ee,0.0,0.0,790.809344057,299.257497255,528.0
2011-10-05,ee,0.0,0.0,825.186193903,343.403164159,535.0
2011-10-06,ee,0.0,0.0,768.648795342,378.533399491,540.0
2011-10-07,ee,0.0,0.0,755.357473795,369.868912992,557.0
2011-10-08,ee,0.0,0.0,816.566892138,356.170637516,596.0
2011-10-09,ee,0.0,0.0,817.36349522,342.343615589,604.0
