date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,es,0.0,0.0,19633.8802884,8497.22673208,18246.0
2011-09-09,es,0.0,0.0,20451.569272,7240.1915795,18503.0
2011-09-11,es,0.0,0.0,25952.2466408,13040.4454851,20473.0
2011-09-12,es,0.0,0.0,25160.7332728,12961.856782,19906.0
2011-09-13,es,0.0,0.0,25196.061171,15069.8509073,20406.0
2011-09-14,es,0.0,0.0,23782.2894656,14991.279954,19729.0
2011-09-15,es,0.0,0.0,25478.9466584,12170.7100259,21020.0
2011-09-16,es,0.0,0.0,26876.9327158,10064.0640172,22506.0
2011-09-17,es,0.0,0.0,27134.4445547,9881.49050299,23453.0
2011-09-18,es,0.0,0.0,30058.4478175,9883.23667826,25685.0
2011-09-19,es,0.0,0.0,30015.8427251,10620.3717761,26560.0
2011-09-20,es,0.0,0.0,29618.9540484,10661.3791215,25739.0
2011-09-21,es,0.0,0.0,27889.56613,10796.5109381,25587.0
2011-09-22,es,0.0,0.0,28449.7830621,12529.3945275,26179.0
2011-09-23,es,0.0,0.0,30653.6793604,14171.26172,25780.0
2011-09-24,es,0.0,0.0,30837.6951844,15721.0460867,25509.0
2011-09-25,es,0.0,0.0,33615.6052172,16582.88243,27319.0
2011-09-26,es,0.0,0.0,31952.8547582,17959.2451428,26488.0
2011-09-27,es,0.0,0.0,31306.5324977,18544.321124,26938.0
2011-09-28,es,0.0,0.0,30263.5018309,19480.7892182,26468.0
2011-09-29,es,0.0,0.0,30834.8557328,18614.6185793,25792.0
2011-09-30,es,0.0,0.0,32808.7055137,17947.8941831,27159.0
2011-10-01,es,0.0,0.0,34093.9606482,18286.7633233,28022.0
2011-10-02,es,0.0,0.0,33442.1010901,18492.5581417,27977.0
2011-10-03,es,0.0,0.0,35696.2467678,18431.6581823,29629.0
2011-10-04,es,0.0,0.0,35637.5581509,17912.1693212,28756.0
2011-10-05,es,0.0,0.0,36161.9215699,19928.8853297,29286.0
2011-10-06,es,0.0,0.0,33116.9415922,19681.4194286,28283.0
2011-10-07,es,0.0,0.0,32882.8252592,21195.7739568,28737.0
2011-10-08,es,0.0,0.0,35673.5367971,20079.8465588,29453.0
2011-10-09,es,0.0,0.0,38768.0424184,21417.5969014,31279.0
2011-10-10,es,0.0,0.0,37366.8648253,21263.4781638,30554.0
2011-10-11,es,0.0,0.0,36976.5214406,21170.6564752,30199.0
2011-10-12,es,0.0,0.0,36085.1941722,19967.6966405,31086.0
2011-10-13,es,0.0,0.0,38016.1007091,22426.7893635,34502.0
2011-10-14,es,0.0,0.0,41043.4566747,21572.326316,35758.0
2011-10-15,es,0.0,0.0,34473.6068786,21712.8462671,30837.0
2011-10-16,es,0.0,0.0,36296.3732162,23731.9314537,32036.0
2011-10-17,es,0.0,0.0,38168.6427865,20825.1068175,30796.0
2011-10-18,es,0.0,0.0,36200.7992853,21788.9356551,31723.0
2011-10-19,es,0.0,0.0,38606.1851894,22400.1862048,32562.0
2011-10-20,es,0.0,0.0,44122.3997021,23414.2094173,36906.0
2011-10-21,es,0.0,0.0,40420.7946602,22287.9361454,30729.0
2011-10-22,es,0.0,0.0,36754.61402,20903.6730061,29732.0
2011-10-23,es,0.0,0.0,36856.8123939,20971.6952681,29870.0
2011-10-24,es,0.0,0.0,38567.7638809,18629.827058,28512.0
2011-10-25,es,0.0,0.0,34553.884613,21195.0275227,25876.0
2011-10-26,es,0.0,0.0,41814.3658461,17922.0648821,25812.0
2011-10-27,es,0.0,0.0,43983.5063998,19184.4087327,25980.0
2011-10-28,es,0.0,0.0,38814.8725275,16300.230131,22239.0
2011-10-29,es,0.0,0.0,37214.1966304,18133.533839,23131.0
2011-10-30,es,0.0,0.0,36643.0394595,16795.3813777,22960.0
2011-10-31,es,0.0,0.0,35141.8967221,17165.0718297,24193.0
2011-11-01,es,0.0,0.0,32744.6900055,17287.3641984,25741.0
2011-11-02,es,0.0,0.0,34488.8808073,12907.9023696,26305.0
2011-11-03,es,0.0,0.0,31973.9944087,16204.8428455,26688.0
2011-11-04,es,0.0,0.0,31504.9891147,12739.8548121,26798.0
2011-11-05,es,0.0,0.0,34991.1874653,14164.6770365,27978.0
2011-11-06,es,0.0,0.0,33448.5411433,15873.8763589,27809.0
2011-11-07,es,0.0,0.0,29503.7596256,18263.7742102,25248.0
2011-11-08,es,0.0,0.0,34893.9512934,16957.5247897,24584.0
2011-11-09,es,0.0,0.0,44144.103009,13063.7076551,26779.0
2011-11-10,es,0.0,0.0,41733.3857422,16489.6912427,28420.0
2011-11-11,es,0.0,0.0,30111.5884378,20965.5393401,25239.0
2011-11-12,es,0.0,0.0,29692.8639865,18723.7404775,24743.0
2011-11-13,es,0.0,0.0,31803.7851608,17814.5335533,25267.0
2011-11-14,es,0.0,0.0,30904.3921884,16061.6177816,25077.0
2011-11-15,es,0.0,0.0,30946.5268362,15161.8622808,25896.0
2011-11-16,es,0.0,0.0,35333.4712848,12974.1380353,25583.0
2011-11-17,es,0.0,0.0,33235.5752505,17234.4428703,25628.0
2011-11-18,es,0.0,0.0,28982.665906,19308.0478971,25456.0
2011-11-19,es,0.0,0.0,29721.2433349,18693.4249856,26301.0
2011-11-20,es,0.0,0.0,31606.5318589,18023.7812358,27103.0
2011-11-21,es,0.0,0.0,32150.407898,18184.1394969,25895.0
2011-11-22,es,0.0,0.0,34333.6749755,16699.6961915,24607.0
2011-11-23,es,0.0,0.0,41094.8781697,15151.5187425,26148.0
2011-11-24,es,0.0,0.0,58369.2940676,17914.5958845,40196.0
2011-11-25,es,0.0,0.0,54718.1968075,6980.13292353,30438.0
2011-11-26,es,0.0,0.0,53515.9620355,9444.50624741,25882.0
2011-11-27,es,0.0,0.0,38384.9773393,17498.4447487,24596.0
2011-11-28,es,0.0,0.0,33175.2226412,17903.5967871,23697.0
2011-11-29,es,0.0,0.0,29850.5125439,14899.3359129,21196.0
2011-11-30,es,0.0,0.0,29499.8006126,11944.8317706,20433.0
2011-12-01,es,0.0,0.0,42770.0530819,11001.6286211,22787.0
2011-12-02,es,0.0,0.0,45243.0456161,5935.69560798,21953.0
2011-12-03,es,0.0,0.0,35362.7575805,7553.24011408,21088.0
2011-12-04,es,0.0,0.0,28491.3053254,14044.6558257,18782.0
2011-12-05,es,0.0,0.0,34535.5809237,18158.227596,22714.0
2011-12-06,es,0.0,0.0,28107.7507188,16700.4401794,20463.0
2011-12-07,es,0.0,0.0,28175.6240039,16442.7298402,20520.0
2011-12-08,es,0.0,0.0,28480.5333743,14846.8634071,20680.0
2011-12-09,es,0.0,0.0,28908.3739136,14334.2881422,20544.0
2011-12-10,es,0.0,0.0,26754.8653377,15049.3602297,19809.0
2011-12-11,es,0.0,0.0,26418.2507957,15293.4775983,20703.0
2011-12-12,es,0.0,0.0,26019.2444461,16054.028199,21495.0
2011-12-13,es,0.0,0.0,25564.8540875,15750.0459549,21803.0
2011-12-14,es,0.0,0.0,26906.7502285,13791.898853,22161.0
2011-12-15,es,0.0,0.0,26637.2297924,14067.8892832,21805.0
2011-12-16,es,0.0,0.0,26927.2641068,15567.5713301,22491.0
2011-12-17,es,0.0,0.0,26645.3096608,14679.4948723,22394.0
2011-12-18,es,0.0,0.0,26635.583666,15619.3018065,22954.0
2011-12-19,es,0.0,0.0,27073.6090295,15360.7520697,22305.0
2011-12-20,es,0.0,0.0,27637.0092388,16188.4472838,21978.0
2011-12-21,es,0.0,0.0,28784.4529031,16025.9158392,21348.0
2011-12-22,es,0.0,0.0,28294.6150059,16095.9051986,21445.0
2011-12-23,es,0.0,0.0,26315.0558908,16664.2046401,21102.0
2011-12-24,es,0.0,0.0,25822.6438558,16214.8321693,20331.0
2011-12-25,es,0.0,0.0,31919.521838,17945.936208,23446.0
2011-12-26,es,0.0,0.0,25693.7462514,15988.1941441,20204.0
2011-12-27,es,0.0,0.0,26878.6137606,17385.688814,22086.0
2011-12-28,es,0.0,0.0,26964.8551412,15802.086303,21849.0
2011-12-29,es,0.0,0.0,27177.9569386,15795.1848546,22171.0
2011-12-30,es,0.0,0.0,28598.8697905,14915.8048097,22837.0
2011-12-31,es,0.0,0.0,26171.6252084,14134.6039635,20335.0
2012-01-01,es,0.0,0.0,26942.1821622,12712.7586355,19369.0
2012-01-02,es,0.0,0.0,30362.003086,12295.6909731,22450.0
2012-01-03,es,0.0,0.0,29542.262478,14530.7960251,23008.0
2012-01-04,es,0.0,0.0,29530.1744577,16442.6960969,23275.0
2012-01-05,es,0.0,0.0,35421.5962519,16083.5519107,24284.0
2012-01-06,es,0.0,0.0,43716.195763,11438.3265419,24336.0
2012-01-07,es,0.0,0.0,43198.7334596,16912.7077965,35519.0
2012-01-09,es,0.0,0.0,52991.3514331,14737.2008611,44452.0
2012-01-10,es,0.0,0.0,44554.3827752,15301.2267158,39608.0
2012-01-11,es,0.0,0.0,32714.0796482,15307.6886302,25363.0
2012-01-12,es,0.0,0.0,35949.060458,12653.6911215,28479.0
2012-01-13,es,0.0,0.0,34471.22974,11743.8233054,27457.0
2012-01-14,es,0.0,0.0,48190.3811338,13684.5110705,26944.0
2012-01-16,es,0.0,0.0,55844.3747639,16219.7528119,27963.0
2012-01-17,es,0.0,0.0,55165.6797742,14921.9411066,26405.0
2012-01-18,es,0.0,0.0,31315.3802832,19002.7378553,24383.0
2012-01-19,es,0.0,0.0,38524.9823359,15238.1727892,24891.0
2012-01-20,es,0.0,0.0,37954.2515613,17879.4499871,25164.0
2012-01-21,es,0.0,0.0,36478.0764432,15189.245087,24844.0
2012-01-22,es,0.0,0.0,38462.4108715,15450.1016123,26273.0
2012-01-23,es,0.0,0.0,39161.8255043,11659.8805366,25017.0
2012-01-24,es,0.0,0.0,36083.2007434,14781.6259259,26137.0
2012-01-25,es,0.0,0.0,33345.0075459,17425.3313488,26217.0
2012-01-26,es,0.0,0.0,32423.6350022,14996.177576,25959.0
2012-01-27,es,0.0,0.0,32489.8474365,14271.7657626,26365.0
2012-01-28,es,0.0,0.0,31829.0618753,14427.8064022,26064.0
2012-01-29,es,0.0,0.0,36042.0340767,15665.7366397,28775.0
2012-01-30,es,0.0,0.0,35066.8502043,16579.3412819,28419.0
2012-01-31,es,0.0,0.0,36686.1517739,17231.9152186,28816.0
2012-02-01,es,0.0,0.0,38196.9503996,16662.631991,29561.0
2012-02-02,es,0.0,0.0,36572.1391177,18543.9429639,29422.0
2012-02-03,es,0.0,0.0,38197.4904542,19229.8705994,30557.0
2012-02-04,es,0.0,0.0,35297.2699629,20120.5547478,30063.0
2012-02-05,es,0.0,0.0,37403.7460501,20577.2098066,30716.0
2012-02-06,es,0.0,0.0,36801.4699364,20517.9915514,30748.0
2012-02-07,es,0.0,0.0,36539.3090424,18340.9381801,30416.0
2012-02-08,es,0.0,0.0,40990.1889148,23621.4491847,32452.0
2012-02-09,es,0.0,0.0,43472.4899611,22624.9725424,31636.0
2012-02-10,es,0.0,0.0,39985.1228424,20859.7531055,29399.0
2012-02-11,es,0.0,0.0,38586.7108526,23819.5095031,30613.0
2012-02-12,es,0.0,0.0,38179.5855365,25479.3899978,30962.0
2012-02-13,es,0.0,0.0,46892.9865651,20824.5639964,31948.0
2012-02-14,es,0.0,0.0,47896.4359321,19760.3973859,31256.0
2012-02-15,es,0.0,0.0,41179.1144693,21133.2923043,30985.0
2012-02-16,es,0.0,0.0,38168.9944571,21659.8787707,30661.0
2012-02-17,es,0.0,0.0,38302.9519013,22382.2395121,31189.0
2012-02-18,es,0.0,0.0,37697.9631389,23314.8126444,31731.0
2012-02-19,es,0.0,0.0,39029.3686842,22880.9502082,32087.0
2012-02-20,es,0.0,0.0,43061.8571806,19546.3814753,32503.0
2012-02-21,es,0.0,0.0,41781.1978802,17981.8142554,31901.0
2012-02-22,es,0.0,0.0,40761.5844993,21607.0722023,32770.0
2012-02-23,es,0.0,0.0,40252.2159658,19486.0492163,31346.0
2012-02-24,es,0.0,0.0,39663.2129882,20479.5865571,31815.0
2012-02-25,es,0.0,0.0,43261.6661345,23974.3070455,33643.0
2012-02-26,es,0.0,0.0,44186.3079506,22448.7420091,33203.0
2012-02-27,es,0.0,0.0,42608.2297013,20874.9382254,32132.0
2012-02-28,es,0.0,0.0,41846.6578115,21673.3790574,32407.0
2012-02-29,es,0.0,0.0,39276.6744075,23469.0739881,31808.0
2012-03-01,es,0.0,0.0,38946.0451053,25910.3503221,33097.0
2012-03-02,es,0.0,0.0,38464.3905679,24612.0954413,31714.0
2012-03-03,es,0.0,0.0,39279.6848527,24030.5791374,31557.0
2012-03-04,es,0.0,0.0,39828.3368715,25467.7213548,32623.0
2012-03-05,es,0.0,0.0,42162.2213936,23067.9108398,32746.0
2012-03-06,es,0.0,0.0,40798.344248,23730.0425221,32177.0
2012-03-07,es,0.0,0.0,41454.291757,23117.3339448,31858.0
2012-03-08,es,0.0,0.0,38472.2637939,24589.9935325,31260.0
2012-03-09,es,0.0,0.0,39468.6562181,24586.69564,31314.0
2012-03-10,es,0.0,0.0,37491.7433508,26497.7711758,30942.0
2012-03-11,es,0.0,0.0,41662.8399605,24718.8782723,31586.0
2012-03-12,es,0.0,0.0,38891.0046098,25370.0755139,31089.0
2012-03-13,es,0.0,0.0,36430.0042915,25771.5118699,30725.0
2012-03-14,es,0.0,0.0,36132.0626473,25296.5697623,30182.0
2012-03-15,es,0.0,0.0,36817.2444364,25071.9463341,30128.0
2012-03-16,es,0.0,0.0,37265.8838444,23611.8468946,29413.0
2012-03-17,es,0.0,0.0,36419.0292087,23429.7421729,29545.0
2012-03-18,es,0.0,0.0,37416.3429509,21609.003741,28795.0
2012-03-19,es,0.0,0.0,36942.4393203,23994.0004861,29878.0
