date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,et,0.0,0.0,85.4484915152,15.399770933,82.0
2011-09-09,et,0.0,0.0,93.5259246816,11.2473518081,78.0
2011-09-11,et,0.0,0.0,60.3427025404,6.87712157117,48.0
2011-09-12,et,0.0,0.0,126.081334353,29.7557089234,53.0
2011-09-13,et,0.0,0.0,170.523532709,50.7744148339,108.0
2011-09-14,et,0.0,0.0,179.852469336,58.5484350247,119.0
2011-09-15,et,0.0,0.0,156.641859379,37.2208493767,114.0
2011-09-16,et,0.0,0.0,158.642943836,27.2312884691,124.0
2011-09-17,et,0.0,0.0,133.90516645,20.18247449,81.0
2011-09-18,et,0.0,0.0,108.259711743,12.6759097676,75.0
2011-09-19,et,0.0,0.0,120.456301736,15.3289171091,118.0
2011-09-20,et,0.0,0.0,210.075737014,39.2680409147,131.0
2011-09-21,et,0.0,0.0,223.085796036,45.5395802975,132.0
2011-09-22,et,0.0,0.0,205.859754404,47.1196382964,121.0
2011-09-23,et,0.0,0.0,221.798349599,54.750200458,124.0
2011-09-24,et,0.0,0.0,150.163393092,34.2973484537,74.0
2011-09-25,et,0.0,0.0,139.094689038,29.7394028872,74.0
2011-09-26,et,0.0,0.0,187.081013942,55.6222070803,113.0
2011-09-27,et,0.0,0.0,209.327229907,67.3072790554,99.0
2011-09-28,et,1.0,0.0,204.485237132,70.9073069866,51.0
2011-09-29,et,0.0,0.0,186.329508216,61.2764175626,96.0
2011-09-30,et,0.0,0.0,207.127817099,61.0249120056,112.0
2011-10-01,et,0.0,0.0,140.519743013,32.2698973767,49.0
2011-10-02,et,0.0,0.0,129.053699849,30.480776141,53.0
2011-10-03,et,0.0,0.0,203.846555434,54.0691404504,112.0
2011-10-04,et,0.0,0.0,177.059473117,43.847682693,133.0
2011-10-05,et,0.0,1.0,102.433424421,21.8258814997,131.0
2011-10-06,et,0.0,0.0,169.051268756,48.5660870185,108.0
2011-10-07,et,0.0,0.0,179.801881695,60.2766480455,68.0
2011-10-08,et,0.0,0.0,95.6097128059,18.5419029308,45.0
2011-10-09,et,0.0,0.0,110.855911723,22.1337712028,44.0
2011-10-10,et,0.0,0.0,187.658737962,56.0286640697,91.0
2011-10-11,et,0.0,0.0,223.692466117,69.5056284473,77.0
2011-10-12,et,0.0,0.0,212.215273557,63.468832583,64.0
2011-10-13,et,0.0,0.0,195.459543646,58.9199511328,87.0
2011-10-14,et,0.0,0.0,141.143688099,30.6980667625,78.0
2011-10-15,et,0.0,0.0,82.3938013378,16.5421791532,41.0
2011-10-16,et,0.0,0.0,80.3900948433,17.0496503464,38.0
2011-10-17,et,0.0,0.0,152.604617087,42.030356349,67.0
2011-10-18,et,0.0,0.0,129.669873435,35.1336925472,78.0
2011-10-19,et,0.0,0.0,116.710028658,27.2849501737,93.0
