date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,eu,0.0,0.0,260.72744847,81.1449468393,154.0
2011-09-09,eu,0.0,0.0,275.453065843,58.1928202243,144.0
2011-09-11,eu,0.0,0.0,204.91376071,55.7046847265,133.0
2011-09-12,eu,0.0,0.0,249.783775606,80.2712147701,129.0
2011-09-13,eu,0.0,0.0,246.041097195,84.6240247231,135.0
2011-09-14,eu,0.0,0.0,231.068735438,83.4114690762,164.0
2011-09-15,eu,0.0,0.0,268.149623682,80.2802633615,162.0
2011-09-16,eu,0.0,0.0,268.148692678,59.0976898691,135.0
2011-09-17,eu,0.0,0.0,237.123732256,46.9106163821,122.0
2011-09-18,eu,0.0,0.0,253.555640661,46.6473479449,123.0
2011-09-19,eu,0.0,0.0,254.133417077,48.7240579538,131.0
2011-09-20,eu,0.0,0.0,253.782769547,51.266608972,147.0
2011-09-21,eu,0.0,0.0,294.693582418,66.9038278445,148.0
2011-09-22,eu,0.0,0.0,278.438513969,71.5973724763,146.0
2011-09-23,eu,0.0,0.0,239.064089388,60.5472805065,143.0
2011-09-24,eu,0.0,0.0,211.768887694,56.9335984331,126.0
2011-09-25,eu,0.0,0.0,211.832278718,55.5135520561,126.0
2011-09-26,eu,0.0,0.0,205.789115336,63.2702605539,123.0
2011-09-27,eu,0.0,0.0,230.735696602,76.9226046347,155.0
2011-09-28,eu,0.0,0.0,225.280345993,81.8161234461,140.0
2011-09-29,eu,0.0,0.0,219.278018815,76.9691586457,120.0
2011-09-30,eu,0.0,0.0,235.654402687,72.5119542654,117.0
2011-10-01,eu,0.0,0.0,221.188484372,63.0729812362,124.0
2011-10-02,eu,0.0,0.0,203.140083096,59.5760624574,117.0
2011-10-03,eu,0.0,0.0,218.313085175,59.7606289189,129.0
2011-10-04,eu,0.0,0.0,260.457051035,76.0483246707,142.0
2011-10-05,eu,0.0,0.0,238.157711778,79.2198661842,135.0
2011-10-06,eu,0.0,0.0,204.113754127,63.4492427177,136.0
2011-10-07,eu,0.0,0.0,186.852935879,63.4914026079,122.0
2011-10-08,eu,0.0,0.0,207.361325176,63.0424699648,107.0
2011-10-09,eu,0.0,0.0,214.952316633,62.4488544651,128.0
2011-10-10,eu,0.0,0.0,212.189291944,66.4873480294,129.0
2011-10-11,eu,0.0,0.0,236.259458595,75.5495961384,129.0
2011-10-12,eu,0.0,0.0,217.038347957,65.5612116792,131.0
2011-10-13,eu,0.0,0.0,237.437432214,77.7416021892,141.0
2011-10-14,eu,0.0,0.0,230.581272637,63.6984885323,125.0
2011-10-15,eu,0.0,0.0,169.365036083,53.3861236307,103.0
2011-10-16,eu,0.0,0.0,194.747835395,68.1986013855,98.0
2011-10-17,eu,0.0,0.0,204.65580431,64.4948571562,99.0
2011-10-18,eu,0.0,0.0,200.293643787,66.5297582277,98.0
2011-10-19,eu,0.0,0.0,213.968385873,67.1062288056,112.0
2011-10-20,eu,0.0,0.0,234.517984529,68.3699233974,123.0
2011-10-21,eu,0.0,0.0,187.333368386,54.8058889509,107.0
2011-10-22,eu,0.0,0.0,166.945071707,46.4398391234,119.0
2011-10-23,eu,0.0,0.0,149.981782978,44.8937647245,115.0
2011-10-24,eu,0.0,0.0,167.051570339,41.1472765483,134.0
2011-10-25,eu,0.0,0.0,143.685908834,44.6011477358,122.0
2011-10-26,eu,0.0,0.0,192.444799895,42.4603043442,132.0
2011-10-27,eu,0.0,0.0,193.978297415,44.5153834136,116.0
2011-10-28,eu,0.0,0.0,182.25012743,38.5144922356,116.0
2011-10-29,eu,0.0,0.0,198.212587866,50.7568445843,99.0
2011-10-30,eu,0.0,0.0,188.528022742,44.2556239318,88.0
2011-10-31,eu,0.0,0.0,213.921075962,57.8236851622,107.0
2011-11-01,eu,0.0,0.0,202.317933517,57.2070223579,118.0
2011-11-02,eu,0.0,0.0,212.441877858,53.7577346845,129.0
2011-11-03,eu,0.0,0.0,188.474737322,50.175858781,131.0
2011-11-04,eu,0.0,0.0,218.137177239,45.7716291621,128.0
2011-11-05,eu,0.0,0.0,199.310190366,41.4713900926,112.0
2011-11-06,eu,0.0,0.0,172.895733516,40.5032596311,112.0
2011-11-07,eu,0.0,0.0,175.89858879,55.0525215007,129.0
2011-11-08,eu,0.0,0.0,211.828695024,53.9971356394,142.0
2011-11-09,eu,0.0,0.0,284.284061566,45.0426585113,140.0
2011-11-10,eu,0.0,0.0,270.550540826,56.9810886248,136.0
2011-11-11,eu,0.0,0.0,187.543371134,71.0350808633,113.0
2011-11-12,eu,0.0,0.0,158.265135113,51.9708198793,97.0
2011-11-13,eu,0.0,0.0,169.932533263,50.2244372342,97.0
2011-11-14,eu,0.0,0.0,203.10816844,60.7117434771,119.0
2011-11-15,eu,0.0,0.0,231.079236328,63.2249306671,119.0
2011-11-16,eu,0.0,0.0,237.944696805,49.9728980806,121.0
2011-11-17,eu,0.0,0.0,207.416269011,58.5565188065,125.0
2011-11-18,eu,0.0,0.0,172.375660439,59.9855979301,118.0
2011-11-19,eu,0.0,0.0,159.370474186,48.8863562901,90.0
2011-11-20,eu,0.0,0.0,165.860502666,46.1090919588,111.0
2011-11-21,eu,0.0,0.0,201.935177099,60.3018557965,114.0
2011-11-22,eu,0.0,0.0,205.99658914,54.8272486529,116.0
2011-11-23,eu,0.0,0.0,252.481008654,51.5640182612,129.0
2011-11-24,eu,0.0,0.0,376.780991053,61.5586681002,151.0
2011-11-25,eu,0.0,0.0,334.940297096,23.6614438675,102.0
2011-11-26,eu,0.0,0.0,251.538869043,21.1357381529,94.0
2011-11-27,eu,0.0,0.0,210.484877126,49.1440430875,100.0
2011-11-28,eu,0.0,0.0,191.366719137,55.7317488956,113.0
2011-11-29,eu,0.0,0.0,186.68893644,48.2083411753,104.0
2011-11-30,eu,0.0,0.0,199.641524411,35.2988327146,101.0
2011-12-01,eu,0.0,0.0,204.434673858,30.8572714637,135.0
2011-12-02,eu,0.0,0.0,202.790591405,14.3354448294,123.0
2011-12-03,eu,0.0,0.0,176.07735872,17.7508846925,120.0
2011-12-04,eu,0.0,0.0,153.244844156,39.3296827365,100.0
2011-12-05,eu,0.0,0.0,219.631676754,59.884935253,138.0
2011-12-06,eu,0.0,0.0,186.057494441,54.9941061579,131.0
2011-12-07,eu,0.0,0.0,187.971685023,54.7303578904,128.0
2011-12-08,eu,0.0,0.0,219.518486589,62.7519646121,119.0
2011-12-09,eu,0.0,0.0,212.890251154,56.3358459399,119.0
2011-12-10,eu,0.0,0.0,201.618435854,59.6481367347,99.0
2011-12-11,eu,0.0,0.0,190.292976057,54.4000545372,107.0
2011-12-12,eu,0.0,0.0,205.847290152,70.3102885169,119.0
2011-12-13,eu,0.0,0.0,214.429133076,71.9239823037,117.0
2011-12-14,eu,0.0,0.0,216.468697243,61.8007480334,107.0
2011-12-15,eu,0.0,0.0,203.180882054,56.4535477021,112.0
2011-12-16,eu,0.0,0.0,206.051583279,62.9527849159,106.0
2011-12-17,eu,0.0,0.0,180.893567511,48.6097522706,93.0
2011-12-18,eu,0.0,0.0,185.578155358,54.8926941933,89.0
2011-12-19,eu,0.0,0.0,198.110560133,59.4560417603,116.0
2011-12-20,eu,0.0,0.0,193.797624566,60.9864694134,115.0
2011-12-21,eu,0.0,0.0,186.565714635,52.8566629193,116.0
2011-12-22,eu,0.0,0.0,193.704661594,56.8731931579,112.0
2011-12-23,eu,0.0,0.0,166.301774052,53.7058817744,105.0
2011-12-24,eu,0.0,0.0,145.387343738,44.4697197121,101.0
2011-12-25,eu,0.0,0.0,169.436278458,45.357884886,121.0
2011-12-26,eu,0.0,0.0,177.431824705,57.3635881701,112.0
2011-12-27,eu,0.0,0.0,187.010882344,62.5001404961,117.0
2011-12-28,eu,0.0,0.0,194.408625939,59.2177542357,111.0
2011-12-29,eu,0.0,0.0,188.922145546,56.913456939,107.0
2011-12-30,eu,0.0,0.0,191.54305217,49.8646288023,106.0
2011-12-31,eu,0.0,0.0,175.61457433,47.0212307545,100.0
2012-01-01,eu,0.0,0.0,183.6136709,46.0061599324,114.0
2012-01-02,eu,0.0,0.0,223.060641394,47.7251516379,122.0
2012-01-03,eu,0.0,0.0,205.533725211,54.763282369,128.0
2012-01-04,eu,0.0,0.0,200.3965532,57.1354577602,121.0
2012-01-05,eu,0.0,0.0,227.528520466,53.9476229932,124.0
2012-01-06,eu,0.0,0.0,275.586011696,35.0934844842,98.0
2012-01-07,eu,0.0,0.0,286.212451803,56.9757968618,98.0
2012-01-09,eu,0.0,0.0,380.085731288,55.7178251368,126.0
2012-01-10,eu,0.0,0.0,325.426828796,59.429735171,107.0
2012-01-11,eu,0.0,0.0,221.081731301,56.3078752213,116.0
2012-01-12,eu,0.0,0.0,237.618559965,46.1089516457,130.0
2012-01-13,eu,0.0,0.0,198.245660213,27.7389895737,118.0
2012-01-14,eu,0.0,0.0,181.569737789,24.6225658285,101.0
2012-01-16,eu,0.0,0.0,209.845344191,31.9408227516,127.0
2012-01-17,eu,0.0,0.0,203.033318029,27.1174233965,114.0
2012-01-18,eu,0.0,0.0,190.290484251,60.011733526,111.0
2012-01-19,eu,0.0,0.0,225.480748773,52.7517388814,137.0
2012-01-20,eu,0.0,0.0,216.226435791,53.588264769,124.0
2012-01-21,eu,0.0,0.0,185.280351781,38.0741880348,105.0
2012-01-22,eu,0.0,0.0,207.761315288,42.1393288163,110.0
2012-01-23,eu,0.0,0.0,234.140039827,36.9549694729,116.0
2012-01-24,eu,0.0,0.0,208.7300314,43.6809411141,128.0
2012-01-25,eu,0.0,0.0,209.09324882,49.6621897885,121.0
2012-01-26,eu,0.0,0.0,232.268266054,59.034374925,114.0
2012-01-27,eu,0.0,0.0,210.596237622,49.4399980034,115.0
2012-01-28,eu,0.0,0.0,181.624699075,40.6531221694,97.0
2012-01-29,eu,0.0,0.0,202.740060629,43.9653384916,102.0
2012-01-30,eu,0.0,0.0,216.175842832,52.8903052267,104.0
2012-01-31,eu,0.0,0.0,235.043101474,59.599018249,112.0
2012-02-01,eu,0.0,0.0,233.423572202,53.7612613482,129.0
2012-02-02,eu,0.0,0.0,214.48915843,56.7424634402,127.0
2012-02-03,eu,0.0,0.0,222.437657525,57.1964061107,122.0
2012-02-04,eu,0.0,0.0,180.096038468,49.5369313907,101.0
2012-02-05,eu,0.0,0.0,176.911588704,50.1168981561,97.0
2012-02-06,eu,0.0,0.0,181.521570432,50.311849278,112.0
2012-02-07,eu,0.0,0.0,189.437671274,48.8157813331,105.0
2012-02-08,eu,0.0,0.0,234.668843772,72.6995522725,126.0
2012-02-09,eu,0.0,0.0,247.747337419,68.5188653534,128.0
2012-02-10,eu,0.0,0.0,218.159345755,55.6842521447,130.0
2012-02-11,eu,0.0,0.0,173.397772655,55.1129143007,113.0
2012-02-12,eu,0.0,0.0,165.352816305,53.5208571955,114.0
2012-02-13,eu,0.0,0.0,226.509036481,53.7029451783,137.0
2012-02-14,eu,0.0,0.0,220.400914541,48.3516861672,149.0
2012-02-15,eu,0.0,0.0,210.796142794,57.7709944456,136.0
2012-02-16,eu,0.0,0.0,203.247752622,61.5290081433,142.0
2012-02-17,eu,0.0,0.0,221.91533522,70.0399735988,123.0
2012-02-18,eu,0.0,0.0,186.817173912,59.1496508531,100.0
2012-02-19,eu,0.0,0.0,191.67681182,58.336695617,108.0
2012-02-20,eu,0.0,0.0,230.493566952,64.4117184745,122.0
2012-02-21,eu,0.0,0.0,255.854881237,62.6605154163,132.0
2012-02-22,eu,0.0,0.0,233.162107169,67.6654383541,142.0
2012-02-23,eu,0.0,0.0,241.198520119,64.7059306314,124.0
2012-02-24,eu,0.0,0.0,205.501968842,56.5376482118,114.0
2012-02-25,eu,0.0,0.0,181.764354544,51.3710925804,122.0
2012-02-26,eu,0.0,0.0,198.49366147,52.2108576427,125.0
2012-02-27,eu,0.0,0.0,211.667531916,54.4035684989,138.0
2012-02-28,eu,0.0,0.0,227.229469477,62.9542547521,125.0
2012-02-29,eu,0.0,0.0,217.442920191,74.1246093821,113.0
2012-03-01,eu,0.0,0.0,203.166018482,71.8572632297,121.0
2012-03-02,eu,0.0,0.0,181.337236139,62.9389936158,113.0
2012-03-03,eu,0.0,0.0,188.78454589,60.4650029041,109.0
2012-03-04,eu,0.0,0.0,198.694514565,67.2891944761,113.0
