date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,fi,0.0,0.0,4822.36230321,2322.99621536,3219.0
2011-09-09,fi,0.0,0.0,5247.70119857,1777.08158567,3603.0
2011-09-11,fi,0.0,1.0,5109.01548175,2478.51461425,5239.0
2011-09-12,fi,0.0,0.0,4430.68840063,2273.1977631,3592.0
2011-09-13,fi,0.0,0.0,4144.93987007,2294.84968863,3177.0
2011-09-14,fi,0.0,0.0,4062.76008546,2398.8817693,2975.0
2011-09-15,fi,0.0,0.0,4555.88865583,2196.7599338,3031.0
2011-09-16,fi,0.0,0.0,5374.20521242,1959.49399154,3038.0
2011-09-17,fi,0.0,0.0,6541.82531929,2287.71075705,3050.0
2011-09-18,fi,0.0,0.0,7848.82910136,2520.98493459,3257.0
2011-09-19,fi,0.0,0.0,5607.09394787,1845.49212766,3145.0
2011-09-20,fi,0.0,0.0,4778.16558886,1619.80668773,3169.0
2011-09-21,fi,0.0,0.0,4379.09155182,1559.59007093,3054.0
2011-09-22,fi,0.0,0.0,4272.90951769,1730.57580652,3025.0
2011-09-23,fi,0.0,0.0,4309.79427813,1826.08021527,3149.0
2011-09-24,fi,0.0,0.0,4181.47294611,1952.89102095,3820.0
2011-09-25,fi,0.0,0.0,4429.33638212,2013.68801327,4323.0
2011-09-26,fi,0.0,0.0,3924.02426743,2043.42083261,3176.0
2011-09-27,fi,0.0,0.0,4020.03430161,2190.81495123,2932.0
2011-09-28,fi,0.0,0.0,3768.53583913,2221.50255186,2872.0
2011-09-29,fi,0.0,0.0,3672.05469849,2109.5527656,2834.0
2011-09-30,fi,0.0,0.0,4167.36206857,2112.17989553,3321.0
2011-10-01,fi,0.0,0.0,5272.09258044,2634.39707675,4268.0
2011-10-02,fi,0.0,0.0,5460.88341029,2827.09198708,3965.0
2011-10-03,fi,0.0,0.0,4455.69116007,2112.25365786,3819.0
2011-10-04,fi,0.0,0.0,4023.61237461,1872.433075,3654.0
2011-10-05,fi,0.0,0.0,3934.72391556,2162.37900043,3809.0
2011-10-06,fi,0.0,0.0,3799.27073633,2066.40867024,3575.0
2011-10-07,fi,0.0,0.0,4156.59644154,2498.66798365,3889.0
2011-10-08,fi,0.0,0.0,5603.72251809,2986.7297241,4976.0
2011-10-09,fi,0.0,0.0,5679.33762375,2950.90599643,5194.0
2011-10-10,fi,0.0,0.0,4968.66370906,2682.65243566,4245.0
2011-10-11,fi,0.0,0.0,4877.24978089,2592.10664351,4152.0
2011-10-12,fi,0.0,0.0,4872.51091162,2498.3006408,4028.0
2011-10-13,fi,0.0,0.0,4983.56245846,2745.50605626,4149.0
2011-10-14,fi,0.0,0.0,5761.73689141,2808.1056571,4164.0
2011-10-15,fi,0.0,0.0,5996.43776403,3546.04167665,4163.0
2011-10-16,fi,0.0,0.0,6186.64053836,3819.12167759,4480.0
2011-10-17,fi,0.0,0.0,5310.40407832,2902.26857203,3545.0
2011-10-18,fi,0.0,0.0,5087.22699885,2926.56183665,3398.0
2011-10-19,fi,0.0,0.0,5186.30189849,2797.81353944,3399.0
2011-10-20,fi,0.0,0.0,5506.78326239,2701.64788213,3557.0
2011-10-21,fi,0.0,0.0,4883.96935566,2501.95255839,3251.0
2011-10-22,fi,0.0,0.0,5142.6086774,2720.54281432,3295.0
2011-10-23,fi,0.0,0.0,5179.29792166,3016.43342982,3579.0
2011-10-24,fi,0.0,0.0,4562.44470005,2138.37252812,3172.0
2011-10-25,fi,0.0,0.0,3793.51775368,2253.41989275,2998.0
2011-10-26,fi,0.0,0.0,4550.75350341,1802.58145376,3250.0
2011-10-27,fi,0.0,0.0,4418.26471401,1768.42660061,3185.0
2011-10-28,fi,0.0,0.0,4266.86953747,1649.61367448,3394.0
2011-10-29,fi,0.0,0.0,4295.82960492,1932.51986047,3624.0
2011-10-30,fi,0.0,0.0,4567.90190133,1930.57975048,3521.0
2011-10-31,fi,0.0,0.0,4044.18391651,1843.51856458,2901.0
2011-11-01,fi,0.0,0.0,3928.64641812,1927.80772934,2780.0
2011-11-02,fi,0.0,0.0,4157.61957571,1795.86278506,2728.0
2011-11-03,fi,0.0,0.0,4052.20685242,1915.04527681,2705.0
2011-11-04,fi,0.0,0.0,4988.16216053,1865.48729623,2720.0
2011-11-05,fi,0.0,0.0,5560.46545586,2204.46357961,3230.0
2011-11-06,fi,0.0,0.0,5178.57301028,2431.66842367,3252.0
2011-11-07,fi,0.0,0.0,3687.92784469,2095.87275516,2935.0
2011-11-08,fi,0.0,0.0,3942.66158614,1745.45740954,2910.0
2011-11-09,fi,0.0,0.0,4804.89361861,1283.46271893,2931.0
2011-11-10,fi,0.0,0.0,4459.47226669,1574.18084399,2883.0
2011-11-11,fi,0.0,0.0,3179.51436179,2040.64414116,2765.0
2011-11-12,fi,0.0,0.0,3561.48274636,2093.38462474,3106.0
2011-11-13,fi,0.0,0.0,3849.58274699,2037.10317422,3355.0
2011-11-14,fi,0.0,0.0,3685.29792332,1866.37449611,2668.0
2011-11-15,fi,0.0,0.0,3826.32799303,1714.66011969,2607.0
2011-11-16,fi,0.0,0.0,4009.2402139,1393.12201588,2699.0
2011-11-17,fi,0.0,0.0,3535.24414309,1654.99213679,2667.0
2011-11-18,fi,0.0,0.0,3295.15536698,2030.03891942,2571.0
2011-11-19,fi,0.0,0.0,3884.65530829,2251.10031107,2577.0
2011-11-20,fi,0.0,0.0,4357.49688253,2299.59947515,2572.0
2011-11-21,fi,0.0,0.0,3567.52146209,1844.79010696,2409.0
2011-11-22,fi,0.0,0.0,3559.16329014,1637.37178384,2450.0
2011-11-23,fi,0.0,0.0,4455.36609174,1577.1043634,2676.0
2011-11-24,fi,0.0,0.0,6378.52316806,1773.03280098,3497.0
2011-11-25,fi,0.0,0.0,5781.90687862,705.4067953,2673.0
2011-11-26,fi,0.0,0.0,5482.35897253,886.217792726,3028.0
2011-11-27,fi,0.0,0.0,3826.11654934,1584.56333523,3411.0
2011-11-28,fi,0.0,0.0,3182.08506051,1613.32556218,2744.0
2011-11-29,fi,0.0,0.0,3114.63314212,1401.75022802,2395.0
2011-11-30,fi,0.0,0.0,3313.12610741,985.987619423,2312.0
2011-12-01,fi,0.0,0.0,3820.56558833,936.861047495,2535.0
2011-12-02,fi,0.0,0.0,4094.37060252,531.26730614,2439.0
2011-12-03,fi,0.0,0.0,4315.22920802,836.066669015,2449.0
2011-12-04,fi,0.0,0.0,4002.00564234,1933.81024655,2307.0
2011-12-05,fi,0.0,0.0,4167.33394409,2010.08512935,2724.0
2011-12-06,fi,0.0,0.0,3332.2380428,1791.35213441,2479.0
2011-12-07,fi,0.0,0.0,3347.2386483,1770.44415297,2480.0
2011-12-08,fi,0.0,0.0,3322.04643038,1568.7991153,2372.0
2011-12-09,fi,0.0,0.0,3366.48740529,1513.69052722,2421.0
2011-12-10,fi,0.0,0.0,3259.29189249,1669.41143182,2457.0
2011-12-11,fi,0.0,0.0,3406.10737,1783.4848649,2570.0
2011-12-12,fi,0.0,0.0,3266.70699588,1835.31598479,2535.0
