date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,fj,0.0,0.0,147.388990303,32.9303463196,74.0
2011-09-09,fj,0.0,0.0,129.986069256,19.7305738165,56.0
2011-09-11,fj,0.0,0.0,123.665765114,25.2019501445,56.0
2011-09-12,fj,0.0,0.0,156.940516339,39.9594560778,67.0
2011-09-13,fj,0.0,0.0,139.698027195,35.71095434,73.0
2011-09-14,fj,0.0,0.0,167.531529186,50.3432482995,59.0
2011-09-15,fj,0.0,0.0,145.756879652,31.4974484062,76.0
2011-09-16,fj,0.0,0.0,121.239369622,17.3023248399,58.0
2011-09-17,fj,0.0,0.0,113.596166985,14.6844382111,43.0
2011-09-18,fj,0.0,0.0,123.18587757,15.2219981168,45.0
2011-09-19,fj,0.0,0.0,150.03915619,20.1559558857,70.0
2011-09-20,fj,0.0,0.0,151.003368472,23.3715412864,64.0
2011-09-21,fj,0.0,0.0,127.702150555,17.4973898536,52.0
2011-09-22,fj,0.0,0.0,146.202129399,27.8448963246,45.0
2011-09-23,fj,0.0,0.0,117.301201514,20.4378659911,50.0
2011-09-24,fj,0.0,0.0,89.138927366,14.1245924682,45.0
2011-09-25,fj,0.0,0.0,92.5754677984,14.2040524418,32.0
2011-09-26,fj,0.0,0.0,120.267588414,28.1116278628,29.0
2011-09-27,fj,0.0,0.0,114.260672421,26.7907747654,36.0
2011-09-28,fj,0.0,0.0,94.1759373943,20.3875287352,28.0
2011-09-29,fj,0.0,0.0,81.7415908571,16.3031678985,29.0
2011-09-30,fj,0.0,0.0,97.7926456365,18.4796161403,38.0
2011-10-01,fj,0.0,0.0,95.2679575316,15.8029989409,32.0
2011-10-02,fj,0.0,0.0,66.2908511527,8.94273854334,38.0
2011-10-03,fj,0.0,0.0,67.9119824798,7.82060563108,41.0
2011-10-04,fj,0.0,0.0,78.1689631688,10.9567962382,59.0
2011-10-05,fj,0.0,0.0,67.3071936299,8.52694087077,60.0
2011-10-06,fj,0.0,0.0,61.9290498617,9.07160652376,56.0
2011-10-07,fj,0.0,0.0,74.7056842215,13.5805000451,53.0
2011-10-08,fj,0.0,0.0,68.4621632128,9.6664264879,39.0
2011-10-09,fj,0.0,0.0,85.2548016537,13.3789458966,39.0
2011-10-10,fj,0.0,0.0,82.63273712,13.92487512,45.0
2011-10-11,fj,0.0,0.0,114.085906343,24.0707199732,73.0
2011-10-12,fj,0.0,0.0,109.883284378,22.5817252411,93.0
2011-10-13,fj,0.0,0.0,113.462230059,23.9669981256,112.0
2011-10-14,fj,0.0,0.0,115.332394107,20.9495462475,100.0
2011-10-15,fj,0.0,0.0,73.3831327709,13.3879674464,62.0
2011-10-16,fj,0.0,1.0,72.6659707082,13.9340334753,101.0
2011-10-17,fj,0.0,1.0,85.2250719836,15.9444880647,145.0
2011-10-18,fj,0.0,1.0,123.861719445,32.1405522598,148.0
2011-10-19,fj,0.0,0.0,159.205992284,43.5920166157,151.0
2011-10-20,fj,0.0,0.0,193.7020681,51.361328357,140.0
2011-10-21,fj,0.0,0.0,156.85393523,40.8735732965,95.0
2011-10-22,fj,0.0,0.0,110.963928387,23.6880769722,70.0
2011-10-23,fj,0.0,0.0,154.229215883,46.8278314155,86.0
2011-10-24,fj,0.0,0.0,234.237996971,65.1964609188,154.0
2011-10-25,fj,0.0,0.0,211.798436378,71.5423095203,131.0
2011-10-26,fj,0.0,0.0,251.677375163,61.2320239733,101.0
2011-10-27,fj,0.0,0.0,221.077457149,50.1233556488,168.0
2011-10-28,fj,0.0,1.0,164.854113271,32.5298778051,182.0
2011-10-29,fj,0.0,0.0,126.599380297,25.7113554858,89.0
2011-10-30,fj,0.0,0.0,148.403570129,31.0843497076,93.0
2011-10-31,fj,0.0,0.0,241.522022411,68.4904969543,199.0
2011-11-01,fj,0.0,0.0,215.895676066,62.8195198228,209.0
2011-11-02,fj,0.0,0.0,179.944941833,34.654596451,167.0
2011-11-03,fj,0.0,0.0,264.92132806,76.4633996976,127.0
2011-11-04,fj,1.0,0.0,322.919357526,78.660509671,63.0
2011-11-05,fj,0.0,0.0,183.914240467,34.8483556524,63.0
2011-11-06,fj,0.0,0.0,182.710191714,42.1452523,66.0
2011-11-07,fj,1.0,0.0,309.632417245,108.227194998,97.0
2011-11-08,fj,1.0,0.0,349.307281877,104.468281175,94.0
2011-11-09,fj,0.0,0.0,350.974422511,61.583489509,109.0
2011-11-10,fj,0.0,0.0,259.540595175,54.8532588724,117.0
2011-11-11,fj,0.0,0.0,102.719841263,29.2850804117,93.0
2011-11-12,fj,0.0,0.0,98.7716668408,24.8288029129,50.0
2011-11-13,fj,0.0,0.0,109.077098719,25.4086016632,59.0
2011-11-14,fj,0.0,0.0,161.16145507,42.7022416377,96.0
2011-11-15,fj,0.0,0.0,163.613040117,37.9452653528,121.0
2011-11-16,fj,0.0,0.0,192.688557867,37.3036462587,115.0
2011-11-17,fj,0.0,0.0,182.578532171,48.9568924503,112.0
2011-11-18,fj,0.0,0.0,146.028713665,46.4713498016,110.0
2011-11-19,fj,0.0,0.0,91.5280673811,20.1590956636,67.0
2011-11-20,fj,0.0,0.0,109.923774258,24.1809445449,89.0
2011-11-21,fj,0.0,0.0,169.019313749,45.9818208657,125.0
2011-11-22,fj,0.0,0.0,209.2798466,54.8020667133,125.0
2011-11-23,fj,0.0,0.0,239.64165059,48.2194582077,127.0
2011-11-24,fj,0.0,0.0,341.908650671,50.7296238407,131.0
2011-11-25,fj,0.0,0.0,317.345944388,18.7920395062,83.0
2011-11-26,fj,0.0,0.0,196.104261069,13.945766751,73.0
2011-11-27,fj,0.0,0.0,174.401853849,37.1327733372,81.0
2011-11-28,fj,0.0,0.0,205.954855856,62.7349408803,101.0
2011-11-29,fj,0.0,0.0,203.355725171,51.9884284907,102.0
2011-11-30,fj,0.0,0.0,189.15366712,40.4685355922,92.0
2011-12-01,fj,0.0,0.0,190.447340848,22.7255420824,75.0
2011-12-02,fj,0.0,0.0,177.53110491,8.80344917446,70.0
2011-12-03,fj,0.0,0.0,144.320533303,12.4706313805,40.0
2011-12-04,fj,0.0,0.0,129.564939231,29.937903064,45.0
2011-12-05,fj,0.0,0.0,199.241330065,50.942116101,83.0
2011-12-06,fj,0.0,0.0,187.45734278,51.4575840498,73.0
2011-12-07,fj,0.0,0.0,178.162023108,46.4573256316,55.0
2011-12-08,fj,0.0,0.0,135.791686296,28.5725160084,54.0
2011-12-09,fj,0.0,0.0,130.817611924,28.0553377992,31.0
2011-12-10,fj,0.0,0.0,83.5575220057,13.6686734122,21.0
2011-12-11,fj,0.0,0.0,102.297786708,17.6115589094,41.0
2011-12-12,fj,0.0,0.0,135.071452905,36.4035562903,71.0
2011-12-13,fj,0.0,0.0,133.354191602,33.1259596985,58.0
2011-12-14,fj,0.0,0.0,108.264797189,20.8854775763,58.0
2011-12-15,fj,0.0,0.0,104.734300382,20.1944332239,51.0
2011-12-16,fj,0.0,0.0,68.6808907665,10.08949319,37.0
2011-12-17,fj,0.0,0.0,52.5190421431,4.5141120599,28.0
2011-12-18,fj,0.0,0.0,84.2971928055,14.5372080298,28.0
2011-12-19,fj,0.0,0.0,127.49036694,30.5989622577,61.0
2011-12-20,fj,0.0,0.0,107.424642837,24.517519603,64.0
2011-12-21,fj,0.0,0.0,110.977983903,23.6464252585,53.0
2011-12-22,fj,0.0,0.0,101.11435697,20.3742879906,54.0
2011-12-23,fj,0.0,0.0,70.9615948627,12.8477333189,38.0
2011-12-24,fj,0.0,0.0,56.4775918187,7.98529034911,35.0
2011-12-25,fj,0.0,0.0,68.2428505395,8.55065969878,38.0
2011-12-26,fj,0.0,0.0,107.087558187,23.2889783787,36.0
2011-12-27,fj,0.0,0.0,122.420389874,26.8320443988,46.0
2011-12-28,fj,0.0,0.0,106.756591194,19.2389264581,53.0
2011-12-29,fj,0.0,0.0,105.261345906,21.0396777966,52.0
2011-12-30,fj,0.0,0.0,83.5158881942,12.3358971686,38.0
2011-12-31,fj,0.0,0.0,74.114230034,10.7338718614,34.0
2012-01-01,fj,0.0,0.0,70.6882587484,9.52631251785,30.0
2012-01-02,fj,0.0,0.0,87.9615529666,10.2332376963,30.0
2012-01-03,fj,0.0,0.0,95.2279629681,15.8506081085,47.0
2012-01-04,fj,0.0,0.0,109.661062469,21.2846043553,35.0
2012-01-05,fj,0.0,0.0,125.516936119,20.0878636224,44.0
2012-01-06,fj,0.0,0.0,118.72669906,8.35197737971,43.0
2012-01-07,fj,0.0,0.0,131.187818232,10.0508900693,25.0
2012-01-09,fj,0.0,0.0,124.220286308,7.03263468142,47.0
2012-01-10,fj,0.0,0.0,149.012235119,13.937882412,40.0
2012-01-11,fj,0.0,0.0,80.5834968766,10.0811532307,44.0
2012-01-12,fj,0.0,0.0,101.185121779,12.016750885,48.0
2012-01-13,fj,0.0,0.0,99.4359512751,9.47929181853,37.0
2012-01-14,fj,0.0,0.0,61.2271424546,3.45625393607,23.0
2012-01-16,fj,0.0,0.0,93.5926829016,8.66904358604,43.0
2012-01-17,fj,0.0,0.0,92.5841321975,6.7682242061,44.0
2012-01-18,fj,0.0,0.0,85.9096483507,16.9670249269,46.0
2012-01-19,fj,0.0,0.0,99.3572761892,14.6257978647,46.0
2012-01-20,fj,0.0,0.0,87.3776490829,10.3111150029,40.0
2012-01-21,fj,0.0,0.0,57.2910856544,4.61954559185,33.0
2012-01-22,fj,0.0,0.0,65.5040490168,5.30811430492,33.0
2012-01-23,fj,0.0,0.0,94.6927783415,9.13894790617,47.0
2012-01-24,fj,0.0,0.0,95.080164768,12.7258625713,47.0
2012-01-25,fj,0.0,0.0,97.0232295788,16.9158545703,48.0
2012-01-26,fj,0.0,0.0,92.6371116489,14.2176913141,49.0
2012-01-27,fj,0.0,0.0,83.5105558541,11.1260497748,33.0
2012-01-28,fj,0.0,0.0,70.4453203688,8.30624268207,23.0
2012-01-29,fj,0.0,0.0,75.5669239337,8.50259780265,31.0
2012-01-30,fj,0.0,0.0,108.306435483,15.0254848737,37.0
2012-01-31,fj,0.0,0.0,102.951969629,16.1898726143,40.0
2012-02-01,fj,0.0,0.0,108.572763835,16.2649316071,46.0
2012-02-02,fj,0.0,0.0,106.28758962,18.0584006384,37.0
2012-02-03,fj,0.0,0.0,80.209133325,10.0434810945,43.0
2012-02-04,fj,0.0,0.0,57.2536019625,6.20362295925,35.0
2012-02-05,fj,0.0,0.0,68.3841155788,9.36447399307,31.0
2012-02-06,fj,0.0,0.0,79.2317221231,12.1250084753,26.0
2012-02-07,fj,0.0,0.0,82.1300743681,12.0776667931,27.0
2012-02-08,fj,0.0,0.0,104.071738815,16.4521845788,34.0
2012-02-09,fj,0.0,0.0,90.1080786964,13.182120919,27.0
2012-02-10,fj,0.0,0.0,88.5297868363,14.6138777479,22.0
2012-02-11,fj,0.0,0.0,72.9362385211,12.4808188529,19.0
2012-02-12,fj,0.0,0.0,68.1800630789,10.5249047468,24.0
2012-02-13,fj,0.0,1.0,69.787135589,6.3848693002,104.0
2012-02-14,fj,0.0,1.0,72.9748053592,6.89058684236,74.0
2012-02-15,fj,0.0,0.0,72.1090393657,9.94482870167,26.0
2012-02-16,fj,0.0,0.0,56.8224630033,6.97415826794,30.0
2012-02-17,fj,0.0,0.0,52.3917488741,5.42347636875,32.0
2012-02-18,fj,0.0,0.0,44.6084461652,3.87236175249,27.0
2012-02-19,fj,0.0,0.0,54.1078346781,6.03474776179,26.0
2012-02-20,fj,1.0,0.0,181.293397415,45.5871878279,45.0
2012-02-21,fj,0.0,0.0,141.091227649,25.6967214253,49.0
2012-02-22,fj,0.0,0.0,60.6279072328,6.4101254198,49.0
2012-02-23,fj,0.0,0.0,66.947836668,7.78331341995,42.0
2012-02-24,fj,0.0,0.0,68.0596511199,8.75763073669,44.0
2012-02-25,fj,0.0,0.0,62.8960848884,7.8084607269,24.0
2012-02-26,fj,0.0,0.0,60.1826602424,6.84913537712,34.0
2012-02-27,fj,0.0,0.0,94.1636853869,14.051671492,46.0
2012-02-28,fj,0.0,0.0,98.8899313196,17.2614460629,45.0
2012-02-29,fj,0.0,0.0,89.3764310258,18.3494839247,43.0
2012-03-01,fj,0.0,0.0,82.8616848603,16.8241547161,46.0
2012-03-02,fj,0.0,0.0,84.1312992328,17.3841447777,37.0
2012-03-03,fj,0.0,0.0,50.8809617526,5.78146041644,28.0
2012-03-04,fj,0.0,0.0,71.5015916493,11.1540404866,42.0
2012-03-05,fj,0.0,0.0,94.1426067365,17.0392876495,58.0
2012-03-06,fj,0.0,0.0,89.5771177261,16.3874535191,50.0
2012-03-07,fj,0.0,0.0,88.4360689705,15.5569598319,49.0
2012-03-08,fj,0.0,0.0,82.2434993571,17.7208287599,43.0
2012-03-09,fj,0.0,0.0,75.7328037739,13.4322977927,37.0
2012-03-10,fj,0.0,0.0,58.3313737723,9.44579615058,31.0
2012-03-11,fj,0.0,0.0,85.1378610831,15.5007094098,41.0
2012-03-12,fj,0.0,0.0,102.195693758,25.3404805239,58.0
2012-03-13,fj,0.0,0.0,86.5010436586,21.2478034672,56.0
2012-03-14,fj,0.0,0.0,85.1668252874,20.3117774728,65.0
2012-03-15,fj,0.0,0.0,79.6825905323,17.1160786155,53.0
2012-03-16,fj,0.0,0.0,69.4998035305,13.6168827717,53.0
2012-03-17,fj,0.0,0.0,62.3091338274,9.9880032175,42.0
2012-03-18,fj,0.0,0.0,80.494802878,12.6299257035,46.0
2012-03-19,fj,0.0,0.0,103.238521882,24.7826612387,55.0
2012-03-20,fj,0.0,0.0,104.680087785,23.4304350843,51.0
2012-03-21,fj,0.0,0.0,114.107385379,29.697269747,58.0
2012-03-22,fj,0.0,0.0,103.091853705,22.138868881,59.0
2012-03-23,fj,0.0,0.0,94.522228462,23.2055005658,49.0
2012-03-24,fj,0.0,0.0,82.0122555513,15.7612544282,38.0
2012-03-25,fj,0.0,0.0,92.70554338,17.5808517844,46.0
2012-03-26,fj,0.0,0.0,98.9987992537,24.8069918656,49.0
2012-03-27,fj,0.0,0.0,92.5183700354,22.7520879575,52.0
2012-03-28,fj,0.0,0.0,102.755300708,26.8823038487,68.0
2012-03-29,fj,0.0,0.0,108.129923299,23.4808511922,63.0
2012-03-30,fj,0.0,0.0,98.3935202679,19.0783839251,50.0
2012-03-31,fj,0.0,0.0,80.1794782389,12.0263111694,34.0
2012-04-01,fj,0.0,0.0,91.2241909042,17.9224933566,27.0
2012-04-02,fj,0.0,0.0,90.0144020073,19.8033057555,25.0
2012-04-03,fj,0.0,0.0,95.0428514587,21.1285004951,24.0
2012-04-04,fj,0.0,0.0,125.286484566,30.7029371805,41.0
2012-04-05,fj,0.0,0.0,129.593824159,22.2832945757,34.0
2012-04-06,fj,0.0,0.0,108.743175952,15.2189064933,17.0
2012-04-07,fj,0.0,0.0,74.8924927252,10.5039458162,19.0
2012-04-08,fj,0.0,0.0,59.6179616432,7.13688961064,20.0
2012-04-09,fj,0.0,0.0,57.7918994758,6.95714598129,28.0
2012-04-10,fj,0.0,0.0,56.6901652986,6.01003646441,53.0
2012-04-11,fj,0.0,0.0,85.8448760309,14.2605709805,56.0
2012-04-12,fj,0.0,0.0,80.1380048359,10.0238980029,59.0
2012-04-13,fj,0.0,1.0,50.970556668,2.20053931905,53.0
2012-04-14,fj,0.0,0.0,52.9183714358,3.20185377122,40.0
2012-04-15,fj,0.0,0.0,53.504796544,3.83325745274,50.0
2012-04-16,fj,0.0,1.0,62.748816867,7.90180327996,79.0
2012-04-17,fj,0.0,0.0,95.7943519094,23.5834085485,82.0
2012-04-18,fj,0.0,0.0,108.749457887,24.0688224478,84.0
2012-04-19,fj,0.0,0.0,114.6836021,27.3665411155,78.0
2012-04-20,fj,0.0,0.0,103.441171499,21.1576940668,63.0
2012-04-21,fj,0.0,0.0,85.4318844303,13.9387133171,55.0
2012-04-22,fj,0.0,0.0,102.34719079,19.8995337151,74.0
2012-04-23,fj,0.0,0.0,138.381706848,37.9646355671,107.0
2012-04-24,fj,0.0,0.0,143.503700528,38.2105516831,106.0
2012-04-25,fj,0.0,0.0,167.867546634,28.2465650162,106.0
2012-04-26,fj,0.0,0.0,143.730388881,29.5090877845,100.0
2012-04-27,fj,0.0,0.0,119.410248984,28.1594261707,67.0
2012-04-28,fj,0.0,0.0,103.357946961,22.7849216377,46.0
2012-04-29,fj,0.0,0.0,138.273313785,31.8170786505,63.0
2012-04-30,fj,0.0,0.0,194.318214775,49.0514925092,88.0
2012-05-01,fj,0.0,0.0,194.133982285,46.502137789,89.0
2012-05-02,fj,0.0,0.0,184.643096993,53.6138221646,94.0
2012-05-03,fj,0.0,0.0,185.397929979,52.0259212417,85.0
2012-05-04,fj,0.0,0.0,145.094334588,34.0126510955,79.0
2012-05-05,fj,0.0,0.0,115.162614481,17.9838725564,65.0
2012-05-06,fj,0.0,0.0,135.524304322,31.559005342,76.0
2012-05-07,fj,0.0,0.0,176.922455832,45.8142102681,85.0
2012-05-08,fj,0.0,0.0,176.473954901,45.0544080299,105.0
2012-05-09,fj,0.0,0.0,168.362095526,50.736517979,102.0
2012-05-10,fj,0.0,0.0,157.829315327,44.5291495054,98.0
2012-05-11,fj,0.0,0.0,126.402395615,36.9384012444,86.0
2012-05-12,fj,0.0,0.0,111.311502239,27.6775315752,64.0
2012-05-13,fj,0.0,0.0,129.862996609,34.6828883163,71.0
2012-05-14,fj,0.0,0.0,153.75386827,41.0764738358,82.0
2012-05-15,fj,0.0,0.0,176.587100232,59.065063529,96.0
2012-05-16,fj,0.0,0.0,189.048204497,53.9024556165,107.0
2012-05-17,fj,0.0,0.0,175.10491683,50.7922294611,104.0
2012-05-18,fj,0.0,0.0,163.057519004,42.6476445987,94.0
2012-05-19,fj,0.0,0.0,128.446743213,27.6149425562,74.0
2012-05-20,fj,0.0,0.0,141.002513729,30.2427290521,75.0
2012-05-21,fj,0.0,0.0,154.169081946,40.1273243552,100.0
2012-05-22,fj,0.0,0.0,167.480943504,52.5062769431,108.0
2012-05-23,fj,0.0,0.0,184.719579479,53.4720575662,135.0
2012-05-24,fj,0.0,0.0,175.779849525,51.1066614599,125.0
2012-05-25,fj,0.0,0.0,158.670468592,46.6659138261,99.0
2012-05-26,fj,0.0,0.0,128.446695786,34.402736323,71.0
2012-05-27,fj,0.0,0.0,129.80168644,37.2439382863,93.0
2012-05-28,fj,0.0,0.0,162.780501793,52.0864729115,113.0
2012-05-29,fj,0.0,0.0,184.060031535,55.5661189871,96.0
2012-05-30,fj,0.0,0.0,209.414781056,75.9118641969,129.0
2012-05-31,fj,0.0,0.0,198.680834962,68.651758142,130.0
2012-06-01,fj,0.0,0.0,163.308807885,51.2522258431,102.0
2012-06-02,fj,0.0,0.0,131.327927538,31.0905557522,89.0
2012-06-03,fj,0.0,0.0,161.292446222,42.2925167361,98.0
2012-06-04,fj,0.0,0.0,181.985567193,63.3936627573,124.0
2012-06-05,fj,0.0,0.0,158.943225226,50.1474234528,139.0
2012-06-06,fj,0.0,0.0,195.539624989,77.9738200925,149.0
2012-06-07,fj,0.0,0.0,200.30871577,73.7971847496,144.0
2012-06-08,fj,0.0,0.0,162.479515642,54.3167712259,109.0
2012-06-09,fj,0.0,0.0,153.603463165,44.3654387134,70.0
2012-06-10,fj,0.0,0.0,160.866018015,51.6848075448,55.0
2012-06-11,fj,0.0,0.0,193.432208733,61.3668568137,91.0
2012-06-12,fj,0.0,0.0,210.695917182,69.9515572082,111.0
2012-06-13,fj,0.0,0.0,216.333623045,80.8380153382,121.0
2012-06-14,fj,0.0,0.0,229.861916285,82.0212090488,129.0
2012-06-15,fj,0.0,0.0,176.524933217,60.001057382,90.0
2012-06-16,fj,0.0,0.0,117.342059146,34.0352397713,60.0
2012-06-17,fj,0.0,0.0,99.2011890622,23.9007143227,92.0
2012-06-18,fj,0.0,0.0,162.472294467,47.78699742,103.0
2012-06-19,fj,0.0,0.0,203.962007228,58.5479173169,96.0
2012-06-20,fj,0.0,0.0,203.438417041,68.353454429,100.0
2012-06-21,fj,0.0,0.0,193.382994129,73.8991916127,108.0
2012-06-22,fj,0.0,0.0,146.221401141,50.3258673157,78.0
2012-06-23,fj,0.0,0.0,106.553474518,27.7302650981,46.0
2012-06-24,fj,0.0,0.0,150.397907682,50.982240896,70.0
2012-06-25,fj,0.0,0.0,176.702884359,55.7981696149,99.0
2012-06-26,fj,0.0,0.0,165.168179773,49.8649681203,100.0
2012-06-27,fj,0.0,0.0,165.825595676,54.5626957415,108.0
2012-06-28,fj,0.0,0.0,177.038360968,63.8946721045,113.0
2012-06-29,fj,0.0,0.0,130.315677102,38.4892554405,79.0
2012-06-30,fj,0.0,0.0,84.3906549095,19.2001011938,48.0
2012-07-01,fj,0.0,0.0,123.933244422,31.9839739527,82.0
2012-07-02,fj,0.0,0.0,160.875381017,49.4771056111,124.0
2012-07-03,fj,0.0,0.0,158.770550024,53.6584593406,121.0
2012-07-04,fj,0.0,0.0,168.129385842,59.7812583839,128.0
2012-07-05,fj,0.0,0.0,173.823329833,61.6201036736,123.0
2012-07-06,fj,0.0,0.0,126.754704454,39.8650344967,94.0
2012-07-07,fj,0.0,0.0,85.5220733106,20.018984065,75.0
2012-07-08,fj,0.0,0.0,132.518599947,40.8524256027,92.0
2012-07-09,fj,0.0,0.0,194.257980935,66.3467128789,117.0
2012-07-10,fj,0.0,0.0,191.219806922,65.6528946644,114.0
2012-07-11,fj,0.0,0.0,204.592631201,73.2865801054,122.0
2012-07-12,fj,0.0,0.0,198.977127732,70.5588513112,114.0
2012-07-13,fj,0.0,0.0,156.918968988,49.9675274233,81.0
2012-07-14,fj,0.0,0.0,129.602357754,38.9573721641,61.0
2012-07-15,fj,0.0,0.0,158.155009933,49.8485259316,72.0
2012-07-16,fj,0.0,0.0,188.206159499,68.0221429934,100.0
2012-07-17,fj,0.0,0.0,175.84399387,69.115794683,104.0
2012-07-18,fj,0.0,0.0,187.172589011,73.5468776901,104.0
2012-07-19,fj,0.0,0.0,182.018116753,64.9882378294,93.0
2012-07-20,fj,0.0,0.0,139.188142042,40.4899719925,57.0
2012-07-21,fj,0.0,0.0,107.522945761,28.1253240352,48.0
2012-07-22,fj,0.0,0.0,122.529525371,34.400032893,67.0
2012-07-23,fj,0.0,0.0,169.559281772,50.4663737266,110.0
2012-07-24,fj,0.0,0.0,169.936715386,54.9186866801,127.0
2012-07-25,fj,0.0,0.0,174.20461955,54.3095631385,133.0
2012-07-26,fj,0.0,1.0,149.603861259,47.6603842223,153.0
2012-07-27,fj,0.0,1.0,106.778403617,25.7629119967,129.0
2012-07-28,fj,0.0,0.0,93.3433004512,19.8879748977,78.0
2012-07-29,fj,0.0,0.0,122.665848425,32.0248913181,100.0
2012-07-30,fj,0.0,0.0,176.702606937,63.7482248951,160.0
2012-07-31,fj,0.0,0.0,198.655851692,73.920425795,164.0
2012-08-01,fj,0.0,0.0,212.350520064,77.4727741863,144.0
2012-08-02,fj,0.0,0.0,246.378625836,91.4594984751,134.0
2012-08-03,fj,0.0,0.0,202.807358147,72.3842216707,113.0
2012-08-04,fj,0.0,0.0,126.140718692,37.0998762416,84.0
2012-08-05,fj,0.0,0.0,156.347696874,50.1182057207,100.0
2012-08-06,fj,0.0,0.0,251.564468162,94.4064769648,160.0
2012-08-07,fj,0.0,0.0,264.106973395,94.7567415592,186.0
2012-08-08,fj,0.0,0.0,221.015769637,84.2730741384,189.0
2012-08-09,fj,0.0,0.0,209.103397563,80.4241155656,173.0
2012-08-10,fj,0.0,0.0,184.875282032,65.78723058,145.0
2012-08-11,fj,0.0,0.0,151.931607707,47.0626855282,105.0
2012-08-12,fj,0.0,0.0,172.702751916,58.4337231261,141.0
2012-08-13,fj,0.0,1.0,252.296047655,99.9456851343,282.0
2012-08-14,fj,0.0,0.0,305.066275958,106.332321113,255.0
2012-08-15,fj,0.0,0.0,294.220070589,114.46968101,153.0
2012-08-16,fj,0.0,0.0,257.707537779,101.094878856,194.0
2012-08-17,fj,0.0,0.0,221.961238916,84.6819532344,142.0
2012-08-18,fj,0.0,0.0,180.969268713,52.2012528167,86.0
2012-08-19,fj,0.0,0.0,229.966980406,79.1644663054,122.0
2012-08-20,fj,0.0,0.0,427.522623272,158.575106631,177.0
2012-08-21,fj,0.0,0.0,381.299735006,149.584476177,175.0
2012-08-22,fj,0.0,0.0,267.950529551,69.0768331064,161.0
2012-08-23,fj,0.0,0.0,300.644155869,115.699840842,169.0
2012-08-24,fj,0.0,0.0,227.008438425,83.377299178,129.0
2012-08-25,fj,0.0,0.0,163.881590039,38.651350344,89.0
2012-08-26,fj,0.0,0.0,215.31123672,59.2764488853,126.0
2012-08-27,fj,0.0,0.0,284.11801069,96.5986361667,185.0
2012-08-28,fj,0.0,0.0,279.809770496,104.470120586,213.0
2012-08-29,fj,0.0,0.0,263.263392966,96.6757390714,213.0
2012-08-30,fj,0.0,0.0,256.738374598,102.64738759,191.0
2012-08-31,fj,0.0,0.0,200.113422447,77.9567729148,148.0
2012-09-01,fj,0.0,0.0,148.054902774,45.9873672891,114.0
2012-09-02,fj,0.0,0.0,210.02061339,75.6936662873,116.0
2012-09-03,fj,0.0,0.0,305.684271366,117.421878547,131.0
2012-09-04,fj,1.0,0.0,332.485726857,139.134738751,122.0
2012-09-05,fj,1.0,0.0,357.326710929,129.341951709,118.0
2012-09-06,fj,0.0,0.0,280.610661926,84.1612328028,90.0
2012-09-07,fj,0.0,0.0,235.641253566,77.1806857879,79.0
2012-09-08,fj,0.0,0.0,190.526426212,66.7086498701,71.0
2012-09-09,fj,0.0,0.0,199.38149026,64.297941008,84.0
2012-09-10,fj,0.0,0.0,219.467144061,80.5113945055,95.0
2012-09-11,fj,0.0,0.0,204.476882422,74.9324115646,105.0
2012-09-12,fj,0.0,0.0,186.912921207,64.9037975638,124.0
2012-09-13,fj,0.0,0.0,201.239328258,52.278908587,121.0
2012-09-14,fj,0.0,0.0,161.543198699,43.5917833249,98.0
2012-09-15,fj,0.0,0.0,131.92311995,38.0585287043,80.0
2012-09-16,fj,0.0,0.0,153.766675115,45.0550578931,88.0
2012-09-17,fj,0.0,0.0,153.498887623,53.903856454,118.0
2012-09-18,fj,0.0,0.0,160.812122857,53.774286648,117.0
2012-09-19,fj,0.0,0.0,190.285015166,70.9502277876,117.0
2012-09-20,fj,0.0,0.0,185.992883922,62.7623432499,109.0
2012-09-21,fj,0.0,0.0,164.459128901,40.8451270032,93.0
2012-09-22,fj,0.0,0.0,136.341125528,37.592394635,82.0
2012-09-23,fj,0.0,0.0,147.895824764,47.7598565467,112.0
2012-09-24,fj,0.0,0.0,175.274841659,67.4383966418,109.0
2012-09-25,fj,0.0,0.0,195.670689678,66.8246253266,117.0
2012-09-26,fj,0.0,0.0,213.696243601,63.9905612761,116.0
