date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,fr,0.0,0.0,61494.5636749,29530.7270454,44118.0
2011-09-09,fr,0.0,0.0,68524.7731294,22675.2082594,44478.0
2011-09-11,fr,0.0,0.0,65457.3460004,34753.0326056,49575.0
2011-09-12,fr,0.0,0.0,56100.4958902,34557.8292438,45747.0
2011-09-13,fr,0.0,0.0,56271.2403499,34946.8378373,44084.0
2011-09-14,fr,0.0,0.0,57062.5300248,35370.0413413,44072.0
2011-09-15,fr,0.0,0.0,60484.1902077,30617.4131364,44859.0
2011-09-16,fr,0.0,0.0,63671.3745087,25197.195156,45655.0
2011-09-17,fr,0.0,0.0,66791.2149578,25262.4966391,47353.0
2011-09-18,fr,0.0,0.0,71843.4308034,24970.0406047,49714.0
2011-09-19,fr,0.0,0.0,70507.5067263,23065.2816976,47748.0
2011-09-20,fr,0.0,0.0,63383.2392604,23279.1773477,45208.0
2011-09-21,fr,0.0,0.0,63599.7770101,23115.5933127,45288.0
2011-09-22,fr,0.0,0.0,60667.2033514,26753.4857695,45498.0
2011-09-23,fr,0.0,0.0,62086.8578272,28439.5611719,44966.0
2011-09-24,fr,0.0,0.0,62197.9777351,31250.3940363,46066.0
2011-09-25,fr,0.0,0.0,64703.1991939,31625.0808313,47197.0
2011-09-26,fr,0.0,0.0,55936.7296087,32945.192902,44700.0
2011-09-27,fr,0.0,0.0,54079.0379715,32793.1438651,45028.0
2011-09-28,fr,0.0,0.0,53095.1910362,34234.0008643,43500.0
2011-09-29,fr,0.0,0.0,52033.9358049,33690.8132543,41850.0
2011-09-30,fr,0.0,0.0,57289.4875557,31362.2680468,43407.0
2011-10-01,fr,0.0,0.0,61892.668543,32496.8131544,45723.0
2011-10-02,fr,0.0,0.0,57924.7103372,31940.4526411,44634.0
2011-10-03,fr,0.0,0.0,60033.0921577,31670.6938643,45112.0
2011-10-04,fr,0.0,0.0,58898.7353788,30997.2212566,43741.0
2011-10-05,fr,0.0,0.0,57539.3813377,34155.8372274,46177.0
2011-10-06,fr,0.0,0.0,51903.7298631,33140.9406366,43916.0
2011-10-07,fr,0.0,0.0,51934.8913711,34162.2203992,44392.0
2011-10-08,fr,0.0,0.0,57677.7348766,33321.9674327,47474.0
2011-10-09,fr,0.0,0.0,61567.5046939,34387.5979464,49066.0
2011-10-10,fr,0.0,0.0,56470.0028111,32723.1555161,45264.0
2011-10-11,fr,0.0,0.0,55615.1170144,32244.7118937,45389.0
2011-10-12,fr,0.0,0.0,56614.113365,31398.2730324,46046.0
2011-10-13,fr,0.0,0.0,59411.9186985,34414.2018808,48678.0
2011-10-14,fr,0.0,0.0,62854.3967346,32930.5986729,48934.0
2011-10-15,fr,0.0,0.0,55293.2961982,34669.2693158,45109.0
2011-10-16,fr,0.0,0.0,56329.304708,37216.6182444,46292.0
2011-10-17,fr,0.0,0.0,54502.9277745,31942.3857862,42358.0
2011-10-18,fr,0.0,0.0,53505.8281543,33244.2169184,43161.0
2011-10-19,fr,0.0,0.0,56925.6744665,33379.6968122,44548.0
2011-10-20,fr,0.0,0.0,62026.0078789,32863.1660235,47387.0
2011-10-21,fr,0.0,0.0,55031.6655071,31023.6180191,41683.0
2011-10-22,fr,0.0,0.0,53559.6775563,30817.4431283,41014.0
2011-10-23,fr,0.0,0.0,51626.1284669,32399.0138236,40646.0
2011-10-24,fr,0.0,0.0,52157.1773864,26745.9457785,39244.0
2011-10-25,fr,0.0,0.0,46110.7204291,30055.7516046,37127.0
