date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,ga,0.0,0.0,113.768601432,19.9086492583,34.0
2011-09-09,ga,0.0,0.0,94.2587636122,11.1633978902,44.0
2011-09-11,ga,0.0,1.0,30.4335932463,0.671633986667,32.0
2011-09-12,ga,0.0,0.0,60.6809118099,7.24678142833,36.0
2011-09-13,ga,0.0,0.0,81.6352869315,14.591406372,41.0
2011-09-14,ga,0.0,0.0,81.2742830264,15.8957480161,47.0
2011-09-15,ga,0.0,0.0,78.8148749966,10.2874253572,50.0
2011-09-16,ga,0.0,0.0,100.376740983,12.301206088,56.0
2011-09-17,ga,0.0,0.0,88.0988459567,9.13857787786,71.0
2011-09-18,ga,0.0,0.0,78.6982734308,6.44246486573,68.0
2011-09-19,ga,0.0,0.0,88.1393120691,8.76675171116,69.0
2011-09-20,ga,0.0,0.0,94.7738631856,10.1909847214,63.0
2011-09-21,ga,0.0,0.0,103.274289511,13.4893155559,56.0
2011-09-22,ga,0.0,0.0,102.921157592,15.90412819,44.0
2011-09-23,ga,0.0,0.0,114.290142417,19.3684670432,53.0
2011-09-24,ga,0.0,0.0,133.490959383,28.8509977995,67.0
2011-09-25,ga,0.0,0.0,129.177648173,26.4363834522,62.0
2011-09-26,ga,0.0,0.0,119.964339861,27.6764449727,58.0
2011-09-27,ga,0.0,0.0,112.921276759,26.5508892962,47.0
2011-09-28,ga,0.0,0.0,99.3989137432,23.382558876,33.0
2011-09-29,ga,0.0,0.0,81.7412073713,16.010071103,46.0
2011-09-30,ga,0.0,0.0,101.986953718,19.9539820182,34.0
2011-10-01,ga,0.0,0.0,129.297150131,28.6223770762,33.0
2011-10-02,ga,0.0,0.0,111.330018663,24.235734852,46.0
2011-10-03,ga,0.0,0.0,115.93540194,22.7859015582,56.0
2011-10-04,ga,0.0,0.0,97.013424606,16.3270817967,61.0
2011-10-05,ga,0.0,0.0,74.7947408279,10.7869474044,58.0
2011-10-06,ga,0.0,0.0,91.6045900585,17.9653390029,55.0
2011-10-07,ga,0.0,0.0,68.6686780814,11.9759156755,45.0
2011-10-08,ga,0.0,0.0,69.7356812454,10.2590267799,28.0
2011-10-09,ga,0.0,0.0,98.9499351962,18.0065331992,42.0
2011-10-10,ga,0.0,0.0,106.159372831,22.0035302306,57.0
2011-10-11,ga,0.0,0.0,115.752151231,25.5911515681,54.0
2011-10-12,ga,0.0,0.0,106.115190882,22.3009316102,49.0
2011-10-13,ga,0.0,0.0,111.769518878,24.3240665548,63.0
2011-10-14,ga,0.0,0.0,100.617258447,16.8839581256,56.0
2011-10-15,ga,0.0,0.0,57.2784482747,8.28820865941,40.0
2011-10-16,ga,0.0,0.0,77.2771025611,15.4994164215,39.0
2011-10-17,ga,0.0,0.0,106.411328668,21.5869160484,43.0
2011-10-18,ga,0.0,0.0,97.4054637624,21.3797710708,54.0
2011-10-19,ga,0.0,0.0,93.6452954759,18.4018354075,52.0
2011-10-20,ga,0.0,0.0,119.097257329,24.9286232817,57.0
2011-10-21,ga,0.0,0.0,95.3346773655,19.072883714,62.0
2011-10-22,ga,0.0,0.0,77.0292304497,13.157416919,64.0
2011-10-23,ga,0.0,0.0,72.1268344304,12.0327207327,56.0
2011-10-24,ga,0.0,0.0,84.6133893288,12.9777206998,60.0
2011-10-25,ga,0.0,0.0,88.5504638409,19.7873933026,53.0
2011-10-26,ga,0.0,0.0,101.909542155,15.1724752083,53.0
2011-10-27,ga,0.0,0.0,101.708132174,16.4313607425,63.0
2011-10-28,ga,0.0,0.0,115.023520538,18.9669887492,36.0
2011-10-29,ga,0.0,0.0,117.615238733,23.0619307752,45.0
2011-10-30,ga,0.0,0.0,103.270568361,17.2384084756,54.0
2011-10-31,ga,0.0,0.0,109.735522672,20.3129660181,51.0
2011-11-01,ga,0.0,0.0,101.415039298,19.1473970551,41.0
2011-11-02,ga,0.0,0.0,107.075883167,14.3324450311,43.0
2011-11-03,ga,0.0,0.0,114.270162848,22.9828760366,45.0
2011-11-04,ga,0.0,0.0,82.9224138833,9.39907211661,46.0
2011-11-05,ga,0.0,0.0,106.306827187,13.8081750621,50.0
2011-11-06,ga,0.0,0.0,118.006839875,20.5519181396,51.0
2011-11-07,ga,0.0,0.0,95.2733014471,20.8799552727,39.0
2011-11-08,ga,0.0,0.0,88.7583423182,12.8128915535,28.0
2011-11-09,ga,0.0,0.0,113.190007715,10.6729637705,40.0
2011-11-10,ga,0.0,0.0,110.074136326,13.9084157244,46.0
2011-11-11,ga,0.0,0.0,80.1979625656,18.4111872331,47.0
2011-11-12,ga,0.0,0.0,80.9748755663,17.7943289866,41.0
2011-11-13,ga,0.0,0.0,89.4904439825,17.6893974454,40.0
2011-11-14,ga,0.0,0.0,76.5404241345,11.724284037,41.0
2011-11-15,ga,0.0,0.0,61.4774660023,6.94831833892,42.0
2011-11-16,ga,0.0,0.0,85.1408946622,9.41843207392,39.0
2011-11-17,ga,0.0,0.0,83.5208438599,14.2612767051,52.0
2011-11-18,ga,0.0,0.0,84.1475666984,18.7989107314,54.0
2011-11-19,ga,0.0,0.0,78.6152113479,14.7009550798,37.0
2011-11-20,ga,0.0,0.0,80.6663226097,13.8768070136,41.0
2011-11-21,ga,0.0,0.0,83.9207312282,14.1077439951,48.0
2011-11-22,ga,0.0,0.0,88.1114804821,13.2013408628,41.0
2011-11-23,ga,0.0,0.0,100.461123104,10.9134588782,47.0
2011-11-24,ga,0.0,0.0,180.275788129,19.3207145549,69.0
2011-11-25,ga,0.0,0.0,174.328663251,8.14091513302,48.0
2011-11-26,ga,0.0,0.0,123.317834171,6.24733876288,43.0
2011-11-27,ga,0.0,0.0,92.7875845775,12.5493696533,41.0
2011-11-28,ga,0.0,0.0,95.1583982763,17.6920004616,40.0
2011-11-29,ga,0.0,0.0,79.3865097622,11.782543176,38.0
2011-11-30,ga,0.0,0.0,82.7035379017,11.2206333906,35.0
2011-12-01,ga,0.0,0.0,106.549077138,11.1541617835,48.0
2011-12-02,ga,0.0,0.0,110.600902789,4.9811147729,49.0
2011-12-03,ga,0.0,0.0,92.139199194,6.27295904436,43.0
2011-12-04,ga,0.0,0.0,75.8078494421,11.1117410239,31.0
2011-12-05,ga,0.0,0.0,93.908550633,14.9179022062,39.0
2011-12-06,ga,0.0,0.0,81.453003463,13.7438874497,39.0
2011-12-07,ga,0.0,0.0,79.2846766935,12.3915267083,35.0
2011-12-08,ga,0.0,0.0,92.6949825039,16.6983797543,34.0
2011-12-09,ga,0.0,0.0,98.9045050807,16.7425342718,38.0
2011-12-10,ga,0.0,0.0,85.3483915071,15.3789082639,24.0
2011-12-11,ga,0.0,0.0,73.9393356984,10.8796765228,15.0
