date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,gb,0.0,0.0,28931.238057,12651.6775679,20616.0
2011-09-09,gb,0.0,0.0,32392.7342841,11611.3899012,20950.0
2011-09-11,gb,0.0,0.0,31108.2045633,15703.4742423,22941.0
2011-09-12,gb,0.0,0.0,28018.8042191,14474.4577056,21769.0
2011-09-13,gb,0.0,0.0,26964.0134297,16156.5266976,21189.0
2011-09-14,gb,0.0,0.0,25931.2771256,16383.7474802,20374.0
2011-09-15,gb,0.0,0.0,28742.969585,13774.1767249,20628.0
2011-09-16,gb,0.0,0.0,30381.6361086,11414.4009582,20488.0
2011-09-17,gb,0.0,0.0,31294.667836,11439.3492495,20200.0
2011-09-18,gb,0.0,0.0,33634.2111866,11090.9510535,20954.0
2011-09-19,gb,0.0,0.0,32787.8240897,11628.0003009,20784.0
2011-09-20,gb,0.0,0.0,30740.6805186,11075.9912894,20039.0
2011-09-21,gb,0.0,0.0,28788.740944,11153.9778003,19597.0
2011-09-22,gb,0.0,0.0,27925.94076,12292.6676964,19606.0
2011-09-23,gb,0.0,0.0,27937.2950453,12885.1955083,19125.0
2011-09-24,gb,0.0,0.0,26609.6257593,13514.6316835,18988.0
2011-09-25,gb,0.0,0.0,27490.5383152,13494.4519332,19714.0
2011-09-26,gb,0.0,0.0,25077.2515148,14011.2002675,18881.0
2011-09-27,gb,0.0,0.0,24448.0507409,14392.7945727,18959.0
2011-09-28,gb,0.0,0.0,23254.7226106,14870.5280265,18953.0
2011-09-29,gb,0.0,0.0,23174.2079321,13890.1921429,18038.0
2011-09-30,gb,0.0,0.0,24428.3629021,13264.4095466,17749.0
2011-10-01,gb,0.0,0.0,25471.5385758,13561.1354773,18384.0
2011-10-02,gb,0.0,0.0,24226.8485775,13290.8769928,18004.0
2011-10-03,gb,0.0,0.0,25550.5816503,13081.9557321,19081.0
2011-10-04,gb,0.0,0.0,25188.5655647,12550.7638362,19126.0
2011-10-05,gb,0.0,0.0,26000.5217803,14210.2622128,20096.0
2011-10-06,gb,0.0,0.0,23265.0561601,13701.3048457,19121.0
2011-10-07,gb,0.0,0.0,21603.402913,13777.0933931,19178.0
2011-10-08,gb,0.0,0.0,23523.3396201,13103.7083485,19970.0
2011-10-09,gb,0.0,0.0,25083.130833,13706.1033356,20529.0
2011-10-10,gb,0.0,0.0,24190.7584811,13619.4517617,19335.0
2011-10-11,gb,0.0,0.0,24713.0842879,14010.4028026,19233.0
2011-10-12,gb,0.0,0.0,24870.7478631,13639.110392,19305.0
2011-10-13,gb,0.0,0.0,25821.3887318,15088.2184839,20512.0
2011-10-14,gb,0.0,0.0,27523.012571,14324.5035642,20253.0
2011-10-15,gb,0.0,0.0,23481.8726547,14652.7994363,18729.0
2011-10-16,gb,0.0,0.0,23937.7189463,15497.8664798,19617.0
2011-10-17,gb,0.0,0.0,24283.7990733,13105.3470978,18248.0
2011-10-18,gb,0.0,0.0,23178.979696,13800.2736095,18148.0
2011-10-19,gb,0.0,0.0,24109.4069807,13830.8194923,17942.0
2011-10-20,gb,0.0,0.0,26385.6839474,13836.7708449,18460.0
2011-10-21,gb,0.0,0.0,23039.9527252,12541.0568048,16777.0
2011-10-22,gb,0.0,0.0,22455.1877856,12618.6553209,15905.0
2011-10-23,gb,0.0,0.0,22697.4132098,12766.7166974,16231.0
2011-10-24,gb,0.0,0.0,22996.4476824,10968.0279515,15987.0
2011-10-25,gb,0.0,0.0,19898.2494108,12042.3346344,15878.0
2011-10-26,gb,0.0,0.0,23202.6639065,9803.66675864,16749.0
2011-10-27,gb,0.0,0.0,22173.5418729,9517.99822107,15972.0
2011-10-28,gb,0.0,0.0,21348.6127743,8831.57187558,14988.0
2011-10-29,gb,0.0,0.0,20063.1994739,9622.43479208,15093.0
2011-10-30,gb,0.0,0.0,20062.1091349,9055.33597221,14396.0
2011-10-31,gb,0.0,0.0,19847.6589853,9552.63392832,14312.0
2011-11-01,gb,0.0,0.0,20219.9326522,10539.2744076,14088.0
2011-11-02,gb,0.0,0.0,22501.6051065,8328.17430914,13734.0
2011-11-03,gb,0.0,0.0,19779.5637671,9897.95861308,13669.0
2011-11-04,gb,0.0,0.0,21345.6113738,8538.46957593,13717.0
2011-11-05,gb,0.0,0.0,22962.2746724,9187.45757089,14792.0
2011-11-06,gb,0.0,0.0,21104.7413386,9887.59868565,14570.0
2011-11-07,gb,0.0,0.0,17576.7332007,10725.3370251,13206.0
