date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,ge,0.0,0.0,450.164823095,147.618793847,230.0
2011-09-09,ge,0.0,0.0,411.837051108,98.6528690826,192.0
2011-09-11,ge,0.0,0.0,243.506815843,69.4756463442,159.0
2011-09-12,ge,0.0,0.0,334.404023277,113.105579068,195.0
2011-09-13,ge,0.0,0.0,417.857815858,163.358620917,225.0
2011-09-14,ge,0.0,0.0,360.556986727,143.950225606,202.0
2011-09-15,ge,0.0,0.0,388.685012406,125.989793625,207.0
2011-09-16,ge,0.0,0.0,346.800987523,82.4744150701,172.0
2011-09-17,ge,0.0,0.0,266.46014478,54.9306762713,137.0
2011-09-18,ge,0.0,0.0,297.937936448,57.8435928438,157.0
2011-09-19,ge,0.0,0.0,377.371211023,74.9388103441,208.0
2011-09-20,ge,0.0,0.0,399.382740913,92.9426409295,220.0
2011-09-21,ge,0.0,0.0,364.660585473,80.0638141786,230.0
2011-09-22,ge,0.0,0.0,349.55600029,94.4305179705,235.0
2011-09-23,ge,0.0,0.0,297.251908381,79.8354140277,226.0
2011-09-24,ge,0.0,0.0,236.411937797,64.5695655691,153.0
2011-09-25,ge,0.0,0.0,264.868699534,72.957178451,158.0
2011-09-26,ge,0.0,0.0,308.258673215,107.646965231,226.0
2011-09-27,ge,0.0,0.0,329.689648548,120.920523941,228.0
2011-09-28,ge,0.0,0.0,334.847777402,132.896483607,229.0
2011-09-29,ge,0.0,0.0,333.778162667,133.389555533,223.0
2011-09-30,ge,0.0,0.0,356.065530266,122.249768313,195.0
2011-10-01,ge,0.0,0.0,265.956381442,78.2966765708,127.0
2011-10-02,ge,0.0,0.0,249.494657975,77.7330350306,132.0
2011-10-03,ge,0.0,0.0,378.176529888,122.285833504,231.0
2011-10-04,ge,0.0,0.0,372.605391104,119.15515909,231.0
2011-10-05,ge,0.0,0.0,386.343291436,135.65587749,247.0
2011-10-06,ge,0.0,0.0,341.216921787,140.197555367,209.0
2011-10-07,ge,0.0,0.0,295.265323351,115.833676855,152.0
2011-10-08,ge,0.0,0.0,212.855089262,64.6907003421,130.0
2011-10-09,ge,0.0,0.0,239.525395122,71.6167103875,132.0
2011-10-10,ge,0.0,0.0,357.664086042,129.721205065,193.0
2011-10-11,ge,0.0,0.0,367.610142661,129.106588947,207.0
2011-10-12,ge,0.0,0.0,371.912654818,130.700288516,215.0
2011-10-13,ge,0.0,0.0,349.621987971,125.427290191,233.0
2011-10-14,ge,0.0,0.0,281.298522211,80.805392669,197.0
2011-10-15,ge,0.0,0.0,199.510392221,66.9398372318,185.0
2011-10-16,ge,0.0,0.0,200.96682524,70.4442803473,147.0
2011-10-17,ge,0.0,0.0,292.369344166,104.363921878,233.0
2011-10-18,ge,0.0,0.0,304.44516088,116.60293378,278.0
2011-10-19,ge,0.0,0.0,330.565113749,120.432181498,281.0
2011-10-20,ge,0.0,0.0,369.679763955,121.897552634,314.0
2011-10-21,ge,0.0,0.0,283.239839875,92.4371580705,268.0
2011-10-22,ge,0.0,0.0,283.97220383,92.7219012912,197.0
2011-10-23,ge,0.0,0.0,213.717627723,73.7893101093,187.0
2011-10-24,ge,0.0,0.0,356.236953726,113.774216113,253.0
2011-10-25,ge,0.0,0.0,371.461873032,148.535461671,232.0
2011-10-26,ge,0.0,0.0,436.325097644,125.298863871,212.0
2011-10-27,ge,0.0,0.0,454.040799092,127.865703186,221.0
2011-10-28,ge,0.0,0.0,410.276026262,111.454827234,215.0
2011-10-29,ge,0.0,0.0,308.509169461,92.1846160102,152.0
2011-10-30,ge,0.0,0.0,289.567941715,79.4377825862,145.0
2011-10-31,ge,0.0,0.0,375.435222955,122.037612755,203.0
2011-11-01,ge,0.0,0.0,356.963873495,122.877742071,218.0
2011-11-02,ge,0.0,0.0,344.466031508,84.0111429114,208.0
2011-11-03,ge,0.0,0.0,337.83545505,105.293861879,217.0
2011-11-04,ge,0.0,0.0,375.359253193,95.6840528087,212.0
2011-11-05,ge,0.0,0.0,291.927365821,67.2075430438,154.0
2011-11-06,ge,0.0,0.0,267.788983275,72.8612836372,169.0
2011-11-07,ge,0.0,0.0,314.508518304,110.406266038,231.0
2011-11-08,ge,0.0,0.0,362.48868874,109.791505693,226.0
2011-11-09,ge,0.0,0.0,426.99192416,79.9058500241,282.0
2011-11-10,ge,0.0,0.0,415.872064783,103.401545461,348.0
2011-11-11,ge,0.0,0.0,289.77807851,130.155912941,217.0
2011-11-12,ge,0.0,0.0,210.019754756,75.8657866784,127.0
2011-11-13,ge,0.0,0.0,243.753924689,82.2436316993,138.0
2011-11-14,ge,0.0,0.0,343.653102724,119.972964601,198.0
2011-11-15,ge,0.0,0.0,352.015934796,108.776427345,204.0
2011-11-16,ge,0.0,0.0,445.752863867,115.019575964,196.0
