date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,gh,0.0,0.0,862.06105209,294.325166062,653.0
2011-09-09,gh,0.0,0.0,923.219397023,257.243516601,608.0
2011-09-11,gh,0.0,0.0,765.912096698,292.1607842,440.0
2011-09-12,gh,0.0,0.0,870.164275354,349.821903495,540.0
2011-09-13,gh,0.0,0.0,833.410988972,386.28828448,547.0
2011-09-14,gh,0.0,0.0,901.188373557,448.260094055,627.0
2011-09-15,gh,0.0,0.0,1019.15786633,384.063880002,638.0
2011-09-16,gh,0.0,0.0,992.457354503,289.637488799,568.0
2011-09-17,gh,0.0,0.0,809.670346174,222.551249496,448.0
2011-09-18,gh,0.0,0.0,744.056403346,180.389016241,398.0
2011-09-19,gh,0.0,0.0,923.993788191,249.852423768,500.0
2011-09-20,gh,0.0,0.0,899.644432627,247.801839016,581.0
2011-09-21,gh,0.0,0.0,994.187160358,301.261380749,550.0
2011-09-22,gh,0.0,0.0,968.514482981,333.986691989,593.0
2011-09-23,gh,0.0,0.0,875.781440151,311.186703828,620.0
2011-09-24,gh,0.0,0.0,679.006899169,254.850480562,535.0
2011-09-25,gh,0.0,0.0,606.239655784,215.456525135,474.0
2011-09-26,gh,0.0,0.0,688.030772731,289.910761089,528.0
2011-09-27,gh,0.0,0.0,799.958097463,364.33720312,586.0
2011-09-28,gh,0.0,0.0,738.557045139,362.429662577,607.0
2011-09-29,gh,0.0,0.0,789.781243053,367.503904865,637.0
2011-09-30,gh,0.0,0.0,889.276486686,377.700373915,563.0
2011-10-01,gh,0.0,0.0,813.657823551,330.992104137,476.0
2011-10-02,gh,0.0,0.0,666.783015006,273.517579044,431.0
2011-10-03,gh,0.0,0.0,811.54781358,316.866443544,531.0
2011-10-04,gh,0.0,0.0,877.001358438,338.786947282,569.0
2011-10-05,gh,0.0,0.0,936.269880721,399.117053963,662.0
2011-10-06,gh,0.0,0.0,919.810472779,425.7004242,631.0
2011-10-07,gh,0.0,0.0,773.114599779,380.83411848,590.0
2011-10-08,gh,0.0,0.0,696.111532432,290.916687973,547.0
2011-10-09,gh,0.0,0.0,691.294067809,278.709818214,466.0
2011-10-10,gh,0.0,0.0,764.100602123,327.852600436,534.0
2011-10-11,gh,0.0,0.0,830.395867529,362.792207524,551.0
2011-10-12,gh,0.0,0.0,916.449375802,395.841536081,571.0
2011-10-13,gh,0.0,0.0,955.958120284,437.833197986,624.0
2011-10-14,gh,0.0,0.0,953.069031398,385.261226319,538.0
2011-10-15,gh,0.0,0.0,728.581862054,348.104763695,449.0
2011-10-16,gh,0.0,0.0,622.762532404,300.688678577,419.0
2011-10-17,gh,0.0,0.0,760.779844042,313.358458767,456.0
2011-10-18,gh,0.0,0.0,751.078274794,343.550804103,569.0
2011-10-19,gh,0.0,0.0,805.106306559,356.259533489,512.0
2011-10-20,gh,0.0,0.0,901.37818968,369.082116921,567.0
2011-10-21,gh,0.0,0.0,693.9477678,288.636306873,565.0
2011-10-22,gh,0.0,0.0,618.568062702,257.608373361,482.0
2011-10-23,gh,0.0,0.0,560.109948624,230.627147377,436.0
2011-10-24,gh,0.0,0.0,659.739180564,234.216959297,497.0
2011-10-25,gh,0.0,0.0,704.136218494,328.880123168,503.0
2011-10-26,gh,0.0,0.0,752.369212455,241.63571628,417.0
2011-10-27,gh,0.0,0.0,769.240815752,254.951113456,467.0
2011-10-28,gh,0.0,0.0,811.348704013,259.576788882,536.0
2011-10-29,gh,0.0,0.0,693.43984503,251.188056821,412.0
2011-10-30,gh,0.0,0.0,619.623410163,207.435515323,417.0
2011-10-31,gh,0.0,0.0,701.824991157,256.066480713,477.0
2011-11-01,gh,0.0,0.0,728.456806664,288.578627045,518.0
2011-11-02,gh,0.0,0.0,646.37270936,175.572451631,490.0
2011-11-03,gh,0.0,0.0,660.361256879,248.34274384,523.0
2011-11-04,gh,0.0,0.0,862.393104386,265.523787294,472.0
2011-11-05,gh,0.0,0.0,723.477018355,212.771424821,418.0
2011-11-06,gh,0.0,0.0,703.775731784,243.079583513,345.0
2011-11-07,gh,0.0,0.0,666.91311013,307.786007353,327.0
2011-11-08,gh,0.0,0.0,801.474583619,294.022143016,390.0
2011-11-09,gh,0.0,0.0,941.6096294,208.376911709,505.0
2011-11-10,gh,0.0,0.0,932.572543877,278.168314488,539.0
2011-11-11,gh,0.0,0.0,609.724235944,314.591155766,459.0
2011-11-12,gh,0.0,0.0,514.917157447,235.432660438,409.0
2011-11-13,gh,0.0,0.0,465.350308709,182.135277401,366.0
2011-11-14,gh,0.0,0.0,473.593874332,170.65346765,406.0
2011-11-15,gh,0.0,0.0,572.969983141,201.501231829,481.0
2011-11-16,gh,0.0,0.0,762.398011293,210.179747334,488.0
2011-11-17,gh,0.0,0.0,717.363960276,282.125256557,489.0
2011-11-18,gh,0.0,0.0,606.984447785,299.215995809,420.0
2011-11-19,gh,0.0,0.0,570.253622613,259.974784569,385.0
2011-11-20,gh,0.0,1.0,536.553267055,216.91640437,811.0
2011-11-21,gh,0.0,1.0,604.980793779,247.256776335,14483.0
2011-11-22,gh,0.0,1.0,732.102742241,265.346951343,20282.0
2011-11-23,gh,0.0,1.0,897.871287741,247.371734572,16384.0
2011-11-24,gh,0.0,1.0,1275.28427899,292.673046405,13544.0
2011-11-25,gh,0.0,1.0,1045.97197951,97.1295391732,16538.0
2011-11-26,gh,0.0,1.0,914.938769655,115.392021856,8412.0
2011-11-27,gh,0.0,1.0,1272.71328697,466.968649732,6951.0
2011-11-28,gh,1.0,0.0,18697.3731771,9934.41209918,7213.0
2011-11-29,gh,1.0,0.0,24661.9524506,12250.7442337,7995.0
2011-11-30,gh,1.0,0.0,18593.960748,7438.34488516,6353.0
2011-12-01,gh,0.0,0.0,14602.4465619,3656.61308668,3734.0
2011-12-02,gh,0.0,0.0,24765.8705746,3200.26661929,3786.0
2011-12-03,gh,0.0,0.0,11690.9954919,2411.50468405,6722.0
2011-12-04,gh,1.0,0.0,8217.79717161,3885.01555902,1986.0
2011-12-05,gh,1.0,0.0,10715.53477,5416.76880636,475.0
