date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,gi,0.0,0.0,113.592425364,24.2550158982,92.0
2011-09-09,gi,0.0,0.0,103.882602962,14.0474476151,77.0
2011-09-11,gi,0.0,1.0,61.6552976882,7.74415316866,110.0
2011-09-12,gi,0.0,1.0,72.9776768856,13.3357225352,92.0
2011-09-13,gi,0.0,0.0,140.570731307,37.4055879904,75.0
2011-09-14,gi,0.0,0.0,116.312463073,29.3787061995,75.0
2011-09-15,gi,0.0,0.0,174.483947536,42.9073706143,79.0
2011-09-16,gi,0.0,0.0,157.757442867,27.5954966744,76.0
2011-09-17,gi,0.0,0.0,183.792335311,32.2675065049,70.0
2011-09-18,gi,0.0,0.0,216.313156943,37.4517834221,72.0
2011-09-19,gi,0.0,0.0,197.005394338,31.0668368292,77.0
2011-09-20,gi,0.0,0.0,153.952464869,24.8553122713,71.0
2011-09-21,gi,0.0,0.0,154.370378711,24.3768064811,69.0
2011-09-22,gi,0.0,0.0,149.903941469,29.8699266752,80.0
2011-09-23,gi,0.0,0.0,143.952833774,30.3978551335,66.0
2011-09-24,gi,0.0,0.0,131.784340181,28.2746308523,72.0
2011-09-25,gi,0.0,0.0,135.146501424,28.4206478003,72.0
2011-09-26,gi,0.0,0.0,131.561205469,32.1597129943,65.0
2011-09-27,gi,0.0,0.0,124.419856249,30.5205532595,68.0
2011-09-28,gi,0.0,0.0,119.895225816,30.0544312308,74.0
2011-09-29,gi,0.0,0.0,131.910047682,35.9103705799,54.0
2011-09-30,gi,0.0,0.0,122.821121511,27.00223661,66.0
2011-10-01,gi,0.0,0.0,140.658344501,30.7943997257,38.0
2011-10-02,gi,1.0,0.0,127.728348342,29.6907536653,28.0
2011-10-03,gi,0.0,0.0,129.362715456,26.204213931,39.0
2011-10-04,gi,0.0,0.0,132.439865016,26.7713756786,45.0
2011-10-05,gi,0.0,0.0,150.066489093,31.2119496667,51.0
2011-10-06,gi,0.0,0.0,101.691167838,23.4357954822,49.0
2011-10-07,gi,0.0,0.0,116.136640416,30.2552455641,53.0
2011-10-08,gi,0.0,0.0,78.0846617648,12.5828007695,48.0
2011-10-09,gi,0.0,0.0,67.4115254064,8.64868266051,52.0
2011-10-10,gi,0.0,0.0,78.7348894385,13.1963915824,56.0
2011-10-11,gi,0.0,0.0,91.9390727434,15.9329066007,47.0
2011-10-12,gi,0.0,0.0,96.9666226155,18.4846469275,47.0
2011-10-13,gi,0.0,0.0,101.605212498,20.0186393917,54.0
2011-10-14,gi,0.0,0.0,115.111876152,20.9664865103,68.0
2011-10-15,gi,0.0,0.0,87.2967731789,18.5858474161,58.0
2011-10-16,gi,0.0,0.0,91.8512714904,20.8306599483,56.0
2011-10-17,gi,0.0,0.0,101.616561347,21.702792438,54.0
2011-10-18,gi,0.0,0.0,86.4097946333,17.9372403674,63.0
2011-10-19,gi,0.0,0.0,87.7331780078,18.4070911446,65.0
2011-10-20,gi,0.0,0.0,109.361936388,18.6325041218,63.0
2011-10-21,gi,0.0,0.0,113.870449515,25.0412635377,55.0
2011-10-22,gi,0.0,0.0,104.81134188,21.6735583703,59.0
2011-10-23,gi,0.0,0.0,93.7073354617,21.634834943,55.0
2011-10-24,gi,0.0,0.0,101.26475512,18.5444004817,53.0
2011-10-25,gi,0.0,0.0,103.179689354,24.5130504255,53.0
2011-10-26,gi,0.0,0.0,122.773155371,20.9390121623,48.0
2011-10-27,gi,0.0,0.0,112.654289632,18.3340140717,52.0
2011-10-28,gi,0.0,0.0,105.259508328,15.9804938248,46.0
2011-10-29,gi,0.0,0.0,108.950760481,20.9486136228,49.0
2011-10-30,gi,0.0,0.0,101.803371539,17.2908395017,48.0
