date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,gm,0.0,0.0,70.8381193703,9.6519980592,34.0
2011-09-09,gm,0.0,0.0,65.6365300203,5.42590779954,54.0
2011-09-11,gm,1.0,0.0,114.741431549,22.4774149937,15.0
2011-09-12,gm,1.0,0.0,109.858361438,22.3502042469,7.0
2011-09-13,gm,1.0,0.0,74.1759436434,12.1569206264,7.0
2011-09-14,gm,0.0,0.0,75.2677884749,13.3724253296,14.0
2011-09-15,gm,0.0,0.0,78.2768427762,10.7377665021,23.0
2011-09-16,gm,0.0,0.0,117.010089286,16.7255806785,19.0
2011-09-17,gm,0.0,0.0,81.3404652488,8.1580212284,24.0
2011-09-18,gm,0.0,0.0,44.4042116822,1.52219981168,15.0
2011-09-19,gm,0.0,0.0,28.7953936122,0.0,22.0
2011-09-20,gm,0.0,0.0,26.8136822521,0.0,21.0
2011-09-21,gm,0.0,0.0,42.5673835183,1.59067180487,20.0
2011-09-22,gm,0.0,0.0,57.1517414922,4.84259066516,19.0
2011-09-23,gm,0.0,0.0,49.3198233636,3.19341656111,18.0
2011-09-24,gm,0.0,0.0,56.8422145522,5.38079713075,11.0
2011-09-25,gm,0.0,0.0,39.8588819688,1.93691624206,15.0
2011-09-26,gm,0.0,0.0,47.8735060675,4.79954622048,16.0
2011-09-27,gm,0.0,0.0,47.6086135088,4.34444996196,18.0
2011-09-28,gm,0.0,0.0,45.3439698565,4.53056194115,18.0
2011-09-29,gm,0.0,0.0,42.0060953016,3.70526543148,21.0
2011-09-30,gm,0.0,0.0,45.1350672168,3.55377233468,26.0
2011-10-01,gm,0.0,0.0,33.0791519207,0.718318133677,31.0
2011-10-02,gm,0.0,0.0,37.3639342861,2.06370889462,27.0
2011-10-03,gm,0.0,0.0,43.9430474869,2.84385659312,28.0
2011-10-04,gm,0.0,0.0,46.9013779013,3.42399882442,32.0
2011-10-05,gm,0.0,0.0,48.4611794135,3.87588221399,27.0
