date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-12-27,gn,0.0,0.0,7.41207820392,0.0,4.0
2011-12-28,gn,0.0,0.0,11.47395388,0.0,5.0
2012-01-01,gn,0.0,0.0,14.6277739094,0.0,5.0
2012-01-02,gn,0.0,0.0,27.8252289369,0.0,11.0
2012-01-03,gn,0.0,0.0,16.7989649996,0.0,7.0
2012-01-04,gn,0.0,0.0,19.7691731394,0.0,0.0
2012-01-05,gn,0.0,0.0,9.15367067646,0.0,5.0
2012-01-06,gn,0.0,0.0,32.1239119039,0.0,15.0
2012-01-07,gn,0.0,0.0,43.3677873482,0.0,16.0
2012-01-09,gn,0.0,0.0,59.3196823222,0.566015846053,10.0
2012-01-10,gn,0.0,0.0,37.1810762999,0.0,10.0
2012-01-12,gn,0.0,0.0,21.1904002935,0.0,6.0
2012-01-13,gn,0.0,0.0,44.8088001858,1.32198616046,9.0
2012-01-14,gn,0.0,0.0,43.785698544,1.58418616506,12.0
2012-01-16,gn,0.0,0.0,30.2897523598,0.358803371539,11.0
2012-01-17,gn,0.0,0.0,34.059353781,0.359201808132,16.0
2012-01-18,gn,0.0,0.0,26.6744693061,0.0,11.0
2012-01-19,gn,0.0,0.0,22.1056441905,0.0,4.0
2012-01-20,gn,0.0,0.0,29.7888518906,0.0,6.0
2012-01-21,gn,0.0,0.0,35.9504372931,1.15497275483,8.0
2012-01-22,gn,0.0,0.0,45.9503101848,2.36435022954,14.0
2012-01-23,gn,0.0,0.0,34.2229253008,0.434637236931,11.0
2012-01-24,gn,0.0,0.0,44.0171819739,2.30049773674,4.0
2012-01-25,gn,0.0,0.0,33.2602772604,0.733140227756,7.0
2012-01-26,gn,0.0,0.0,16.4969261756,0.0,8.0
2012-01-27,gn,0.0,0.0,21.4746399434,0.0,3.0
2012-01-28,gn,0.0,0.0,25.1940200877,0.0,4.0
2012-01-29,gn,0.0,0.0,40.5176773447,1.80175284826,5.0
2012-01-30,gn,0.0,0.0,34.2220452732,0.678217296328,2.0
2012-01-31,gn,0.0,0.0,17.8299163999,0.0,1.0
2012-02-01,gn,0.0,0.0,27.0335848178,0.0,0.0
2012-02-02,gn,0.0,0.0,27.5948387585,0.0,2.0
2012-02-03,gn,0.0,0.0,15.7081967777,0.0,4.0
2012-02-04,gn,0.0,0.0,17.3576127865,0.0,7.0
2012-02-05,gn,0.0,0.0,19.1115958481,0.0,2.0
2012-02-06,gn,0.0,0.0,11.3474480845,0.0,0.0
2012-02-07,gn,0.0,0.0,7.42760257706,0.0,3.0
2012-02-09,gn,0.0,0.0,13.105657949,0.0,5.0
2012-02-10,gn,0.0,0.0,17.1258617049,0.0,2.0
2012-02-11,gn,0.0,0.0,23.5139260985,0.0,2.0
2012-02-14,gn,0.0,0.0,17.0608621139,0.0,4.0
2012-02-15,gn,0.0,0.0,13.9505999501,0.0,4.0
2012-02-16,gn,0.0,0.0,17.9347812213,0.0,2.0
2012-02-17,gn,0.0,0.0,11.5662214439,0.0,7.0
