date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,gp,0.0,0.0,70.5817011968,10.6485435651,63.0
2011-09-09,gp,0.0,0.0,102.61574195,13.5457530574,66.0
2011-09-11,gp,0.0,0.0,110.979535839,23.232459506,63.0
2011-09-12,gp,0.0,0.0,104.905410523,25.189698122,59.0
2011-09-13,gp,0.0,0.0,134.458960381,35.1154499502,58.0
2011-09-14,gp,0.0,0.0,122.307950861,31.7607634589,44.0
2011-09-15,gp,0.0,0.0,127.507500123,26.1807685104,63.0
2011-09-16,gp,0.0,0.0,138.037762508,22.3112526304,71.0
2011-09-17,gp,0.0,0.0,165.553401273,27.8922513856,76.0
2011-09-18,gp,0.0,0.0,136.091059004,18.4693726465,84.0
2011-09-19,gp,0.0,0.0,136.388349926,17.3763663621,86.0
2011-09-20,gp,0.0,0.0,124.291898243,17.6748887263,71.0
2011-09-21,gp,0.0,0.0,100.553182463,11.9175498352,65.0
2011-09-22,gp,0.0,0.0,124.919951224,22.4024450064,75.0
2011-09-23,gp,0.0,0.0,136.100861023,27.7545633828,79.0
2011-09-24,gp,0.0,0.0,140.740557475,31.722756566,80.0
2011-09-25,gp,0.0,0.0,152.996039348,34.3691554795,85.0
2011-09-26,gp,0.0,0.0,144.482395292,36.9494574829,80.0
2011-09-27,gp,0.0,0.0,124.419856249,30.5205532595,90.0
2011-09-28,gp,0.0,1.0,114.018008864,27.8003488885,148.0
2011-09-29,gp,0.0,1.0,125.027784324,32.978911757,160.0
2011-09-30,gp,0.0,0.0,142.873549513,34.1080883494,87.0
2011-10-01,gp,0.0,0.0,152.601034128,35.0912927107,78.0
2011-10-02,gp,0.0,0.0,145.803114617,36.5955800991,83.0
2011-10-03,gp,0.0,0.0,153.368167808,34.7028779086,81.0
2011-10-04,gp,0.0,0.0,166.533295614,38.149210342,85.0
2011-10-05,gp,0.0,0.0,270.953383085,74.4830617045,85.0
2011-10-06,gp,1.0,0.0,256.065711786,92.9350510502,83.0
2011-10-07,gp,0.0,0.0,146.94840216,43.7904870006,76.0
2011-10-08,gp,0.0,0.0,140.056615546,34.7877433039,82.0
2011-10-09,gp,0.0,0.0,160.439430467,40.0984377896,96.0
2011-10-10,gp,0.0,0.0,143.937219755,36.6566432845,76.0
2011-10-11,gp,0.0,0.0,154.508719472,38.3838204471,81.0
2011-10-12,gp,0.0,0.0,146.662016706,36.2846773021,79.0
2011-10-13,gp,0.0,0.0,157.026237497,40.8380243591,92.0
2011-10-14,gp,0.0,0.0,154.418370448,34.4449421241,73.0
2011-10-15,gp,0.0,0.0,135.539726778,37.9151287289,78.0
2011-10-16,gp,0.0,0.0,153.085452484,47.8333672887,77.0
2011-10-17,gp,0.0,0.0,129.974671491,33.2776150716,70.0
2011-10-18,gp,0.0,0.0,134.799279628,37.3692507654,73.0
2011-10-19,gp,0.0,0.0,133.354430572,36.8141822893,76.0
2011-10-20,gp,0.0,0.0,171.289779886,37.9075083857,80.0
2011-10-21,gp,0.0,0.0,120.635030674,26.919358303,73.0
2011-10-22,gp,0.0,0.0,134.587291278,31.8330388564,89.0
2011-10-23,gp,0.0,0.0,122.037460136,33.894574744,88.0
2011-10-24,gp,0.0,0.0,125.665900932,26.2179455086,72.0
2011-10-25,gp,0.0,0.0,116.212913272,29.2794768972,60.0
2011-10-26,gp,0.0,0.0,139.227289596,26.0322853909,63.0
2011-10-27,gp,0.0,0.0,136.370982187,24.9546302643,70.0
2011-10-28,gp,0.0,0.0,132.503145777,22.9053744822,67.0
2011-10-29,gp,0.0,0.0,152.531064673,35.5491625114,78.0
2011-10-30,gp,0.0,0.0,149.710840498,31.6998724198,90.0
2011-10-31,gp,0.0,0.0,125.875431855,26.8777134665,83.0
2011-11-01,gp,0.0,0.0,101.384901104,25.985979927,94.0
2011-11-02,gp,0.0,0.0,113.775414877,21.2886126517,75.0
2011-11-03,gp,0.0,0.0,125.119253916,25.6665354226,71.0
2011-11-04,gp,0.0,0.0,136.75179505,22.8007266319,66.0
2011-11-05,gp,0.0,0.0,164.775379014,29.4805154125,74.0
2011-11-06,gp,0.0,0.0,176.462282385,41.3775555807,83.0
2011-11-07,gp,0.0,0.0,141.681214901,39.3019360603,67.0
2011-11-08,gp,0.0,0.0,175.66308598,39.7686594398,68.0
2011-11-09,gp,0.0,0.0,179.309197545,22.0494187935,73.0
2011-11-10,gp,0.0,0.0,152.761804322,27.8853695277,73.0
2011-11-11,gp,0.0,0.0,109.56213713,29.3990608261,73.0
2011-11-12,gp,0.0,0.0,112.970712344,30.2964424101,62.0
2011-11-13,gp,0.0,0.0,132.635227379,34.1516087197,70.0
2011-11-14,gp,0.0,0.0,116.556180173,26.5847701489,77.0
2011-11-15,gp,0.0,0.0,125.366573523,24.9637072982,80.0
2011-11-16,gp,0.0,0.0,137.996437171,22.0477855703,72.0
2011-11-17,gp,0.0,0.0,123.0887416,26.8766886397,81.0
2011-11-18,gp,0.0,0.0,119.232496758,33.9880312442,76.0
2011-11-19,gp,0.0,0.0,109.175511534,27.1562054878,88.0
2011-11-20,gp,0.0,0.0,125.179737931,30.408728954,86.0
2011-11-21,gp,0.0,0.0,139.817652669,35.150995902,78.0
2011-11-22,gp,0.0,0.0,147.035412221,33.0203580791,75.0
2011-11-23,gp,0.0,0.0,163.361897527,26.8738016909,83.0
2011-11-24,gp,0.0,0.0,262.502487368,34.1654363193,89.0
2011-11-25,gp,0.0,0.0,232.185607223,12.1697561399,60.0
2011-11-26,gp,0.0,0.0,247.836984749,19.5788093546,76.0
2011-11-27,gp,0.0,0.0,169.848032934,36.3457130922,74.0
2011-11-28,gp,0.0,0.0,137.644057655,34.8250329044,72.0
2011-11-29,gp,0.0,0.0,132.564146751,26.9024594718,66.0
