date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,gr,0.0,0.0,2707.46994435,1242.33008259,1955.0
2011-09-09,gr,0.0,0.0,3035.39898411,1026.46706501,2112.0
2011-09-11,gr,0.0,0.0,2781.88703169,1348.8906792,2037.0
2011-09-12,gr,0.0,0.0,2573.60338642,1420.25445,1961.0
2011-09-13,gr,0.0,0.0,2636.61797765,1393.16730781,1903.0
2011-09-14,gr,0.0,0.0,2579.25884609,1445.11473738,1865.0
2011-09-15,gr,0.0,0.0,2848.11489748,1303.94772053,1832.0
2011-09-16,gr,0.0,0.0,3218.5335442,1140.80957529,1703.0
2011-09-17,gr,0.0,0.0,3006.6181265,991.542191415,1625.0
2011-09-18,gr,0.0,0.0,3161.61018128,959.894339491,1697.0
2011-09-19,gr,0.0,0.0,3224.82676271,946.748688456,1757.0
2011-09-20,gr,0.0,0.0,2919.44720077,962.72909531,1730.0
2011-09-21,gr,0.0,0.0,2872.13878923,924.693525851,1763.0
2011-09-22,gr,0.0,0.0,2620.689082,1042.33598294,1791.0
2011-09-23,gr,0.0,0.0,2432.80289078,1025.59719929,1772.0
2011-09-24,gr,0.0,0.0,2273.59973303,1018.57633582,1693.0
2011-09-25,gr,0.0,0.0,2361.23887393,1021.82143022,1689.0
2011-09-26,gr,0.0,0.0,2249.4616828,1096.85148787,1623.0
2011-09-27,gr,0.0,0.0,2257.50258405,1145.97410691,1799.0
2011-09-28,gr,0.0,0.0,2258.02675287,1208.93949626,1823.0
2011-09-29,gr,0.0,0.0,2237.88263502,1198.96665854,1758.0
2011-09-30,gr,0.0,0.0,2420.07740448,1149.72681145,1825.0
2011-10-01,gr,0.0,0.0,2452.23227016,1104.30149714,1881.0
2011-10-02,gr,0.0,0.0,2221.99126739,1061.96230552,1729.0
2011-10-03,gr,0.0,0.0,2367.20432922,1044.62744725,1793.0
2011-10-04,gr,0.0,0.0,2568.80886699,1099.634256,1744.0
2011-10-05,gr,0.0,0.0,2756.77698482,1181.79791238,1876.0
2011-10-06,gr,0.0,0.0,2347.47322384,1296.24192943,1784.0
2011-10-07,gr,0.0,0.0,2353.54457007,1328.04604213,1766.0
2011-10-08,gr,0.0,0.0,2533.41347059,1274.56370147,1772.0
2011-10-09,gr,0.0,0.0,2542.76273833,1239.90659597,1799.0
2011-10-10,gr,0.0,0.0,2402.64436052,1200.871634,1756.0
2011-10-11,gr,0.0,0.0,2427.44690674,1152.23883644,1740.0
2011-10-12,gr,0.0,0.0,2471.43679391,1175.48662128,1684.0
2011-10-13,gr,0.0,0.0,2563.88218031,1304.41454276,1785.0
2011-10-14,gr,0.0,0.0,2700.91767947,1207.07058052,1771.0
2011-10-15,gr,0.0,0.0,2218.0272238,1202.87604477,1591.0
2011-10-16,gr,0.0,0.0,2221.44001049,1267.58423315,1680.0
2011-10-17,gr,0.0,0.0,2261.55928394,1158.92911619,1600.0
2011-10-18,gr,0.0,0.0,2185.59173892,1186.10001929,1546.0
2011-10-19,gr,0.0,0.0,2151.21752475,1176.519909,1586.0
2011-10-20,gr,0.0,0.0,2561.44101614,1047.27523167,1726.0
2011-10-21,gr,0.0,0.0,2175.94027291,1012.29307851,1504.0
2011-10-22,gr,0.0,0.0,2073.59711606,978.69662016,1451.0
2011-10-23,gr,0.0,0.0,1999.45302991,1103.37658209,1533.0
2011-10-24,gr,0.0,0.0,2136.32031584,929.13841034,1452.0
2011-10-25,gr,0.0,0.0,1839.85677648,954.647130461,1389.0
2011-10-26,gr,0.0,0.0,2197.25977035,814.923716586,1468.0
2011-10-27,gr,0.0,0.0,2232.92660398,801.60383747,1364.0
2011-10-28,gr,0.0,0.0,2043.27280872,725.514419644,1222.0
2011-10-29,gr,0.0,0.0,1930.84958852,832.23128665,1265.0
2011-10-30,gr,0.0,0.0,2013.31138302,801.142230245,1276.0
2011-10-31,gr,0.0,0.0,1895.25650228,820.082792281,1264.0
2011-11-01,gr,0.0,0.0,1704.60328231,986.679783289,1228.0
2011-11-02,gr,0.0,0.0,1931.78678102,785.313266709,1245.0
2011-11-03,gr,0.0,0.0,1825.76930714,769.370049618,1261.0
2011-11-04,gr,0.0,0.0,1870.32253028,639.589613724,1258.0
2011-11-05,gr,0.0,0.0,2040.00668355,711.923084962,1326.0
2011-11-06,gr,0.0,0.0,1960.5376413,831.180721754,1412.0
2011-11-07,gr,0.0,0.0,1664.45662547,873.890107695,1317.0
2011-11-08,gr,0.0,0.0,1809.86209798,729.092089731,1220.0
2011-11-09,gr,0.0,0.0,2266.86306621,546.825586078,1220.0
2011-11-10,gr,0.0,0.0,2049.06458682,750.913165138,1298.0
2011-11-11,gr,0.0,0.0,1556.22953965,872.687910839,1255.0
2011-11-12,gr,0.0,0.0,1531.38076732,821.44672262,1228.0
2011-11-13,gr,0.0,0.0,1732.06002812,853.120578605,1208.0
2011-11-14,gr,0.0,0.0,1711.84531284,807.08635529,1165.0
2011-11-15,gr,0.0,0.0,1678.17433072,681.509209242,1170.0
2011-11-16,gr,0.0,0.0,1743.6559164,559.911205645,1171.0
2011-11-17,gr,0.0,0.0,1649.61920986,728.795789625,1122.0
2011-11-18,gr,0.0,0.0,1547.79381305,889.221747668,1069.0
2011-11-19,gr,0.0,0.0,1596.54511491,853.480743901,1038.0
2011-11-20,gr,0.0,0.0,1627.33659311,801.752097543,1092.0
2011-11-21,gr,0.0,0.0,1615.39323708,777.809271024,1101.0
2011-11-22,gr,0.0,0.0,1660.86087369,704.209677402,1125.0
2011-11-23,gr,0.0,0.0,2003.49496967,653.720850435,1200.0
2011-11-24,gr,0.0,0.0,2802.27014293,683.308726386,1578.0
2011-11-25,gr,0.0,0.0,2518.15844924,251.331920281,1239.0
2011-11-26,gr,0.0,0.0,2299.92721847,327.50008375,1181.0
2011-11-27,gr,0.0,0.0,1680.52891123,653.549766899,1115.0
2011-11-28,gr,0.0,0.0,1494.59521011,726.138983964,1053.0
2011-11-29,gr,0.0,0.0,1522.66341039,599.028097572,1009.0
2011-11-30,gr,0.0,0.0,1541.81601198,421.850322005,998.0
2011-12-01,gr,0.0,0.0,1867.87591867,357.453933869,1143.0
2011-12-02,gr,0.0,0.0,2043.61481146,189.793601954,1116.0
2011-12-03,gr,0.0,0.0,1776.79443196,306.565079005,1065.0
2011-12-04,gr,0.0,0.0,1372.43448114,595.304020611,992.0
2011-12-05,gr,0.0,0.0,1648.76420163,732.281788827,1181.0
2011-12-06,gr,0.0,0.0,1492.15991235,680.165531654,1036.0
2011-12-07,gr,0.0,0.0,1529.76044142,695.558746963,1081.0
2011-12-08,gr,0.0,0.0,1577.55193058,645.861437797,1071.0
2011-12-09,gr,0.0,0.0,1621.60850523,652.017192344,1065.0
2011-12-10,gr,0.0,0.0,1482.79121447,690.602680737,1065.0
2011-12-11,gr,0.0,0.0,1542.97878939,722.441092975,1082.0
2011-12-12,gr,0.0,0.0,1480.09309058,756.758563542,1101.0
2011-12-13,gr,0.0,0.0,1440.32433656,706.852433744,1064.0
2011-12-14,gr,0.0,0.0,1534.81507573,669.440974464,1057.0
2011-12-15,gr,0.0,0.0,1505.22783026,663.341780622,1062.0
2011-12-16,gr,0.0,0.0,1511.75867022,731.961562313,1142.0
2011-12-17,gr,0.0,0.0,1552.34406281,712.62948128,1166.0
2011-12-18,gr,0.0,0.0,1513.78788096,735.476224506,1176.0
2011-12-19,gr,0.0,0.0,1481.7878015,738.993178784,1176.0
2011-12-20,gr,0.0,0.0,1448.73799087,723.083243631,1161.0
2011-12-21,gr,0.0,0.0,1469.78682091,701.842284105,1189.0
2011-12-22,gr,0.0,0.0,1471.78391919,726.687624692,1171.0
2011-12-23,gr,0.0,0.0,1428.85023483,783.584256389,1160.0
2011-12-24,gr,0.0,0.0,1461.07227344,757.425496456,1119.0
2011-12-25,gr,0.0,0.0,1792.45219129,816.94495941,1233.0
2011-12-26,gr,0.0,0.0,1517.93932062,726.08604535,1055.0
2011-12-27,gr,0.0,0.0,1644.68394619,751.398429352,1154.0
2011-12-28,gr,0.0,0.0,1713.05988206,735.166281537,1121.0
2011-12-29,gr,0.0,0.0,1645.24006247,763.38270463,1132.0
2011-12-30,gr,0.0,0.0,1701.51952135,758.898551331,1175.0
2011-12-31,gr,0.0,0.0,1552.75133374,727.350499405,1088.0
2012-01-01,gr,0.0,0.0,1516.66476975,636.192529032,1061.0
2012-01-02,gr,0.0,0.0,1699.03133111,627.663441731,1162.0
2012-01-03,gr,0.0,0.0,1644.65610814,739.098660088,1156.0
2012-01-04,gr,0.0,0.0,1668.88398243,761.447401804,1186.0
2012-01-05,gr,0.0,0.0,2056.37643507,692.202979531,1243.0
2012-01-06,gr,0.0,0.0,2492.01747433,504.124916399,1221.0
2012-01-07,gr,0.0,0.0,2738.69398746,664.364089283,1451.0
2012-01-09,gr,0.0,0.0,3061.24139899,613.791617324,1709.0
2012-01-10,gr,0.0,0.0,2537.84581645,605.330824655,1483.0
