date,country,event_censor,event_spike,max_user_range,min_user_range,actual_users
2011-09-08,gt,0.0,0.0,701.115827817,276.01127903,565.0
2011-09-09,gt,0.0,0.0,845.576853285,235.705372673,501.0
2011-09-11,gt,0.0,0.0,798.283669024,317.035304431,388.0
2011-09-12,gt,1.0,0.0,854.022623262,368.140398773,366.0
2011-09-13,gt,0.0,0.0,833.129259808,386.962585779,404.0
2011-09-14,gt,1.0,0.0,836.135321018,415.453278668,380.0
2011-09-15,gt,0.0,0.0,870.822540275,349.58405591,367.0
2011-09-16,gt,0.0,0.0,822.697036174,243.343428873,397.0
2011-09-17,gt,0.0,0.0,709.976351284,193.642660647,377.0
2011-09-18,gt,0.0,0.0,659.529559697,160.730535854,359.0
2011-09-19,gt,0.0,0.0,644.881908073,162.596013621,472.0
2011-09-20,gt,0.0,0.0,678.1639564,180.523910316,520.0
2011-09-21,gt,0.0,0.0,626.568130842,174.28728262,482.0
2011-09-22,gt,0.0,0.0,580.630076523,182.359119641,491.0
2011-09-23,gt,0.0,0.0,628.207301558,209.339001751,413.0
2011-09-24,gt,0.0,0.0,578.834959698,210.585719506,382.0
2011-09-25,gt,0.0,0.0,551.274363894,192.314805337,410.0
2011-09-26,gt,0.0,0.0,648.937267111,273.244092282,431.0
2011-09-27,gt,0.0,0.0,721.941071325,323.222867552,503.0
2011-09-28,gt,0.0,0.0,653.890645293,314.018073798,469.0
2011-09-29,gt,0.0,0.0,654.42558983,307.129361198,433.0
2011-09-30,gt,0.0,0.0,608.980587996,244.099648022,449.0
2011-10-01,gt,0.0,0.0,594.606690341,228.089501912,430.0
2011-10-02,gt,0.0,0.0,581.936590988,233.455035443,350.0
2011-10-03,gt,0.0,0.0,670.720924332,253.271236847,454.0
2011-10-04,gt,0.0,0.0,755.7103599,289.120657757,492.0
2011-10-05,gt,0.0,0.0,706.790628502,316.071098755,500.0
2011-10-06,gt,0.0,0.0,641.142589652,280.429986332,440.0
2011-10-07,gt,0.0,0.0,622.843119597,298.972174306,421.0
2011-10-08,gt,0.0,0.0,632.017452184,263.295021618,403.0
2011-10-09,gt,0.0,0.0,570.502374964,223.709187514,367.0
2011-10-10,gt,0.0,0.0,656.192319019,281.637418057,347.0
2011-10-11,gt,0.0,0.0,725.115466007,311.26433609,417.0
2011-10-12,gt,0.0,0.0,705.374630859,292.235613762,481.0
2011-10-13,gt,0.0,0.0,682.140689233,297.873086283,483.0
2011-10-14,gt,0.0,0.0,697.333666945,266.305729165,430.0
2011-10-15,gt,0.0,0.0,549.292008919,248.884604532,415.0
2011-10-16,gt,0.0,0.0,498.192137057,230.945263783,351.0
2011-10-17,gt,0.0,0.0,494.486278623,202.905168581,368.0
2011-10-18,gt,0.0,0.0,573.094529912,256.401203057,495.0
2011-10-19,gt,0.0,0.0,686.887147831,296.447296482,434.0
2011-10-20,gt,0.0,0.0,711.078594802,278.313930597,382.0
2011-10-21,gt,0.0,0.0,564.217068096,226.233611367,433.0
2011-10-22,gt,0.0,0.0,575.551890569,236.35798718,330.0
2011-10-23,gt,0.0,0.0,463.082439413,202.37824098,289.0
2011-10-24,gt,0.0,0.0,533.838713908,192.234932624,353.0
2011-10-25,gt,0.0,0.0,608.305307474,293.09325655,359.0
2011-10-26,gt,0.0,0.0,646.513902916,203.243323461,346.0
2011-10-27,gt,0.0,0.0,534.024589872,164.812907638,319.0
2011-10-28,gt,0.0,0.0,630.486927327,194.199834089,316.0
2011-10-29,gt,0.0,0.0,489.413797199,166.056343393,284.0
2011-10-30,gt,0.0,0.0,425.088662742,131.042626707,270.0
2011-10-31,gt,0.0,0.0,507.913169184,177.20161582,279.0
2011-11-01,gt,0.0,0.0,529.705135027,200.569198869,311.0
2011-11-02,gt,0.0,0.0,500.498661395,164.817670077,325.0
2011-11-03,gt,0.0,0.0,462.836696714,164.036461399,429.0
2011-11-04,gt,0.0,1.0,530.156177593,147.877571139,551.0
2011-11-05,gt,0.0,1.0,504.052582881,145.149865324,547.0
2011-11-06,gt,0.0,1.0,460.594234087,155.385232403,483.0
2011-11-07,gt,0.0,1.0,407.656864559,169.809890263,503.0
2011-11-08,gt,0.0,1.0,501.769221338,167.391120482,564.0
2011-11-09,gt,0.0,0.0,647.444625764,131.585294528,605.0
2011-11-10,gt,0.0,0.0,780.90724284,221.662696409,564.0
2011-11-11,gt,0.0,0.0,697.83579957,376.163041844,510.0
2011-11-12,gt,0.0,0.0,657.886443998,320.140250457,399.0
2011-11-13,gt,0.0,0.0,629.74997621,269.872642738,349.0
2011-11-14,gt,0.0,0.0,691.507001221,287.869165701,369.0
2011-11-15,gt,0.0,0.0,803.860747652,302.215168589,438.0
2011-11-16,gt,0.0,0.0,894.211521863,263.12260622,542.0
2011-11-17,gt,0.0,0.0,749.448839411,294.631747258,574.0
2011-11-18,gt,0.0,0.0,662.812216915,337.813630448,460.0
2011-11-19,gt,0.0,0.0,556.62481793,253.743468363,387.0
2011-11-20,gt,0.0,0.0,513.435820752,206.393078292,361.0
2011-11-21,gt,0.0,0.0,552.205453426,223.340206654,349.0
2011-11-22,gt,0.0,0.0,658.680451694,245.030419906,344.0
2011-11-23,gt,0.0,0.0,971.436075981,288.003906874,366.0
2011-11-24,gt,0.0,0.0,1482.59975769,348.593853079,472.0
2011-11-25,gt,0.0,0.0,1134.61025641,112.983394467,316.0
2011-11-26,gt,0.0,0.0,915.046909432,117.1735659,321.0
2011-11-27,gt,0.0,0.0,600.989714953,194.583846279,318.0
2011-11-28,gt,0.0,0.0,516.444799721,204.108482968,329.0
2011-11-29,gt,0.0,0.0,490.353852041,171.201416738,322.0
2011-11-30,gt,0.0,0.0,506.604793157,117.794981081,362.0
2011-12-01,gt,0.0,0.0,570.157004981,112.286182271,440.0
2011-12-02,gt,0.0,0.0,548.391458447,53.9183895076,390.0
2011-12-03,gt,0.0,0.0,520.228559854,76.0329560994,417.0
2011-12-04,gt,0.0,0.0,425.557624778,153.688298693,381.0
2011-12-05,gt,0.0,0.0,565.374445321,208.021354037,464.0
2011-12-06,gt,0.0,0.0,505.197780044,207.845371803,365.0
2011-12-07,gt,0.0,0.0,584.054878464,242.969619119,372.0
2011-12-08,gt,0.0,0.0,634.164516813,242.996969349,418.0
2011-12-09,gt,0.0,0.0,597.631668901,213.942081605,319.0
2011-12-10,gt,1.0,0.0,612.276845078,252.584085185,213.0
2011-12-11,gt,1.0,0.0,624.270482605,260.283337863,189.0
2011-12-12,gt,1.0,0.0,610.829458819,279.791457397,190.0
2011-12-13,gt,1.0,0.0,533.636137995,233.950535845,198.0
2011-12-14,gt,1.0,0.0,561.308366106,212.088930751,208.0
2011-12-15,gt,1.0,0.0,622.084675919,239.753338389,222.0
2011-12-16,gt,0.0,0.0,493.506261188,198.184693254,233.0
2011-12-17,gt,0.0,0.0,352.611374352,122.283908056,207.0
2011-12-18,gt,0.0,0.0,303.44536214,108.239115311,197.0
2011-12-19,gt,0.0,0.0,297.165840199,103.497554175,262.0
2011-12-20,gt,0.0,0.0,307.150952143,114.253132572,258.0
2011-12-21,gt,0.0,0.0,332.792896376,116.880226455,253.0
2011-12-22,gt,0.0,0.0,353.226147613,128.154261916,243.0
2011-12-23,gt,0.0,0.0,332.603548104,136.566385083,237.0
2011-12-24,gt,0.0,0.0,291.884514527,117.580953815,200.0
2011-12-25,gt,0.0,0.0,337.527824548,119.064447826,215.0
2011-12-26,gt,0.0,0.0,363.847539269,150.027845983,206.0
2011-12-27,gt,0.0,0.0,381.168677389,162.338027263,256.0
2011-12-28,gt,0.0,0.0,386.356383196,148.803587567,253.0
2011-12-29,gt,0.0,0.0,374.139935296,141.904219301,228.0
2011-12-30,gt,0.0,0.0,391.01202374,131.526991913,217.0
2011-12-31,gt,0.0,0.0,319.869403243,106.866433533,173.0
2012-01-01,gt,0.0,0.0,304.529990761,91.451269134,165.0
2012-01-02,gt,0.0,0.0,380.51521179,98.6319800517,189.0
2012-01-03,gt,0.0,0.0,411.067450422,137.948015081,240.0
2012-01-04,gt,0.0,0.0,413.977090162,151.331752986,268.0
2012-01-05,gt,0.0,0.0,439.683492252,132.209667617,267.0
2012-01-06,gt,0.0,0.0,517.195665786,82.2190207917,260.0
2012-01-07,gt,0.0,0.0,461.234454705,110.44539084,234.0
2012-01-09,gt,0.0,0.0,557.459072556,93.9818737248,314.0
2012-01-10,gt,0.0,0.0,567.604933946,124.937511439,302.0
2012-01-11,gt,0.0,0.0,446.207640614,143.516413674,245.0
2012-01-12,gt,0.0,0.0,469.545657415,112.831316968,246.0
2012-01-13,gt,0.0,0.0,465.949653932,88.9408872046,234.0
2012-01-14,gt,0.0,0.0,388.32068009,69.9593537031,229.0
2012-01-16,gt,0.0,0.0,471.534832241,92.8512289291,225.0
2012-01-17,gt,0.0,0.0,506.21144833,91.6645297911,242.0
2012-01-18,gt,0.0,0.0,367.332896813,145.413046621,234.0
2012-01-19,gt,0.0,0.0,396.535109911,111.364782083,234.0
2012-01-20,gt,0.0,0.0,395.964660542,119.903742421,257.0
2012-01-21,gt,0.0,0.0,379.824721151,100.954286456,220.0
2012-01-22,gt,0.0,0.0,355.564667104,87.7902683673,227.0
2012-01-23,gt,0.0,0.0,387.494919713,72.6356296536,232.0
2012-01-24,gt,0.0,0.0,404.079932581,105.515000613,250.0
2012-01-25,gt,0.0,0.0,403.054749371,120.128810434,254.0
2012-01-26,gt,0.0,0.0,371.883070785,110.074511579,240.0
2012-01-27,gt,0.0,0.0,402.276645518,116.329407067,261.0
2012-01-28,gt,0.0,0.0,346.965804439,98.3923391637,223.0
2012-01-29,gt,0.0,0.0,382.65508132,104.191829576,208.0
2012-01-30,gt,0.0,0.0,398.146647241,120.698388851,248.0
2012-01-31,gt,0.0,0.0,424.990724177,130.711483205,258.0
2012-02-01,gt,0.0,0.0,448.344056363,129.158152263,260.0
2012-02-02,gt,0.0,0.0,412.479150827,136.329295278,257.0
2012-02-03,gt,0.0,0.0,457.626518348,150.790525201,273.0
2012-02-04,gt,0.0,0.0,372.11019713,133.671084705,232.0
2012-02-05,gt,0.0,0.0,328.906052239,117.438104635,209.0
2012-02-06,gt,0.0,0.0,389.515036552,142.056986197,228.0
2012-02-07,gt,0.0,0.0,396.209508546,130.175416888,255.0
2012-02-08,gt,0.0,0.0,436.782472223,165.003478191,262.0
2012-02-09,gt,0.0,0.0,462.171933547,157.514632996,244.0
2012-02-10,gt,0.0,0.0,445.573936482,143.571445289,217.0
2012-02-11,gt,0.0,0.0,360.419656019,148.637859781,203.0
2012-02-12,gt,0.0,0.0,322.194825888,133.377374281,188.0
2012-02-13,gt,0.0,0.0,423.409048585,124.590832814,229.0
2012-02-14,gt,0.0,0.0,480.321993069,138.748316828,241.0
2012-02-15,gt,0.0,0.0,401.752648619,137.038172871,223.0
2012-02-16,gt,0.0,0.0,359.228586029,131.448335579,236.0
2012-02-17,gt,0.0,0.0,349.452884197,127.628396336,266.0
2012-02-18,gt,0.0,0.0,310.960199157,118.299301706,213.0
2012-02-19,gt,0.0,0.0,296.116100312,105.30909988,198.0
2012-02-20,gt,0.0,0.0,361.484446531,117.417195136,241.0
2012-02-21,gt,0.0,0.0,392.919996185,109.36033351,234.0
2012-02-22,gt,0.0,0.0,361.980950909,121.085521265,220.0
2012-02-23,gt,0.0,0.0,378.476401251,117.117734443,222.0
2012-02-24,gt,0.0,0.0,407.290046681,139.997986048,238.0
2012-02-25,gt,0.0,0.0,351.759794045,127.242244699,259.0
2012-02-26,gt,0.0,0.0,335.707400608,107.322318488,225.0
2012-02-27,gt,0.0,0.0,386.132891556,121.260965931,229.0
2012-02-28,gt,0.0,0.0,376.148217835,123.833094512,245.0
2012-02-29,gt,0.0,0.0,320.381323898,123.788097668,249.0
2012-03-01,gt,0.0,0.0,339.421072793,142.869146892,253.0
2012-03-02,gt,0.0,0.0,345.238199572,149.582283529,239.0
2012-03-03,gt,0.0,0.0,367.271752913,146.42729619,222.0
2012-03-04,gt,0.0,0.0,332.725133858,133.795956458,211.0
2012-03-05,gt,0.0,0.0,367.730467862,129.555746047,205.0
2012-03-06,gt,0.0,0.0,376.04882153,141.207607066,215.0
2012-03-07,gt,0.0,0.0,393.79310784,143.617488033,232.0
2012-03-08,gt,0.0,0.0,351.155766376,151.096577854,220.0
2012-03-09,gt,0.0,0.0,363.292299105,145.895477869,213.0
2012-03-10,gt,0.0,0.0,324.689947322,145.051901814,214.0
2012-03-11,gt,0.0,0.0,333.914869602,122.935738409,234.0
2012-03-12,gt,0.0,0.0,301.464187369,121.987644229,246.0
2012-03-13,gt,0.0,0.0,301.658844294,133.160678848,243.0
2012-03-14,gt,0.0,0.0,322.42406789,144.548875001,244.0
2012-03-15,gt,0.0,0.0,319.39385895,137.083298562,244.0
2012-03-16,gt,0.0,0.0,299.935067606,130.673072186,243.0
2012-03-17,gt,0.0,0.0,311.398077104,125.296056099,226.0
2012-03-18,gt,0.0,0.0,340.599954116,124.970829572,202.0
